Datas,Aruba
20/01/23,0.0
20/01/24,0.0
20/01/25,0.0
20/01/26,0.0
20/01/27,0.0
20/01/28,0.0
20/01/29,0.0
20/01/30,0.0
20/01/31,0.0
20/02/01,0.0
20/02/02,0.0
20/02/03,0.0
20/02/04,0.0
20/02/05,0.0
20/02/06,0.0
20/02/07,0.0
20/02/08,0.0
20/02/09,0.0
20/02/10,0.0
20/02/11,0.0
20/02/12,0.0
20/02/13,0.0
20/02/14,0.0
20/02/15,0.0
20/02/16,0.0
20/02/17,0.0
20/02/18,0.0
20/02/19,0.0
20/02/20,0.0
20/02/21,0.0
20/02/22,0.0
20/02/23,0.0
20/02/24,0.0
20/02/25,0.0
20/02/26,0.0
20/02/27,0.0
20/02/28,0.0
20/02/29,0.0
20/03/01,0.0
20/03/02,0.0
20/03/03,0.0
20/03/04,0.0
20/03/05,0.0
20/03/06,0.0
20/03/07,0.0
20/03/08,0.0
20/03/09,0.0
20/03/10,0.0
20/03/11,0.0
20/03/12,0.0
20/03/13,2.0
20/03/14,0.0
20/03/15,0.0
20/03/16,0.0
20/03/17,1.0
20/03/18,1.0
20/03/19,0.0
20/03/20,1.0
20/03/21,0.0
20/03/22,4.0
20/03/23,0.0
20/03/24,3.0
20/03/25,5.0
20/03/26,11.0
20/03/27,5.0
20/03/28,13.0
20/03/29,4.0
20/03/30,0.0
20/03/31,5.0
20/04/01,0.0
20/04/02,5.0
20/04/03,2.0
20/04/04,2.0
20/04/05,0.0
20/04/06,7.0
20/04/07,3.0
20/04/08,3.0
20/04/09,5.0
20/04/10,4.0
20/04/11,6.0
20/04/12,0.0
20/04/13,0.0
20/04/14,0.0
20/04/15,1.0
20/04/16,2.0
20/04/17,1.0
20/04/18,0.0
20/04/19,1.0
20/04/20,0.0
20/04/21,0.0
20/04/22,3.0
20/04/23,0.0
20/04/24,0.0
20/04/25,0.0
20/04/26,0.0
20/04/27,0.0
20/04/28,0.0
20/04/29,0.0
20/04/30,0.0
20/05/01,0.0
20/05/02,0.0
20/05/03,0.0
20/05/04,0.0
20/05/05,1.0
20/05/06,0.0
20/05/07,0.0
20/05/08,0.0
20/05/09,0.0
20/05/10,0.0
20/05/11,0.0
20/05/12,0.0
20/05/13,0.0
20/05/14,0.0
20/05/15,0.0
20/05/16,0.0
20/05/17,0.0
20/05/18,0.0
20/05/19,0.0
20/05/20,0.0
20/05/21,0.0
20/05/22,0.0
20/05/23,0.0
20/05/24,0.0
20/05/25,0.0
20/05/26,0.0
20/05/27,0.0
20/05/28,0.0
20/05/29,0.0
20/05/30,0.0
20/05/31,0.0
20/06/01,0.0
20/06/02,0.0
20/06/03,0.0
20/06/04,0.0
20/06/05,0.0
20/06/06,0.0
20/06/07,0.0
20/06/08,0.0
20/06/09,0.0
20/06/10,0.0
20/06/11,0.0
20/06/12,0.0
20/06/13,0.0
20/06/14,0.0
20/06/15,0.0
20/06/16,0.0
20/06/17,0.0
20/06/18,0.0
20/06/19,0.0
20/06/20,0.0
20/06/21,0.0
20/06/22,0.0
20/06/23,0.0
20/06/24,0.0
20/06/25,0.0
20/06/26,0.0
20/06/27,0.0
20/06/28,0.0
20/06/29,2.0
20/06/30,0.0
20/07/01,0.0
20/07/02,1.0
20/07/03,0.0
20/07/04,1.0
20/07/05,0.0
20/07/06,0.0
20/07/07,0.0
20/07/08,0.0
20/07/09,0.0
20/07/10,0.0
20/07/11,0.0
20/07/12,0.0
20/07/13,0.0
20/07/14,1.0
20/07/15,0.0
20/07/16,2.0
20/07/17,3.0
20/07/18,0.0
20/07/19,2.0
20/07/20,2.0
20/07/21,2.0
20/07/22,0.0
20/07/23,0.0
20/07/24,1.0
20/07/25,1.0
20/07/26,0.0
20/07/27,0.0
20/07/28,0.0
20/07/29,0.0
20/07/30,1.0
20/07/31,1.0
20/08/01,0.0
20/08/02,1.0
20/08/03,2.0
20/08/04,8.0
20/08/05,39.0
20/08/06,92.0
20/08/07,133.0
20/08/08,113.0
20/08/09,54.0
20/08/10,67.0
20/08/11,87.0
20/08/12,81.0
20/08/13,96.0
20/08/14,79.0
20/08/15,75.0
20/08/16,54.0
20/08/17,19.0
20/08/18,84.0
20/08/19,91.0
20/08/20,91.0
20/08/21,77.0
20/08/22,70.0
20/08/23,34.0
20/08/24,60.0
20/08/25,42.0
20/08/26,90.0
20/08/27,88.0
20/08/28,58.0
20/08/29,69.0
20/08/30,22.0
20/08/31,9.0
20/09/01,98.0
20/09/02,107.0
20/09/03,81.0
20/09/04,66.0
20/09/05,70.0
20/09/06,21.0
20/09/07,33.0
20/09/08,107.0
20/09/09,141.0
20/09/10,89.0
20/09/11,79.0
20/09/12,96.0
20/09/13,52.0
20/09/14,14.0
20/09/15,92.0
20/09/16,176.0
20/09/17,54.0
20/09/18,78.0
20/09/19,0.0
20/09/20,91.0
20/09/21,36.0
20/09/22,78.0
20/09/23,56.0
20/09/24,35.0
20/09/25,43.0
20/09/26,33.0
20/09/27,12.0
20/09/28,28.0
20/09/29,62.0
20/09/30,29.0
20/10/01,35.0
20/10/02,40.0
20/10/03,36.0
20/10/04,5.0
20/10/05,15.0
20/10/06,14.0
20/10/07,25.0
20/10/08,17.0
20/10/09,17.0
20/10/10,21.0
20/10/11,6.0
20/10/12,3.0
20/10/13,32.0
20/10/14,26.0
20/10/15,30.0
20/10/16,4.0
20/10/17,15.0
20/10/18,18.0
20/10/19,12.0
20/10/20,21.0
20/10/21,14.0
20/10/22,20.0
20/10/23,12.0
20/10/24,9.0
20/10/25,10.0
20/10/26,2.0
20/10/27,15.0
20/10/28,18.0
20/10/29,17.0
20/10/30,22.0
20/10/31,19.0
20/11/01,6.0
20/11/02,5.0
20/11/03,14.0
20/11/04,15.0
20/11/05,11.0
20/11/06,14.0
20/11/07,11.0
20/11/08,11.0
20/11/09,6.0
20/11/10,16.0
20/11/11,9.0
20/11/12,8.0
20/11/13,11.0
20/11/14,8.0
20/11/15,4.0
20/11/16,6.0
20/11/17,8.0
20/11/18,9.0
20/11/19,8.0
20/11/20,5.0
20/11/21,26.0
20/11/22,7.0
20/11/23,6.0
