Datas,Tasmania
20/01/23,0
20/01/24,0
20/01/25,0
20/01/26,0
20/01/27,0
20/01/28,0
20/01/29,0
20/01/30,0
20/01/31,0
20/02/01,0
20/02/02,0
20/02/03,0
20/02/04,0
20/02/05,0
20/02/06,0
20/02/07,0
20/02/08,0
20/02/09,0
20/02/10,0
20/02/11,0
20/02/12,0
20/02/13,0
20/02/14,0
20/02/15,0
20/02/16,0
20/02/17,0
20/02/18,0
20/02/19,0
20/02/20,0
20/02/21,0
20/02/22,0
20/02/23,0
20/02/24,0
20/02/25,0
20/02/26,0
20/02/27,0
20/02/28,0
20/02/29,0
20/03/01,0
20/03/02,1
20/03/03,0
20/03/04,0
20/03/05,0
20/03/06,0
20/03/07,0
20/03/08,1
20/03/09,0
20/03/10,0
20/03/11,1
20/03/12,0
20/03/13,2
20/03/14,0
20/03/15,1
20/03/16,1
20/03/17,0
20/03/18,3
20/03/19,0
20/03/20,0
20/03/21,6
20/03/22,6
20/03/23,6
20/03/24,0
20/03/25,8
20/03/26,11
20/03/27,0
20/03/28,15
20/03/29,4
20/03/30,0
20/03/31,3
20/04/01,0
20/04/02,3
20/04/03,2
20/04/04,6
20/04/05,2
20/04/06,4
20/04/07,3
20/04/08,9
20/04/09,13
20/04/10,11
20/04/11,11
20/04/12,0
20/04/13,11
20/04/14,21
20/04/15,0
20/04/16,4
20/04/17,11
20/04/18,8
20/04/19,7
20/04/20,5
20/04/21,1
20/04/22,4
20/04/23,2
20/04/24,0
20/04/25,0
20/04/26,5
20/04/27,2
20/04/28,4
20/04/29,1
20/04/30,2
20/05/01,0
20/05/02,0
20/05/03,0
20/05/04,0
20/05/05,4
20/05/06,1
20/05/07,1
20/05/08,0
20/05/09,0
20/05/10,0
20/05/11,0
20/05/12,0
20/05/13,0
20/05/14,0
20/05/15,1
20/05/16,0
20/05/17,0
20/05/18,0
20/05/19,0
20/05/20,0
20/05/21,0
20/05/22,0
20/05/23,0
20/05/24,0
20/05/25,0
20/05/26,0
20/05/27,0
20/05/28,0
20/05/29,0
20/05/30,0
20/05/31,0
20/06/01,0
20/06/02,0
20/06/03,0
20/06/04,0
20/06/05,0
20/06/06,0
20/06/07,0
20/06/08,0
20/06/09,0
20/06/10,0
20/06/11,0
20/06/12,0
20/06/13,0
20/06/14,0
20/06/15,0
20/06/16,0
20/06/17,0
20/06/18,0
20/06/19,0
20/06/20,0
20/06/21,0
20/06/22,0
20/06/23,0
20/06/24,0
20/06/25,0
20/06/26,0
20/06/27,0
20/06/28,0
20/06/29,0
20/06/30,0
20/07/01,0
20/07/02,0
20/07/03,0
20/07/04,0
20/07/05,0
20/07/06,0
20/07/07,0
20/07/08,0
20/07/09,0
20/07/10,0
20/07/11,0
20/07/12,0
20/07/13,0
20/07/14,0
20/07/15,0
20/07/16,0
20/07/17,0
20/07/18,0
20/07/19,0
20/07/20,1
20/07/21,0
20/07/22,0
20/07/23,0
20/07/24,0
20/07/25,0
20/07/26,0
20/07/27,0
20/07/28,0
20/07/29,0
20/07/30,0
20/07/31,0
20/08/01,0
20/08/02,0
20/08/03,0
20/08/04,0
20/08/05,0
20/08/06,0
20/08/07,0
20/08/08,0
20/08/09,0
20/08/10,0
20/08/11,1
20/08/12,0
20/08/13,0
20/08/14,0
20/08/15,0
20/08/16,0
20/08/17,0
20/08/18,0
20/08/19,0
20/08/20,0
20/08/21,0
20/08/22,0
20/08/23,0
20/08/24,0
20/08/25,0
20/08/26,0
20/08/27,0
20/08/28,0
20/08/29,0
20/08/30,0
20/08/31,0
20/09/01,0
20/09/02,0
20/09/03,0
20/09/04,1
20/09/05,-1
20/09/06,0
20/09/07,0
20/09/08,0
20/09/09,0
20/09/10,0
20/09/11,0
20/09/12,0
20/09/13,0
20/09/14,0
20/09/15,0
20/09/16,0
20/09/17,0
20/09/18,0
20/09/19,0
20/09/20,0
20/09/21,0
20/09/22,0
20/09/23,0
20/09/24,0
20/09/25,0
20/09/26,0
20/09/27,0
20/09/28,0
20/09/29,0
20/09/30,0
20/10/01,0
20/10/02,0
20/10/03,0
20/10/04,0
20/10/05,0
20/10/06,0
20/10/07,0
20/10/08,0
20/10/09,0
20/10/10,0
20/10/11,0
20/10/12,0
20/10/13,0
20/10/14,0
20/10/15,0
20/10/16,0
20/10/17,0
20/10/18,0
20/10/19,0
20/10/20,0
20/10/21,0
20/10/22,0
20/10/23,0
20/10/24,0
20/10/25,0
20/10/26,0
20/10/27,0
20/10/28,0
20/10/29,0
20/10/30,0
20/10/31,0
20/11/01,0
20/11/02,0
20/11/03,0
20/11/04,0
20/11/05,0
20/11/06,0
20/11/07,0
20/11/08,0
20/11/09,0
20/11/10,0
20/11/11,0
20/11/12,0
20/11/13,0
20/11/14,0
20/11/15,0
20/11/16,0
20/11/17,0
20/11/18,0
20/11/19,0
20/11/20,0
20/11/21,0
20/11/22,0
20/11/23,0
20/11/24,0
20/11/25,0
20/11/26,0
20/11/27,0
20/11/28,0
20/11/29,0
20/11/30,0
20/12/01,0
20/12/02,0
20/12/03,0
20/12/04,0
20/12/05,0
20/12/06,0
20/12/07,0
20/12/08,3
20/12/09,1
20/12/10,0
20/12/11,0
20/12/12,0
20/12/13,0
20/12/14,0
20/12/15,0
20/12/16,0
20/12/17,0
20/12/18,0
20/12/19,0
20/12/20,0
20/12/21,0
20/12/22,0
20/12/23,0
20/12/24,0
20/12/25,0
20/12/26,0
20/12/27,0
20/12/28,0
20/12/29,0
20/12/30,0
20/12/31,0
21/01/01,0
21/01/02,0
21/01/03,0
21/01/04,0
21/01/05,0
21/01/06,0
21/01/07,0
21/01/08,0
21/01/09,0
21/01/10,0
21/01/11,0
21/01/12,0
21/01/13,0
21/01/14,0
21/01/15,0
21/01/16,0
21/01/17,0
21/01/18,0
21/01/19,0
21/01/20,0
21/01/21,0
21/01/22,0
21/01/23,0
21/01/24,0
21/01/25,0
21/01/26,0
21/01/27,0
21/01/28,0
21/01/29,0
21/01/30,0
21/01/31,0
21/02/01,0
21/02/02,0
21/02/03,0
21/02/04,0
21/02/05,0
21/02/06,0
21/02/07,0
21/02/08,0
21/02/09,0
21/02/10,0
21/02/11,0
21/02/12,0
21/02/13,0
21/02/14,0
21/02/15,0
21/02/16,0
21/02/17,0
21/02/18,0
21/02/19,0
21/02/20,0
21/02/21,0
21/02/22,0
21/02/23,0
21/02/24,0
21/02/25,0
21/02/26,0
21/02/27,0
21/02/28,0
21/03/01,0
21/03/02,0
21/03/03,0
21/03/04,0
21/03/05,0
21/03/06,0
21/03/07,0
21/03/08,0
21/03/09,0
21/03/10,0
21/03/11,0
21/03/12,0
21/03/13,0
21/03/14,0
21/03/15,0
21/03/16,0
21/03/17,0
21/03/18,0
21/03/19,0
21/03/20,0
21/03/21,0
21/03/22,0
21/03/23,0
21/03/24,0
21/03/25,0
21/03/26,0
21/03/27,0
21/03/28,0
21/03/29,0
21/03/30,0
21/03/31,0
21/04/01,0
21/04/02,0
21/04/03,0
21/04/04,0
21/04/05,0
21/04/06,0
21/04/07,0
21/04/08,0
21/04/09,0
21/04/10,0
21/04/11,0
21/04/12,0
21/04/13,0
21/04/14,0
21/04/15,0
21/04/16,0
21/04/17,0
21/04/18,0
21/04/19,0
21/04/20,0
21/04/21,0
21/04/22,0
21/04/23,0
21/04/24,0
21/04/25,0
21/04/26,0
21/04/27,0
21/04/28,0
21/04/29,0
21/04/30,0
21/05/01,0
21/05/02,0
21/05/03,0
21/05/04,0
21/05/05,0
21/05/06,0
21/05/07,0
21/05/08,0
21/05/09,0
21/05/10,0
21/05/11,0
21/05/12,0
21/05/13,0
21/05/14,0
21/05/15,0
21/05/16,0
21/05/17,0
21/05/18,0
21/05/19,0
21/05/20,0
21/05/21,0
21/05/22,0
21/05/23,0
21/05/24,0
21/05/25,0
21/05/26,0
21/05/27,0
21/05/28,0
21/05/29,0
21/05/30,0
21/05/31,0
21/06/01,0
21/06/02,0
21/06/03,0
21/06/04,0
21/06/05,0
21/06/06,0
21/06/07,0
21/06/08,0
21/06/09,0
21/06/10,0
21/06/11,0
21/06/12,0
21/06/13,0
21/06/14,0
21/06/15,0
21/06/16,0
21/06/17,0
21/06/18,0
21/06/19,0
21/06/20,0
21/06/21,0
21/06/22,0
21/06/23,0
21/06/24,0
21/06/25,0
21/06/26,0
21/06/27,0
21/06/28,0
21/06/29,0
21/06/30,0
21/07/01,0
21/07/02,0
21/07/03,0
21/07/04,0
21/07/05,0
21/07/06,0
21/07/07,0
21/07/08,0
21/07/09,0
21/07/10,0
21/07/11,0
21/07/12,0
21/07/13,0
21/07/14,0
21/07/15,0
21/07/16,0
21/07/17,0
21/07/18,0
21/07/19,0
