Datas,Rio de Janeiro
2020/01/04,2
2020/01/06,1
2020/01/09,2
2020/01/11,2
2020/01/12,2
2020/01/13,2
2020/01/14,2
2020/01/15,4
2020/01/16,2
2020/01/17,2
2020/01/19,3
2020/01/20,2
2020/01/28,1
2020/01/29,1
2020/01/30,1
2020/02/02,5
2020/02/11,2
2020/02/20,1
2020/02/27,2
2020/02/28,1
2020/03/03,2
2020/03/04,4
2020/03/05,2
2020/03/06,5
2020/03/07,9
2020/03/08,1
2020/03/09,4
2020/03/10,20
2020/03/11,16
2020/03/12,20
2020/03/13,26
2020/03/14,9
2020/03/15,17
2020/03/16,20
2020/03/17,91
2020/03/18,66
2020/03/19,79
2020/03/20,85
2020/03/21,27
2020/03/22,33
2020/03/23,122
2020/03/24,122
2020/03/25,106
2020/03/26,137
2020/03/27,267
2020/03/28,114
2020/03/29,77
2020/03/30,455
2020/03/31,349
2020/04/01,288
2020/04/02,350
2020/04/03,384
2020/04/04,156
2020/04/05,109
2020/04/06,620
2020/04/07,614
2020/04/08,502
2020/04/09,370
2020/04/10,406
2020/04/11,386
2020/04/12,419
2020/04/13,743
2020/04/14,1065
2020/04/15,850
2020/04/16,836
2020/04/17,695
2020/04/18,278
2020/04/19,342
2020/04/20,1260
2020/04/21,353
2020/04/22,841
2020/04/23,373
2020/04/24,1307
2020/04/25,392
2020/04/26,312
2020/04/27,1359
2020/04/28,1668
2020/04/29,1087
2020/04/30,1200
2020/05/01,402
2020/05/02,388
2020/05/03,328
2020/05/04,1270
2020/05/05,1149
2020/05/06,1061
2020/05/07,1004
2020/05/08,1043
2020/05/09,293
2020/05/10,245
2020/05/11,788
2020/05/12,1093
2020/05/13,1160
2020/05/14,870
2020/05/15,772
2020/05/16,370
2020/05/17,288
2020/05/18,836
2020/05/19,1275
2020/05/20,1027
2020/05/21,1127
2020/05/22,922
2020/05/23,344
2020/05/24,539
2020/05/25,885
2020/05/26,674
2020/05/27,1196
2020/05/28,988
2020/05/29,883
2020/05/30,391
2020/05/31,471
2020/06/01,967
2020/06/02,838
2020/06/03,1006
2020/06/04,729
2020/06/05,588
2020/06/06,186
2020/06/07,202
2020/06/08,847
2020/06/09,880
2020/06/10,799
2020/06/11,233
2020/06/12,799
2020/06/13,298
2020/06/14,339
2020/06/15,1299
2020/06/16,1399
2020/06/17,1606
2020/06/18,992
2020/06/19,1052
2020/06/20,186
2020/06/21,250
2020/06/22,1188
2020/06/23,741
2020/06/24,839
2020/06/25,750
2020/06/26,536
2020/06/27,280
2020/06/28,134
2020/06/29,612
2020/06/30,818
2020/07/01,714
2020/07/02,668
2020/07/03,475
2020/07/04,226
2020/07/05,203
2020/07/06,651
2020/07/07,609
2020/07/08,549
2020/07/09,439
2020/07/10,446
2020/07/11,133
2020/07/12,167
2020/07/13,469
2020/07/14,436
2020/07/15,393
2020/07/16,244
2020/07/17,388
2020/07/18,102
2020/07/19,64
2020/07/20,483
2020/07/21,765
2020/07/22,582
2020/07/23,570
2020/07/24,467
2020/07/25,263
2020/07/26,266
2020/07/27,666
2020/07/28,789
2020/07/29,613
2020/07/30,410
2020/07/31,626
2020/08/01,121
2020/08/02,85
2020/08/03,586
2020/08/04,669
2020/08/05,587
2020/08/06,483
2020/08/07,529
2020/08/08,167
2020/08/09,80
2020/08/10,795
2020/08/11,1391
2020/08/12,912
2020/08/13,1377
2020/08/14,761
2020/08/15,186
2020/08/16,167
2020/08/17,911
2020/08/18,1128
2020/08/19,966
2020/08/20,815
2020/08/21,811
2020/08/22,145
2020/08/23,394
2020/08/24,796
2020/08/25,821
2020/08/26,608
2020/08/27,504
2020/08/28,462
2020/08/29,186
2020/08/30,99
2020/08/31,792
2020/09/01,774
2020/09/02,724
2020/09/03,635
2020/09/04,508
2020/09/05,279
2020/09/06,157
2020/09/07,137
2020/09/08,825
2020/09/09,781
2020/09/10,1084
2020/09/11,582
2020/09/12,199
2020/09/13,143
2020/09/14,869
2020/09/15,745
2020/09/16,836
2020/09/17,709
2020/09/18,750
2020/09/19,197
2020/09/20,153
2020/09/21,826
2020/09/22,853
2020/09/23,638
2020/09/24,593
2020/09/25,607
2020/09/26,273
2020/09/27,124
2020/09/28,900
2020/09/29,1078
2020/09/30,730
2020/10/01,780
2020/10/02,929
2020/10/03,182
2020/10/04,126
2020/10/05,1083
2020/10/06,792
2020/10/07,741
2020/10/08,703
2020/10/09,732
2020/10/10,193
2020/10/11,119
2020/10/12,144
2020/10/13,948
2020/10/14,804
2020/10/15,690
2020/10/16,683
2020/10/17,296
2020/10/18,129
2020/10/19,560
2020/10/20,623
2020/10/21,481
2020/10/22,533
2020/10/23,585
2020/10/24,171
2020/10/25,117
2020/10/26,822
2020/10/27,693
2020/10/28,533
2020/10/29,654
2020/10/30,428
2020/10/31,258
2020/11/01,217
2020/11/02,236
2020/11/03,800
2020/11/04,623
2020/11/05,871
2020/11/06,785
2020/11/07,245
2020/11/08,192
2020/11/09,1103
2020/11/10,996
2020/11/11,872
2020/11/12,904
2020/11/13,982
2020/11/14,338
2020/11/15,204
2020/11/16,1398
2020/11/17,1212
2020/11/18,1186
2020/11/19,1213
2020/11/20,458
2020/11/21,467
2020/11/22,287
2020/11/23,1668
2020/11/24,2010
2020/11/25,1551
2020/11/26,2016
2020/11/27,1989
2020/11/28,977
2020/11/29,290
2020/11/30,2791
2020/12/01,2269
2020/12/02,2204
2020/12/03,2048
2020/12/04,1883
2020/12/05,503
2020/12/06,302
2020/12/07,2312
2020/12/08,2421
2020/12/09,2099
2020/12/10,2063
2020/12/11,1818
2020/12/12,331
2020/12/13,278
2020/12/14,1606
2020/12/15,2175
2020/12/16,1740
2020/12/17,1818
2020/12/18,1405
2020/12/19,463
2020/12/20,286
2020/12/21,2055
2020/12/22,1547
2020/12/23,1510
2020/12/24,621
2020/12/25,201
2020/12/26,522
2020/12/27,201
2020/12/28,2596
2020/12/29,2055
2020/12/30,1731
2020/12/31,667
2021/01/01,272
2021/01/02,474
2021/01/03,264
2021/01/04,2917
2021/01/05,2188
2021/01/06,1795
2021/01/07,1600
2021/01/08,1452
2021/01/09,464
2021/01/10,274
2021/01/11,1861
2021/01/12,1606
2021/01/13,1428
2021/01/14,1332
2021/01/15,1142
2021/01/16,340
2021/01/17,236
2021/01/18,1558
2021/01/19,1084
2021/01/20,338
2021/01/21,936
2021/01/22,1048
2021/01/23,268
2021/01/24,150
2021/01/25,1214
2021/01/26,993
2021/01/27,940
2021/01/28,835
2021/01/29,645
2021/01/30,184
2021/01/31,255
2021/02/01,785
2021/02/02,743
2021/02/03,605
2021/02/04,596
2021/02/05,582
2021/02/06,186
2021/02/07,142
2021/02/08,776
2021/02/09,636
2021/02/10,653
2021/02/11,594
2021/02/12,542
2021/02/13,153
2021/02/14,86
2021/02/15,572
2021/02/16,189
2021/02/17,777
2021/02/18,694
2021/02/19,642
2021/02/20,173
2021/02/21,100
2021/02/22,978
2021/02/23,709
2021/02/24,749
2021/02/25,695
2021/02/26,583
2021/02/27,160
2021/02/28,103
2021/03/01,868
2021/03/02,738
2021/03/03,794
2021/03/04,896
2021/03/05,829
2021/03/06,168
2021/03/07,151
2021/03/08,1398
2021/03/09,1047
2021/03/10,1173
2021/03/11,1062
2021/03/12,1132
2021/03/13,318
2021/03/14,200
2021/03/15,1820
2021/03/16,1414
2021/03/17,1463
2021/03/18,1407
2021/03/19,1363
2021/03/20,470
2021/03/21,289
2021/03/22,2245
2021/03/23,1752
2021/03/24,1493
2021/03/25,1498
2021/03/26,1550
2021/03/27,496
2021/03/28,375
2021/03/29,2125
2021/03/30,1749
2021/03/31,1648
2021/04/01,1500
2021/04/02,601
2021/04/03,547
2021/04/04,302
2021/04/05,2365
2021/04/06,1635
2021/04/07,1505
2021/04/08,1501
2021/04/09,1334
2021/04/10,402
2021/04/11,226
2021/04/12,1909
2021/04/13,1350
2021/04/14,1430
2021/04/15,1433
2021/04/16,1477
2021/04/17,432
2021/04/18,279
2021/04/19,1906
2021/04/20,1614
2021/04/21,860
2021/04/22,1436
2021/04/23,957
2021/04/24,400
2021/04/25,239
2021/04/26,2223
2021/04/27,1730
2021/04/28,1429
2021/04/29,1294
2021/04/30,1187
2021/05/01,340
2021/05/02,232
2021/05/03,1815
2021/05/04,1545
2021/05/05,1579
2021/05/06,1593
2021/05/07,1372
2021/05/08,357
2021/05/09,234
2021/05/10,1870
2021/05/11,1674
2021/05/12,1499
2021/05/13,1478
2021/05/14,1429
2021/05/15,574
2021/05/16,285
2021/05/17,2110
2021/05/18,1831
2021/05/19,1685
2021/05/20,1585
2021/05/21,1588
2021/05/22,601
2021/05/23,249
2021/05/24,2026
2021/05/25,1637
2021/05/26,1396
2021/05/27,1601
2021/05/28,1308
2021/05/29,599
2021/05/30,306
2021/05/31,1973
2021/06/01,1684
2021/06/02,1585
2021/06/03,417
2021/06/04,1707
2021/06/05,522
2021/06/06,270
2021/06/07,1886
2021/06/08,1586
2021/06/09,1422
2021/06/10,1402
2021/06/11,1335
2021/06/12,338
2021/06/13,168
2021/06/14,1495
2021/06/15,1146
2021/06/16,1261
2021/06/17,1142
2021/06/18,1066
2021/06/19,281
2021/06/20,160
2021/06/21,1662
2021/06/22,1105
2021/06/23,1062
2021/06/24,1221
2021/06/25,1035
2021/06/26,391
2021/06/27,178
2021/06/28,1568
2021/06/29,631
2021/06/30,911
2021/07/01,1062
2021/07/02,947
2021/07/03,250
2021/07/04,171
2021/07/05,1455
2021/07/06,1052
2021/07/07,930
2021/07/08,1115
2021/07/09,1079
2021/07/10,339
2021/07/11,214
2021/07/12,1117
2021/07/13,1554
2021/07/14,1174
2021/07/15,1218
2021/07/16,1408
2021/07/17,347
2021/07/18,214
2021/07/19,1037
2021/07/20,1635
