,Datas,Metropolitana
0,2020/03/03,0
1,2020/03/04,1
2,2020/03/05,1
3,2020/03/06,1
4,2020/03/07,1
5,2020/03/08,2
6,2020/03/09,3
7,2020/03/10,1
8,2020/03/11,4
9,2020/03/12,9
10,2020/03/13,6
11,2020/03/14,11
12,2020/03/15,14
13,2020/03/16,69
14,2020/03/17,29
15,2020/03/18,22
16,2020/03/19,73
17,2020/03/20,57
18,2020/03/21,55
19,2020/03/22,50
20,2020/03/23,50
21,2020/03/24,81
22,2020/03/25,142
23,2020/03/26,64
24,2020/03/27,192
25,2020/03/28,146
26,2020/03/29,83
27,2020/03/30,128
28,2020/03/31,125
29,2020/04/01,101
30,2020/04/02,115
31,2020/04/03,106
32,2020/04/04,215
33,2020/04/05,145
34,2020/04/06,142
35,2020/04/07,106
36,2020/04/08,198
37,2020/04/09,284
38,2020/04/10,361
39,2020/04/11,255
40,2020/04/12,151
41,2020/04/13,204
42,2020/04/14,283
43,2020/04/15,248
44,2020/04/16,348
45,2020/04/17,233
46,2020/04/18,277
47,2020/04/19,189
48,2020/04/20,262
49,2020/04/21,145
50,2020/04/22,295
51,2020/04/23,351
52,2020/04/24,327
53,2020/04/25,404
54,2020/04/26,331
55,2020/04/27,362
56,2020/04/28,442
57,2020/04/29,589
58,2020/04/30,736
59,2020/05/01,891
60,2020/05/02,1145
61,2020/05/03,995
62,2020/05/04,872
63,2020/05/05,1179
64,2020/05/06,875
65,2020/05/07,1246
66,2020/05/08,1151
67,2020/05/09,978
68,2020/05/10,1396
69,2020/05/11,964
70,2020/05/12,1392
71,2020/05/13,2256
72,2020/05/14,2251
73,2020/05/15,2060
74,2020/05/16,1518
75,2020/05/17,1890
76,2020/05/18,1767
77,2020/05/19,3140
78,2020/05/20,3588
79,2020/05/21,3462
80,2020/05/22,3709
81,2020/05/23,3049
82,2020/05/24,3145
83,2020/05/25,4386
84,2020/05/26,3355
85,2020/05/27,3726
86,2020/05/28,3904
87,2020/05/29,2995
88,2020/05/30,3341
89,2020/05/31,4253
90,2020/06/01,4735
91,2020/06/02,2955
92,2020/06/03,3997
93,2020/06/04,3699
94,2020/06/05,3176
95,2020/06/06,4128
96,2020/06/07,5268
97,2020/06/08,3674
98,2020/06/09,2990
99,2020/06/10,4620
100,2020/06/11,4389
101,2020/06/12,5559
102,2020/06/13,5057
103,2020/06/14,5647
104,2020/06/15,3882
105,2020/06/16,4022
106,2020/06/17,3539
107,2020/06/18,3021
108,2020/06/19,4421
109,2020/06/20,3603
110,2020/06/21,3789
111,2020/06/22,3026
112,2020/06/23,2469
113,2020/06/24,2350
114,2020/06/25,3035
115,2020/06/26,2616
116,2020/06/27,2957
117,2020/06/28,2569
118,2020/06/29,2508
119,2020/06/30,2255
120,2020/07/01,1316
121,2020/07/02,1353
122,2020/07/03,2072
123,2020/07/04,2236
124,2020/07/05,2080
125,2020/07/06,1648
126,2020/07/07,1315
127,2020/07/08,987
128,2020/07/09,1687
129,2020/07/10,1525
130,2020/07/11,1329
131,2020/07/12,1661
132,2020/07/13,1431
133,2020/07/14,864
134,2020/07/15,690
135,2020/07/16,1193
136,2020/07/17,1501
137,2020/07/18,1086
138,2020/07/19,828
139,2020/07/20,965
140,2020/07/21,685
141,2020/07/22,714
142,2020/07/23,1013
143,2020/07/24,1066
144,2020/07/25,886
145,2020/07/26,802
146,2020/07/27,912
147,2020/07/28,658
148,2020/07/29,661
149,2020/07/30,684
150,2020/07/31,825
151,2020/08/01,771
152,2020/08/02,773
153,2020/08/03,687
154,2020/08/04,497
155,2020/08/05,664
156,2020/08/06,702
157,2020/08/07,728
158,2020/08/08,700
159,2020/08/09,695
160,2020/08/10,591
161,2020/08/11,446
162,2020/08/12,463
163,2020/08/13,603
164,2020/08/14,764
165,2020/08/15,524
166,2020/08/16,649
167,2020/08/17,494
168,2020/08/18,339
169,2020/08/19,322
170,2020/08/20,595
171,2020/08/21,544
172,2020/08/22,627
173,2020/08/23,553
174,2020/08/24,509
175,2020/08/25,453
176,2020/08/26,357
177,2020/08/27,468
178,2020/08/28,541
179,2020/08/29,559
180,2020/08/30,641
181,2020/08/31,482
182,2020/09/01,424
183,2020/09/02,465
184,2020/09/03,526
185,2020/09/04,569
186,2020/09/05,573
187,2020/09/06,619
188,2020/09/07,476
189,2020/09/08,350
190,2020/09/09,513
191,2020/09/10,469
192,2020/09/11,407
193,2020/09/12,538
194,2020/09/13,480
195,2020/09/14,463
196,2020/09/15,322
197,2020/09/16,377
198,2020/09/17,456
199,2020/09/18,383
200,2020/09/19,417
201,2020/09/20,453
