Datas,London
2020/04/17,704
2020/04/18,689
2020/04/19,453
2020/04/20,297
2020/04/21,418
2020/04/22,280
2020/04/23,415
2020/04/24,296
2020/04/25,278
2020/04/26,267
2020/04/27,225
2020/04/28,146
2020/04/29,111
2020/04/30,207
2020/05/01,180
2020/05/02,223
2020/05/03,128
2020/05/04,160
2020/05/05,252
2020/05/06,117
2020/05/07,142
2020/05/08,124
2020/05/09,111
2020/05/10,95
2020/05/11,62
2020/05/12,89
2020/05/13,44
2020/05/14,89
2020/05/15,80
2020/05/16,166
2020/05/17,81
2020/05/18,47
2020/05/19,42
2020/05/20,50
2020/05/21,49
2020/05/22,55
2020/05/23,59
2020/05/24,38
2020/05/25,38
2020/05/26,22
2020/05/27,27
2020/05/28,16
2020/05/29,30
2020/05/30,25
2020/05/31,30
2020/06/01,21
2020/06/02,32
2020/06/03,21
2020/06/04,21
2020/06/05,36
2020/06/06,25
2020/06/07,15
2020/06/08,0
2020/06/09,55
2020/06/10,15
2020/06/11,31
2020/06/12,21
2020/06/13,36
2020/06/14,25
2020/06/15,8
2020/06/16,15
2020/06/17,9
2020/06/18,17
2020/06/19,16
2020/06/20,29
2020/06/21,18
2020/06/22,21
2020/06/23,18
2020/06/24,10
2020/06/25,47
2020/06/26,52
2020/06/27,46
2020/06/28,14
2020/06/29,9
2020/06/30,19
2020/07/01,6025
2020/07/02,34
2020/07/03,9
2020/07/04,38
2020/07/05,37
2020/07/06,23
2020/07/07,37
2020/07/08,44
2020/07/09,68
2020/07/10,31
2020/07/11,91
2020/07/12,45
2020/07/13,29
2020/07/14,42
2020/07/15,50
2020/07/16,68
2020/07/17,56
2020/07/18,109
2020/07/19,51
2020/07/20,47
2020/07/21,44
2020/07/22,47
2020/07/23,96
2020/07/24,73
2020/07/25,66
2020/07/26,87
2020/07/27,87
2020/07/28,61
2020/07/29,66
2020/07/30,114
2020/07/31,91
2020/08/01,103
2020/08/02,70
2020/08/03,97
2020/08/04,86
2020/08/05,74
2020/08/06,105
2020/08/07,90
2020/08/08,112
2020/08/09,117
2020/08/10,65
2020/08/11,90
2020/08/12,93
2020/08/13,0
2020/08/14,300
2020/08/15,119
2020/08/16,136
2020/08/17,95
2020/08/18,145
2020/08/19,105
2020/08/20,172
2020/08/21,101
2020/08/22,183
2020/08/23,155
2020/08/24,133
2020/08/25,206
2020/08/26,155
2020/08/27,210
2020/08/28,166
2020/08/29,143
2020/08/30,197
2020/08/31,160
2020/09/01,188
2020/09/02,190
2020/09/03,216
2020/09/04,296
2020/09/05,232
2020/09/06,308
2020/09/07,274
2020/09/08,327
2020/09/09,315
2020/09/10,304
2020/09/11,416
2020/09/12,393
2020/09/13,311
2020/09/14,218
2020/09/15,278
2020/09/16,243
2020/09/17,247
2020/09/18,377
2020/09/19,320
2020/09/20,241
2020/09/21,282
2020/09/22,354
2020/09/23,531
2020/09/24,620
2020/09/25,584
2020/09/26,361
2020/09/27,587
2020/09/28,397
2020/09/29,504
2020/09/30,388
2020/10/01,551
2020/10/02,497
2020/10/03,1070
2020/10/04,1965
2020/10/05,989
2020/10/06,916
2020/10/07,1310
2020/10/08,1252
2020/10/09,1457
2020/10/10,1174
2020/10/11,637
2020/10/12,801
2020/10/13,1441
2020/10/14,1722
2020/10/15,1843
2020/10/16,1394
2020/10/17,1166
2020/10/18,1646
2020/10/19,1945
2020/10/20,1480
2020/10/21,2862
2020/10/22,1646
2020/10/23,1718
2020/10/24,2221
2020/10/25,1791
2020/10/26,1807
2020/10/27,1999
2020/10/28,2477
2020/10/29,1933
2020/10/30,2431
2020/10/31,1568
2020/11/01,2056
2020/11/02,1739
2020/11/03,1575
2020/11/04,2307
2020/11/05,2083
2020/11/06,1948
2020/11/07,2352
2020/11/08,1804
2020/11/09,2088
2020/11/10,1501
2020/11/11,2053
2020/11/12,3929
2020/11/13,2917
2020/11/14,2588
2020/11/15,2643
2020/11/16,674
2020/11/17,2102
2020/11/18,2023
2020/11/19,2540
2020/11/20,1908
2020/11/21,2547
2020/11/22,2979
