Datas,Ain
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,9.0
2020/05/14,9.0
2020/05/15,5.0
2020/05/16,0.0
2020/05/17,0.0
2020/05/18,11.0
2020/05/19,9.0
2020/05/20,11.0
2020/05/21,1.0
2020/05/22,7.0
2020/05/23,2.0
2020/05/24,0.0
2020/05/25,3.0
2020/05/26,2.0
2020/05/27,4.0
2020/05/28,1.0
2020/05/29,6.0
2020/05/30,2.0
2020/05/31,1.0
2020/06/01,4.0
2020/06/02,3.0
2020/06/03,2.0
2020/06/04,0.0
2020/06/05,5.0
2020/06/06,3.0
2020/06/07,1.0
2020/06/08,0.0
2020/06/09,1.0
2020/06/10,1.0
2020/06/11,8.0
2020/06/12,4.0
2020/06/13,0.0
2020/06/14,1.0
2020/06/15,0.0
2020/06/16,3.0
2020/06/17,5.0
2020/06/18,4.0
2020/06/19,3.0
2020/06/20,4.0
2020/06/21,0.0
2020/06/22,5.0
2020/06/23,10.0
2020/06/24,2.0
2020/06/25,5.0
2020/06/26,8.0
2020/06/27,6.0
2020/06/28,0.0
2020/06/29,6.0
2020/06/30,8.0
2020/07/01,3.0
2020/07/02,0.0
2020/07/03,3.0
2020/07/04,1.0
2020/07/05,0.0
2020/07/06,2.0
2020/07/07,5.0
2020/07/08,3.0
2020/07/09,3.0
2020/07/10,3.0
2020/07/11,0.0
2020/07/12,1.0
2020/07/13,0.0
2020/07/14,0.0
2020/07/15,3.0
2020/07/16,0.0
2020/07/17,6.0
2020/07/18,4.0
2020/07/19,0.0
2020/07/20,3.0
2020/07/21,10.0
2020/07/22,5.0
2020/07/23,6.0
2020/07/24,21.0
2020/07/25,2.0
2020/07/26,2.0
2020/07/27,13.0
2020/07/28,10.0
2020/07/29,7.0
2020/07/30,17.0
2020/07/31,17.0
2020/08/01,5.0
2020/08/02,2.0
2020/08/03,9.0
2020/08/04,14.0
2020/08/05,10.0
2020/08/06,15.0
2020/08/07,9.0
2020/08/08,8.0
2020/08/09,1.0
2020/08/10,22.0
2020/08/11,11.0
2020/08/12,15.0
2020/08/13,16.0
2020/08/14,25.0
2020/08/15,1.0
2020/08/16,0.0
2020/08/17,29.0
2020/08/18,23.0
2020/08/19,27.0
2020/08/20,33.0
2020/08/21,50.0
2020/08/22,17.0
2020/08/23,2.0
2020/08/24,54.0
2020/08/25,38.0
2020/08/26,55.0
2020/08/27,88.0
2020/08/28,61.0
2020/08/29,24.0
2020/08/30,2.0
2020/08/31,99.0
2020/09/01,73.0
2020/09/02,68.0
2020/09/03,101.0
2020/09/04,78.0
2020/09/05,40.0
2020/09/06,3.0
2020/09/07,90.0
2020/09/08,92.0
2020/09/09,67.0
2020/09/10,103.0
2020/09/11,100.0
2020/09/12,43.0
2020/09/13,5.0
2020/09/14,118.0
2020/09/15,154.0
2020/09/16,153.0
2020/09/17,99.0
2020/09/18,103.0
2020/09/19,30.0
2020/09/20,4.0
2020/09/21,129.0
2020/09/22,104.0
2020/09/23,101.0
2020/09/24,85.0
2020/09/25,82.0
2020/09/26,25.0
2020/09/27,1.0
2020/09/28,96.0
2020/09/29,106.0
2020/09/30,95.0
2020/10/01,106.0
2020/10/02,128.0
2020/10/03,61.0
2020/10/04,9.0
2020/10/05,208.0
2020/10/06,191.0
2020/10/07,228.0
2020/10/08,259.0
2020/10/09,291.0
2020/10/10,103.0
2020/10/11,12.0
2020/10/12,476.0
2020/10/13,366.0
2020/10/14,401.0
2020/10/15,540.0
2020/10/16,530.0
2020/10/17,204.0
2020/10/18,26.0
2020/10/19,750.0
2020/10/20,796.0
2020/10/21,796.0
2020/10/22,895.0
2020/10/23,1013.0
2020/10/24,363.0
2020/10/25,73.0
2020/10/26,1187.0
2020/10/27,1180.0
2020/10/28,1131.0
2020/10/29,1140.0
2020/10/30,1057.0
2020/10/31,400.0
2020/11/01,78.0
2020/11/02,1331.0
2020/11/03,1251.0
2020/11/04,940.0
2020/11/05,963.0
2020/11/06,815.0
2020/11/07,269.0
2020/11/08,42.0
2020/11/09,868.0
2020/11/10,665.0
2020/11/11,49.0
2020/11/12,607.0
2020/11/13,515.0
2020/11/14,169.0
2020/11/15,30.0
2020/11/16,574.0
2020/11/17,352.0
2020/11/18,293.0
2020/11/19,290.0
2020/11/20,261.0
2020/11/21,79.0
2020/11/22,17.0
2020/11/23,325.0
2020/11/24,187.0
2020/11/25,176.0
2020/11/26,249.0
2020/11/27,190.0
2020/11/28,96.0
2020/11/29,13.0
2020/11/30,225.0
2020/12/01,141.0
2020/12/02,186.0
2020/12/03,151.0
2020/12/04,161.0
2020/12/05,75.0
2020/12/06,13.0
2020/12/07,256.0
2020/12/08,187.0
2020/12/09,163.0
2020/12/10,171.0
2020/12/11,166.0
2020/12/12,87.0
2020/12/13,15.0
2020/12/14,251.0
2020/12/15,207.0
2020/12/16,167.0
2020/12/17,209.0
2020/12/18,266.0
2020/12/19,192.0
2020/12/20,125.0
2020/12/21,235.0
2020/12/22,254.0
2020/12/23,183.0
2020/12/24,133.0
2020/12/25,12.0
2020/12/26,105.0
2020/12/27,22.0
2020/12/28,258.0
2020/12/29,217.0
2020/12/30,222.0
2020/12/31,180.0
2021/01/01,4.0
2021/01/02,111.0
2021/01/03,29.0
2021/01/04,332.0
2021/01/05,261.0
2021/01/06,197.0
2021/01/07,224.0
2021/01/08,246.0
2021/01/09,91.0
2021/01/10,47.0
2021/01/11,278.0
2021/01/12,212.0
2021/01/13,227.0
2021/01/14,217.0
2021/01/15,229.0
2021/01/16,105.0
2021/01/17,14.0
2021/01/18,331.0
2021/01/19,245.0
2021/01/20,225.0
2021/01/21,244.0
2021/01/22,231.0
2021/01/23,136.0
2021/01/24,25.0
2021/01/25,373.0
2021/01/26,290.0
2021/01/27,230.0
2021/01/28,237.0
2021/01/29,269.0
2021/01/30,137.0
2021/01/31,20.0
2021/02/01,389.0
2021/02/02,261.0
2021/02/03,275.0
2021/02/04,256.0
2021/02/05,241.0
2021/02/06,102.0
2021/02/07,14.0
2021/02/08,259.0
2021/02/09,257.0
2021/02/10,216.0
2021/02/11,196.0
2021/02/12,191.0
2021/02/13,95.0
2021/02/14,15.0
2021/02/15,269.0
2021/02/16,197.0
2021/02/17,190.0
2021/02/18,215.0
2021/02/19,190.0
2021/02/20,107.0
2021/02/21,24.0
2021/02/22,311.0
2021/02/23,210.0
2021/02/24,217.0
2021/02/25,186.0
2021/02/26,201.0
2021/02/27,106.0
2021/02/28,12.0
2021/03/01,247.0
2021/03/02,172.0
2021/03/03,170.0
2021/03/04,160.0
2021/03/05,181.0
2021/03/06,94.0
2021/03/07,15.0
2021/03/08,252.0
2021/03/09,221.0
2021/03/10,182.0
2021/03/11,186.0
2021/03/12,214.0
2021/03/13,103.0
2021/03/14,20.0
2021/03/15,300.0
2021/03/16,297.0
2021/03/17,229.0
2021/03/18,279.0
2021/03/19,281.0
2021/03/20,162.0
2021/03/21,29.0
2021/03/22,398.0
2021/03/23,323.0
2021/03/24,357.0
2021/03/25,361.0
2021/03/26,401.0
2021/03/27,208.0
2021/03/28,30.0
2021/03/29,502.0
2021/03/30,427.0
2021/03/31,402.0
2021/04/01,471.0
2021/04/02,417.0
2021/04/03,213.0
2021/04/04,36.0
2021/04/05,44.0
2021/04/06,548.0
2021/04/07,377.0
2021/04/08,333.0
2021/04/09,365.0
2021/04/10,211.0
2021/04/11,36.0
2021/04/12,444.0
2021/04/13,315.0
2021/04/14,347.0
2021/04/15,313.0
2021/04/16,273.0
2021/04/17,183.0
2021/04/18,29.0
2021/04/19,403.0
2021/04/20,274.0
2021/04/21,284.0
2021/04/22,258.0
2021/04/23,255.0
2021/04/24,146.0
2021/04/25,15.0
2021/04/26,360.0
2021/04/27,240.0
2021/04/28,215.0
2021/04/29,192.0
2021/04/30,186.0
2021/05/01,12.0
2021/05/02,19.0
2021/05/03,245.0
2021/05/04,190.0
2021/05/05,172.0
2021/05/06,126.0
2021/05/07,149.0
2021/05/08,15.0
2021/05/09,16.0
2021/05/10,223.0
2021/05/11,119.0
2021/05/12,117.0
2021/05/13,13.0
2021/05/14,121.0
2021/05/15,61.0
2021/05/16,6.0
2021/05/17,155.0
2021/05/18,134.0
2021/05/19,142.0
2021/05/20,124.0
2021/05/21,115.0
2021/05/22,47.0
2021/05/23,6.0
2021/05/24,21.0
2021/05/25,118.0
2021/05/26,85.0
2021/05/27,82.0
2021/05/28,81.0
2021/05/29,38.0
2021/05/30,10.0
2021/05/31,118.0
