Datas,Aisne
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,14.0
2020/05/14,15.0
2020/05/15,14.0
2020/05/16,7.0
2020/05/17,2.0
2020/05/18,6.0
2020/05/19,8.0
2020/05/20,14.0
2020/05/21,2.0
2020/05/22,8.0
2020/05/23,2.0
2020/05/24,1.0
2020/05/25,16.0
2020/05/26,8.0
2020/05/27,4.0
2020/05/28,11.0
2020/05/29,1.0
2020/05/30,3.0
2020/05/31,0.0
2020/06/01,2.0
2020/06/02,8.0
2020/06/03,4.0
2020/06/04,8.0
2020/06/05,6.0
2020/06/06,15.0
2020/06/07,4.0
2020/06/08,8.0
2020/06/09,10.0
2020/06/10,6.0
2020/06/11,5.0
2020/06/12,10.0
2020/06/13,1.0
2020/06/14,0.0
2020/06/15,6.0
2020/06/16,5.0
2020/06/17,10.0
2020/06/18,2.0
2020/06/19,0.0
2020/06/20,1.0
2020/06/21,0.0
2020/06/22,8.0
2020/06/23,5.0
2020/06/24,0.0
2020/06/25,5.0
2020/06/26,1.0
2020/06/27,1.0
2020/06/28,0.0
2020/06/29,4.0
2020/06/30,3.0
2020/07/01,2.0
2020/07/02,5.0
2020/07/03,3.0
2020/07/04,3.0
2020/07/05,0.0
2020/07/06,4.0
2020/07/07,4.0
2020/07/08,3.0
2020/07/09,5.0
2020/07/10,5.0
2020/07/11,2.0
2020/07/12,1.0
2020/07/13,4.0
2020/07/14,0.0
2020/07/15,0.0
2020/07/16,2.0
2020/07/17,3.0
2020/07/18,1.0
2020/07/19,0.0
2020/07/20,2.0
2020/07/21,4.0
2020/07/22,7.0
2020/07/23,4.0
2020/07/24,4.0
2020/07/25,2.0
2020/07/26,0.0
2020/07/27,5.0
2020/07/28,4.0
2020/07/29,1.0
2020/07/30,0.0
2020/07/31,2.0
2020/08/01,5.0
2020/08/02,0.0
2020/08/03,14.0
2020/08/04,4.0
2020/08/05,3.0
2020/08/06,1.0
2020/08/07,6.0
2020/08/08,0.0
2020/08/09,1.0
2020/08/10,9.0
2020/08/11,9.0
2020/08/12,6.0
2020/08/13,2.0
2020/08/14,0.0
2020/08/15,0.0
2020/08/16,1.0
2020/08/17,7.0
2020/08/18,9.0
2020/08/19,12.0
2020/08/20,11.0
2020/08/21,13.0
2020/08/22,14.0
2020/08/23,1.0
2020/08/24,9.0
2020/08/25,10.0
2020/08/26,25.0
2020/08/27,15.0
2020/08/28,24.0
2020/08/29,8.0
2020/08/30,0.0
2020/08/31,22.0
2020/09/01,29.0
2020/09/02,16.0
2020/09/03,15.0
2020/09/04,22.0
2020/09/05,10.0
2020/09/06,3.0
2020/09/07,27.0
2020/09/08,25.0
2020/09/09,29.0
2020/09/10,36.0
2020/09/11,48.0
2020/09/12,24.0
2020/09/13,5.0
2020/09/14,46.0
2020/09/15,36.0
2020/09/16,52.0
2020/09/17,50.0
2020/09/18,37.0
2020/09/19,27.0
2020/09/20,0.0
2020/09/21,44.0
2020/09/22,42.0
2020/09/23,38.0
2020/09/24,50.0
2020/09/25,37.0
2020/09/26,36.0
2020/09/27,7.0
2020/09/28,37.0
2020/09/29,40.0
2020/09/30,36.0
2020/10/01,68.0
2020/10/02,55.0
2020/10/03,30.0
2020/10/04,3.0
2020/10/05,75.0
2020/10/06,101.0
2020/10/07,81.0
2020/10/08,110.0
2020/10/09,101.0
2020/10/10,71.0
2020/10/11,4.0
2020/10/12,130.0
2020/10/13,169.0
2020/10/14,127.0
2020/10/15,189.0
2020/10/16,198.0
2020/10/17,96.0
2020/10/18,6.0
2020/10/19,243.0
2020/10/20,279.0
2020/10/21,190.0
2020/10/22,336.0
2020/10/23,302.0
2020/10/24,165.0
2020/10/25,10.0
2020/10/26,276.0
2020/10/27,333.0
2020/10/28,278.0
2020/10/29,303.0
2020/10/30,310.0
2020/10/31,196.0
2020/11/01,16.0
2020/11/02,321.0
2020/11/03,314.0
2020/11/04,297.0
2020/11/05,308.0
2020/11/06,284.0
2020/11/07,218.0
2020/11/08,12.0
2020/11/09,271.0
2020/11/10,278.0
2020/11/11,18.0
2020/11/12,223.0
2020/11/13,232.0
2020/11/14,118.0
2020/11/15,12.0
2020/11/16,156.0
2020/11/17,157.0
2020/11/18,145.0
2020/11/19,173.0
2020/11/20,138.0
2020/11/21,70.0
2020/11/22,5.0
2020/11/23,144.0
2020/11/24,117.0
2020/11/25,102.0
2020/11/26,138.0
2020/11/27,103.0
2020/11/28,46.0
2020/11/29,10.0
2020/11/30,106.0
2020/12/01,137.0
2020/12/02,97.0
2020/12/03,110.0
2020/12/04,143.0
2020/12/05,91.0
2020/12/06,19.0
2020/12/07,167.0
2020/12/08,135.0
2020/12/09,136.0
2020/12/10,178.0
2020/12/11,208.0
2020/12/12,101.0
2020/12/13,9.0
2020/12/14,244.0
2020/12/15,202.0
2020/12/16,260.0
2020/12/17,295.0
2020/12/18,221.0
2020/12/19,116.0
2020/12/20,42.0
2020/12/21,243.0
2020/12/22,185.0
2020/12/23,188.0
2020/12/24,111.0
2020/12/25,4.0
2020/12/26,105.0
2020/12/27,15.0
2020/12/28,231.0
2020/12/29,217.0
2020/12/30,156.0
2020/12/31,143.0
2021/01/01,14.0
2021/01/02,124.0
2021/01/03,10.0
2021/01/04,195.0
2021/01/05,148.0
2021/01/06,148.0
2021/01/07,148.0
2021/01/08,188.0
2021/01/09,115.0
2021/01/10,13.0
2021/01/11,260.0
2021/01/12,185.0
2021/01/13,160.0
2021/01/14,184.0
2021/01/15,177.0
2021/01/16,112.0
2021/01/17,14.0
2021/01/18,287.0
2021/01/19,208.0
2021/01/20,199.0
2021/01/21,227.0
2021/01/22,205.0
2021/01/23,120.0
2021/01/24,19.0
2021/01/25,317.0
2021/01/26,234.0
2021/01/27,200.0
2021/01/28,204.0
2021/01/29,200.0
2021/01/30,129.0
2021/01/31,13.0
2021/02/01,302.0
2021/02/02,218.0
2021/02/03,223.0
2021/02/04,235.0
2021/02/05,196.0
2021/02/06,135.0
2021/02/07,16.0
2021/02/08,314.0
2021/02/09,225.0
2021/02/10,194.0
2021/02/11,189.0
2021/02/12,174.0
2021/02/13,89.0
2021/02/14,14.0
2021/02/15,252.0
2021/02/16,161.0
2021/02/17,152.0
2021/02/18,180.0
2021/02/19,196.0
2021/02/20,124.0
2021/02/21,14.0
2021/02/22,219.0
2021/02/23,224.0
2021/02/24,193.0
2021/02/25,180.0
2021/02/26,206.0
2021/02/27,119.0
2021/02/28,14.0
2021/03/01,201.0
2021/03/02,166.0
2021/03/03,159.0
2021/03/04,225.0
2021/03/05,206.0
2021/03/06,150.0
2021/03/07,17.0
2021/03/08,277.0
2021/03/09,244.0
2021/03/10,209.0
2021/03/11,219.0
2021/03/12,249.0
2021/03/13,151.0
2021/03/14,25.0
2021/03/15,336.0
2021/03/16,239.0
2021/03/17,276.0
2021/03/18,276.0
2021/03/19,313.0
2021/03/20,229.0
2021/03/21,24.0
2021/03/22,464.0
2021/03/23,327.0
2021/03/24,330.0
2021/03/25,340.0
2021/03/26,355.0
2021/03/27,218.0
2021/03/28,22.0
2021/03/29,503.0
2021/03/30,414.0
2021/03/31,356.0
2021/04/01,343.0
2021/04/02,302.0
2021/04/03,216.0
2021/04/04,24.0
2021/04/05,53.0
2021/04/06,490.0
2021/04/07,339.0
2021/04/08,309.0
2021/04/09,330.0
2021/04/10,191.0
2021/04/11,40.0
2021/04/12,422.0
2021/04/13,289.0
2021/04/14,301.0
2021/04/15,318.0
2021/04/16,315.0
2021/04/17,181.0
2021/04/18,22.0
2021/04/19,362.0
2021/04/20,263.0
2021/04/21,305.0
2021/04/22,242.0
2021/04/23,226.0
2021/04/24,168.0
2021/04/25,18.0
2021/04/26,342.0
2021/04/27,256.0
2021/04/28,206.0
2021/04/29,214.0
2021/04/30,220.0
2021/05/01,28.0
2021/05/02,26.0
2021/05/03,313.0
2021/05/04,231.0
2021/05/05,166.0
2021/05/06,186.0
2021/05/07,173.0
2021/05/08,26.0
2021/05/09,15.0
2021/05/10,248.0
2021/05/11,222.0
2021/05/12,167.0
2021/05/13,27.0
2021/05/14,230.0
2021/05/15,105.0
2021/05/16,26.0
2021/05/17,298.0
2021/05/18,158.0
2021/05/19,153.0
2021/05/20,98.0
2021/05/21,102.0
2021/05/22,69.0
2021/05/23,7.0
2021/05/24,16.0
2021/05/25,186.0
2021/05/26,122.0
2021/05/27,104.0
2021/05/28,91.0
2021/05/29,54.0
2021/05/30,4.0
2021/05/31,84.0
2021/06/01,56.0
