Datas,Allier
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,0.0
2020/05/14,2.0
2020/05/15,2.0
2020/05/16,2.0
2020/05/17,1.0
2020/05/18,1.0
2020/05/19,4.0
2020/05/20,4.0
2020/05/21,0.0
2020/05/22,17.0
2020/05/23,1.0
2020/05/24,0.0
2020/05/25,4.0
2020/05/26,1.0
2020/05/27,0.0
2020/05/28,2.0
2020/05/29,2.0
2020/05/30,0.0
2020/05/31,0.0
2020/06/01,1.0
2020/06/02,1.0
2020/06/03,0.0
2020/06/04,1.0
2020/06/05,0.0
2020/06/06,0.0
2020/06/07,0.0
2020/06/08,0.0
2020/06/09,0.0
2020/06/10,1.0
2020/06/11,2.0
2020/06/12,3.0
2020/06/13,1.0
2020/06/14,0.0
2020/06/15,0.0
2020/06/16,3.0
2020/06/17,1.0
2020/06/18,1.0
2020/06/19,0.0
2020/06/20,0.0
2020/06/21,0.0
2020/06/22,0.0
2020/06/23,0.0
2020/06/24,1.0
2020/06/25,0.0
2020/06/26,2.0
2020/06/27,0.0
2020/06/28,0.0
2020/06/29,2.0
2020/06/30,1.0
2020/07/01,2.0
2020/07/02,1.0
2020/07/03,0.0
2020/07/04,1.0
2020/07/05,0.0
2020/07/06,0.0
2020/07/07,0.0
2020/07/08,1.0
2020/07/09,1.0
2020/07/10,1.0
2020/07/11,0.0
2020/07/12,0.0
2020/07/13,1.0
2020/07/14,0.0
2020/07/15,3.0
2020/07/16,3.0
2020/07/17,1.0
2020/07/18,0.0
2020/07/19,0.0
2020/07/20,0.0
2020/07/21,1.0
2020/07/22,5.0
2020/07/23,4.0
2020/07/24,1.0
2020/07/25,4.0
2020/07/26,0.0
2020/07/27,4.0
2020/07/28,0.0
2020/07/29,3.0
2020/07/30,0.0
2020/07/31,2.0
2020/08/01,0.0
2020/08/02,0.0
2020/08/03,5.0
2020/08/04,1.0
2020/08/05,0.0
2020/08/06,1.0
2020/08/07,1.0
2020/08/08,0.0
2020/08/09,0.0
2020/08/10,5.0
2020/08/11,2.0
2020/08/12,0.0
2020/08/13,2.0
2020/08/14,3.0
2020/08/15,0.0
2020/08/16,0.0
2020/08/17,9.0
2020/08/18,3.0
2020/08/19,4.0
2020/08/20,9.0
2020/08/21,6.0
2020/08/22,2.0
2020/08/23,0.0
2020/08/24,9.0
2020/08/25,9.0
2020/08/26,16.0
2020/08/27,5.0
2020/08/28,9.0
2020/08/29,10.0
2020/08/30,0.0
2020/08/31,10.0
2020/09/01,13.0
2020/09/02,14.0
2020/09/03,20.0
2020/09/04,9.0
2020/09/05,9.0
2020/09/06,0.0
2020/09/07,21.0
2020/09/08,21.0
2020/09/09,12.0
2020/09/10,23.0
2020/09/11,11.0
2020/09/12,12.0
2020/09/13,2.0
2020/09/14,23.0
2020/09/15,11.0
2020/09/16,26.0
2020/09/17,30.0
2020/09/18,25.0
2020/09/19,12.0
2020/09/20,3.0
2020/09/21,22.0
2020/09/22,17.0
2020/09/23,10.0
2020/09/24,16.0
2020/09/25,27.0
2020/09/26,4.0
2020/09/27,1.0
2020/09/28,17.0
2020/09/29,14.0
2020/09/30,15.0
2020/10/01,19.0
2020/10/02,48.0
2020/10/03,11.0
2020/10/04,0.0
2020/10/05,33.0
2020/10/06,31.0
2020/10/07,42.0
2020/10/08,51.0
2020/10/09,77.0
2020/10/10,39.0
2020/10/11,2.0
2020/10/12,75.0
2020/10/13,98.0
2020/10/14,56.0
2020/10/15,103.0
2020/10/16,109.0
2020/10/17,67.0
2020/10/18,14.0
2020/10/19,207.0
2020/10/20,224.0
2020/10/21,247.0
2020/10/22,257.0
2020/10/23,287.0
2020/10/24,126.0
2020/10/25,14.0
2020/10/26,437.0
2020/10/27,311.0
2020/10/28,314.0
2020/10/29,344.0
2020/10/30,362.0
2020/10/31,170.0
2020/11/01,22.0
2020/11/02,440.0
2020/11/03,345.0
2020/11/04,306.0
2020/11/05,255.0
2020/11/06,295.0
2020/11/07,127.0
2020/11/08,11.0
2020/11/09,339.0
2020/11/10,286.0
2020/11/11,23.0
2020/11/12,304.0
2020/11/13,239.0
2020/11/14,66.0
2020/11/15,7.0
2020/11/16,172.0
2020/11/17,130.0
2020/11/18,97.0
2020/11/19,108.0
2020/11/20,94.0
2020/11/21,65.0
2020/11/22,13.0
2020/11/23,135.0
2020/11/24,112.0
2020/11/25,72.0
2020/11/26,72.0
2020/11/27,89.0
2020/11/28,44.0
2020/11/29,17.0
2020/11/30,125.0
2020/12/01,75.0
2020/12/02,75.0
2020/12/03,73.0
2020/12/04,124.0
2020/12/05,40.0
2020/12/06,5.0
2020/12/07,144.0
2020/12/08,105.0
2020/12/09,98.0
2020/12/10,121.0
2020/12/11,84.0
2020/12/12,61.0
2020/12/13,7.0
2020/12/14,197.0
2020/12/15,118.0
2020/12/16,125.0
2020/12/17,155.0
2020/12/18,147.0
2020/12/19,108.0
2020/12/20,44.0
2020/12/21,219.0
2020/12/22,155.0
2020/12/23,124.0
2020/12/24,101.0
2020/12/25,6.0
2020/12/26,76.0
2020/12/27,11.0
2020/12/28,194.0
2020/12/29,117.0
2020/12/30,152.0
2020/12/31,133.0
2021/01/01,9.0
2021/01/02,121.0
2021/01/03,9.0
2021/01/04,232.0
2021/01/05,125.0
2021/01/06,115.0
2021/01/07,155.0
2021/01/08,117.0
2021/01/09,71.0
2021/01/10,12.0
2021/01/11,157.0
2021/01/12,124.0
2021/01/13,124.0
2021/01/14,112.0
2021/01/15,106.0
2021/01/16,58.0
2021/01/17,7.0
2021/01/18,142.0
2021/01/19,114.0
2021/01/20,127.0
2021/01/21,101.0
2021/01/22,128.0
2021/01/23,77.0
2021/01/24,6.0
2021/01/25,153.0
2021/01/26,91.0
2021/01/27,84.0
2021/01/28,96.0
2021/01/29,106.0
2021/01/30,50.0
2021/01/31,8.0
2021/02/01,116.0
2021/02/02,107.0
2021/02/03,83.0
2021/02/04,93.0
2021/02/05,96.0
2021/02/06,44.0
2021/02/07,7.0
2021/02/08,131.0
2021/02/09,71.0
2021/02/10,64.0
2021/02/11,50.0
2021/02/12,44.0
2021/02/13,39.0
2021/02/14,3.0
2021/02/15,103.0
2021/02/16,88.0
2021/02/17,72.0
2021/02/18,62.0
2021/02/19,101.0
2021/02/20,38.0
2021/02/21,4.0
2021/02/22,96.0
2021/02/23,57.0
2021/02/24,52.0
2021/02/25,64.0
2021/02/26,73.0
2021/02/27,39.0
2021/02/28,3.0
2021/03/01,52.0
2021/03/02,55.0
2021/03/03,49.0
2021/03/04,55.0
2021/03/05,67.0
2021/03/06,39.0
2021/03/07,7.0
2021/03/08,119.0
2021/03/09,71.0
2021/03/10,65.0
2021/03/11,76.0
2021/03/12,86.0
2021/03/13,52.0
2021/03/14,4.0
2021/03/15,107.0
2021/03/16,83.0
2021/03/17,83.0
2021/03/18,70.0
2021/03/19,93.0
2021/03/20,47.0
2021/03/21,6.0
2021/03/22,123.0
2021/03/23,94.0
2021/03/24,123.0
2021/03/25,127.0
2021/03/26,106.0
2021/03/27,78.0
2021/03/28,8.0
2021/03/29,190.0
2021/03/30,119.0
2021/03/31,127.0
2021/04/01,146.0
2021/04/02,135.0
2021/04/03,72.0
2021/04/04,13.0
2021/04/05,17.0
2021/04/06,192.0
2021/04/07,149.0
2021/04/08,125.0
2021/04/09,113.0
2021/04/10,84.0
2021/04/11,9.0
2021/04/12,206.0
2021/04/13,151.0
2021/04/14,139.0
2021/04/15,103.0
2021/04/16,98.0
2021/04/17,88.0
2021/04/18,11.0
2021/04/19,137.0
2021/04/20,106.0
2021/04/21,123.0
2021/04/22,131.0
2021/04/23,141.0
2021/04/24,73.0
2021/04/25,9.0
2021/04/26,139.0
2021/04/27,100.0
2021/04/28,93.0
2021/04/29,92.0
2021/04/30,100.0
2021/05/01,9.0
2021/05/02,4.0
2021/05/03,126.0
2021/05/04,86.0
2021/05/05,71.0
2021/05/06,58.0
2021/05/07,79.0
2021/05/08,13.0
2021/05/09,6.0
2021/05/10,126.0
2021/05/11,90.0
2021/05/12,95.0
2021/05/13,14.0
2021/05/14,98.0
2021/05/15,49.0
2021/05/16,7.0
2021/05/17,100.0
2021/05/18,89.0
2021/05/19,111.0
2021/05/20,85.0
2021/05/21,61.0
2021/05/22,43.0
2021/05/23,4.0
2021/05/24,14.0
2021/05/25,124.0
2021/05/26,71.0
2021/05/27,83.0
2021/05/28,56.0
2021/05/29,32.0
2021/05/30,2.0
2021/05/31,55.0
2021/06/01,44.0
