Datas,Alpes-Maritimes
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,20.0
2020/05/14,24.0
2020/05/15,20.0
2020/05/16,2.0
2020/05/17,2.0
2020/05/18,48.0
2020/05/19,12.0
2020/05/20,5.0
2020/05/21,2.0
2020/05/22,4.0
2020/05/23,3.0
2020/05/24,1.0
2020/05/25,13.0
2020/05/26,13.0
2020/05/27,12.0
2020/05/28,5.0
2020/05/29,3.0
2020/05/30,1.0
2020/05/31,0.0
2020/06/01,0.0
2020/06/02,12.0
2020/06/03,11.0
2020/06/04,9.0
2020/06/05,8.0
2020/06/06,3.0
2020/06/07,2.0
2020/06/08,4.0
2020/06/09,4.0
2020/06/10,8.0
2020/06/11,4.0
2020/06/12,2.0
2020/06/13,0.0
2020/06/14,1.0
2020/06/15,1.0
2020/06/16,1.0
2020/06/17,2.0
2020/06/18,0.0
2020/06/19,5.0
2020/06/20,0.0
2020/06/21,0.0
2020/06/22,2.0
2020/06/23,1.0
2020/06/24,3.0
2020/06/25,3.0
2020/06/26,4.0
2020/06/27,0.0
2020/06/28,0.0
2020/06/29,3.0
2020/06/30,4.0
2020/07/01,2.0
2020/07/02,2.0
2020/07/03,2.0
2020/07/04,2.0
2020/07/05,0.0
2020/07/06,3.0
2020/07/07,3.0
2020/07/08,1.0
2020/07/09,12.0
2020/07/10,3.0
2020/07/11,2.0
2020/07/12,0.0
2020/07/13,7.0
2020/07/14,3.0
2020/07/15,8.0
2020/07/16,5.0
2020/07/17,15.0
2020/07/18,5.0
2020/07/19,2.0
2020/07/20,16.0
2020/07/21,13.0
2020/07/22,13.0
2020/07/23,16.0
2020/07/24,49.0
2020/07/25,9.0
2020/07/26,8.0
2020/07/27,20.0
2020/07/28,16.0
2020/07/29,25.0
2020/07/30,47.0
2020/07/31,39.0
2020/08/01,45.0
2020/08/02,1.0
2020/08/03,50.0
2020/08/04,60.0
2020/08/05,65.0
2020/08/06,64.0
2020/08/07,80.0
2020/08/08,32.0
2020/08/09,3.0
2020/08/10,122.0
2020/08/11,100.0
2020/08/12,97.0
2020/08/13,128.0
2020/08/14,129.0
2020/08/15,15.0
2020/08/16,3.0
2020/08/17,204.0
2020/08/18,177.0
2020/08/19,276.0
2020/08/20,181.0
2020/08/21,237.0
2020/08/22,78.0
2020/08/23,11.0
2020/08/24,291.0
2020/08/25,278.0
2020/08/26,196.0
2020/08/27,300.0
2020/08/28,256.0
2020/08/29,75.0
2020/08/30,11.0
2020/08/31,298.0
2020/09/01,231.0
2020/09/02,252.0
2020/09/03,276.0
2020/09/04,281.0
2020/09/05,111.0
2020/09/06,32.0
2020/09/07,327.0
2020/09/08,312.0
2020/09/09,343.0
2020/09/10,282.0
2020/09/11,304.0
2020/09/12,96.0
2020/09/13,26.0
2020/09/14,354.0
2020/09/15,292.0
2020/09/16,280.0
2020/09/17,226.0
2020/09/18,232.0
2020/09/19,62.0
2020/09/20,7.0
2020/09/21,282.0
2020/09/22,140.0
2020/09/23,194.0
2020/09/24,143.0
2020/09/25,140.0
2020/09/26,55.0
2020/09/27,11.0
2020/09/28,175.0
2020/09/29,140.0
2020/09/30,156.0
2020/10/01,147.0
2020/10/02,134.0
2020/10/03,64.0
2020/10/04,14.0
2020/10/05,274.0
2020/10/06,197.0
2020/10/07,213.0
2020/10/08,253.0
2020/10/09,213.0
2020/10/10,95.0
2020/10/11,21.0
2020/10/12,408.0
2020/10/13,286.0
2020/10/14,338.0
2020/10/15,306.0
2020/10/16,371.0
2020/10/17,95.0
2020/10/18,13.0
2020/10/19,469.0
2020/10/20,376.0
2020/10/21,469.0
2020/10/22,535.0
2020/10/23,569.0
2020/10/24,161.0
2020/10/25,54.0
2020/10/26,731.0
2020/10/27,688.0
2020/10/28,620.0
2020/10/29,670.0
2020/10/30,719.0
2020/10/31,210.0
2020/11/01,75.0
2020/11/02,843.0
2020/11/03,806.0
2020/11/04,692.0
2020/11/05,655.0
2020/11/06,729.0
2020/11/07,191.0
2020/11/08,44.0
2020/11/09,715.0
2020/11/10,540.0
2020/11/11,40.0
2020/11/12,552.0
2020/11/13,426.0
2020/11/14,148.0
2020/11/15,23.0
2020/11/16,540.0
2020/11/17,371.0
2020/11/18,321.0
2020/11/19,246.0
2020/11/20,280.0
2020/11/21,142.0
2020/11/22,25.0
2020/11/23,319.0
2020/11/24,292.0
2020/11/25,247.0
2020/11/26,238.0
2020/11/27,262.0
2020/11/28,113.0
2020/11/29,31.0
2020/11/30,365.0
2020/12/01,268.0
2020/12/02,284.0
2020/12/03,258.0
2020/12/04,333.0
2020/12/05,130.0
2020/12/06,23.0
2020/12/07,364.0
2020/12/08,287.0
2020/12/09,340.0
2020/12/10,271.0
2020/12/11,276.0
2020/12/12,195.0
2020/12/13,38.0
2020/12/14,508.0
2020/12/15,480.0
2020/12/16,461.0
2020/12/17,469.0
2020/12/18,546.0
2020/12/19,350.0
2020/12/20,102.0
2020/12/21,808.0
2020/12/22,748.0
2020/12/23,655.0
2020/12/24,479.0
2020/12/25,31.0
2020/12/26,383.0
2020/12/27,103.0
2020/12/28,879.0
2020/12/29,769.0
2020/12/30,815.0
2020/12/31,527.0
2021/01/01,35.0
2021/01/02,423.0
2021/01/03,137.0
2021/01/04,1040.0
2021/01/05,852.0
2021/01/06,761.0
2021/01/07,736.0
2021/01/08,819.0
2021/01/09,374.0
2021/01/10,86.0
2021/01/11,1088.0
2021/01/12,732.0
2021/01/13,697.0
2021/01/14,694.0
2021/01/15,748.0
2021/01/16,349.0
2021/01/17,69.0
2021/01/18,1009.0
2021/01/19,840.0
2021/01/20,696.0
2021/01/21,703.0
2021/01/22,753.0
2021/01/23,407.0
2021/01/24,114.0
2021/01/25,1074.0
2021/01/26,742.0
2021/01/27,702.0
2021/01/28,709.0
2021/01/29,792.0
2021/01/30,448.0
2021/01/31,88.0
2021/02/01,1019.0
2021/02/02,734.0
2021/02/03,727.0
2021/02/04,761.0
2021/02/05,815.0
2021/02/06,443.0
2021/02/07,114.0
2021/02/08,1011.0
2021/02/09,868.0
2021/02/10,858.0
2021/02/11,795.0
2021/02/12,736.0
2021/02/13,443.0
2021/02/14,126.0
2021/02/15,1074.0
2021/02/16,864.0
2021/02/17,775.0
2021/02/18,893.0
2021/02/19,963.0
2021/02/20,527.0
2021/02/21,115.0
2021/02/22,1251.0
2021/02/23,830.0
2021/02/24,827.0
2021/02/25,733.0
2021/02/26,725.0
2021/02/27,384.0
2021/02/28,110.0
2021/03/01,1076.0
2021/03/02,758.0
2021/03/03,694.0
2021/03/04,609.0
2021/03/05,637.0
2021/03/06,453.0
2021/03/07,156.0
2021/03/08,930.0
2021/03/09,719.0
2021/03/10,688.0
2021/03/11,633.0
2021/03/12,724.0
2021/03/13,362.0
2021/03/14,85.0
2021/03/15,1014.0
2021/03/16,675.0
2021/03/17,593.0
2021/03/18,533.0
2021/03/19,651.0
2021/03/20,367.0
2021/03/21,119.0
2021/03/22,999.0
2021/03/23,700.0
2021/03/24,774.0
2021/03/25,751.0
2021/03/26,727.0
2021/03/27,453.0
2021/03/28,91.0
2021/03/29,1042.0
2021/03/30,764.0
2021/03/31,620.0
2021/04/01,615.0
2021/04/02,541.0
2021/04/03,325.0
2021/04/04,94.0
2021/04/05,123.0
2021/04/06,786.0
2021/04/07,517.0
2021/04/08,412.0
2021/04/09,430.0
2021/04/10,230.0
2021/04/11,64.0
2021/04/12,487.0
2021/04/13,298.0
2021/04/14,330.0
2021/04/15,295.0
2021/04/16,308.0
2021/04/17,153.0
2021/04/18,43.0
2021/04/19,378.0
2021/04/20,248.0
2021/04/21,245.0
2021/04/22,245.0
2021/04/23,260.0
2021/04/24,124.0
2021/04/25,30.0
2021/04/26,309.0
2021/04/27,221.0
2021/04/28,184.0
2021/04/29,150.0
2021/04/30,189.0
2021/05/01,20.0
2021/05/02,34.0
2021/05/03,256.0
2021/05/04,166.0
2021/05/05,152.0
2021/05/06,122.0
2021/05/07,114.0
2021/05/08,26.0
2021/05/09,20.0
2021/05/10,143.0
2021/05/11,122.0
2021/05/12,98.0
2021/05/13,17.0
2021/05/14,115.0
2021/05/15,46.0
2021/05/16,16.0
2021/05/17,116.0
2021/05/18,99.0
2021/05/19,85.0
2021/05/20,69.0
2021/05/21,67.0
2021/05/22,46.0
2021/05/23,12.0
2021/05/24,15.0
2021/05/25,88.0
2021/05/26,57.0
2021/05/27,45.0
2021/05/28,52.0
2021/05/29,27.0
2021/05/30,2.0
