Datas,Ardennes
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,6.0
2020/05/14,2.0
2020/05/15,6.0
2020/05/16,1.0
2020/05/17,0.0
2020/05/18,2.0
2020/05/19,3.0
2020/05/20,6.0
2020/05/21,0.0
2020/05/22,3.0
2020/05/23,1.0
2020/05/24,0.0
2020/05/25,3.0
2020/05/26,1.0
2020/05/27,1.0
2020/05/28,2.0
2020/05/29,0.0
2020/05/30,0.0
2020/05/31,0.0
2020/06/01,0.0
2020/06/02,1.0
2020/06/03,2.0
2020/06/04,3.0
2020/06/05,1.0
2020/06/06,0.0
2020/06/07,0.0
2020/06/08,1.0
2020/06/09,2.0
2020/06/10,2.0
2020/06/11,1.0
2020/06/12,2.0
2020/06/13,0.0
2020/06/14,0.0
2020/06/15,3.0
2020/06/16,1.0
2020/06/17,9.0
2020/06/18,6.0
2020/06/19,0.0
2020/06/20,1.0
2020/06/21,0.0
2020/06/22,2.0
2020/06/23,1.0
2020/06/24,0.0
2020/06/25,1.0
2020/06/26,3.0
2020/06/27,1.0
2020/06/28,0.0
2020/06/29,0.0
2020/06/30,1.0
2020/07/01,0.0
2020/07/02,0.0
2020/07/03,1.0
2020/07/04,3.0
2020/07/05,1.0
2020/07/06,0.0
2020/07/07,0.0
2020/07/08,0.0
2020/07/09,1.0
2020/07/10,0.0
2020/07/11,0.0
2020/07/12,0.0
2020/07/13,3.0
2020/07/14,0.0
2020/07/15,0.0
2020/07/16,0.0
2020/07/17,0.0
2020/07/18,0.0
2020/07/19,0.0
2020/07/20,1.0
2020/07/21,1.0
2020/07/22,1.0
2020/07/23,3.0
2020/07/24,0.0
2020/07/25,0.0
2020/07/26,0.0
2020/07/27,0.0
2020/07/28,1.0
2020/07/29,2.0
2020/07/30,1.0
2020/07/31,1.0
2020/08/01,0.0
2020/08/02,1.0
2020/08/03,0.0
2020/08/04,5.0
2020/08/05,0.0
2020/08/06,3.0
2020/08/07,0.0
2020/08/08,0.0
2020/08/09,0.0
2020/08/10,2.0
2020/08/11,2.0
2020/08/12,0.0
2020/08/13,3.0
2020/08/14,3.0
2020/08/15,3.0
2020/08/16,1.0
2020/08/17,4.0
2020/08/18,5.0
2020/08/19,1.0
2020/08/20,5.0
2020/08/21,2.0
2020/08/22,2.0
2020/08/23,0.0
2020/08/24,6.0
2020/08/25,6.0
2020/08/26,3.0
2020/08/27,5.0
2020/08/28,9.0
2020/08/29,3.0
2020/08/30,1.0
2020/08/31,12.0
2020/09/01,7.0
2020/09/02,9.0
2020/09/03,8.0
2020/09/04,18.0
2020/09/05,12.0
2020/09/06,3.0
2020/09/07,13.0
2020/09/08,13.0
2020/09/09,4.0
2020/09/10,15.0
2020/09/11,5.0
2020/09/12,16.0
2020/09/13,4.0
2020/09/14,23.0
2020/09/15,9.0
2020/09/16,19.0
2020/09/17,22.0
2020/09/18,15.0
2020/09/19,11.0
2020/09/20,6.0
2020/09/21,25.0
2020/09/22,18.0
2020/09/23,15.0
2020/09/24,20.0
2020/09/25,8.0
2020/09/26,3.0
2020/09/27,2.0
2020/09/28,15.0
2020/09/29,17.0
2020/09/30,18.0
2020/10/01,19.0
2020/10/02,32.0
2020/10/03,18.0
2020/10/04,3.0
2020/10/05,49.0
2020/10/06,39.0
2020/10/07,48.0
2020/10/08,56.0
2020/10/09,69.0
2020/10/10,22.0
2020/10/11,10.0
2020/10/12,92.0
2020/10/13,68.0
2020/10/14,80.0
2020/10/15,112.0
2020/10/16,110.0
2020/10/17,38.0
2020/10/18,13.0
2020/10/19,152.0
2020/10/20,149.0
2020/10/21,160.0
2020/10/22,161.0
2020/10/23,218.0
2020/10/24,95.0
2020/10/25,39.0
2020/10/26,235.0
2020/10/27,226.0
2020/10/28,241.0
2020/10/29,234.0
2020/10/30,272.0
2020/10/31,93.0
2020/11/01,31.0
2020/11/02,338.0
2020/11/03,255.0
2020/11/04,238.0
2020/11/05,173.0
2020/11/06,224.0
2020/11/07,68.0
2020/11/08,24.0
2020/11/09,238.0
2020/11/10,216.0
2020/11/11,33.0
2020/11/12,255.0
2020/11/13,157.0
2020/11/14,56.0
2020/11/15,25.0
2020/11/16,174.0
2020/11/17,136.0
2020/11/18,120.0
2020/11/19,131.0
2020/11/20,128.0
2020/11/21,36.0
2020/11/22,23.0
2020/11/23,134.0
2020/11/24,104.0
2020/11/25,70.0
2020/11/26,113.0
2020/11/27,124.0
2020/11/28,44.0
2020/11/29,11.0
2020/11/30,116.0
2020/12/01,98.0
2020/12/02,81.0
2020/12/03,98.0
2020/12/04,116.0
2020/12/05,79.0
2020/12/06,19.0
2020/12/07,172.0
2020/12/08,147.0
2020/12/09,161.0
2020/12/10,134.0
2020/12/11,174.0
2020/12/12,68.0
2020/12/13,18.0
2020/12/14,173.0
2020/12/15,138.0
2020/12/16,160.0
2020/12/17,148.0
2020/12/18,145.0
2020/12/19,94.0
2020/12/20,21.0
2020/12/21,177.0
2020/12/22,186.0
2020/12/23,188.0
2020/12/24,96.0
2020/12/25,6.0
2020/12/26,79.0
2020/12/27,16.0
2020/12/28,221.0
2020/12/29,139.0
2020/12/30,181.0
2020/12/31,100.0
2021/01/01,7.0
2021/01/02,84.0
2021/01/03,12.0
2021/01/04,210.0
2021/01/05,118.0
2021/01/06,103.0
2021/01/07,98.0
2021/01/08,111.0
2021/01/09,67.0
2021/01/10,34.0
2021/01/11,132.0
2021/01/12,92.0
2021/01/13,116.0
2021/01/14,84.0
2021/01/15,86.0
2021/01/16,57.0
2021/01/17,16.0
2021/01/18,132.0
2021/01/19,93.0
2021/01/20,84.0
2021/01/21,101.0
2021/01/22,104.0
2021/01/23,57.0
2021/01/24,6.0
2021/01/25,122.0
2021/01/26,65.0
2021/01/27,79.0
2021/01/28,68.0
2021/01/29,64.0
2021/01/30,32.0
2021/01/31,14.0
2021/02/01,103.0
2021/02/02,89.0
2021/02/03,74.0
2021/02/04,54.0
2021/02/05,91.0
2021/02/06,45.0
2021/02/07,3.0
2021/02/08,89.0
2021/02/09,57.0
2021/02/10,29.0
2021/02/11,34.0
2021/02/12,37.0
2021/02/13,27.0
2021/02/14,4.0
2021/02/15,56.0
2021/02/16,39.0
2021/02/17,50.0
2021/02/18,49.0
2021/02/19,64.0
2021/02/20,32.0
2021/02/21,5.0
2021/02/22,67.0
2021/02/23,46.0
2021/02/24,56.0
2021/02/25,53.0
2021/02/26,64.0
2021/02/27,32.0
2021/02/28,6.0
2021/03/01,49.0
2021/03/02,54.0
2021/03/03,50.0
2021/03/04,59.0
2021/03/05,70.0
2021/03/06,67.0
2021/03/07,8.0
2021/03/08,91.0
2021/03/09,84.0
2021/03/10,81.0
2021/03/11,77.0
2021/03/12,89.0
2021/03/13,68.0
2021/03/14,4.0
2021/03/15,135.0
2021/03/16,97.0
2021/03/17,111.0
2021/03/18,116.0
2021/03/19,145.0
2021/03/20,75.0
2021/03/21,13.0
2021/03/22,158.0
2021/03/23,139.0
2021/03/24,102.0
2021/03/25,115.0
2021/03/26,135.0
2021/03/27,84.0
2021/03/28,20.0
2021/03/29,168.0
2021/03/30,169.0
2021/03/31,170.0
2021/04/01,135.0
2021/04/02,133.0
2021/04/03,85.0
2021/04/04,15.0
2021/04/05,12.0
2021/04/06,187.0
2021/04/07,137.0
2021/04/08,134.0
2021/04/09,148.0
2021/04/10,92.0
2021/04/11,10.0
2021/04/12,164.0
2021/04/13,132.0
2021/04/14,151.0
2021/04/15,106.0
2021/04/16,127.0
2021/04/17,98.0
2021/04/18,22.0
2021/04/19,176.0
2021/04/20,145.0
2021/04/21,115.0
2021/04/22,101.0
2021/04/23,133.0
2021/04/24,70.0
2021/04/25,19.0
2021/04/26,158.0
2021/04/27,144.0
2021/04/28,97.0
2021/04/29,83.0
2021/04/30,119.0
2021/05/01,10.0
2021/05/02,10.0
2021/05/03,122.0
2021/05/04,89.0
2021/05/05,74.0
2021/05/06,50.0
2021/05/07,86.0
2021/05/08,8.0
2021/05/09,9.0
2021/05/10,85.0
2021/05/11,64.0
2021/05/12,83.0
2021/05/13,11.0
2021/05/14,73.0
2021/05/15,37.0
2021/05/16,7.0
2021/05/17,72.0
2021/05/18,48.0
2021/05/19,55.0
2021/05/20,42.0
2021/05/21,60.0
2021/05/22,19.0
2021/05/23,3.0
2021/05/24,4.0
2021/05/25,68.0
2021/05/26,56.0
2021/05/27,72.0
2021/05/28,45.0
2021/05/29,31.0
2021/05/30,9.0
2021/05/31,41.0
2021/06/01,28.0
