Datas,Ardèche
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,4.0
2020/05/14,4.0
2020/05/15,5.0
2020/05/16,0.0
2020/05/17,0.0
2020/05/18,2.0
2020/05/19,1.0
2020/05/20,1.0
2020/05/21,0.0
2020/05/22,1.0
2020/05/23,2.0
2020/05/24,0.0
2020/05/25,1.0
2020/05/26,2.0
2020/05/27,3.0
2020/05/28,2.0
2020/05/29,6.0
2020/05/30,4.0
2020/05/31,1.0
2020/06/01,0.0
2020/06/02,4.0
2020/06/03,1.0
2020/06/04,1.0
2020/06/05,3.0
2020/06/06,0.0
2020/06/07,3.0
2020/06/08,3.0
2020/06/09,3.0
2020/06/10,4.0
2020/06/11,9.0
2020/06/12,6.0
2020/06/13,0.0
2020/06/14,1.0
2020/06/15,8.0
2020/06/16,5.0
2020/06/17,4.0
2020/06/18,7.0
2020/06/19,3.0
2020/06/20,0.0
2020/06/21,0.0
2020/06/22,1.0
2020/06/23,0.0
2020/06/24,2.0
2020/06/25,1.0
2020/06/26,2.0
2020/06/27,1.0
2020/06/28,1.0
2020/06/29,0.0
2020/06/30,2.0
2020/07/01,1.0
2020/07/02,0.0
2020/07/03,2.0
2020/07/04,0.0
2020/07/05,0.0
2020/07/06,1.0
2020/07/07,2.0
2020/07/08,5.0
2020/07/09,1.0
2020/07/10,9.0
2020/07/11,3.0
2020/07/12,0.0
2020/07/13,3.0
2020/07/14,0.0
2020/07/15,2.0
2020/07/16,6.0
2020/07/17,2.0
2020/07/18,0.0
2020/07/19,0.0
2020/07/20,3.0
2020/07/21,2.0
2020/07/22,0.0
2020/07/23,6.0
2020/07/24,0.0
2020/07/25,0.0
2020/07/26,0.0
2020/07/27,3.0
2020/07/28,1.0
2020/07/29,2.0
2020/07/30,3.0
2020/07/31,5.0
2020/08/01,0.0
2020/08/02,0.0
2020/08/03,4.0
2020/08/04,0.0
2020/08/05,2.0
2020/08/06,1.0
2020/08/07,7.0
2020/08/08,2.0
2020/08/09,1.0
2020/08/10,7.0
2020/08/11,6.0
2020/08/12,5.0
2020/08/13,5.0
2020/08/14,8.0
2020/08/15,1.0
2020/08/16,0.0
2020/08/17,15.0
2020/08/18,3.0
2020/08/19,8.0
2020/08/20,9.0
2020/08/21,7.0
2020/08/22,5.0
2020/08/23,0.0
2020/08/24,13.0
2020/08/25,13.0
2020/08/26,9.0
2020/08/27,10.0
2020/08/28,21.0
2020/08/29,8.0
2020/08/30,2.0
2020/08/31,19.0
2020/09/01,17.0
2020/09/02,15.0
2020/09/03,23.0
2020/09/04,16.0
2020/09/05,6.0
2020/09/06,3.0
2020/09/07,17.0
2020/09/08,25.0
2020/09/09,19.0
2020/09/10,16.0
2020/09/11,17.0
2020/09/12,10.0
2020/09/13,2.0
2020/09/14,15.0
2020/09/15,20.0
2020/09/16,24.0
2020/09/17,24.0
2020/09/18,25.0
2020/09/19,9.0
2020/09/20,1.0
2020/09/21,24.0
2020/09/22,17.0
2020/09/23,9.0
2020/09/24,21.0
2020/09/25,22.0
2020/09/26,12.0
2020/09/27,3.0
2020/09/28,40.0
2020/09/29,21.0
2020/09/30,37.0
2020/10/01,31.0
2020/10/02,47.0
2020/10/03,15.0
2020/10/04,3.0
2020/10/05,78.0
2020/10/06,72.0
2020/10/07,89.0
2020/10/08,128.0
2020/10/09,116.0
2020/10/10,80.0
2020/10/11,24.0
2020/10/12,186.0
2020/10/13,188.0
2020/10/14,164.0
2020/10/15,197.0
2020/10/16,232.0
2020/10/17,82.0
2020/10/18,16.0
2020/10/19,355.0
2020/10/20,375.0
2020/10/21,416.0
2020/10/22,354.0
2020/10/23,439.0
2020/10/24,148.0
2020/10/25,39.0
2020/10/26,562.0
2020/10/27,452.0
2020/10/28,424.0
2020/10/29,391.0
2020/10/30,402.0
2020/10/31,153.0
2020/11/01,32.0
2020/11/02,492.0
2020/11/03,400.0
2020/11/04,326.0
2020/11/05,327.0
2020/11/06,288.0
2020/11/07,87.0
2020/11/08,32.0
2020/11/09,358.0
2020/11/10,250.0
2020/11/11,54.0
2020/11/12,278.0
2020/11/13,192.0
2020/11/14,90.0
2020/11/15,25.0
2020/11/16,193.0
2020/11/17,184.0
2020/11/18,90.0
2020/11/19,85.0
2020/11/20,116.0
2020/11/21,24.0
2020/11/22,10.0
2020/11/23,103.0
2020/11/24,102.0
2020/11/25,66.0
2020/11/26,67.0
2020/11/27,110.0
2020/11/28,28.0
2020/11/29,20.0
2020/11/30,129.0
2020/12/01,90.0
2020/12/02,59.0
2020/12/03,66.0
2020/12/04,72.0
2020/12/05,39.0
2020/12/06,3.0
2020/12/07,113.0
2020/12/08,63.0
2020/12/09,100.0
2020/12/10,93.0
2020/12/11,80.0
2020/12/12,28.0
2020/12/13,12.0
2020/12/14,145.0
2020/12/15,154.0
2020/12/16,93.0
2020/12/17,90.0
2020/12/18,157.0
2020/12/19,126.0
2020/12/20,80.0
2020/12/21,123.0
2020/12/22,117.0
2020/12/23,114.0
2020/12/24,85.0
2020/12/25,7.0
2020/12/26,49.0
2020/12/27,6.0
2020/12/28,113.0
2020/12/29,119.0
2020/12/30,95.0
2020/12/31,91.0
2021/01/01,7.0
2021/01/02,70.0
2021/01/03,11.0
2021/01/04,158.0
2021/01/05,107.0
2021/01/06,122.0
2021/01/07,102.0
2021/01/08,109.0
2021/01/09,52.0
2021/01/10,7.0
2021/01/11,146.0
2021/01/12,148.0
2021/01/13,146.0
2021/01/14,97.0
2021/01/15,119.0
2021/01/16,57.0
2021/01/17,22.0
2021/01/18,184.0
2021/01/19,138.0
2021/01/20,111.0
2021/01/21,137.0
2021/01/22,161.0
2021/01/23,99.0
2021/01/24,14.0
2021/01/25,164.0
2021/01/26,140.0
2021/01/27,163.0
2021/01/28,122.0
2021/01/29,126.0
2021/01/30,86.0
2021/01/31,19.0
2021/02/01,167.0
2021/02/02,137.0
2021/02/03,150.0
2021/02/04,146.0
2021/02/05,132.0
2021/02/06,68.0
2021/02/07,7.0
2021/02/08,164.0
2021/02/09,86.0
2021/02/10,100.0
2021/02/11,118.0
2021/02/12,75.0
2021/02/13,63.0
2021/02/14,6.0
2021/02/15,83.0
2021/02/16,93.0
2021/02/17,79.0
2021/02/18,80.0
2021/02/19,116.0
2021/02/20,52.0
2021/02/21,2.0
2021/02/22,124.0
2021/02/23,100.0
2021/02/24,109.0
2021/02/25,103.0
2021/02/26,82.0
2021/02/27,34.0
2021/02/28,5.0
2021/03/01,85.0
2021/03/02,71.0
2021/03/03,65.0
2021/03/04,54.0
2021/03/05,63.0
2021/03/06,46.0
2021/03/07,6.0
2021/03/08,98.0
2021/03/09,56.0
2021/03/10,63.0
2021/03/11,73.0
2021/03/12,79.0
2021/03/13,47.0
2021/03/14,2.0
2021/03/15,120.0
2021/03/16,58.0
2021/03/17,83.0
2021/03/18,127.0
2021/03/19,128.0
2021/03/20,36.0
2021/03/21,5.0
2021/03/22,107.0
2021/03/23,71.0
2021/03/24,107.0
2021/03/25,92.0
2021/03/26,101.0
2021/03/27,55.0
2021/03/28,7.0
2021/03/29,128.0
2021/03/30,113.0
2021/03/31,101.0
2021/04/01,113.0
2021/04/02,117.0
2021/04/03,61.0
2021/04/04,9.0
2021/04/05,19.0
2021/04/06,172.0
2021/04/07,155.0
2021/04/08,160.0
2021/04/09,157.0
2021/04/10,80.0
2021/04/11,6.0
2021/04/12,156.0
2021/04/13,113.0
2021/04/14,125.0
2021/04/15,104.0
2021/04/16,117.0
2021/04/17,78.0
2021/04/18,8.0
2021/04/19,150.0
2021/04/20,117.0
2021/04/21,111.0
2021/04/22,110.0
2021/04/23,104.0
2021/04/24,70.0
2021/04/25,7.0
2021/04/26,135.0
2021/04/27,96.0
2021/04/28,91.0
2021/04/29,65.0
2021/04/30,102.0
2021/05/01,9.0
2021/05/02,3.0
2021/05/03,103.0
2021/05/04,66.0
2021/05/05,60.0
2021/05/06,49.0
2021/05/07,51.0
2021/05/08,18.0
2021/05/09,7.0
2021/05/10,66.0
2021/05/11,47.0
2021/05/12,50.0
2021/05/13,8.0
2021/05/14,55.0
2021/05/15,22.0
2021/05/16,2.0
2021/05/17,48.0
2021/05/18,64.0
2021/05/19,40.0
2021/05/20,35.0
2021/05/21,38.0
2021/05/22,23.0
2021/05/23,2.0
2021/05/24,4.0
2021/05/25,47.0
2021/05/26,33.0
2021/05/27,28.0
2021/05/28,26.0
2021/05/29,20.0
2021/05/30,2.0
2021/05/31,34.0
2021/06/01,31.0
