Datas,Aube
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,3.0
2020/05/14,0.0
2020/05/15,5.0
2020/05/16,0.0
2020/05/17,0.0
2020/05/18,4.0
2020/05/19,3.0
2020/05/20,10.0
2020/05/21,0.0
2020/05/22,0.0
2020/05/23,1.0
2020/05/24,0.0
2020/05/25,4.0
2020/05/26,8.0
2020/05/27,1.0
2020/05/28,2.0
2020/05/29,5.0
2020/05/30,1.0
2020/05/31,0.0
2020/06/01,0.0
2020/06/02,1.0
2020/06/03,3.0
2020/06/04,1.0
2020/06/05,0.0
2020/06/06,0.0
2020/06/07,1.0
2020/06/08,0.0
2020/06/09,0.0
2020/06/10,1.0
2020/06/11,1.0
2020/06/12,0.0
2020/06/13,1.0
2020/06/14,0.0
2020/06/15,0.0
2020/06/16,2.0
2020/06/17,1.0
2020/06/18,1.0
2020/06/19,1.0
2020/06/20,0.0
2020/06/21,0.0
2020/06/22,0.0
2020/06/23,0.0
2020/06/24,1.0
2020/06/25,0.0
2020/06/26,0.0
2020/06/27,0.0
2020/06/28,0.0
2020/06/29,0.0
2020/06/30,1.0
2020/07/01,0.0
2020/07/02,0.0
2020/07/03,1.0
2020/07/04,0.0
2020/07/05,0.0
2020/07/06,1.0
2020/07/07,2.0
2020/07/08,0.0
2020/07/09,0.0
2020/07/10,3.0
2020/07/11,0.0
2020/07/12,0.0
2020/07/13,2.0
2020/07/14,0.0
2020/07/15,0.0
2020/07/16,3.0
2020/07/17,0.0
2020/07/18,3.0
2020/07/19,0.0
2020/07/20,3.0
2020/07/21,0.0
2020/07/22,1.0
2020/07/23,0.0
2020/07/24,0.0
2020/07/25,0.0
2020/07/26,0.0
2020/07/27,5.0
2020/07/28,3.0
2020/07/29,0.0
2020/07/30,1.0
2020/07/31,2.0
2020/08/01,2.0
2020/08/02,0.0
2020/08/03,4.0
2020/08/04,5.0
2020/08/05,3.0
2020/08/06,9.0
2020/08/07,3.0
2020/08/08,1.0
2020/08/09,0.0
2020/08/10,5.0
2020/08/11,5.0
2020/08/12,1.0
2020/08/13,9.0
2020/08/14,17.0
2020/08/15,1.0
2020/08/16,0.0
2020/08/17,28.0
2020/08/18,11.0
2020/08/19,16.0
2020/08/20,11.0
2020/08/21,11.0
2020/08/22,5.0
2020/08/23,0.0
2020/08/24,14.0
2020/08/25,12.0
2020/08/26,13.0
2020/08/27,9.0
2020/08/28,16.0
2020/08/29,11.0
2020/08/30,2.0
2020/08/31,17.0
2020/09/01,13.0
2020/09/02,11.0
2020/09/03,16.0
2020/09/04,18.0
2020/09/05,0.0
2020/09/06,0.0
2020/09/07,12.0
2020/09/08,26.0
2020/09/09,26.0
2020/09/10,28.0
2020/09/11,18.0
2020/09/12,10.0
2020/09/13,7.0
2020/09/14,19.0
2020/09/15,30.0
2020/09/16,18.0
2020/09/17,21.0
2020/09/18,21.0
2020/09/19,26.0
2020/09/20,5.0
2020/09/21,22.0
2020/09/22,26.0
2020/09/23,24.0
2020/09/24,32.0
2020/09/25,18.0
2020/09/26,18.0
2020/09/27,1.0
2020/09/28,29.0
2020/09/29,32.0
2020/09/30,24.0
2020/10/01,33.0
2020/10/02,46.0
2020/10/03,23.0
2020/10/04,10.0
2020/10/05,69.0
2020/10/06,53.0
2020/10/07,75.0
2020/10/08,82.0
2020/10/09,88.0
2020/10/10,55.0
2020/10/11,9.0
2020/10/12,78.0
2020/10/13,80.0
2020/10/14,94.0
2020/10/15,114.0
2020/10/16,125.0
2020/10/17,68.0
2020/10/18,27.0
2020/10/19,178.0
2020/10/20,184.0
2020/10/21,183.0
2020/10/22,172.0
2020/10/23,240.0
2020/10/24,131.0
2020/10/25,38.0
2020/10/26,273.0
2020/10/27,288.0
2020/10/28,237.0
2020/10/29,280.0
2020/10/30,218.0
2020/10/31,96.0
2020/11/01,32.0
2020/11/02,250.0
2020/11/03,250.0
2020/11/04,214.0
2020/11/05,187.0
2020/11/06,185.0
2020/11/07,83.0
2020/11/08,27.0
2020/11/09,151.0
2020/11/10,164.0
2020/11/11,23.0
2020/11/12,213.0
2020/11/13,131.0
2020/11/14,52.0
2020/11/15,25.0
2020/11/16,150.0
2020/11/17,134.0
2020/11/18,94.0
2020/11/19,116.0
2020/11/20,119.0
2020/11/21,54.0
2020/11/22,12.0
2020/11/23,93.0
2020/11/24,115.0
2020/11/25,59.0
2020/11/26,71.0
2020/11/27,67.0
2020/11/28,50.0
2020/11/29,7.0
2020/11/30,80.0
2020/12/01,70.0
2020/12/02,58.0
2020/12/03,58.0
2020/12/04,65.0
2020/12/05,35.0
2020/12/06,10.0
2020/12/07,90.0
2020/12/08,73.0
2020/12/09,77.0
2020/12/10,64.0
2020/12/11,54.0
2020/12/12,42.0
2020/12/13,10.0
2020/12/14,112.0
2020/12/15,81.0
2020/12/16,86.0
2020/12/17,98.0
2020/12/18,99.0
2020/12/19,50.0
2020/12/20,11.0
2020/12/21,94.0
2020/12/22,127.0
2020/12/23,131.0
2020/12/24,81.0
2020/12/25,2.0
2020/12/26,55.0
2020/12/27,12.0
2020/12/28,99.0
2020/12/29,87.0
2020/12/30,105.0
2020/12/31,100.0
2021/01/01,9.0
2021/01/02,95.0
2021/01/03,19.0
2021/01/04,121.0
2021/01/05,94.0
2021/01/06,96.0
2021/01/07,84.0
2021/01/08,94.0
2021/01/09,60.0
2021/01/10,11.0
2021/01/11,107.0
2021/01/12,65.0
2021/01/13,71.0
2021/01/14,98.0
2021/01/15,76.0
2021/01/16,35.0
2021/01/17,7.0
2021/01/18,118.0
2021/01/19,65.0
2021/01/20,76.0
2021/01/21,101.0
2021/01/22,86.0
2021/01/23,46.0
2021/01/24,10.0
2021/01/25,102.0
2021/01/26,102.0
2021/01/27,92.0
2021/01/28,112.0
2021/01/29,80.0
2021/01/30,60.0
2021/01/31,12.0
2021/02/01,103.0
2021/02/02,95.0
2021/02/03,110.0
2021/02/04,90.0
2021/02/05,137.0
2021/02/06,45.0
2021/02/07,13.0
2021/02/08,120.0
2021/02/09,82.0
2021/02/10,62.0
2021/02/11,59.0
2021/02/12,103.0
2021/02/13,58.0
2021/02/14,6.0
2021/02/15,109.0
2021/02/16,81.0
2021/02/17,77.0
2021/02/18,63.0
2021/02/19,71.0
2021/02/20,71.0
2021/02/21,5.0
2021/02/22,102.0
2021/02/23,92.0
2021/02/24,109.0
2021/02/25,149.0
2021/02/26,128.0
2021/02/27,92.0
2021/02/28,19.0
2021/03/01,126.0
2021/03/02,129.0
2021/03/03,138.0
2021/03/04,149.0
2021/03/05,154.0
2021/03/06,105.0
2021/03/07,25.0
2021/03/08,173.0
2021/03/09,149.0
2021/03/10,167.0
2021/03/11,173.0
2021/03/12,166.0
2021/03/13,111.0
2021/03/14,27.0
2021/03/15,240.0
2021/03/16,195.0
2021/03/17,167.0
2021/03/18,199.0
2021/03/19,216.0
2021/03/20,147.0
2021/03/21,33.0
2021/03/22,274.0
2021/03/23,219.0
2021/03/24,215.0
2021/03/25,212.0
2021/03/26,250.0
2021/03/27,159.0
2021/03/28,36.0
2021/03/29,321.0
2021/03/30,267.0
2021/03/31,220.0
2021/04/01,201.0
2021/04/02,219.0
2021/04/03,142.0
2021/04/04,11.0
2021/04/05,39.0
2021/04/06,228.0
2021/04/07,156.0
2021/04/08,136.0
2021/04/09,152.0
2021/04/10,112.0
2021/04/11,25.0
2021/04/12,193.0
2021/04/13,134.0
2021/04/14,133.0
2021/04/15,137.0
2021/04/16,130.0
2021/04/17,84.0
2021/04/18,19.0
2021/04/19,155.0
2021/04/20,148.0
2021/04/21,120.0
2021/04/22,95.0
2021/04/23,112.0
2021/04/24,110.0
2021/04/25,12.0
2021/04/26,138.0
2021/04/27,93.0
2021/04/28,91.0
2021/04/29,88.0
2021/04/30,81.0
2021/05/01,13.0
2021/05/02,15.0
2021/05/03,107.0
2021/05/04,56.0
2021/05/05,49.0
2021/05/06,54.0
2021/05/07,61.0
2021/05/08,18.0
2021/05/09,10.0
2021/05/10,70.0
2021/05/11,41.0
2021/05/12,40.0
2021/05/13,12.0
2021/05/14,68.0
2021/05/15,40.0
2021/05/16,4.0
2021/05/17,67.0
2021/05/18,43.0
2021/05/19,37.0
2021/05/20,51.0
2021/05/21,52.0
2021/05/22,19.0
2021/05/23,5.0
2021/05/24,6.0
2021/05/25,39.0
2021/05/26,24.0
2021/05/27,36.0
2021/05/28,29.0
2021/05/29,17.0
2021/05/30,8.0
2021/05/31,28.0
2021/06/01,15.0
