Datas,Aude
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,13.0
2020/05/14,34.0
2020/05/15,1.0
2020/05/16,0.0
2020/05/17,0.0
2020/05/18,9.0
2020/05/19,3.0
2020/05/20,7.0
2020/05/21,0.0
2020/05/22,4.0
2020/05/23,0.0
2020/05/24,1.0
2020/05/25,2.0
2020/05/26,0.0
2020/05/27,0.0
2020/05/28,0.0
2020/05/29,1.0
2020/05/30,0.0
2020/05/31,0.0
2020/06/01,0.0
2020/06/02,0.0
2020/06/03,0.0
2020/06/04,1.0
2020/06/05,0.0
2020/06/06,1.0
2020/06/07,0.0
2020/06/08,0.0
2020/06/09,0.0
2020/06/10,1.0
2020/06/11,1.0
2020/06/12,0.0
2020/06/13,0.0
2020/06/14,0.0
2020/06/15,1.0
2020/06/16,0.0
2020/06/17,1.0
2020/06/18,2.0
2020/06/19,2.0
2020/06/20,0.0
2020/06/21,0.0
2020/06/22,0.0
2020/06/23,0.0
2020/06/24,0.0
2020/06/25,0.0
2020/06/26,0.0
2020/06/27,0.0
2020/06/28,0.0
2020/06/29,1.0
2020/06/30,0.0
2020/07/01,1.0
2020/07/02,0.0
2020/07/03,0.0
2020/07/04,0.0
2020/07/05,0.0
2020/07/06,1.0
2020/07/07,0.0
2020/07/08,0.0
2020/07/09,0.0
2020/07/10,0.0
2020/07/11,0.0
2020/07/12,0.0
2020/07/13,0.0
2020/07/14,0.0
2020/07/15,0.0
2020/07/16,0.0
2020/07/17,1.0
2020/07/18,0.0
2020/07/19,0.0
2020/07/20,1.0
2020/07/21,1.0
2020/07/22,3.0
2020/07/23,1.0
2020/07/24,1.0
2020/07/25,0.0
2020/07/26,1.0
2020/07/27,2.0
2020/07/28,0.0
2020/07/29,0.0
2020/07/30,1.0
2020/07/31,0.0
2020/08/01,0.0
2020/08/02,0.0
2020/08/03,1.0
2020/08/04,5.0
2020/08/05,4.0
2020/08/06,2.0
2020/08/07,2.0
2020/08/08,0.0
2020/08/09,0.0
2020/08/10,8.0
2020/08/11,7.0
2020/08/12,13.0
2020/08/13,8.0
2020/08/14,7.0
2020/08/15,1.0
2020/08/16,0.0
2020/08/17,13.0
2020/08/18,12.0
2020/08/19,15.0
2020/08/20,8.0
2020/08/21,7.0
2020/08/22,6.0
2020/08/23,2.0
2020/08/24,23.0
2020/08/25,12.0
2020/08/26,19.0
2020/08/27,22.0
2020/08/28,18.0
2020/08/29,5.0
2020/08/30,2.0
2020/08/31,37.0
2020/09/01,32.0
2020/09/02,36.0
2020/09/03,28.0
2020/09/04,34.0
2020/09/05,15.0
2020/09/06,2.0
2020/09/07,35.0
2020/09/08,23.0
2020/09/09,38.0
2020/09/10,18.0
2020/09/11,27.0
2020/09/12,9.0
2020/09/13,1.0
2020/09/14,37.0
2020/09/15,35.0
2020/09/16,44.0
2020/09/17,36.0
2020/09/18,39.0
2020/09/19,18.0
2020/09/20,3.0
2020/09/21,57.0
2020/09/22,34.0
2020/09/23,36.0
2020/09/24,37.0
2020/09/25,59.0
2020/09/26,19.0
2020/09/27,3.0
2020/09/28,51.0
2020/09/29,39.0
2020/09/30,51.0
2020/10/01,61.0
2020/10/02,49.0
2020/10/03,21.0
2020/10/04,2.0
2020/10/05,66.0
2020/10/06,85.0
2020/10/07,65.0
2020/10/08,65.0
2020/10/09,69.0
2020/10/10,35.0
2020/10/11,3.0
2020/10/12,117.0
2020/10/13,88.0
2020/10/14,97.0
2020/10/15,68.0
2020/10/16,97.0
2020/10/17,48.0
2020/10/18,8.0
2020/10/19,181.0
2020/10/20,173.0
2020/10/21,146.0
2020/10/22,139.0
2020/10/23,218.0
2020/10/24,63.0
2020/10/25,8.0
2020/10/26,305.0
2020/10/27,204.0
2020/10/28,219.0
2020/10/29,197.0
2020/10/30,244.0
2020/10/31,43.0
2020/11/01,3.0
2020/11/02,314.0
2020/11/03,245.0
2020/11/04,209.0
2020/11/05,167.0
2020/11/06,220.0
2020/11/07,67.0
2020/11/08,16.0
2020/11/09,222.0
2020/11/10,159.0
2020/11/11,19.0
2020/11/12,136.0
2020/11/13,88.0
2020/11/14,32.0
2020/11/15,6.0
2020/11/16,95.0
2020/11/17,57.0
2020/11/18,60.0
2020/11/19,42.0
2020/11/20,48.0
2020/11/21,16.0
2020/11/22,0.0
2020/11/23,36.0
2020/11/24,27.0
2020/11/25,48.0
2020/11/26,26.0
2020/11/27,37.0
2020/11/28,8.0
2020/11/29,1.0
2020/11/30,54.0
2020/12/01,34.0
2020/12/02,40.0
2020/12/03,33.0
2020/12/04,53.0
2020/12/05,16.0
2020/12/06,1.0
2020/12/07,43.0
2020/12/08,42.0
2020/12/09,41.0
2020/12/10,30.0
2020/12/11,44.0
2020/12/12,21.0
2020/12/13,3.0
2020/12/14,52.0
2020/12/15,49.0
2020/12/16,34.0
2020/12/17,45.0
2020/12/18,73.0
2020/12/19,27.0
2020/12/20,4.0
2020/12/21,79.0
2020/12/22,103.0
2020/12/23,68.0
2020/12/24,58.0
2020/12/25,3.0
2020/12/26,38.0
2020/12/27,11.0
2020/12/28,92.0
2020/12/29,121.0
2020/12/30,155.0
2020/12/31,53.0
2021/01/01,6.0
2021/01/02,60.0
2021/01/03,4.0
2021/01/04,172.0
2021/01/05,124.0
2021/01/06,95.0
2021/01/07,88.0
2021/01/08,102.0
2021/01/09,50.0
2021/01/10,6.0
2021/01/11,143.0
2021/01/12,86.0
2021/01/13,159.0
2021/01/14,82.0
2021/01/15,87.0
2021/01/16,42.0
2021/01/17,7.0
2021/01/18,168.0
2021/01/19,131.0
2021/01/20,124.0
2021/01/21,95.0
2021/01/22,96.0
2021/01/23,55.0
2021/01/24,10.0
2021/01/25,178.0
2021/01/26,150.0
2021/01/27,134.0
2021/01/28,119.0
2021/01/29,104.0
2021/01/30,73.0
2021/01/31,10.0
2021/02/01,174.0
2021/02/02,119.0
2021/02/03,118.0
2021/02/04,118.0
2021/02/05,92.0
2021/02/06,66.0
2021/02/07,10.0
2021/02/08,114.0
2021/02/09,99.0
2021/02/10,112.0
2021/02/11,86.0
2021/02/12,89.0
2021/02/13,62.0
2021/02/14,12.0
2021/02/15,105.0
2021/02/16,54.0
2021/02/17,66.0
2021/02/18,62.0
2021/02/19,65.0
2021/02/20,37.0
2021/02/21,2.0
2021/02/22,82.0
2021/02/23,74.0
2021/02/24,68.0
2021/02/25,55.0
2021/02/26,63.0
2021/02/27,35.0
2021/02/28,7.0
2021/03/01,97.0
2021/03/02,61.0
2021/03/03,49.0
2021/03/04,48.0
2021/03/05,52.0
2021/03/06,32.0
2021/03/07,1.0
2021/03/08,71.0
2021/03/09,68.0
2021/03/10,70.0
2021/03/11,59.0
2021/03/12,60.0
2021/03/13,38.0
2021/03/14,6.0
2021/03/15,127.0
2021/03/16,94.0
2021/03/17,77.0
2021/03/18,70.0
2021/03/19,68.0
2021/03/20,55.0
2021/03/21,10.0
2021/03/22,153.0
2021/03/23,113.0
2021/03/24,111.0
2021/03/25,105.0
2021/03/26,129.0
2021/03/27,72.0
2021/03/28,9.0
2021/03/29,212.0
2021/03/30,161.0
2021/03/31,162.0
2021/04/01,153.0
2021/04/02,140.0
2021/04/03,93.0
2021/04/04,13.0
2021/04/05,18.0
2021/04/06,220.0
2021/04/07,162.0
2021/04/08,132.0
2021/04/09,152.0
2021/04/10,75.0
2021/04/11,5.0
2021/04/12,198.0
2021/04/13,125.0
2021/04/14,116.0
2021/04/15,116.0
2021/04/16,130.0
2021/04/17,65.0
2021/04/18,10.0
2021/04/19,207.0
2021/04/20,145.0
2021/04/21,140.0
2021/04/22,135.0
2021/04/23,142.0
2021/04/24,77.0
2021/04/25,6.0
2021/04/26,175.0
2021/04/27,114.0
2021/04/28,121.0
2021/04/29,78.0
2021/04/30,110.0
2021/05/01,8.0
2021/05/02,4.0
2021/05/03,135.0
2021/05/04,86.0
2021/05/05,68.0
2021/05/06,67.0
2021/05/07,91.0
2021/05/08,7.0
2021/05/09,9.0
2021/05/10,104.0
2021/05/11,50.0
2021/05/12,76.0
2021/05/13,2.0
2021/05/14,62.0
2021/05/15,34.0
2021/05/16,4.0
2021/05/17,58.0
2021/05/18,51.0
2021/05/19,48.0
2021/05/20,36.0
2021/05/21,41.0
2021/05/22,21.0
2021/05/23,1.0
2021/05/24,9.0
2021/05/25,83.0
2021/05/26,29.0
2021/05/27,33.0
2021/05/28,35.0
2021/05/29,26.0
2021/05/30,6.0
2021/05/31,60.0
2021/06/01,28.0
