Datas,Aveyron
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,2.0
2020/05/14,14.0
2020/05/15,11.0
2020/05/16,1.0
2020/05/17,0.0
2020/05/18,3.0
2020/05/19,2.0
2020/05/20,0.0
2020/05/21,0.0
2020/05/22,0.0
2020/05/23,0.0
2020/05/24,0.0
2020/05/25,2.0
2020/05/26,1.0
2020/05/27,0.0
2020/05/28,1.0
2020/05/29,0.0
2020/05/30,0.0
2020/05/31,0.0
2020/06/01,0.0
2020/06/02,0.0
2020/06/03,0.0
2020/06/04,0.0
2020/06/05,0.0
2020/06/06,0.0
2020/06/07,0.0
2020/06/08,0.0
2020/06/09,0.0
2020/06/10,0.0
2020/06/11,0.0
2020/06/12,0.0
2020/06/13,0.0
2020/06/14,0.0
2020/06/15,0.0
2020/06/16,1.0
2020/06/17,0.0
2020/06/18,0.0
2020/06/19,1.0
2020/06/20,0.0
2020/06/21,0.0
2020/06/22,2.0
2020/06/23,0.0
2020/06/24,1.0
2020/06/25,0.0
2020/06/26,2.0
2020/06/27,1.0
2020/06/28,1.0
2020/06/29,0.0
2020/06/30,0.0
2020/07/01,0.0
2020/07/02,0.0
2020/07/03,0.0
2020/07/04,0.0
2020/07/05,0.0
2020/07/06,1.0
2020/07/07,1.0
2020/07/08,0.0
2020/07/09,0.0
2020/07/10,0.0
2020/07/11,0.0
2020/07/12,0.0
2020/07/13,0.0
2020/07/14,0.0
2020/07/15,0.0
2020/07/16,0.0
2020/07/17,0.0
2020/07/18,0.0
2020/07/19,0.0
2020/07/20,0.0
2020/07/21,0.0
2020/07/22,1.0
2020/07/23,0.0
2020/07/24,2.0
2020/07/25,1.0
2020/07/26,1.0
2020/07/27,3.0
2020/07/28,1.0
2020/07/29,1.0
2020/07/30,3.0
2020/07/31,3.0
2020/08/01,1.0
2020/08/02,2.0
2020/08/03,2.0
2020/08/04,2.0
2020/08/05,3.0
2020/08/06,0.0
2020/08/07,1.0
2020/08/08,0.0
2020/08/09,0.0
2020/08/10,3.0
2020/08/11,0.0
2020/08/12,5.0
2020/08/13,8.0
2020/08/14,5.0
2020/08/15,1.0
2020/08/16,0.0
2020/08/17,6.0
2020/08/18,8.0
2020/08/19,4.0
2020/08/20,7.0
2020/08/21,7.0
2020/08/22,0.0
2020/08/23,1.0
2020/08/24,12.0
2020/08/25,6.0
2020/08/26,11.0
2020/08/27,15.0
2020/08/28,29.0
2020/08/29,4.0
2020/08/30,1.0
2020/08/31,16.0
2020/09/01,18.0
2020/09/02,12.0
2020/09/03,21.0
2020/09/04,20.0
2020/09/05,50.0
2020/09/06,1.0
2020/09/07,35.0
2020/09/08,27.0
2020/09/09,20.0
2020/09/10,52.0
2020/09/11,20.0
2020/09/12,15.0
2020/09/13,0.0
2020/09/14,47.0
2020/09/15,27.0
2020/09/16,39.0
2020/09/17,48.0
2020/09/18,37.0
2020/09/19,18.0
2020/09/20,1.0
2020/09/21,62.0
2020/09/22,31.0
2020/09/23,41.0
2020/09/24,36.0
2020/09/25,35.0
2020/09/26,17.0
2020/09/27,2.0
2020/09/28,47.0
2020/09/29,23.0
2020/09/30,32.0
2020/10/01,43.0
2020/10/02,26.0
2020/10/03,33.0
2020/10/04,2.0
2020/10/05,85.0
2020/10/06,55.0
2020/10/07,83.0
2020/10/08,90.0
2020/10/09,168.0
2020/10/10,32.0
2020/10/11,2.0
2020/10/12,217.0
2020/10/13,94.0
2020/10/14,144.0
2020/10/15,125.0
2020/10/16,151.0
2020/10/17,63.0
2020/10/18,6.0
2020/10/19,230.0
2020/10/20,189.0
2020/10/21,173.0
2020/10/22,219.0
2020/10/23,234.0
2020/10/24,71.0
2020/10/25,14.0
2020/10/26,276.0
2020/10/27,254.0
2020/10/28,218.0
2020/10/29,259.0
2020/10/30,307.0
2020/10/31,98.0
2020/11/01,8.0
2020/11/02,304.0
2020/11/03,192.0
2020/11/04,175.0
2020/11/05,200.0
2020/11/06,143.0
2020/11/07,74.0
2020/11/08,12.0
2020/11/09,176.0
2020/11/10,108.0
2020/11/11,8.0
2020/11/12,152.0
2020/11/13,90.0
2020/11/14,37.0
2020/11/15,5.0
2020/11/16,80.0
2020/11/17,57.0
2020/11/18,42.0
2020/11/19,67.0
2020/11/20,59.0
2020/11/21,20.0
2020/11/22,1.0
2020/11/23,48.0
2020/11/24,27.0
2020/11/25,44.0
2020/11/26,52.0
2020/11/27,72.0
2020/11/28,13.0
2020/11/29,4.0
2020/11/30,32.0
2020/12/01,32.0
2020/12/02,15.0
2020/12/03,28.0
2020/12/04,61.0
2020/12/05,11.0
2020/12/06,0.0
2020/12/07,26.0
2020/12/08,17.0
2020/12/09,18.0
2020/12/10,41.0
2020/12/11,32.0
2020/12/12,9.0
2020/12/13,0.0
2020/12/14,58.0
2020/12/15,17.0
2020/12/16,27.0
2020/12/17,78.0
2020/12/18,37.0
2020/12/19,16.0
2020/12/20,0.0
2020/12/21,61.0
2020/12/22,31.0
2020/12/23,59.0
2020/12/24,37.0
2020/12/25,3.0
2020/12/26,38.0
2020/12/27,7.0
2020/12/28,61.0
2020/12/29,28.0
2020/12/30,62.0
2020/12/31,56.0
2021/01/01,1.0
2021/01/02,24.0
2021/01/03,6.0
2021/01/04,59.0
2021/01/05,52.0
2021/01/06,65.0
2021/01/07,46.0
2021/01/08,33.0
2021/01/09,43.0
2021/01/10,12.0
2021/01/11,94.0
2021/01/12,56.0
2021/01/13,52.0
2021/01/14,67.0
2021/01/15,81.0
2021/01/16,35.0
2021/01/17,1.0
2021/01/18,114.0
2021/01/19,73.0
2021/01/20,61.0
2021/01/21,62.0
2021/01/22,61.0
2021/01/23,38.0
2021/01/24,10.0
2021/01/25,90.0
2021/01/26,51.0
2021/01/27,64.0
2021/01/28,48.0
2021/01/29,68.0
2021/01/30,45.0
2021/01/31,2.0
2021/02/01,103.0
2021/02/02,69.0
2021/02/03,79.0
2021/02/04,52.0
2021/02/05,71.0
2021/02/06,29.0
2021/02/07,2.0
2021/02/08,84.0
2021/02/09,57.0
2021/02/10,58.0
2021/02/11,37.0
2021/02/12,42.0
2021/02/13,36.0
2021/02/14,6.0
2021/02/15,56.0
2021/02/16,49.0
2021/02/17,57.0
2021/02/18,62.0
2021/02/19,47.0
2021/02/20,23.0
2021/02/21,3.0
2021/02/22,57.0
2021/02/23,25.0
2021/02/24,32.0
2021/02/25,34.0
2021/02/26,24.0
2021/02/27,26.0
2021/02/28,6.0
2021/03/01,55.0
2021/03/02,32.0
2021/03/03,45.0
2021/03/04,33.0
2021/03/05,46.0
2021/03/06,35.0
2021/03/07,5.0
2021/03/08,70.0
2021/03/09,48.0
2021/03/10,48.0
2021/03/11,43.0
2021/03/12,57.0
2021/03/13,45.0
2021/03/14,3.0
2021/03/15,112.0
2021/03/16,73.0
2021/03/17,67.0
2021/03/18,64.0
2021/03/19,137.0
2021/03/20,35.0
2021/03/21,4.0
2021/03/22,120.0
2021/03/23,111.0
2021/03/24,107.0
2021/03/25,114.0
2021/03/26,137.0
2021/03/27,77.0
2021/03/28,0.0
2021/03/29,161.0
2021/03/30,132.0
2021/03/31,136.0
2021/04/01,131.0
2021/04/02,130.0
2021/04/03,92.0
2021/04/04,9.0
2021/04/05,10.0
2021/04/06,196.0
2021/04/07,135.0
2021/04/08,124.0
2021/04/09,142.0
2021/04/10,75.0
2021/04/11,8.0
2021/04/12,148.0
2021/04/13,94.0
2021/04/14,83.0
2021/04/15,68.0
2021/04/16,76.0
2021/04/17,71.0
2021/04/18,8.0
2021/04/19,123.0
2021/04/20,75.0
2021/04/21,79.0
2021/04/22,58.0
2021/04/23,71.0
2021/04/24,40.0
2021/04/25,3.0
2021/04/26,85.0
2021/04/27,80.0
2021/04/28,81.0
2021/04/29,89.0
2021/04/30,59.0
2021/05/01,6.0
2021/05/02,11.0
2021/05/03,79.0
2021/05/04,68.0
2021/05/05,66.0
2021/05/06,57.0
2021/05/07,71.0
2021/05/08,4.0
2021/05/09,1.0
2021/05/10,70.0
2021/05/11,53.0
2021/05/12,45.0
2021/05/13,1.0
2021/05/14,52.0
2021/05/15,31.0
2021/05/16,6.0
2021/05/17,63.0
2021/05/18,41.0
2021/05/19,40.0
2021/05/20,34.0
2021/05/21,42.0
2021/05/22,21.0
2021/05/23,5.0
2021/05/24,11.0
2021/05/25,79.0
2021/05/26,30.0
2021/05/27,20.0
2021/05/28,28.0
2021/05/29,15.0
2021/05/30,1.0
2021/05/31,31.0
2021/06/01,21.0
