Datas,Bas-Rhin
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,30.0
2020/05/14,22.0
2020/05/15,26.0
2020/05/16,9.0
2020/05/17,0.0
2020/05/18,25.0
2020/05/19,31.0
2020/05/20,13.0
2020/05/21,2.0
2020/05/22,21.0
2020/05/23,4.0
2020/05/24,1.0
2020/05/25,27.0
2020/05/26,16.0
2020/05/27,11.0
2020/05/28,19.0
2020/05/29,16.0
2020/05/30,2.0
2020/05/31,0.0
2020/06/01,1.0
2020/06/02,12.0
2020/06/03,16.0
2020/06/04,12.0
2020/06/05,3.0
2020/06/06,4.0
2020/06/07,1.0
2020/06/08,14.0
2020/06/09,6.0
2020/06/10,13.0
2020/06/11,4.0
2020/06/12,3.0
2020/06/13,2.0
2020/06/14,0.0
2020/06/15,7.0
2020/06/16,3.0
2020/06/17,10.0
2020/06/18,3.0
2020/06/19,5.0
2020/06/20,2.0
2020/06/21,2.0
2020/06/22,4.0
2020/06/23,1.0
2020/06/24,3.0
2020/06/25,4.0
2020/06/26,4.0
2020/06/27,0.0
2020/06/28,1.0
2020/06/29,4.0
2020/06/30,8.0
2020/07/01,3.0
2020/07/02,5.0
2020/07/03,4.0
2020/07/04,0.0
2020/07/05,0.0
2020/07/06,6.0
2020/07/07,5.0
2020/07/08,3.0
2020/07/09,14.0
2020/07/10,7.0
2020/07/11,1.0
2020/07/12,1.0
2020/07/13,1.0
2020/07/14,1.0
2020/07/15,3.0
2020/07/16,7.0
2020/07/17,3.0
2020/07/18,6.0
2020/07/19,1.0
2020/07/20,15.0
2020/07/21,6.0
2020/07/22,3.0
2020/07/23,11.0
2020/07/24,13.0
2020/07/25,3.0
2020/07/26,1.0
2020/07/27,12.0
2020/07/28,11.0
2020/07/29,6.0
2020/07/30,19.0
2020/07/31,14.0
2020/08/01,13.0
2020/08/02,0.0
2020/08/03,32.0
2020/08/04,9.0
2020/08/05,13.0
2020/08/06,14.0
2020/08/07,11.0
2020/08/08,5.0
2020/08/09,0.0
2020/08/10,22.0
2020/08/11,24.0
2020/08/12,25.0
2020/08/13,25.0
2020/08/14,34.0
2020/08/15,11.0
2020/08/16,5.0
2020/08/17,61.0
2020/08/18,41.0
2020/08/19,51.0
2020/08/20,54.0
2020/08/21,73.0
2020/08/22,49.0
2020/08/23,12.0
2020/08/24,82.0
2020/08/25,79.0
2020/08/26,69.0
2020/08/27,83.0
2020/08/28,76.0
2020/08/29,47.0
2020/08/30,5.0
2020/08/31,131.0
2020/09/01,70.0
2020/09/02,64.0
2020/09/03,81.0
2020/09/04,77.0
2020/09/05,41.0
2020/09/06,5.0
2020/09/07,71.0
2020/09/08,89.0
2020/09/09,99.0
2020/09/10,96.0
2020/09/11,98.0
2020/09/12,98.0
2020/09/13,28.0
2020/09/14,149.0
2020/09/15,133.0
2020/09/16,91.0
2020/09/17,107.0
2020/09/18,122.0
2020/09/19,36.0
2020/09/20,9.0
2020/09/21,150.0
2020/09/22,98.0
2020/09/23,104.0
2020/09/24,98.0
2020/09/25,100.0
2020/09/26,47.0
2020/09/27,1.0
2020/09/28,73.0
2020/09/29,55.0
2020/09/30,76.0
2020/10/01,96.0
2020/10/02,97.0
2020/10/03,83.0
2020/10/04,6.0
2020/10/05,170.0
2020/10/06,201.0
2020/10/07,181.0
2020/10/08,185.0
2020/10/09,244.0
2020/10/10,114.0
2020/10/11,8.0
2020/10/12,355.0
2020/10/13,308.0
2020/10/14,358.0
2020/10/15,443.0
2020/10/16,454.0
2020/10/17,238.0
2020/10/18,22.0
2020/10/19,869.0
2020/10/20,720.0
2020/10/21,774.0
2020/10/22,989.0
2020/10/23,980.0
2020/10/24,639.0
2020/10/25,67.0
2020/10/26,1424.0
2020/10/27,1180.0
2020/10/28,1170.0
2020/10/29,1054.0
2020/10/30,1197.0
2020/10/31,636.0
2020/11/01,95.0
2020/11/02,1571.0
2020/11/03,1136.0
2020/11/04,1019.0
2020/11/05,926.0
2020/11/06,762.0
2020/11/07,339.0
2020/11/08,34.0
2020/11/09,840.0
2020/11/10,568.0
2020/11/11,30.0
2020/11/12,708.0
2020/11/13,469.0
2020/11/14,229.0
2020/11/15,28.0
2020/11/16,548.0
2020/11/17,387.0
2020/11/18,334.0
2020/11/19,296.0
2020/11/20,342.0
2020/11/21,162.0
2020/11/22,30.0
2020/11/23,314.0
2020/11/24,252.0
2020/11/25,203.0
2020/11/26,205.0
2020/11/27,188.0
2020/11/28,101.0
2020/11/29,18.0
2020/11/30,263.0
2020/12/01,230.0
2020/12/02,241.0
2020/12/03,226.0
2020/12/04,207.0
2020/12/05,126.0
2020/12/06,24.0
2020/12/07,291.0
2020/12/08,226.0
2020/12/09,201.0
2020/12/10,201.0
2020/12/11,251.0
2020/12/12,156.0
2020/12/13,25.0
2020/12/14,359.0
2020/12/15,278.0
2020/12/16,253.0
2020/12/17,353.0
2020/12/18,297.0
2020/12/19,253.0
2020/12/20,35.0
2020/12/21,426.0
2020/12/22,333.0
2020/12/23,377.0
2020/12/24,241.0
2020/12/25,30.0
2020/12/26,60.0
2020/12/27,42.0
2020/12/28,603.0
2020/12/29,432.0
2020/12/30,444.0
2020/12/31,299.0
2021/01/01,22.0
2021/01/02,347.0
2021/01/03,39.0
2021/01/04,530.0
2021/01/05,401.0
2021/01/06,259.0
2021/01/07,306.0
2021/01/08,368.0
2021/01/09,212.0
2021/01/10,52.0
2021/01/11,556.0
2021/01/12,354.0
2021/01/13,322.0
2021/01/14,348.0
2021/01/15,331.0
2021/01/16,250.0
2021/01/17,43.0
2021/01/18,493.0
2021/01/19,412.0
2021/01/20,409.0
2021/01/21,390.0
2021/01/22,434.0
2021/01/23,263.0
2021/01/24,36.0
2021/01/25,552.0
2021/01/26,397.0
2021/01/27,389.0
2021/01/28,428.0
2021/01/29,404.0
2021/01/30,235.0
2021/01/31,36.0
2021/02/01,572.0
2021/02/02,338.0
2021/02/03,297.0
2021/02/04,289.0
2021/02/05,326.0
2021/02/06,190.0
2021/02/07,27.0
2021/02/08,431.0
2021/02/09,297.0
2021/02/10,260.0
2021/02/11,238.0
2021/02/12,262.0
2021/02/13,171.0
2021/02/14,25.0
2021/02/15,395.0
2021/02/16,294.0
2021/02/17,282.0
2021/02/18,269.0
2021/02/19,290.0
2021/02/20,193.0
2021/02/21,26.0
2021/02/22,415.0
2021/02/23,282.0
2021/02/24,271.0
2021/02/25,248.0
2021/02/26,303.0
2021/02/27,175.0
2021/02/28,25.0
2021/03/01,421.0
2021/03/02,312.0
2021/03/03,304.0
2021/03/04,299.0
2021/03/05,304.0
2021/03/06,214.0
2021/03/07,25.0
2021/03/08,436.0
2021/03/09,305.0
2021/03/10,384.0
2021/03/11,337.0
2021/03/12,345.0
2021/03/13,245.0
2021/03/14,35.0
2021/03/15,549.0
2021/03/16,399.0
2021/03/17,423.0
2021/03/18,426.0
2021/03/19,403.0
2021/03/20,252.0
2021/03/21,50.0
2021/03/22,662.0
2021/03/23,476.0
2021/03/24,423.0
2021/03/25,429.0
2021/03/26,512.0
2021/03/27,339.0
2021/03/28,39.0
2021/03/29,713.0
2021/03/30,549.0
2021/03/31,514.0
2021/04/01,536.0
2021/04/02,41.0
2021/04/03,511.0
2021/04/04,50.0
2021/04/05,72.0
2021/04/06,919.0
2021/04/07,605.0
2021/04/08,575.0
2021/04/09,597.0
2021/04/10,424.0
2021/04/11,47.0
2021/04/12,758.0
2021/04/13,491.0
2021/04/14,491.0
2021/04/15,483.0
2021/04/16,454.0
2021/04/17,312.0
2021/04/18,59.0
2021/04/19,652.0
2021/04/20,480.0
2021/04/21,453.0
2021/04/22,480.0
2021/04/23,408.0
2021/04/24,285.0
2021/04/25,41.0
2021/04/26,616.0
2021/04/27,374.0
2021/04/28,360.0
2021/04/29,383.0
2021/04/30,372.0
2021/05/01,53.0
2021/05/02,57.0
2021/05/03,521.0
2021/05/04,326.0
2021/05/05,299.0
2021/05/06,276.0
2021/05/07,310.0
2021/05/08,35.0
2021/05/09,28.0
2021/05/10,422.0
2021/05/11,338.0
2021/05/12,268.0
2021/05/13,57.0
2021/05/14,356.0
2021/05/15,153.0
2021/05/16,45.0
2021/05/17,315.0
2021/05/18,274.0
2021/05/19,239.0
2021/05/20,209.0
2021/05/21,219.0
2021/05/22,124.0
2021/05/23,25.0
2021/05/24,45.0
2021/05/25,309.0
2021/05/26,245.0
2021/05/27,198.0
2021/05/28,192.0
2021/05/29,114.0
2021/05/30,25.0
2021/05/31,245.0
