Datas,Bouches-du-Rhône
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,63.0
2020/05/14,49.0
2020/05/15,48.0
2020/05/16,13.0
2020/05/17,3.0
2020/05/18,59.0
2020/05/19,32.0
2020/05/20,46.0
2020/05/21,8.0
2020/05/22,33.0
2020/05/23,8.0
2020/05/24,1.0
2020/05/25,23.0
2020/05/26,26.0
2020/05/27,22.0
2020/05/28,33.0
2020/05/29,12.0
2020/05/30,9.0
2020/05/31,21.0
2020/06/01,3.0
2020/06/02,24.0
2020/06/03,35.0
2020/06/04,65.0
2020/06/05,32.0
2020/06/06,17.0
2020/06/07,4.0
2020/06/08,32.0
2020/06/09,35.0
2020/06/10,27.0
2020/06/11,77.0
2020/06/12,24.0
2020/06/13,4.0
2020/06/14,3.0
2020/06/15,33.0
2020/06/16,21.0
2020/06/17,16.0
2020/06/18,19.0
2020/06/19,8.0
2020/06/20,1.0
2020/06/21,4.0
2020/06/22,6.0
2020/06/23,14.0
2020/06/24,11.0
2020/06/25,7.0
2020/06/26,12.0
2020/06/27,8.0
2020/06/28,1.0
2020/06/29,26.0
2020/06/30,11.0
2020/07/01,6.0
2020/07/02,15.0
2020/07/03,25.0
2020/07/04,9.0
2020/07/05,1.0
2020/07/06,23.0
2020/07/07,19.0
2020/07/08,49.0
2020/07/09,56.0
2020/07/10,24.0
2020/07/11,9.0
2020/07/12,4.0
2020/07/13,52.0
2020/07/14,3.0
2020/07/15,37.0
2020/07/16,23.0
2020/07/17,20.0
2020/07/18,15.0
2020/07/19,6.0
2020/07/20,39.0
2020/07/21,37.0
2020/07/22,48.0
2020/07/23,38.0
2020/07/24,43.0
2020/07/25,20.0
2020/07/26,6.0
2020/07/27,78.0
2020/07/28,66.0
2020/07/29,96.0
2020/07/30,117.0
2020/07/31,113.0
2020/08/01,41.0
2020/08/02,11.0
2020/08/03,187.0
2020/08/04,172.0
2020/08/05,177.0
2020/08/06,173.0
2020/08/07,199.0
2020/08/08,77.0
2020/08/09,14.0
2020/08/10,338.0
2020/08/11,248.0
2020/08/12,296.0
2020/08/13,359.0
2020/08/14,481.0
2020/08/15,55.0
2020/08/16,52.0
2020/08/17,660.0
2020/08/18,473.0
2020/08/19,609.0
2020/08/20,535.0
2020/08/21,557.0
2020/08/22,206.0
2020/08/23,84.0
2020/08/24,830.0
2020/08/25,741.0
2020/08/26,681.0
2020/08/27,686.0
2020/08/28,716.0
2020/08/29,338.0
2020/08/30,84.0
2020/08/31,931.0
2020/09/01,777.0
2020/09/02,770.0
2020/09/03,812.0
2020/09/04,863.0
2020/09/05,238.0
2020/09/06,101.0
2020/09/07,987.0
2020/09/08,865.0
2020/09/09,850.0
2020/09/10,834.0
2020/09/11,814.0
2020/09/12,370.0
2020/09/13,155.0
2020/09/14,990.0
2020/09/15,899.0
2020/09/16,831.0
2020/09/17,820.0
2020/09/18,780.0
2020/09/19,293.0
2020/09/20,88.0
2020/09/21,1013.0
2020/09/22,708.0
2020/09/23,732.0
2020/09/24,735.0
2020/09/25,682.0
2020/09/26,166.0
2020/09/27,65.0
2020/09/28,767.0
2020/09/29,687.0
2020/09/30,714.0
2020/10/01,744.0
2020/10/02,859.0
2020/10/03,199.0
2020/10/04,69.0
2020/10/05,1034.0
2020/10/06,871.0
2020/10/07,807.0
2020/10/08,831.0
2020/10/09,988.0
2020/10/10,265.0
2020/10/11,83.0
2020/10/12,1226.0
2020/10/13,1140.0
2020/10/14,1073.0
2020/10/15,1252.0
2020/10/16,1365.0
2020/10/17,394.0
2020/10/18,135.0
2020/10/19,2140.0
2020/10/20,2015.0
2020/10/21,1972.0
2020/10/22,2181.0
2020/10/23,2261.0
2020/10/24,677.0
2020/10/25,224.0
2020/10/26,2838.0
2020/10/27,2293.0
2020/10/28,2197.0
2020/10/29,2065.0
2020/10/30,2180.0
2020/10/31,624.0
2020/11/01,211.0
2020/11/02,2671.0
2020/11/03,2208.0
2020/11/04,1816.0
2020/11/05,1557.0
2020/11/06,1436.0
2020/11/07,381.0
2020/11/08,166.0
2020/11/09,1753.0
2020/11/10,1267.0
2020/11/11,194.0
2020/11/12,1217.0
2020/11/13,1075.0
2020/11/14,214.0
2020/11/15,83.0
2020/11/16,1134.0
2020/11/17,1040.0
2020/11/18,600.0
2020/11/19,623.0
2020/11/20,554.0
2020/11/21,190.0
2020/11/22,70.0
2020/11/23,640.0
2020/11/24,555.0
2020/11/25,500.0
2020/11/26,442.0
2020/11/27,526.0
2020/11/28,217.0
2020/11/29,53.0
2020/11/30,655.0
2020/12/01,466.0
2020/12/02,430.0
2020/12/03,389.0
2020/12/04,356.0
2020/12/05,294.0
2020/12/06,75.0
2020/12/07,629.0
2020/12/08,434.0
2020/12/09,428.0
2020/12/10,420.0
2020/12/11,529.0
2020/12/12,266.0
2020/12/13,98.0
2020/12/14,775.0
2020/12/15,571.0
2020/12/16,534.0
2020/12/17,556.0
2020/12/18,679.0
2020/12/19,339.0
2020/12/20,120.0
2020/12/21,872.0
2020/12/22,672.0
2020/12/23,640.0
2020/12/24,524.0
2020/12/25,59.0
2020/12/26,365.0
2020/12/27,87.0
2020/12/28,960.0
2020/12/29,804.0
2020/12/30,810.0
2020/12/31,679.0
2021/01/01,80.0
2021/01/02,537.0
2021/01/03,132.0
2021/01/04,1181.0
2021/01/05,929.0
2021/01/06,768.0
2021/01/07,773.0
2021/01/08,844.0
2021/01/09,371.0
2021/01/10,108.0
2021/01/11,1343.0
2021/01/12,977.0
2021/01/13,928.0
2021/01/14,936.0
2021/01/15,950.0
2021/01/16,524.0
2021/01/17,209.0
2021/01/18,1562.0
2021/01/19,1097.0
2021/01/20,1111.0
2021/01/21,1231.0
2021/01/22,1298.0
2021/01/23,617.0
2021/01/24,218.0
2021/01/25,1604.0
2021/01/26,1125.0
2021/01/27,1081.0
2021/01/28,1244.0
2021/01/29,1184.0
2021/01/30,559.0
2021/01/31,213.0
2021/02/01,1700.0
2021/02/02,1281.0
2021/02/03,1133.0
2021/02/04,1230.0
2021/02/05,1058.0
2021/02/06,555.0
2021/02/07,182.0
2021/02/08,1424.0
2021/02/09,1094.0
2021/02/10,924.0
2021/02/11,887.0
2021/02/12,904.0
2021/02/13,416.0
2021/02/14,136.0
2021/02/15,1255.0
2021/02/16,992.0
2021/02/17,844.0
2021/02/18,964.0
2021/02/19,963.0
2021/02/20,405.0
2021/02/21,154.0
2021/02/22,1276.0
2021/02/23,954.0
2021/02/24,765.0
2021/02/25,846.0
2021/02/26,880.0
2021/02/27,437.0
2021/02/28,133.0
2021/03/01,1117.0
2021/03/02,799.0
2021/03/03,754.0
2021/03/04,758.0
2021/03/05,874.0
2021/03/06,457.0
2021/03/07,150.0
2021/03/08,1276.0
2021/03/09,840.0
2021/03/10,844.0
2021/03/11,863.0
2021/03/12,964.0
2021/03/13,464.0
2021/03/14,145.0
2021/03/15,1281.0
2021/03/16,927.0
2021/03/17,930.0
2021/03/18,986.0
2021/03/19,1079.0
2021/03/20,568.0
2021/03/21,171.0
2021/03/22,1603.0
2021/03/23,1276.0
2021/03/24,1344.0
2021/03/25,1355.0
2021/03/26,1471.0
2021/03/27,873.0
2021/03/28,234.0
2021/03/29,2111.0
2021/03/30,1709.0
2021/03/31,1588.0
2021/04/01,1549.0
2021/04/02,1756.0
2021/04/03,894.0
2021/04/04,271.0
2021/04/05,461.0
2021/04/06,2132.0
2021/04/07,1473.0
2021/04/08,1326.0
2021/04/09,1561.0
2021/04/10,898.0
2021/04/11,287.0
2021/04/12,2019.0
2021/04/13,1379.0
2021/04/14,1293.0
2021/04/15,1322.0
2021/04/16,1458.0
2021/04/17,769.0
2021/04/18,283.0
2021/04/19,1965.0
2021/04/20,1321.0
2021/04/21,1308.0
2021/04/22,1237.0
2021/04/23,1228.0
2021/04/24,707.0
2021/04/25,239.0
2021/04/26,1495.0
2021/04/27,1118.0
2021/04/28,780.0
2021/04/29,688.0
2021/04/30,821.0
2021/05/01,115.0
2021/05/02,165.0
2021/05/03,1017.0
2021/05/04,696.0
2021/05/05,511.0
2021/05/06,513.0
2021/05/07,539.0
2021/05/08,126.0
2021/05/09,110.0
2021/05/10,634.0
2021/05/11,409.0
2021/05/12,433.0
2021/05/13,83.0
2021/05/14,457.0
2021/05/15,219.0
2021/05/16,81.0
2021/05/17,456.0
2021/05/18,402.0
2021/05/19,341.0
2021/05/20,322.0
2021/05/21,365.0
2021/05/22,199.0
2021/05/23,71.0
2021/05/24,133.0
