Datas,Calvados
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,3.0
2020/05/14,7.0
2020/05/15,3.0
2020/05/16,1.0
2020/05/17,5.0
2020/05/18,2.0
2020/05/19,3.0
2020/05/20,0.0
2020/05/21,0.0
2020/05/22,1.0
2020/05/23,3.0
2020/05/24,0.0
2020/05/25,1.0
2020/05/26,2.0
2020/05/27,1.0
2020/05/28,1.0
2020/05/29,3.0
2020/05/30,1.0
2020/05/31,1.0
2020/06/01,1.0
2020/06/02,1.0
2020/06/03,2.0
2020/06/04,0.0
2020/06/05,1.0
2020/06/06,0.0
2020/06/07,0.0
2020/06/08,1.0
2020/06/09,0.0
2020/06/10,2.0
2020/06/11,0.0
2020/06/12,0.0
2020/06/13,1.0
2020/06/14,0.0
2020/06/15,0.0
2020/06/16,2.0
2020/06/17,1.0
2020/06/18,1.0
2020/06/19,1.0
2020/06/20,2.0
2020/06/21,0.0
2020/06/22,1.0
2020/06/23,5.0
2020/06/24,1.0
2020/06/25,0.0
2020/06/26,0.0
2020/06/27,1.0
2020/06/28,0.0
2020/06/29,2.0
2020/06/30,1.0
2020/07/01,3.0
2020/07/02,2.0
2020/07/03,1.0
2020/07/04,2.0
2020/07/05,0.0
2020/07/06,2.0
2020/07/07,7.0
2020/07/08,3.0
2020/07/09,3.0
2020/07/10,3.0
2020/07/11,1.0
2020/07/12,0.0
2020/07/13,5.0
2020/07/14,2.0
2020/07/15,4.0
2020/07/16,12.0
2020/07/17,7.0
2020/07/18,3.0
2020/07/19,0.0
2020/07/20,11.0
2020/07/21,8.0
2020/07/22,6.0
2020/07/23,6.0
2020/07/24,1.0
2020/07/25,4.0
2020/07/26,1.0
2020/07/27,5.0
2020/07/28,5.0
2020/07/29,2.0
2020/07/30,4.0
2020/07/31,6.0
2020/08/01,3.0
2020/08/02,0.0
2020/08/03,2.0
2020/08/04,3.0
2020/08/05,6.0
2020/08/06,2.0
2020/08/07,5.0
2020/08/08,8.0
2020/08/09,5.0
2020/08/10,8.0
2020/08/11,8.0
2020/08/12,9.0
2020/08/13,7.0
2020/08/14,13.0
2020/08/15,9.0
2020/08/16,2.0
2020/08/17,13.0
2020/08/18,14.0
2020/08/19,12.0
2020/08/20,15.0
2020/08/21,15.0
2020/08/22,13.0
2020/08/23,4.0
2020/08/24,12.0
2020/08/25,15.0
2020/08/26,24.0
2020/08/27,27.0
2020/08/28,23.0
2020/08/29,28.0
2020/08/30,13.0
2020/08/31,21.0
2020/09/01,38.0
2020/09/02,24.0
2020/09/03,44.0
2020/09/04,38.0
2020/09/05,17.0
2020/09/06,41.0
2020/09/07,66.0
2020/09/08,60.0
2020/09/09,92.0
2020/09/10,90.0
2020/09/11,76.0
2020/09/12,57.0
2020/09/13,32.0
2020/09/14,104.0
2020/09/15,77.0
2020/09/16,80.0
2020/09/17,57.0
2020/09/18,74.0
2020/09/19,41.0
2020/09/20,11.0
2020/09/21,77.0
2020/09/22,90.0
2020/09/23,66.0
2020/09/24,79.0
2020/09/25,102.0
2020/09/26,34.0
2020/09/27,19.0
2020/09/28,89.0
2020/09/29,108.0
2020/09/30,80.0
2020/10/01,111.0
2020/10/02,151.0
2020/10/03,79.0
2020/10/04,25.0
2020/10/05,188.0
2020/10/06,143.0
2020/10/07,160.0
2020/10/08,201.0
2020/10/09,198.0
2020/10/10,88.0
2020/10/11,58.0
2020/10/12,239.0
2020/10/13,248.0
2020/10/14,233.0
2020/10/15,238.0
2020/10/16,254.0
2020/10/17,155.0
2020/10/18,56.0
2020/10/19,419.0
2020/10/20,303.0
2020/10/21,371.0
2020/10/22,386.0
2020/10/23,425.0
2020/10/24,208.0
2020/10/25,80.0
2020/10/26,495.0
2020/10/27,483.0
2020/10/28,471.0
2020/10/29,409.0
2020/10/30,439.0
2020/10/31,272.0
2020/11/01,95.0
2020/11/02,424.0
2020/11/03,415.0
2020/11/04,300.0
2020/11/05,283.0
2020/11/06,260.0
2020/11/07,145.0
2020/11/08,67.0
2020/11/09,276.0
2020/11/10,242.0
2020/11/11,60.0
2020/11/12,254.0
2020/11/13,209.0
2020/11/14,94.0
2020/11/15,36.0
2020/11/16,217.0
2020/11/17,162.0
2020/11/18,110.0
2020/11/19,95.0
2020/11/20,126.0
2020/11/21,61.0
2020/11/22,19.0
2020/11/23,109.0
2020/11/24,80.0
2020/11/25,80.0
2020/11/26,80.0
2020/11/27,89.0
2020/11/28,30.0
2020/11/29,7.0
2020/11/30,98.0
2020/12/01,67.0
2020/12/02,70.0
2020/12/03,73.0
2020/12/04,73.0
2020/12/05,50.0
2020/12/06,16.0
2020/12/07,139.0
2020/12/08,76.0
2020/12/09,76.0
2020/12/10,122.0
2020/12/11,72.0
2020/12/12,61.0
2020/12/13,30.0
2020/12/14,127.0
2020/12/15,79.0
2020/12/16,81.0
2020/12/17,102.0
2020/12/18,102.0
2020/12/19,75.0
2020/12/20,39.0
2020/12/21,144.0
2020/12/22,128.0
2020/12/23,141.0
2020/12/24,103.0
2020/12/25,12.0
2020/12/26,81.0
2020/12/27,37.0
2020/12/28,161.0
2020/12/29,168.0
2020/12/30,167.0
2020/12/31,124.0
2021/01/01,13.0
2021/01/02,108.0
2021/01/03,48.0
2021/01/04,203.0
2021/01/05,232.0
2021/01/06,181.0
2021/01/07,153.0
2021/01/08,141.0
2021/01/09,100.0
2021/01/10,36.0
2021/01/11,189.0
2021/01/12,160.0
2021/01/13,113.0
2021/01/14,119.0
2021/01/15,156.0
2021/01/16,75.0
2021/01/17,34.0
2021/01/18,168.0
2021/01/19,168.0
2021/01/20,119.0
2021/01/21,130.0
2021/01/22,161.0
2021/01/23,74.0
2021/01/24,35.0
2021/01/25,165.0
2021/01/26,129.0
2021/01/27,147.0
2021/01/28,107.0
2021/01/29,134.0
2021/01/30,104.0
2021/01/31,32.0
2021/02/01,142.0
2021/02/02,112.0
2021/02/03,115.0
2021/02/04,120.0
2021/02/05,119.0
2021/02/06,75.0
2021/02/07,19.0
2021/02/08,106.0
2021/02/09,121.0
2021/02/10,102.0
2021/02/11,110.0
2021/02/12,103.0
2021/02/13,93.0
2021/02/14,27.0
2021/02/15,173.0
2021/02/16,125.0
2021/02/17,131.0
2021/02/18,121.0
2021/02/19,145.0
2021/02/20,84.0
2021/02/21,10.0
2021/02/22,143.0
2021/02/23,140.0
2021/02/24,132.0
2021/02/25,142.0
2021/02/26,135.0
2021/02/27,88.0
2021/02/28,31.0
2021/03/01,141.0
2021/03/02,155.0
2021/03/03,130.0
2021/03/04,142.0
2021/03/05,212.0
2021/03/06,138.0
2021/03/07,29.0
2021/03/08,186.0
2021/03/09,160.0
2021/03/10,202.0
2021/03/11,154.0
2021/03/12,179.0
2021/03/13,128.0
2021/03/14,47.0
2021/03/15,257.0
2021/03/16,222.0
2021/03/17,271.0
2021/03/18,203.0
2021/03/19,227.0
2021/03/20,169.0
2021/03/21,41.0
2021/03/22,238.0
2021/03/23,217.0
2021/03/24,250.0
2021/03/25,231.0
2021/03/26,241.0
2021/03/27,188.0
2021/03/28,59.0
2021/03/29,307.0
2021/03/30,267.0
2021/03/31,285.0
2021/04/01,281.0
2021/04/02,253.0
2021/04/03,170.0
2021/04/04,42.0
2021/04/05,64.0
2021/04/06,311.0
2021/04/07,250.0
2021/04/08,244.0
2021/04/09,279.0
2021/04/10,174.0
2021/04/11,73.0
2021/04/12,279.0
2021/04/13,250.0
2021/04/14,203.0
2021/04/15,262.0
2021/04/16,269.0
2021/04/17,170.0
2021/04/18,56.0
2021/04/19,276.0
2021/04/20,277.0
2021/04/21,226.0
2021/04/22,258.0
2021/04/23,256.0
2021/04/24,142.0
2021/04/25,53.0
2021/04/26,261.0
2021/04/27,199.0
2021/04/28,202.0
2021/04/29,229.0
2021/04/30,240.0
2021/05/01,63.0
2021/05/02,44.0
2021/05/03,281.0
2021/05/04,212.0
2021/05/05,158.0
2021/05/06,163.0
2021/05/07,207.0
2021/05/08,65.0
2021/05/09,51.0
2021/05/10,189.0
2021/05/11,145.0
2021/05/12,196.0
2021/05/13,38.0
2021/05/14,163.0
2021/05/15,106.0
2021/05/16,39.0
2021/05/17,218.0
2021/05/18,152.0
2021/05/19,161.0
2021/05/20,141.0
2021/05/21,106.0
2021/05/22,82.0
2021/05/23,28.0
2021/05/24,33.0
2021/05/25,138.0
2021/05/26,89.0
2021/05/27,127.0
2021/05/28,117.0
2021/05/29,63.0
2021/05/30,34.0
2021/05/31,83.0
2021/06/01,51.0
