Datas,Charente-Maritime
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,1.0
2020/05/14,0.0
2020/05/15,1.0
2020/05/16,0.0
2020/05/17,0.0
2020/05/18,3.0
2020/05/19,1.0
2020/05/20,1.0
2020/05/21,0.0
2020/05/22,1.0
2020/05/23,0.0
2020/05/24,0.0
2020/05/25,2.0
2020/05/26,1.0
2020/05/27,1.0
2020/05/28,1.0
2020/05/29,0.0
2020/05/30,0.0
2020/05/31,0.0
2020/06/01,0.0
2020/06/02,0.0
2020/06/03,1.0
2020/06/04,0.0
2020/06/05,0.0
2020/06/06,0.0
2020/06/07,0.0
2020/06/08,2.0
2020/06/09,0.0
2020/06/10,0.0
2020/06/11,1.0
2020/06/12,1.0
2020/06/13,0.0
2020/06/14,0.0
2020/06/15,0.0
2020/06/16,0.0
2020/06/17,0.0
2020/06/18,0.0
2020/06/19,0.0
2020/06/20,0.0
2020/06/21,0.0
2020/06/22,0.0
2020/06/23,1.0
2020/06/24,1.0
2020/06/25,0.0
2020/06/26,0.0
2020/06/27,0.0
2020/06/28,0.0
2020/06/29,0.0
2020/06/30,1.0
2020/07/01,0.0
2020/07/02,0.0
2020/07/03,0.0
2020/07/04,0.0
2020/07/05,0.0
2020/07/06,0.0
2020/07/07,2.0
2020/07/08,1.0
2020/07/09,0.0
2020/07/10,1.0
2020/07/11,0.0
2020/07/12,0.0
2020/07/13,0.0
2020/07/14,0.0
2020/07/15,1.0
2020/07/16,0.0
2020/07/17,0.0
2020/07/18,1.0
2020/07/19,0.0
2020/07/20,0.0
2020/07/21,1.0
2020/07/22,0.0
2020/07/23,1.0
2020/07/24,1.0
2020/07/25,0.0
2020/07/26,2.0
2020/07/27,3.0
2020/07/28,0.0
2020/07/29,1.0
2020/07/30,0.0
2020/07/31,3.0
2020/08/01,3.0
2020/08/02,0.0
2020/08/03,9.0
2020/08/04,3.0
2020/08/05,4.0
2020/08/06,1.0
2020/08/07,5.0
2020/08/08,1.0
2020/08/09,0.0
2020/08/10,7.0
2020/08/11,4.0
2020/08/12,3.0
2020/08/13,6.0
2020/08/14,6.0
2020/08/15,3.0
2020/08/16,2.0
2020/08/17,12.0
2020/08/18,8.0
2020/08/19,12.0
2020/08/20,11.0
2020/08/21,10.0
2020/08/22,4.0
2020/08/23,8.0
2020/08/24,18.0
2020/08/25,10.0
2020/08/26,13.0
2020/08/27,6.0
2020/08/28,13.0
2020/08/29,6.0
2020/08/30,2.0
2020/08/31,13.0
2020/09/01,18.0
2020/09/02,8.0
2020/09/03,15.0
2020/09/04,15.0
2020/09/05,12.0
2020/09/06,7.0
2020/09/07,19.0
2020/09/08,13.0
2020/09/09,21.0
2020/09/10,20.0
2020/09/11,25.0
2020/09/12,8.0
2020/09/13,13.0
2020/09/14,35.0
2020/09/15,37.0
2020/09/16,32.0
2020/09/17,26.0
2020/09/18,40.0
2020/09/19,25.0
2020/09/20,5.0
2020/09/21,41.0
2020/09/22,39.0
2020/09/23,14.0
2020/09/24,31.0
2020/09/25,18.0
2020/09/26,10.0
2020/09/27,4.0
2020/09/28,22.0
2020/09/29,23.0
2020/09/30,23.0
2020/10/01,28.0
2020/10/02,30.0
2020/10/03,21.0
2020/10/04,4.0
2020/10/05,77.0
2020/10/06,52.0
2020/10/07,32.0
2020/10/08,38.0
2020/10/09,35.0
2020/10/10,31.0
2020/10/11,9.0
2020/10/12,59.0
2020/10/13,66.0
2020/10/14,63.0
2020/10/15,48.0
2020/10/16,49.0
2020/10/17,46.0
2020/10/18,18.0
2020/10/19,149.0
2020/10/20,93.0
2020/10/21,146.0
2020/10/22,131.0
2020/10/23,175.0
2020/10/24,88.0
2020/10/25,37.0
2020/10/26,226.0
2020/10/27,129.0
2020/10/28,168.0
2020/10/29,209.0
2020/10/30,218.0
2020/10/31,78.0
2020/11/01,19.0
2020/11/02,173.0
2020/11/03,124.0
2020/11/04,85.0
2020/11/05,167.0
2020/11/06,108.0
2020/11/07,59.0
2020/11/08,15.0
2020/11/09,202.0
2020/11/10,87.0
2020/11/11,18.0
2020/11/12,95.0
2020/11/13,58.0
2020/11/14,26.0
2020/11/15,16.0
2020/11/16,63.0
2020/11/17,64.0
2020/11/18,44.0
2020/11/19,62.0
2020/11/20,58.0
2020/11/21,20.0
2020/11/22,2.0
2020/11/23,68.0
2020/11/24,43.0
2020/11/25,33.0
2020/11/26,48.0
2020/11/27,33.0
2020/11/28,13.0
2020/11/29,10.0
2020/11/30,37.0
2020/12/01,19.0
2020/12/02,21.0
2020/12/03,24.0
2020/12/04,18.0
2020/12/05,16.0
2020/12/06,6.0
2020/12/07,40.0
2020/12/08,22.0
2020/12/09,19.0
2020/12/10,20.0
2020/12/11,27.0
2020/12/12,12.0
2020/12/13,3.0
2020/12/14,53.0
2020/12/15,35.0
2020/12/16,35.0
2020/12/17,34.0
2020/12/18,28.0
2020/12/19,17.0
2020/12/20,4.0
2020/12/21,69.0
2020/12/22,64.0
2020/12/23,87.0
2020/12/24,52.0
2020/12/25,2.0
2020/12/26,32.0
2020/12/27,2.0
2020/12/28,79.0
2020/12/29,65.0
2020/12/30,81.0
2020/12/31,85.0
2021/01/01,3.0
2021/01/02,67.0
2021/01/03,8.0
2021/01/04,134.0
2021/01/05,111.0
2021/01/06,65.0
2021/01/07,138.0
2021/01/08,86.0
2021/01/09,31.0
2021/01/10,16.0
2021/01/11,107.0
2021/01/12,114.0
2021/01/13,131.0
2021/01/14,122.0
2021/01/15,121.0
2021/01/16,65.0
2021/01/17,36.0
2021/01/18,133.0
2021/01/19,149.0
2021/01/20,122.0
2021/01/21,137.0
2021/01/22,170.0
2021/01/23,75.0
2021/01/24,24.0
2021/01/25,172.0
2021/01/26,145.0
2021/01/27,108.0
2021/01/28,161.0
2021/01/29,144.0
2021/01/30,129.0
2021/01/31,33.0
2021/02/01,200.0
2021/02/02,194.0
2021/02/03,124.0
2021/02/04,144.0
2021/02/05,135.0
2021/02/06,77.0
2021/02/07,18.0
2021/02/08,121.0
2021/02/09,85.0
2021/02/10,106.0
2021/02/11,101.0
2021/02/12,115.0
2021/02/13,34.0
2021/02/14,6.0
2021/02/15,68.0
2021/02/16,90.0
2021/02/17,74.0
2021/02/18,88.0
2021/02/19,84.0
2021/02/20,46.0
2021/02/21,9.0
2021/02/22,125.0
2021/02/23,103.0
2021/02/24,96.0
2021/02/25,78.0
2021/02/26,81.0
2021/02/27,37.0
2021/02/28,10.0
2021/03/01,97.0
2021/03/02,94.0
2021/03/03,80.0
2021/03/04,77.0
2021/03/05,66.0
2021/03/06,47.0
2021/03/07,14.0
2021/03/08,102.0
2021/03/09,118.0
2021/03/10,96.0
2021/03/11,105.0
2021/03/12,119.0
2021/03/13,66.0
2021/03/14,27.0
2021/03/15,188.0
2021/03/16,135.0
2021/03/17,139.0
2021/03/18,135.0
2021/03/19,128.0
2021/03/20,88.0
2021/03/21,17.0
2021/03/22,171.0
2021/03/23,137.0
2021/03/24,138.0
2021/03/25,132.0
2021/03/26,140.0
2021/03/27,87.0
2021/03/28,22.0
2021/03/29,214.0
2021/03/30,146.0
2021/03/31,155.0
2021/04/01,172.0
2021/04/02,224.0
2021/04/03,102.0
2021/04/04,43.0
2021/04/05,60.0
2021/04/06,234.0
2021/04/07,207.0
2021/04/08,236.0
2021/04/09,205.0
2021/04/10,125.0
2021/04/11,49.0
2021/04/12,202.0
2021/04/13,178.0
2021/04/14,155.0
2021/04/15,181.0
2021/04/16,158.0
2021/04/17,78.0
2021/04/18,27.0
2021/04/19,184.0
2021/04/20,156.0
2021/04/21,122.0
2021/04/22,112.0
2021/04/23,129.0
2021/04/24,75.0
2021/04/25,30.0
2021/04/26,129.0
2021/04/27,116.0
2021/04/28,112.0
2021/04/29,98.0
2021/04/30,96.0
2021/05/01,27.0
2021/05/02,22.0
2021/05/03,105.0
2021/05/04,109.0
2021/05/05,61.0
2021/05/06,45.0
2021/05/07,61.0
2021/05/08,18.0
2021/05/09,4.0
2021/05/10,50.0
2021/05/11,58.0
2021/05/12,61.0
2021/05/13,14.0
2021/05/14,63.0
2021/05/15,22.0
2021/05/16,6.0
2021/05/17,51.0
2021/05/18,54.0
2021/05/19,50.0
2021/05/20,43.0
2021/05/21,28.0
2021/05/22,21.0
2021/05/23,6.0
2021/05/24,18.0
2021/05/25,69.0
2021/05/26,54.0
2021/05/27,51.0
2021/05/28,65.0
2021/05/29,25.0
2021/05/30,10.0
2021/05/31,60.0
