Datas,Cher
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,2.0
2020/05/14,1.0
2020/05/15,5.0
2020/05/16,0.0
2020/05/17,0.0
2020/05/18,2.0
2020/05/19,2.0
2020/05/20,5.0
2020/05/21,0.0
2020/05/22,1.0
2020/05/23,1.0
2020/05/24,0.0
2020/05/25,1.0
2020/05/26,1.0
2020/05/27,1.0
2020/05/28,0.0
2020/05/29,1.0
2020/05/30,1.0
2020/05/31,0.0
2020/06/01,0.0
2020/06/02,0.0
2020/06/03,0.0
2020/06/04,0.0
2020/06/05,0.0
2020/06/06,0.0
2020/06/07,0.0
2020/06/08,0.0
2020/06/09,0.0
2020/06/10,1.0
2020/06/11,0.0
2020/06/12,1.0
2020/06/13,0.0
2020/06/14,0.0
2020/06/15,1.0
2020/06/16,0.0
2020/06/17,0.0
2020/06/18,0.0
2020/06/19,1.0
2020/06/20,1.0
2020/06/21,0.0
2020/06/22,2.0
2020/06/23,1.0
2020/06/24,1.0
2020/06/25,0.0
2020/06/26,6.0
2020/06/27,0.0
2020/06/28,0.0
2020/06/29,2.0
2020/06/30,1.0
2020/07/01,1.0
2020/07/02,1.0
2020/07/03,0.0
2020/07/04,1.0
2020/07/05,0.0
2020/07/06,2.0
2020/07/07,0.0
2020/07/08,0.0
2020/07/09,1.0
2020/07/10,1.0
2020/07/11,1.0
2020/07/12,0.0
2020/07/13,0.0
2020/07/14,1.0
2020/07/15,0.0
2020/07/16,0.0
2020/07/17,1.0
2020/07/18,0.0
2020/07/19,0.0
2020/07/20,0.0
2020/07/21,0.0
2020/07/22,3.0
2020/07/23,1.0
2020/07/24,0.0
2020/07/25,0.0
2020/07/26,0.0
2020/07/27,0.0
2020/07/28,0.0
2020/07/29,0.0
2020/07/30,1.0
2020/07/31,0.0
2020/08/01,0.0
2020/08/02,0.0
2020/08/03,1.0
2020/08/04,2.0
2020/08/05,3.0
2020/08/06,1.0
2020/08/07,3.0
2020/08/08,1.0
2020/08/09,0.0
2020/08/10,5.0
2020/08/11,0.0
2020/08/12,0.0
2020/08/13,5.0
2020/08/14,7.0
2020/08/15,0.0
2020/08/16,1.0
2020/08/17,2.0
2020/08/18,4.0
2020/08/19,2.0
2020/08/20,4.0
2020/08/21,11.0
2020/08/22,1.0
2020/08/23,0.0
2020/08/24,11.0
2020/08/25,11.0
2020/08/26,16.0
2020/08/27,4.0
2020/08/28,1.0
2020/08/29,4.0
2020/08/30,1.0
2020/08/31,8.0
2020/09/01,8.0
2020/09/02,6.0
2020/09/03,8.0
2020/09/04,13.0
2020/09/05,10.0
2020/09/06,8.0
2020/09/07,15.0
2020/09/08,5.0
2020/09/09,12.0
2020/09/10,23.0
2020/09/11,21.0
2020/09/12,6.0
2020/09/13,3.0
2020/09/14,58.0
2020/09/15,14.0
2020/09/16,9.0
2020/09/17,16.0
2020/09/18,28.0
2020/09/19,4.0
2020/09/20,2.0
2020/09/21,15.0
2020/09/22,26.0
2020/09/23,15.0
2020/09/24,17.0
2020/09/25,7.0
2020/09/26,3.0
2020/09/27,2.0
2020/09/28,14.0
2020/09/29,24.0
2020/09/30,22.0
2020/10/01,24.0
2020/10/02,19.0
2020/10/03,7.0
2020/10/04,3.0
2020/10/05,52.0
2020/10/06,46.0
2020/10/07,39.0
2020/10/08,59.0
2020/10/09,41.0
2020/10/10,33.0
2020/10/11,7.0
2020/10/12,68.0
2020/10/13,73.0
2020/10/14,76.0
2020/10/15,118.0
2020/10/16,97.0
2020/10/17,50.0
2020/10/18,16.0
2020/10/19,131.0
2020/10/20,160.0
2020/10/21,137.0
2020/10/22,187.0
2020/10/23,219.0
2020/10/24,124.0
2020/10/25,16.0
2020/10/26,228.0
2020/10/27,281.0
2020/10/28,244.0
2020/10/29,214.0
2020/10/30,203.0
2020/10/31,108.0
2020/11/01,21.0
2020/11/02,307.0
2020/11/03,229.0
2020/11/04,234.0
2020/11/05,235.0
2020/11/06,191.0
2020/11/07,72.0
2020/11/08,16.0
2020/11/09,179.0
2020/11/10,184.0
2020/11/11,25.0
2020/11/12,223.0
2020/11/13,134.0
2020/11/14,46.0
2020/11/15,11.0
2020/11/16,140.0
2020/11/17,123.0
2020/11/18,106.0
2020/11/19,51.0
2020/11/20,62.0
2020/11/21,23.0
2020/11/22,8.0
2020/11/23,74.0
2020/11/24,56.0
2020/11/25,51.0
2020/11/26,41.0
2020/11/27,45.0
2020/11/28,27.0
2020/11/29,10.0
2020/11/30,54.0
2020/12/01,48.0
2020/12/02,52.0
2020/12/03,57.0
2020/12/04,61.0
2020/12/05,33.0
2020/12/06,10.0
2020/12/07,109.0
2020/12/08,97.0
2020/12/09,95.0
2020/12/10,76.0
2020/12/11,118.0
2020/12/12,53.0
2020/12/13,21.0
2020/12/14,102.0
2020/12/15,136.0
2020/12/16,142.0
2020/12/17,87.0
2020/12/18,89.0
2020/12/19,58.0
2020/12/20,9.0
2020/12/21,118.0
2020/12/22,162.0
2020/12/23,94.0
2020/12/24,96.0
2020/12/25,10.0
2020/12/26,55.0
2020/12/27,10.0
2020/12/28,102.0
2020/12/29,126.0
2020/12/30,184.0
2020/12/31,104.0
2021/01/01,13.0
2021/01/02,76.0
2021/01/03,18.0
2021/01/04,193.0
2021/01/05,172.0
2021/01/06,134.0
2021/01/07,132.0
2021/01/08,117.0
2021/01/09,42.0
2021/01/10,10.0
2021/01/11,119.0
2021/01/12,106.0
2021/01/13,129.0
2021/01/14,104.0
2021/01/15,111.0
2021/01/16,43.0
2021/01/17,10.0
2021/01/18,140.0
2021/01/19,105.0
2021/01/20,128.0
2021/01/21,97.0
2021/01/22,77.0
2021/01/23,45.0
2021/01/24,16.0
2021/01/25,107.0
2021/01/26,76.0
2021/01/27,67.0
2021/01/28,118.0
2021/01/29,101.0
2021/01/30,35.0
2021/01/31,3.0
2021/02/01,86.0
2021/02/02,75.0
2021/02/03,82.0
2021/02/04,94.0
2021/02/05,88.0
2021/02/06,20.0
2021/02/07,6.0
2021/02/08,63.0
2021/02/09,49.0
2021/02/10,71.0
2021/02/11,49.0
2021/02/12,65.0
2021/02/13,36.0
2021/02/14,5.0
2021/02/15,81.0
2021/02/16,49.0
2021/02/17,73.0
2021/02/18,45.0
2021/02/19,63.0
2021/02/20,38.0
2021/02/21,6.0
2021/02/22,93.0
2021/02/23,54.0
2021/02/24,86.0
2021/02/25,61.0
2021/02/26,77.0
2021/02/27,28.0
2021/02/28,9.0
2021/03/01,86.0
2021/03/02,51.0
2021/03/03,57.0
2021/03/04,50.0
2021/03/05,115.0
2021/03/06,39.0
2021/03/07,5.0
2021/03/08,59.0
2021/03/09,71.0
2021/03/10,69.0
2021/03/11,53.0
2021/03/12,67.0
2021/03/13,37.0
2021/03/14,3.0
2021/03/15,93.0
2021/03/16,84.0
2021/03/17,113.0
2021/03/18,92.0
2021/03/19,87.0
2021/03/20,58.0
2021/03/21,6.0
2021/03/22,156.0
2021/03/23,143.0
2021/03/24,149.0
2021/03/25,176.0
2021/03/26,126.0
2021/03/27,65.0
2021/03/28,7.0
2021/03/29,150.0
2021/03/30,189.0
2021/03/31,176.0
2021/04/01,122.0
2021/04/02,153.0
2021/04/03,81.0
2021/04/04,15.0
2021/04/05,14.0
2021/04/06,158.0
2021/04/07,125.0
2021/04/08,120.0
2021/04/09,138.0
2021/04/10,64.0
2021/04/11,13.0
2021/04/12,157.0
2021/04/13,114.0
2021/04/14,112.0
2021/04/15,156.0
2021/04/16,132.0
2021/04/17,54.0
2021/04/18,11.0
2021/04/19,161.0
2021/04/20,117.0
2021/04/21,103.0
2021/04/22,113.0
2021/04/23,102.0
2021/04/24,56.0
2021/04/25,5.0
2021/04/26,136.0
2021/04/27,100.0
2021/04/28,69.0
2021/04/29,79.0
2021/04/30,91.0
2021/05/01,7.0
2021/05/02,11.0
2021/05/03,98.0
2021/05/04,61.0
2021/05/05,64.0
2021/05/06,44.0
2021/05/07,63.0
2021/05/08,1.0
2021/05/09,7.0
2021/05/10,73.0
2021/05/11,46.0
2021/05/12,58.0
2021/05/13,7.0
2021/05/14,45.0
2021/05/15,26.0
2021/05/16,4.0
2021/05/17,57.0
2021/05/18,30.0
2021/05/19,33.0
2021/05/20,32.0
2021/05/21,37.0
2021/05/22,14.0
2021/05/23,8.0
2021/05/24,4.0
2021/05/25,51.0
2021/05/26,37.0
2021/05/27,39.0
2021/05/28,43.0
2021/05/29,18.0
2021/05/30,2.0
2021/05/31,49.0
2021/06/01,31.0
