Datas,Côte-d'Or
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,4.0
2020/05/14,7.0
2020/05/15,7.0
2020/05/16,4.0
2020/05/17,0.0
2020/05/18,10.0
2020/05/19,13.0
2020/05/20,5.0
2020/05/21,0.0
2020/05/22,13.0
2020/05/23,0.0
2020/05/24,1.0
2020/05/25,4.0
2020/05/26,3.0
2020/05/27,5.0
2020/05/28,3.0
2020/05/29,2.0
2020/05/30,2.0
2020/05/31,0.0
2020/06/01,0.0
2020/06/02,1.0
2020/06/03,0.0
2020/06/04,1.0
2020/06/05,0.0
2020/06/06,1.0
2020/06/07,0.0
2020/06/08,3.0
2020/06/09,2.0
2020/06/10,0.0
2020/06/11,2.0
2020/06/12,5.0
2020/06/13,0.0
2020/06/14,0.0
2020/06/15,5.0
2020/06/16,3.0
2020/06/17,1.0
2020/06/18,5.0
2020/06/19,1.0
2020/06/20,0.0
2020/06/21,0.0
2020/06/22,2.0
2020/06/23,4.0
2020/06/24,3.0
2020/06/25,0.0
2020/06/26,2.0
2020/06/27,0.0
2020/06/28,0.0
2020/06/29,1.0
2020/06/30,4.0
2020/07/01,2.0
2020/07/02,0.0
2020/07/03,1.0
2020/07/04,0.0
2020/07/05,0.0
2020/07/06,1.0
2020/07/07,3.0
2020/07/08,3.0
2020/07/09,7.0
2020/07/10,1.0
2020/07/11,3.0
2020/07/12,0.0
2020/07/13,1.0
2020/07/14,1.0
2020/07/15,3.0
2020/07/16,2.0
2020/07/17,5.0
2020/07/18,1.0
2020/07/19,1.0
2020/07/20,4.0
2020/07/21,0.0
2020/07/22,3.0
2020/07/23,7.0
2020/07/24,3.0
2020/07/25,3.0
2020/07/26,0.0
2020/07/27,8.0
2020/07/28,4.0
2020/07/29,3.0
2020/07/30,2.0
2020/07/31,6.0
2020/08/01,1.0
2020/08/02,2.0
2020/08/03,9.0
2020/08/04,5.0
2020/08/05,12.0
2020/08/06,7.0
2020/08/07,3.0
2020/08/08,2.0
2020/08/09,2.0
2020/08/10,4.0
2020/08/11,5.0
2020/08/12,15.0
2020/08/13,7.0
2020/08/14,13.0
2020/08/15,10.0
2020/08/16,4.0
2020/08/17,30.0
2020/08/18,19.0
2020/08/19,30.0
2020/08/20,34.0
2020/08/21,58.0
2020/08/22,38.0
2020/08/23,17.0
2020/08/24,61.0
2020/08/25,44.0
2020/08/26,62.0
2020/08/27,72.0
2020/08/28,70.0
2020/08/29,29.0
2020/08/30,18.0
2020/08/31,46.0
2020/09/01,67.0
2020/09/02,65.0
2020/09/03,78.0
2020/09/04,65.0
2020/09/05,32.0
2020/09/06,26.0
2020/09/07,114.0
2020/09/08,121.0
2020/09/09,74.0
2020/09/10,114.0
2020/09/11,83.0
2020/09/12,50.0
2020/09/13,36.0
2020/09/14,76.0
2020/09/15,83.0
2020/09/16,78.0
2020/09/17,86.0
2020/09/18,107.0
2020/09/19,57.0
2020/09/20,59.0
2020/09/21,91.0
2020/09/22,96.0
2020/09/23,114.0
2020/09/24,109.0
2020/09/25,85.0
2020/09/26,66.0
2020/09/27,27.0
2020/09/28,92.0
2020/09/29,81.0
2020/09/30,120.0
2020/10/01,86.0
2020/10/02,95.0
2020/10/03,44.0
2020/10/04,20.0
2020/10/05,128.0
2020/10/06,82.0
2020/10/07,152.0
2020/10/08,115.0
2020/10/09,148.0
2020/10/10,97.0
2020/10/11,26.0
2020/10/12,173.0
2020/10/13,164.0
2020/10/14,181.0
2020/10/15,200.0
2020/10/16,214.0
2020/10/17,149.0
2020/10/18,53.0
2020/10/19,262.0
2020/10/20,271.0
2020/10/21,356.0
2020/10/22,348.0
2020/10/23,436.0
2020/10/24,231.0
2020/10/25,128.0
2020/10/26,572.0
2020/10/27,522.0
2020/10/28,414.0
2020/10/29,416.0
2020/10/30,471.0
2020/10/31,297.0
2020/11/01,99.0
2020/11/02,691.0
2020/11/03,575.0
2020/11/04,509.0
2020/11/05,451.0
2020/11/06,463.0
2020/11/07,197.0
2020/11/08,87.0
2020/11/09,418.0
2020/11/10,366.0
2020/11/11,87.0
2020/11/12,324.0
2020/11/13,285.0
2020/11/14,128.0
2020/11/15,41.0
2020/11/16,245.0
2020/11/17,178.0
2020/11/18,161.0
2020/11/19,161.0
2020/11/20,156.0
2020/11/21,69.0
2020/11/22,23.0
2020/11/23,146.0
2020/11/24,115.0
2020/11/25,112.0
2020/11/26,153.0
2020/11/27,122.0
2020/11/28,61.0
2020/11/29,22.0
2020/11/30,180.0
2020/12/01,151.0
2020/12/02,138.0
2020/12/03,110.0
2020/12/04,112.0
2020/12/05,56.0
2020/12/06,21.0
2020/12/07,160.0
2020/12/08,188.0
2020/12/09,139.0
2020/12/10,143.0
2020/12/11,155.0
2020/12/12,106.0
2020/12/13,26.0
2020/12/14,250.0
2020/12/15,244.0
2020/12/16,186.0
2020/12/17,165.0
2020/12/18,186.0
2020/12/19,114.0
2020/12/20,50.0
2020/12/21,240.0
2020/12/22,226.0
2020/12/23,201.0
2020/12/24,161.0
2020/12/25,15.0
2020/12/26,101.0
2020/12/27,35.0
2020/12/28,237.0
2020/12/29,264.0
2020/12/30,189.0
2020/12/31,192.0
2021/01/01,30.0
2021/01/02,185.0
2021/01/03,57.0
2021/01/04,293.0
2021/01/05,262.0
2021/01/06,206.0
2021/01/07,176.0
2021/01/08,223.0
2021/01/09,138.0
2021/01/10,29.0
2021/01/11,251.0
2021/01/12,196.0
2021/01/13,155.0
2021/01/14,169.0
2021/01/15,177.0
2021/01/16,107.0
2021/01/17,26.0
2021/01/18,207.0
2021/01/19,217.0
2021/01/20,165.0
2021/01/21,164.0
2021/01/22,188.0
2021/01/23,106.0
2021/01/24,24.0
2021/01/25,249.0
2021/01/26,160.0
2021/01/27,143.0
2021/01/28,153.0
2021/01/29,185.0
2021/01/30,104.0
2021/01/31,40.0
2021/02/01,204.0
2021/02/02,176.0
2021/02/03,136.0
2021/02/04,140.0
2021/02/05,151.0
2021/02/06,79.0
2021/02/07,19.0
2021/02/08,239.0
2021/02/09,134.0
2021/02/10,171.0
2021/02/11,108.0
2021/02/12,122.0
2021/02/13,50.0
2021/02/14,21.0
2021/02/15,124.0
2021/02/16,101.0
2021/02/17,77.0
2021/02/18,95.0
2021/02/19,121.0
2021/02/20,75.0
2021/02/21,17.0
2021/02/22,140.0
2021/02/23,117.0
2021/02/24,86.0
2021/02/25,138.0
2021/02/26,102.0
2021/02/27,45.0
2021/02/28,13.0
2021/03/01,121.0
2021/03/02,72.0
2021/03/03,87.0
2021/03/04,75.0
2021/03/05,93.0
2021/03/06,48.0
2021/03/07,21.0
2021/03/08,148.0
2021/03/09,92.0
2021/03/10,103.0
2021/03/11,115.0
2021/03/12,97.0
2021/03/13,82.0
2021/03/14,26.0
2021/03/15,134.0
2021/03/16,111.0
2021/03/17,91.0
2021/03/18,116.0
2021/03/19,125.0
2021/03/20,73.0
2021/03/21,20.0
2021/03/22,183.0
2021/03/23,178.0
2021/03/24,156.0
2021/03/25,192.0
2021/03/26,232.0
2021/03/27,140.0
2021/03/28,28.0
2021/03/29,289.0
2021/03/30,231.0
2021/03/31,176.0
2021/04/01,218.0
2021/04/02,213.0
2021/04/03,125.0
2021/04/04,35.0
2021/04/05,48.0
2021/04/06,349.0
2021/04/07,200.0
2021/04/08,217.0
2021/04/09,211.0
2021/04/10,131.0
2021/04/11,39.0
2021/04/12,272.0
2021/04/13,195.0
2021/04/14,181.0
2021/04/15,192.0
2021/04/16,169.0
2021/04/17,106.0
2021/04/18,33.0
2021/04/19,260.0
2021/04/20,255.0
2021/04/21,211.0
2021/04/22,207.0
2021/04/23,191.0
2021/04/24,136.0
2021/04/25,31.0
2021/04/26,197.0
2021/04/27,183.0
2021/04/28,171.0
2021/04/29,153.0
2021/04/30,156.0
2021/05/01,22.0
2021/05/02,20.0
2021/05/03,196.0
2021/05/04,122.0
2021/05/05,124.0
2021/05/06,148.0
2021/05/07,151.0
2021/05/08,30.0
2021/05/09,22.0
2021/05/10,195.0
2021/05/11,145.0
2021/05/12,137.0
2021/05/13,22.0
2021/05/14,152.0
2021/05/15,101.0
2021/05/16,12.0
2021/05/17,168.0
2021/05/18,166.0
2021/05/19,140.0
2021/05/20,155.0
2021/05/21,119.0
2021/05/22,89.0
2021/05/23,16.0
2021/05/24,25.0
2021/05/25,209.0
2021/05/26,184.0
2021/05/27,152.0
2021/05/28,154.0
2021/05/29,86.0
2021/05/30,30.0
2021/05/31,137.0
