Datas,Côtes-d'Armor
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,3.0
2020/05/14,6.0
2020/05/15,13.0
2020/05/16,5.0
2020/05/17,2.0
2020/05/18,15.0
2020/05/19,46.0
2020/05/20,28.0
2020/05/21,17.0
2020/05/22,14.0
2020/05/23,7.0
2020/05/24,3.0
2020/05/25,8.0
2020/05/26,12.0
2020/05/27,8.0
2020/05/28,5.0
2020/05/29,4.0
2020/05/30,4.0
2020/05/31,2.0
2020/06/01,0.0
2020/06/02,3.0
2020/06/03,2.0
2020/06/04,4.0
2020/06/05,3.0
2020/06/06,0.0
2020/06/07,0.0
2020/06/08,1.0
2020/06/09,2.0
2020/06/10,3.0
2020/06/11,0.0
2020/06/12,0.0
2020/06/13,0.0
2020/06/14,2.0
2020/06/15,2.0
2020/06/16,1.0
2020/06/17,2.0
2020/06/18,1.0
2020/06/19,2.0
2020/06/20,0.0
2020/06/21,1.0
2020/06/22,0.0
2020/06/23,1.0
2020/06/24,2.0
2020/06/25,1.0
2020/06/26,2.0
2020/06/27,0.0
2020/06/28,0.0
2020/06/29,2.0
2020/06/30,0.0
2020/07/01,0.0
2020/07/02,1.0
2020/07/03,0.0
2020/07/04,0.0
2020/07/05,0.0
2020/07/06,1.0
2020/07/07,0.0
2020/07/08,0.0
2020/07/09,3.0
2020/07/10,9.0
2020/07/11,0.0
2020/07/12,0.0
2020/07/13,7.0
2020/07/14,0.0
2020/07/15,26.0
2020/07/16,10.0
2020/07/17,2.0
2020/07/18,0.0
2020/07/19,0.0
2020/07/20,3.0
2020/07/21,1.0
2020/07/22,5.0
2020/07/23,3.0
2020/07/24,4.0
2020/07/25,4.0
2020/07/26,0.0
2020/07/27,3.0
2020/07/28,6.0
2020/07/29,1.0
2020/07/30,7.0
2020/07/31,9.0
2020/08/01,3.0
2020/08/02,0.0
2020/08/03,13.0
2020/08/04,1.0
2020/08/05,15.0
2020/08/06,10.0
2020/08/07,8.0
2020/08/08,3.0
2020/08/09,3.0
2020/08/10,7.0
2020/08/11,4.0
2020/08/12,2.0
2020/08/13,10.0
2020/08/14,1.0
2020/08/15,1.0
2020/08/16,0.0
2020/08/17,13.0
2020/08/18,6.0
2020/08/19,13.0
2020/08/20,9.0
2020/08/21,9.0
2020/08/22,8.0
2020/08/23,3.0
2020/08/24,12.0
2020/08/25,13.0
2020/08/26,14.0
2020/08/27,12.0
2020/08/28,22.0
2020/08/29,10.0
2020/08/30,1.0
2020/08/31,21.0
2020/09/01,15.0
2020/09/02,12.0
2020/09/03,25.0
2020/09/04,16.0
2020/09/05,17.0
2020/09/06,2.0
2020/09/07,29.0
2020/09/08,13.0
2020/09/09,35.0
2020/09/10,32.0
2020/09/11,20.0
2020/09/12,9.0
2020/09/13,5.0
2020/09/14,31.0
2020/09/15,28.0
2020/09/16,36.0
2020/09/17,29.0
2020/09/18,52.0
2020/09/19,16.0
2020/09/20,5.0
2020/09/21,46.0
2020/09/22,40.0
2020/09/23,42.0
2020/09/24,35.0
2020/09/25,27.0
2020/09/26,13.0
2020/09/27,0.0
2020/09/28,25.0
2020/09/29,25.0
2020/09/30,30.0
2020/10/01,25.0
2020/10/02,32.0
2020/10/03,20.0
2020/10/04,8.0
2020/10/05,58.0
2020/10/06,46.0
2020/10/07,62.0
2020/10/08,63.0
2020/10/09,68.0
2020/10/10,46.0
2020/10/11,22.0
2020/10/12,125.0
2020/10/13,85.0
2020/10/14,123.0
2020/10/15,131.0
2020/10/16,128.0
2020/10/17,56.0
2020/10/18,21.0
2020/10/19,148.0
2020/10/20,119.0
2020/10/21,138.0
2020/10/22,112.0
2020/10/23,135.0
2020/10/24,74.0
2020/10/25,29.0
2020/10/26,200.0
2020/10/27,157.0
2020/10/28,173.0
2020/10/29,160.0
2020/10/30,268.0
2020/10/31,117.0
2020/11/01,22.0
2020/11/02,301.0
2020/11/03,232.0
2020/11/04,241.0
2020/11/05,182.0
2020/11/06,205.0
2020/11/07,99.0
2020/11/08,27.0
2020/11/09,215.0
2020/11/10,200.0
2020/11/11,29.0
2020/11/12,182.0
2020/11/13,119.0
2020/11/14,61.0
2020/11/15,15.0
2020/11/16,163.0
2020/11/17,84.0
2020/11/18,56.0
2020/11/19,98.0
2020/11/20,70.0
2020/11/21,31.0
2020/11/22,11.0
2020/11/23,85.0
2020/11/24,48.0
2020/11/25,59.0
2020/11/26,50.0
2020/11/27,46.0
2020/11/28,30.0
2020/11/29,12.0
2020/11/30,47.0
2020/12/01,45.0
2020/12/02,55.0
2020/12/03,44.0
2020/12/04,40.0
2020/12/05,44.0
2020/12/06,8.0
2020/12/07,48.0
2020/12/08,39.0
2020/12/09,51.0
2020/12/10,62.0
2020/12/11,35.0
2020/12/12,32.0
2020/12/13,3.0
2020/12/14,51.0
2020/12/15,60.0
2020/12/16,40.0
2020/12/17,66.0
2020/12/18,35.0
2020/12/19,13.0
2020/12/20,4.0
2020/12/21,37.0
2020/12/22,37.0
2020/12/23,37.0
2020/12/24,22.0
2020/12/25,6.0
2020/12/26,26.0
2020/12/27,4.0
2020/12/28,79.0
2020/12/29,44.0
2020/12/30,62.0
2020/12/31,55.0
2021/01/01,5.0
2021/01/02,35.0
2021/01/03,10.0
2021/01/04,68.0
2021/01/05,59.0
2021/01/06,67.0
2021/01/07,62.0
2021/01/08,58.0
2021/01/09,38.0
2021/01/10,5.0
2021/01/11,74.0
2021/01/12,45.0
2021/01/13,55.0
2021/01/14,60.0
2021/01/15,63.0
2021/01/16,34.0
2021/01/17,5.0
2021/01/18,68.0
2021/01/19,58.0
2021/01/20,65.0
2021/01/21,53.0
2021/01/22,58.0
2021/01/23,27.0
2021/01/24,8.0
2021/01/25,71.0
2021/01/26,72.0
2021/01/27,55.0
2021/01/28,62.0
2021/01/29,59.0
2021/01/30,33.0
2021/01/31,2.0
2021/02/01,98.0
2021/02/02,77.0
2021/02/03,69.0
2021/02/04,61.0
2021/02/05,68.0
2021/02/06,40.0
2021/02/07,9.0
2021/02/08,78.0
2021/02/09,54.0
2021/02/10,49.0
2021/02/11,45.0
2021/02/12,52.0
2021/02/13,44.0
2021/02/14,5.0
2021/02/15,89.0
2021/02/16,86.0
2021/02/17,95.0
2021/02/18,70.0
2021/02/19,68.0
2021/02/20,41.0
2021/02/21,13.0
2021/02/22,113.0
2021/02/23,104.0
2021/02/24,78.0
2021/02/25,85.0
2021/02/26,125.0
2021/02/27,44.0
2021/02/28,16.0
2021/03/01,146.0
2021/03/02,104.0
2021/03/03,112.0
2021/03/04,90.0
2021/03/05,122.0
2021/03/06,74.0
2021/03/07,17.0
2021/03/08,137.0
2021/03/09,119.0
2021/03/10,122.0
2021/03/11,132.0
2021/03/12,126.0
2021/03/13,91.0
2021/03/14,10.0
2021/03/15,244.0
2021/03/16,189.0
2021/03/17,164.0
2021/03/18,156.0
2021/03/19,176.0
2021/03/20,98.0
2021/03/21,23.0
2021/03/22,221.0
2021/03/23,214.0
2021/03/24,177.0
2021/03/25,174.0
2021/03/26,188.0
2021/03/27,130.0
2021/03/28,27.0
2021/03/29,234.0
2021/03/30,217.0
2021/03/31,166.0
2021/04/01,171.0
2021/04/02,204.0
2021/04/03,82.0
2021/04/04,25.0
2021/04/05,65.0
2021/04/06,209.0
2021/04/07,211.0
2021/04/08,191.0
2021/04/09,209.0
2021/04/10,108.0
2021/04/11,22.0
2021/04/12,260.0
2021/04/13,244.0
2021/04/14,165.0
2021/04/15,193.0
2021/04/16,201.0
2021/04/17,152.0
2021/04/18,20.0
2021/04/19,214.0
2021/04/20,160.0
2021/04/21,162.0
2021/04/22,158.0
2021/04/23,153.0
2021/04/24,91.0
2021/04/25,9.0
2021/04/26,178.0
2021/04/27,120.0
2021/04/28,109.0
2021/04/29,109.0
2021/04/30,127.0
2021/05/01,29.0
2021/05/02,16.0
2021/05/03,139.0
2021/05/04,105.0
2021/05/05,90.0
2021/05/06,60.0
2021/05/07,79.0
2021/05/08,26.0
2021/05/09,8.0
2021/05/10,143.0
2021/05/11,82.0
2021/05/12,104.0
2021/05/13,39.0
2021/05/14,90.0
2021/05/15,62.0
2021/05/16,8.0
2021/05/17,99.0
2021/05/18,95.0
2021/05/19,81.0
2021/05/20,88.0
2021/05/21,76.0
2021/05/22,51.0
2021/05/23,10.0
2021/05/24,35.0
2021/05/25,75.0
2021/05/26,78.0
2021/05/27,61.0
2021/05/28,63.0
2021/05/29,51.0
2021/05/30,1.0
2021/05/31,63.0
