Datas,Deux-Sèvres
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,7.0
2020/05/14,3.0
2020/05/15,3.0
2020/05/16,4.0
2020/05/17,1.0
2020/05/18,9.0
2020/05/19,28.0
2020/05/20,12.0
2020/05/21,0.0
2020/05/22,6.0
2020/05/23,1.0
2020/05/24,0.0
2020/05/25,6.0
2020/05/26,15.0
2020/05/27,11.0
2020/05/28,4.0
2020/05/29,0.0
2020/05/30,4.0
2020/05/31,1.0
2020/06/01,0.0
2020/06/02,0.0
2020/06/03,2.0
2020/06/04,1.0
2020/06/05,1.0
2020/06/06,4.0
2020/06/07,0.0
2020/06/08,0.0
2020/06/09,0.0
2020/06/10,1.0
2020/06/11,2.0
2020/06/12,3.0
2020/06/13,2.0
2020/06/14,0.0
2020/06/15,0.0
2020/06/16,0.0
2020/06/17,0.0
2020/06/18,3.0
2020/06/19,4.0
2020/06/20,1.0
2020/06/21,0.0
2020/06/22,3.0
2020/06/23,3.0
2020/06/24,1.0
2020/06/25,0.0
2020/06/26,1.0
2020/06/27,0.0
2020/06/28,0.0
2020/06/29,0.0
2020/06/30,2.0
2020/07/01,0.0
2020/07/02,0.0
2020/07/03,0.0
2020/07/04,0.0
2020/07/05,1.0
2020/07/06,2.0
2020/07/07,0.0
2020/07/08,0.0
2020/07/09,1.0
2020/07/10,0.0
2020/07/11,1.0
2020/07/12,0.0
2020/07/13,0.0
2020/07/14,0.0
2020/07/15,2.0
2020/07/16,2.0
2020/07/17,6.0
2020/07/18,2.0
2020/07/19,0.0
2020/07/20,1.0
2020/07/21,1.0
2020/07/22,2.0
2020/07/23,0.0
2020/07/24,1.0
2020/07/25,1.0
2020/07/26,0.0
2020/07/27,0.0
2020/07/28,0.0
2020/07/29,1.0
2020/07/30,3.0
2020/07/31,3.0
2020/08/01,0.0
2020/08/02,0.0
2020/08/03,1.0
2020/08/04,3.0
2020/08/05,2.0
2020/08/06,1.0
2020/08/07,3.0
2020/08/08,0.0
2020/08/09,2.0
2020/08/10,1.0
2020/08/11,4.0
2020/08/12,1.0
2020/08/13,3.0
2020/08/14,4.0
2020/08/15,1.0
2020/08/16,0.0
2020/08/17,3.0
2020/08/18,3.0
2020/08/19,7.0
2020/08/20,27.0
2020/08/21,7.0
2020/08/22,13.0
2020/08/23,10.0
2020/08/24,11.0
2020/08/25,13.0
2020/08/26,7.0
2020/08/27,10.0
2020/08/28,20.0
2020/08/29,15.0
2020/08/30,1.0
2020/08/31,17.0
2020/09/01,23.0
2020/09/02,30.0
2020/09/03,20.0
2020/09/04,24.0
2020/09/05,19.0
2020/09/06,1.0
2020/09/07,16.0
2020/09/08,22.0
2020/09/09,23.0
2020/09/10,26.0
2020/09/11,33.0
2020/09/12,6.0
2020/09/13,1.0
2020/09/14,26.0
2020/09/15,19.0
2020/09/16,25.0
2020/09/17,27.0
2020/09/18,25.0
2020/09/19,23.0
2020/09/20,2.0
2020/09/21,20.0
2020/09/22,15.0
2020/09/23,18.0
2020/09/24,13.0
2020/09/25,15.0
2020/09/26,16.0
2020/09/27,2.0
2020/09/28,9.0
2020/09/29,12.0
2020/09/30,16.0
2020/10/01,19.0
2020/10/02,18.0
2020/10/03,20.0
2020/10/04,0.0
2020/10/05,45.0
2020/10/06,34.0
2020/10/07,31.0
2020/10/08,35.0
2020/10/09,37.0
2020/10/10,31.0
2020/10/11,1.0
2020/10/12,63.0
2020/10/13,44.0
2020/10/14,70.0
2020/10/15,57.0
2020/10/16,64.0
2020/10/17,46.0
2020/10/18,2.0
2020/10/19,136.0
2020/10/20,81.0
2020/10/21,124.0
2020/10/22,146.0
2020/10/23,167.0
2020/10/24,92.0
2020/10/25,8.0
2020/10/26,277.0
2020/10/27,203.0
2020/10/28,205.0
2020/10/29,197.0
2020/10/30,196.0
2020/10/31,94.0
2020/11/01,12.0
2020/11/02,289.0
2020/11/03,227.0
2020/11/04,155.0
2020/11/05,184.0
2020/11/06,153.0
2020/11/07,88.0
2020/11/08,10.0
2020/11/09,183.0
2020/11/10,193.0
2020/11/11,10.0
2020/11/12,130.0
2020/11/13,120.0
2020/11/14,72.0
2020/11/15,5.0
2020/11/16,124.0
2020/11/17,117.0
2020/11/18,89.0
2020/11/19,61.0
2020/11/20,80.0
2020/11/21,30.0
2020/11/22,3.0
2020/11/23,55.0
2020/11/24,51.0
2020/11/25,51.0
2020/11/26,58.0
2020/11/27,52.0
2020/11/28,30.0
2020/11/29,2.0
2020/11/30,70.0
2020/12/01,43.0
2020/12/02,65.0
2020/12/03,68.0
2020/12/04,57.0
2020/12/05,40.0
2020/12/06,6.0
2020/12/07,107.0
2020/12/08,43.0
2020/12/09,40.0
2020/12/10,80.0
2020/12/11,68.0
2020/12/12,40.0
2020/12/13,9.0
2020/12/14,108.0
2020/12/15,86.0
2020/12/16,78.0
2020/12/17,81.0
2020/12/18,41.0
2020/12/19,35.0
2020/12/20,4.0
2020/12/21,101.0
2020/12/22,99.0
2020/12/23,71.0
2020/12/24,52.0
2020/12/25,4.0
2020/12/26,46.0
2020/12/27,9.0
2020/12/28,116.0
2020/12/29,113.0
2020/12/30,142.0
2020/12/31,122.0
2021/01/01,14.0
2021/01/02,104.0
2021/01/03,15.0
2021/01/04,175.0
2021/01/05,176.0
2021/01/06,163.0
2021/01/07,128.0
2021/01/08,148.0
2021/01/09,75.0
2021/01/10,21.0
2021/01/11,165.0
2021/01/12,161.0
2021/01/13,222.0
2021/01/14,149.0
2021/01/15,178.0
2021/01/16,99.0
2021/01/17,11.0
2021/01/18,246.0
2021/01/19,185.0
2021/01/20,140.0
2021/01/21,163.0
2021/01/22,128.0
2021/01/23,91.0
2021/01/24,5.0
2021/01/25,165.0
2021/01/26,151.0
2021/01/27,119.0
2021/01/28,140.0
2021/01/29,148.0
2021/01/30,76.0
2021/01/31,8.0
2021/02/01,215.0
2021/02/02,143.0
2021/02/03,111.0
2021/02/04,86.0
2021/02/05,129.0
2021/02/06,80.0
2021/02/07,5.0
2021/02/08,152.0
2021/02/09,98.0
2021/02/10,66.0
2021/02/11,61.0
2021/02/12,66.0
2021/02/13,67.0
2021/02/14,1.0
2021/02/15,82.0
2021/02/16,60.0
2021/02/17,68.0
2021/02/18,92.0
2021/02/19,82.0
2021/02/20,53.0
2021/02/21,4.0
2021/02/22,90.0
2021/02/23,117.0
2021/02/24,115.0
2021/02/25,90.0
2021/02/26,116.0
2021/02/27,66.0
2021/02/28,3.0
2021/03/01,150.0
2021/03/02,91.0
2021/03/03,104.0
2021/03/04,87.0
2021/03/05,91.0
2021/03/06,53.0
2021/03/07,2.0
2021/03/08,102.0
2021/03/09,75.0
2021/03/10,68.0
2021/03/11,109.0
2021/03/12,76.0
2021/03/13,71.0
2021/03/14,2.0
2021/03/15,167.0
2021/03/16,125.0
2021/03/17,105.0
2021/03/18,136.0
2021/03/19,126.0
2021/03/20,85.0
2021/03/21,4.0
2021/03/22,176.0
2021/03/23,136.0
2021/03/24,114.0
2021/03/25,145.0
2021/03/26,137.0
2021/03/27,94.0
2021/03/28,4.0
2021/03/29,185.0
2021/03/30,168.0
2021/03/31,166.0
2021/04/01,164.0
2021/04/02,155.0
2021/04/03,126.0
2021/04/04,6.0
2021/04/05,9.0
2021/04/06,225.0
2021/04/07,204.0
2021/04/08,185.0
2021/04/09,190.0
2021/04/10,124.0
2021/04/11,9.0
2021/04/12,200.0
2021/04/13,122.0
2021/04/14,144.0
2021/04/15,159.0
2021/04/16,157.0
2021/04/17,106.0
2021/04/18,0.0
2021/04/19,145.0
2021/04/20,126.0
2021/04/21,174.0
2021/04/22,164.0
2021/04/23,162.0
2021/04/24,111.0
2021/04/25,3.0
2021/04/26,171.0
2021/04/27,112.0
2021/04/28,155.0
2021/04/29,131.0
2021/04/30,115.0
2021/05/01,16.0
2021/05/02,3.0
2021/05/03,121.0
2021/05/04,99.0
2021/05/05,95.0
2021/05/06,81.0
2021/05/07,76.0
2021/05/08,11.0
2021/05/09,3.0
2021/05/10,134.0
2021/05/11,110.0
2021/05/12,122.0
2021/05/13,9.0
2021/05/14,100.0
2021/05/15,50.0
2021/05/16,3.0
2021/05/17,113.0
2021/05/18,88.0
2021/05/19,72.0
2021/05/20,51.0
2021/05/21,77.0
2021/05/22,46.0
2021/05/23,7.0
2021/05/24,10.0
2021/05/25,76.0
2021/05/26,84.0
2021/05/27,52.0
2021/05/28,42.0
2021/05/29,34.0
2021/05/30,2.0
2021/05/31,55.0
