Datas,Dordogne
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,1.0
2020/05/14,2.0
2020/05/15,0.0
2020/05/16,0.0
2020/05/17,0.0
2020/05/18,1.0
2020/05/19,3.0
2020/05/20,1.0
2020/05/21,0.0
2020/05/22,1.0
2020/05/23,1.0
2020/05/24,0.0
2020/05/25,1.0
2020/05/26,0.0
2020/05/27,0.0
2020/05/28,1.0
2020/05/29,0.0
2020/05/30,1.0
2020/05/31,0.0
2020/06/01,0.0
2020/06/02,1.0
2020/06/03,1.0
2020/06/04,0.0
2020/06/05,1.0
2020/06/06,1.0
2020/06/07,0.0
2020/06/08,0.0
2020/06/09,0.0
2020/06/10,1.0
2020/06/11,0.0
2020/06/12,0.0
2020/06/13,1.0
2020/06/14,0.0
2020/06/15,0.0
2020/06/16,0.0
2020/06/17,0.0
2020/06/18,0.0
2020/06/19,1.0
2020/06/20,0.0
2020/06/21,0.0
2020/06/22,1.0
2020/06/23,0.0
2020/06/24,0.0
2020/06/25,0.0
2020/06/26,2.0
2020/06/27,0.0
2020/06/28,0.0
2020/06/29,1.0
2020/06/30,0.0
2020/07/01,0.0
2020/07/02,0.0
2020/07/03,0.0
2020/07/04,0.0
2020/07/05,0.0
2020/07/06,3.0
2020/07/07,1.0
2020/07/08,0.0
2020/07/09,0.0
2020/07/10,4.0
2020/07/11,0.0
2020/07/12,0.0
2020/07/13,1.0
2020/07/14,0.0
2020/07/15,1.0
2020/07/16,0.0
2020/07/17,0.0
2020/07/18,0.0
2020/07/19,0.0
2020/07/20,2.0
2020/07/21,0.0
2020/07/22,0.0
2020/07/23,1.0
2020/07/24,2.0
2020/07/25,1.0
2020/07/26,0.0
2020/07/27,0.0
2020/07/28,2.0
2020/07/29,2.0
2020/07/30,3.0
2020/07/31,2.0
2020/08/01,1.0
2020/08/02,0.0
2020/08/03,2.0
2020/08/04,2.0
2020/08/05,1.0
2020/08/06,1.0
2020/08/07,1.0
2020/08/08,1.0
2020/08/09,0.0
2020/08/10,1.0
2020/08/11,1.0
2020/08/12,3.0
2020/08/13,3.0
2020/08/14,3.0
2020/08/15,0.0
2020/08/16,0.0
2020/08/17,14.0
2020/08/18,16.0
2020/08/19,5.0
2020/08/20,10.0
2020/08/21,13.0
2020/08/22,9.0
2020/08/23,0.0
2020/08/24,12.0
2020/08/25,10.0
2020/08/26,30.0
2020/08/27,17.0
2020/08/28,18.0
2020/08/29,9.0
2020/08/30,3.0
2020/08/31,16.0
2020/09/01,18.0
2020/09/02,20.0
2020/09/03,29.0
2020/09/04,22.0
2020/09/05,11.0
2020/09/06,2.0
2020/09/07,15.0
2020/09/08,40.0
2020/09/09,19.0
2020/09/10,41.0
2020/09/11,29.0
2020/09/12,13.0
2020/09/13,3.0
2020/09/14,41.0
2020/09/15,31.0
2020/09/16,35.0
2020/09/17,46.0
2020/09/18,29.0
2020/09/19,15.0
2020/09/20,3.0
2020/09/21,26.0
2020/09/22,22.0
2020/09/23,26.0
2020/09/24,31.0
2020/09/25,41.0
2020/09/26,6.0
2020/09/27,2.0
2020/09/28,27.0
2020/09/29,34.0
2020/09/30,25.0
2020/10/01,26.0
2020/10/02,30.0
2020/10/03,10.0
2020/10/04,0.0
2020/10/05,36.0
2020/10/06,35.0
2020/10/07,38.0
2020/10/08,48.0
2020/10/09,51.0
2020/10/10,33.0
2020/10/11,3.0
2020/10/12,56.0
2020/10/13,62.0
2020/10/14,54.0
2020/10/15,92.0
2020/10/16,86.0
2020/10/17,59.0
2020/10/18,0.0
2020/10/19,133.0
2020/10/20,113.0
2020/10/21,159.0
2020/10/22,167.0
2020/10/23,183.0
2020/10/24,101.0
2020/10/25,7.0
2020/10/26,243.0
2020/10/27,265.0
2020/10/28,229.0
2020/10/29,195.0
2020/10/30,242.0
2020/10/31,94.0
2020/11/01,4.0
2020/11/02,294.0
2020/11/03,215.0
2020/11/04,198.0
2020/11/05,205.0
2020/11/06,195.0
2020/11/07,75.0
2020/11/08,16.0
2020/11/09,203.0
2020/11/10,142.0
2020/11/11,19.0
2020/11/12,142.0
2020/11/13,113.0
2020/11/14,44.0
2020/11/15,4.0
2020/11/16,118.0
2020/11/17,83.0
2020/11/18,45.0
2020/11/19,59.0
2020/11/20,58.0
2020/11/21,26.0
2020/11/22,3.0
2020/11/23,57.0
2020/11/24,31.0
2020/11/25,53.0
2020/11/26,42.0
2020/11/27,69.0
2020/11/28,19.0
2020/11/29,3.0
2020/11/30,85.0
2020/12/01,38.0
2020/12/02,39.0
2020/12/03,42.0
2020/12/04,40.0
2020/12/05,16.0
2020/12/06,7.0
2020/12/07,68.0
2020/12/08,44.0
2020/12/09,30.0
2020/12/10,40.0
2020/12/11,30.0
2020/12/12,14.0
2020/12/13,3.0
2020/12/14,53.0
2020/12/15,25.0
2020/12/16,40.0
2020/12/17,54.0
2020/12/18,39.0
2020/12/19,26.0
2020/12/20,3.0
2020/12/21,33.0
2020/12/22,38.0
2020/12/23,46.0
2020/12/24,22.0
2020/12/25,2.0
2020/12/26,16.0
2020/12/27,4.0
2020/12/28,65.0
2020/12/29,47.0
2020/12/30,43.0
2020/12/31,51.0
2021/01/01,1.0
2021/01/02,35.0
2021/01/03,4.0
2021/01/04,98.0
2021/01/05,70.0
2021/01/06,74.0
2021/01/07,53.0
2021/01/08,66.0
2021/01/09,35.0
2021/01/10,1.0
2021/01/11,151.0
2021/01/12,71.0
2021/01/13,98.0
2021/01/14,96.0
2021/01/15,98.0
2021/01/16,50.0
2021/01/17,5.0
2021/01/18,140.0
2021/01/19,138.0
2021/01/20,142.0
2021/01/21,104.0
2021/01/22,110.0
2021/01/23,82.0
2021/01/24,9.0
2021/01/25,218.0
2021/01/26,154.0
2021/01/27,204.0
2021/01/28,222.0
2021/01/29,203.0
2021/01/30,81.0
2021/01/31,6.0
2021/02/01,262.0
2021/02/02,174.0
2021/02/03,159.0
2021/02/04,159.0
2021/02/05,137.0
2021/02/06,53.0
2021/02/07,4.0
2021/02/08,174.0
2021/02/09,137.0
2021/02/10,144.0
2021/02/11,79.0
2021/02/12,101.0
2021/02/13,53.0
2021/02/14,6.0
2021/02/15,122.0
2021/02/16,89.0
2021/02/17,111.0
2021/02/18,61.0
2021/02/19,103.0
2021/02/20,62.0
2021/02/21,1.0
2021/02/22,142.0
2021/02/23,58.0
2021/02/24,75.0
2021/02/25,83.0
2021/02/26,74.0
2021/02/27,42.0
2021/02/28,4.0
2021/03/01,68.0
2021/03/02,51.0
2021/03/03,52.0
2021/03/04,64.0
2021/03/05,58.0
2021/03/06,34.0
2021/03/07,5.0
2021/03/08,122.0
2021/03/09,72.0
2021/03/10,60.0
2021/03/11,74.0
2021/03/12,80.0
2021/03/13,69.0
2021/03/14,5.0
2021/03/15,139.0
2021/03/16,108.0
2021/03/17,127.0
2021/03/18,120.0
2021/03/19,128.0
2021/03/20,82.0
2021/03/21,5.0
2021/03/22,205.0
2021/03/23,204.0
2021/03/24,165.0
2021/03/25,213.0
2021/03/26,202.0
2021/03/27,139.0
2021/03/28,7.0
2021/03/29,251.0
2021/03/30,212.0
2021/03/31,184.0
2021/04/01,195.0
2021/04/02,201.0
2021/04/03,86.0
2021/04/04,8.0
2021/04/05,9.0
2021/04/06,223.0
2021/04/07,157.0
2021/04/08,190.0
2021/04/09,169.0
2021/04/10,87.0
2021/04/11,12.0
2021/04/12,167.0
2021/04/13,169.0
2021/04/14,151.0
2021/04/15,162.0
2021/04/16,103.0
2021/04/17,81.0
2021/04/18,11.0
2021/04/19,132.0
2021/04/20,132.0
2021/04/21,144.0
2021/04/22,136.0
2021/04/23,141.0
2021/04/24,60.0
2021/04/25,6.0
2021/04/26,124.0
2021/04/27,90.0
2021/04/28,94.0
2021/04/29,107.0
2021/04/30,85.0
2021/05/01,5.0
2021/05/02,7.0
2021/05/03,87.0
2021/05/04,59.0
2021/05/05,40.0
2021/05/06,52.0
2021/05/07,52.0
2021/05/08,4.0
2021/05/09,5.0
2021/05/10,69.0
2021/05/11,49.0
2021/05/12,44.0
2021/05/13,1.0
2021/05/14,44.0
2021/05/15,21.0
2021/05/16,4.0
2021/05/17,56.0
2021/05/18,56.0
2021/05/19,37.0
2021/05/20,37.0
2021/05/21,56.0
2021/05/22,20.0
2021/05/23,0.0
2021/05/24,4.0
2021/05/25,48.0
2021/05/26,39.0
2021/05/27,50.0
2021/05/28,51.0
2021/05/29,38.0
2021/05/30,0.0
2021/05/31,34.0
2021/06/01,39.0
