Datas,Doubs
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,6.0
2020/05/14,5.0
2020/05/15,6.0
2020/05/16,7.0
2020/05/17,1.0
2020/05/18,5.0
2020/05/19,7.0
2020/05/20,5.0
2020/05/21,1.0
2020/05/22,5.0
2020/05/23,1.0
2020/05/24,1.0
2020/05/25,2.0
2020/05/26,3.0
2020/05/27,4.0
2020/05/28,2.0
2020/05/29,1.0
2020/05/30,5.0
2020/05/31,2.0
2020/06/01,1.0
2020/06/02,10.0
2020/06/03,2.0
2020/06/04,7.0
2020/06/05,3.0
2020/06/06,4.0
2020/06/07,0.0
2020/06/08,2.0
2020/06/09,4.0
2020/06/10,10.0
2020/06/11,1.0
2020/06/12,6.0
2020/06/13,1.0
2020/06/14,1.0
2020/06/15,2.0
2020/06/16,0.0
2020/06/17,5.0
2020/06/18,1.0
2020/06/19,4.0
2020/06/20,1.0
2020/06/21,0.0
2020/06/22,2.0
2020/06/23,1.0
2020/06/24,5.0
2020/06/25,3.0
2020/06/26,2.0
2020/06/27,1.0
2020/06/28,0.0
2020/06/29,4.0
2020/06/30,6.0
2020/07/01,5.0
2020/07/02,2.0
2020/07/03,1.0
2020/07/04,0.0
2020/07/05,0.0
2020/07/06,4.0
2020/07/07,3.0
2020/07/08,5.0
2020/07/09,6.0
2020/07/10,2.0
2020/07/11,2.0
2020/07/12,4.0
2020/07/13,6.0
2020/07/14,1.0
2020/07/15,2.0
2020/07/16,1.0
2020/07/17,3.0
2020/07/18,2.0
2020/07/19,0.0
2020/07/20,9.0
2020/07/21,4.0
2020/07/22,3.0
2020/07/23,5.0
2020/07/24,6.0
2020/07/25,2.0
2020/07/26,1.0
2020/07/27,6.0
2020/07/28,4.0
2020/07/29,5.0
2020/07/30,8.0
2020/07/31,8.0
2020/08/01,3.0
2020/08/02,2.0
2020/08/03,8.0
2020/08/04,1.0
2020/08/05,3.0
2020/08/06,10.0
2020/08/07,4.0
2020/08/08,3.0
2020/08/09,0.0
2020/08/10,12.0
2020/08/11,8.0
2020/08/12,11.0
2020/08/13,17.0
2020/08/14,17.0
2020/08/15,3.0
2020/08/16,3.0
2020/08/17,18.0
2020/08/18,26.0
2020/08/19,13.0
2020/08/20,14.0
2020/08/21,16.0
2020/08/22,3.0
2020/08/23,4.0
2020/08/24,17.0
2020/08/25,30.0
2020/08/26,28.0
2020/08/27,30.0
2020/08/28,34.0
2020/08/29,17.0
2020/08/30,8.0
2020/08/31,45.0
2020/09/01,30.0
2020/09/02,30.0
2020/09/03,22.0
2020/09/04,56.0
2020/09/05,30.0
2020/09/06,6.0
2020/09/07,46.0
2020/09/08,51.0
2020/09/09,39.0
2020/09/10,51.0
2020/09/11,44.0
2020/09/12,30.0
2020/09/13,6.0
2020/09/14,77.0
2020/09/15,63.0
2020/09/16,67.0
2020/09/17,81.0
2020/09/18,64.0
2020/09/19,32.0
2020/09/20,5.0
2020/09/21,67.0
2020/09/22,49.0
2020/09/23,57.0
2020/09/24,77.0
2020/09/25,39.0
2020/09/26,24.0
2020/09/27,1.0
2020/09/28,59.0
2020/09/29,41.0
2020/09/30,58.0
2020/10/01,51.0
2020/10/02,37.0
2020/10/03,39.0
2020/10/04,1.0
2020/10/05,68.0
2020/10/06,47.0
2020/10/07,66.0
2020/10/08,94.0
2020/10/09,83.0
2020/10/10,67.0
2020/10/11,10.0
2020/10/12,149.0
2020/10/13,135.0
2020/10/14,141.0
2020/10/15,169.0
2020/10/16,191.0
2020/10/17,160.0
2020/10/18,17.0
2020/10/19,321.0
2020/10/20,284.0
2020/10/21,375.0
2020/10/22,410.0
2020/10/23,423.0
2020/10/24,215.0
2020/10/25,37.0
2020/10/26,599.0
2020/10/27,533.0
2020/10/28,562.0
2020/10/29,580.0
2020/10/30,681.0
2020/10/31,489.0
2020/11/01,39.0
2020/11/02,994.0
2020/11/03,792.0
2020/11/04,647.0
2020/11/05,593.0
2020/11/06,518.0
2020/11/07,325.0
2020/11/08,41.0
2020/11/09,718.0
2020/11/10,573.0
2020/11/11,30.0
2020/11/12,585.0
2020/11/13,470.0
2020/11/14,170.0
2020/11/15,27.0
2020/11/16,460.0
2020/11/17,318.0
2020/11/18,235.0
2020/11/19,276.0
2020/11/20,242.0
2020/11/21,145.0
2020/11/22,23.0
2020/11/23,287.0
2020/11/24,192.0
2020/11/25,192.0
2020/11/26,189.0
2020/11/27,215.0
2020/11/28,140.0
2020/11/29,17.0
2020/11/30,261.0
2020/12/01,208.0
2020/12/02,189.0
2020/12/03,203.0
2020/12/04,230.0
2020/12/05,146.0
2020/12/06,16.0
2020/12/07,363.0
2020/12/08,182.0
2020/12/09,248.0
2020/12/10,237.0
2020/12/11,211.0
2020/12/12,190.0
2020/12/13,23.0
2020/12/14,318.0
2020/12/15,277.0
2020/12/16,275.0
2020/12/17,264.0
2020/12/18,303.0
2020/12/19,183.0
2020/12/20,30.0
2020/12/21,390.0
2020/12/22,316.0
2020/12/23,268.0
2020/12/24,228.0
2020/12/25,9.0
2020/12/26,238.0
2020/12/27,9.0
2020/12/28,365.0
2020/12/29,313.0
2020/12/30,368.0
2020/12/31,265.0
2021/01/01,9.0
2021/01/02,250.0
2021/01/03,15.0
2021/01/04,471.0
2021/01/05,307.0
2021/01/06,255.0
2021/01/07,285.0
2021/01/08,278.0
2021/01/09,151.0
2021/01/10,15.0
2021/01/11,321.0
2021/01/12,189.0
2021/01/13,217.0
2021/01/14,212.0
2021/01/15,222.0
2021/01/16,190.0
2021/01/17,11.0
2021/01/18,308.0
2021/01/19,251.0
2021/01/20,207.0
2021/01/21,252.0
2021/01/22,241.0
2021/01/23,156.0
2021/01/24,8.0
2021/01/25,265.0
2021/01/26,190.0
2021/01/27,156.0
2021/01/28,187.0
2021/01/29,215.0
2021/01/30,158.0
2021/01/31,16.0
2021/02/01,220.0
2021/02/02,150.0
2021/02/03,135.0
2021/02/04,134.0
2021/02/05,182.0
2021/02/06,106.0
2021/02/07,4.0
2021/02/08,171.0
2021/02/09,102.0
2021/02/10,131.0
2021/02/11,122.0
2021/02/12,152.0
2021/02/13,107.0
2021/02/14,7.0
2021/02/15,168.0
2021/02/16,130.0
2021/02/17,144.0
2021/02/18,128.0
2021/02/19,146.0
2021/02/20,95.0
2021/02/21,13.0
2021/02/22,179.0
2021/02/23,166.0
2021/02/24,152.0
2021/02/25,167.0
2021/02/26,168.0
2021/02/27,146.0
2021/02/28,7.0
2021/03/01,197.0
2021/03/02,146.0
2021/03/03,192.0
2021/03/04,171.0
2021/03/05,202.0
2021/03/06,128.0
2021/03/07,10.0
2021/03/08,260.0
2021/03/09,197.0
2021/03/10,224.0
2021/03/11,204.0
2021/03/12,258.0
2021/03/13,162.0
2021/03/14,12.0
2021/03/15,279.0
2021/03/16,203.0
2021/03/17,222.0
2021/03/18,198.0
2021/03/19,251.0
2021/03/20,193.0
2021/03/21,13.0
2021/03/22,418.0
2021/03/23,311.0
2021/03/24,295.0
2021/03/25,347.0
2021/03/26,335.0
2021/03/27,240.0
2021/03/28,21.0
2021/03/29,495.0
2021/03/30,419.0
2021/03/31,433.0
2021/04/01,360.0
2021/04/02,378.0
2021/04/03,253.0
2021/04/04,33.0
2021/04/05,54.0
2021/04/06,507.0
2021/04/07,392.0
2021/04/08,376.0
2021/04/09,373.0
2021/04/10,246.0
2021/04/11,31.0
2021/04/12,415.0
2021/04/13,322.0
2021/04/14,259.0
2021/04/15,314.0
2021/04/16,301.0
2021/04/17,160.0
2021/04/18,18.0
2021/04/19,392.0
2021/04/20,313.0
2021/04/21,242.0
2021/04/22,206.0
2021/04/23,274.0
2021/04/24,187.0
2021/04/25,14.0
2021/04/26,321.0
2021/04/27,176.0
2021/04/28,214.0
2021/04/29,190.0
2021/04/30,180.0
2021/05/01,21.0
2021/05/02,14.0
2021/05/03,308.0
2021/05/04,189.0
2021/05/05,178.0
2021/05/06,175.0
2021/05/07,141.0
2021/05/08,16.0
2021/05/09,18.0
2021/05/10,191.0
2021/05/11,131.0
2021/05/12,114.0
2021/05/13,7.0
2021/05/14,145.0
2021/05/15,88.0
2021/05/16,5.0
2021/05/17,184.0
2021/05/18,118.0
2021/05/19,124.0
2021/05/20,91.0
2021/05/21,117.0
2021/05/22,69.0
2021/05/23,6.0
2021/05/24,10.0
2021/05/25,155.0
2021/05/26,99.0
2021/05/27,76.0
2021/05/28,89.0
2021/05/29,50.0
2021/05/30,11.0
2021/05/31,98.0
2021/06/01,59.0
