Datas,Drôme
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,2.0
2020/05/14,9.0
2020/05/15,7.0
2020/05/16,2.0
2020/05/17,0.0
2020/05/18,6.0
2020/05/19,2.0
2020/05/20,2.0
2020/05/21,0.0
2020/05/22,3.0
2020/05/23,0.0
2020/05/24,0.0
2020/05/25,1.0
2020/05/26,1.0
2020/05/27,2.0
2020/05/28,3.0
2020/05/29,0.0
2020/05/30,0.0
2020/05/31,0.0
2020/06/01,1.0
2020/06/02,0.0
2020/06/03,2.0
2020/06/04,2.0
2020/06/05,3.0
2020/06/06,2.0
2020/06/07,1.0
2020/06/08,10.0
2020/06/09,2.0
2020/06/10,3.0
2020/06/11,2.0
2020/06/12,2.0
2020/06/13,2.0
2020/06/14,0.0
2020/06/15,1.0
2020/06/16,1.0
2020/06/17,0.0
2020/06/18,6.0
2020/06/19,1.0
2020/06/20,2.0
2020/06/21,1.0
2020/06/22,3.0
2020/06/23,1.0
2020/06/24,3.0
2020/06/25,4.0
2020/06/26,4.0
2020/06/27,2.0
2020/06/28,0.0
2020/06/29,2.0
2020/06/30,1.0
2020/07/01,0.0
2020/07/02,1.0
2020/07/03,2.0
2020/07/04,0.0
2020/07/05,0.0
2020/07/06,4.0
2020/07/07,2.0
2020/07/08,6.0
2020/07/09,8.0
2020/07/10,11.0
2020/07/11,9.0
2020/07/12,0.0
2020/07/13,19.0
2020/07/14,0.0
2020/07/15,13.0
2020/07/16,4.0
2020/07/17,7.0
2020/07/18,3.0
2020/07/19,0.0
2020/07/20,3.0
2020/07/21,7.0
2020/07/22,5.0
2020/07/23,5.0
2020/07/24,0.0
2020/07/25,3.0
2020/07/26,0.0
2020/07/27,7.0
2020/07/28,5.0
2020/07/29,2.0
2020/07/30,0.0
2020/07/31,2.0
2020/08/01,5.0
2020/08/02,1.0
2020/08/03,0.0
2020/08/04,1.0
2020/08/05,4.0
2020/08/06,4.0
2020/08/07,4.0
2020/08/08,2.0
2020/08/09,1.0
2020/08/10,9.0
2020/08/11,5.0
2020/08/12,6.0
2020/08/13,17.0
2020/08/14,8.0
2020/08/15,1.0
2020/08/16,6.0
2020/08/17,30.0
2020/08/18,30.0
2020/08/19,27.0
2020/08/20,32.0
2020/08/21,32.0
2020/08/22,8.0
2020/08/23,0.0
2020/08/24,41.0
2020/08/25,23.0
2020/08/26,28.0
2020/08/27,32.0
2020/08/28,43.0
2020/08/29,20.0
2020/08/30,0.0
2020/08/31,65.0
2020/09/01,38.0
2020/09/02,33.0
2020/09/03,32.0
2020/09/04,23.0
2020/09/05,9.0
2020/09/06,6.0
2020/09/07,46.0
2020/09/08,26.0
2020/09/09,28.0
2020/09/10,37.0
2020/09/11,37.0
2020/09/12,17.0
2020/09/13,4.0
2020/09/14,48.0
2020/09/15,42.0
2020/09/16,65.0
2020/09/17,45.0
2020/09/18,39.0
2020/09/19,27.0
2020/09/20,6.0
2020/09/21,41.0
2020/09/22,54.0
2020/09/23,44.0
2020/09/24,51.0
2020/09/25,70.0
2020/09/26,33.0
2020/09/27,9.0
2020/09/28,78.0
2020/09/29,58.0
2020/09/30,79.0
2020/10/01,82.0
2020/10/02,99.0
2020/10/03,44.0
2020/10/04,18.0
2020/10/05,127.0
2020/10/06,123.0
2020/10/07,144.0
2020/10/08,159.0
2020/10/09,191.0
2020/10/10,74.0
2020/10/11,16.0
2020/10/12,200.0
2020/10/13,198.0
2020/10/14,223.0
2020/10/15,270.0
2020/10/16,292.0
2020/10/17,135.0
2020/10/18,28.0
2020/10/19,431.0
2020/10/20,470.0
2020/10/21,439.0
2020/10/22,523.0
2020/10/23,620.0
2020/10/24,199.0
2020/10/25,71.0
2020/10/26,788.0
2020/10/27,625.0
2020/10/28,694.0
2020/10/29,665.0
2020/10/30,691.0
2020/10/31,225.0
2020/11/01,51.0
2020/11/02,795.0
2020/11/03,729.0
2020/11/04,638.0
2020/11/05,586.0
2020/11/06,499.0
2020/11/07,174.0
2020/11/08,45.0
2020/11/09,500.0
2020/11/10,416.0
2020/11/11,49.0
2020/11/12,474.0
2020/11/13,289.0
2020/11/14,102.0
2020/11/15,18.0
2020/11/16,376.0
2020/11/17,214.0
2020/11/18,177.0
2020/11/19,172.0
2020/11/20,164.0
2020/11/21,64.0
2020/11/22,7.0
2020/11/23,203.0
2020/11/24,105.0
2020/11/25,150.0
2020/11/26,135.0
2020/11/27,134.0
2020/11/28,63.0
2020/11/29,18.0
2020/11/30,213.0
2020/12/01,117.0
2020/12/02,131.0
2020/12/03,128.0
2020/12/04,136.0
2020/12/05,78.0
2020/12/06,19.0
2020/12/07,167.0
2020/12/08,147.0
2020/12/09,128.0
2020/12/10,152.0
2020/12/11,181.0
2020/12/12,69.0
2020/12/13,10.0
2020/12/14,210.0
2020/12/15,158.0
2020/12/16,152.0
2020/12/17,153.0
2020/12/18,222.0
2020/12/19,168.0
2020/12/20,102.0
2020/12/21,238.0
2020/12/22,193.0
2020/12/23,163.0
2020/12/24,138.0
2020/12/25,17.0
2020/12/26,73.0
2020/12/27,14.0
2020/12/28,195.0
2020/12/29,189.0
2020/12/30,202.0
2020/12/31,173.0
2021/01/01,15.0
2021/01/02,135.0
2021/01/03,17.0
2021/01/04,316.0
2021/01/05,244.0
2021/01/06,217.0
2021/01/07,171.0
2021/01/08,234.0
2021/01/09,98.0
2021/01/10,19.0
2021/01/11,271.0
2021/01/12,181.0
2021/01/13,227.0
2021/01/14,213.0
2021/01/15,261.0
2021/01/16,110.0
2021/01/17,10.0
2021/01/18,358.0
2021/01/19,227.0
2021/01/20,238.0
2021/01/21,269.0
2021/01/22,281.0
2021/01/23,124.0
2021/01/24,13.0
2021/01/25,382.0
2021/01/26,257.0
2021/01/27,244.0
2021/01/28,193.0
2021/01/29,224.0
2021/01/30,103.0
2021/01/31,20.0
2021/02/01,292.0
2021/02/02,204.0
2021/02/03,178.0
2021/02/04,191.0
2021/02/05,168.0
2021/02/06,139.0
2021/02/07,15.0
2021/02/08,232.0
2021/02/09,222.0
2021/02/10,146.0
2021/02/11,133.0
2021/02/12,177.0
2021/02/13,95.0
2021/02/14,11.0
2021/02/15,253.0
2021/02/16,185.0
2021/02/17,159.0
2021/02/18,161.0
2021/02/19,201.0
2021/02/20,105.0
2021/02/21,12.0
2021/02/22,239.0
2021/02/23,172.0
2021/02/24,179.0
2021/02/25,188.0
2021/02/26,167.0
2021/02/27,76.0
2021/02/28,13.0
2021/03/01,188.0
2021/03/02,123.0
2021/03/03,114.0
2021/03/04,146.0
2021/03/05,157.0
2021/03/06,80.0
2021/03/07,20.0
2021/03/08,184.0
2021/03/09,123.0
2021/03/10,125.0
2021/03/11,162.0
2021/03/12,147.0
2021/03/13,95.0
2021/03/14,4.0
2021/03/15,237.0
2021/03/16,160.0
2021/03/17,162.0
2021/03/18,216.0
2021/03/19,201.0
2021/03/20,105.0
2021/03/21,12.0
2021/03/22,253.0
2021/03/23,237.0
2021/03/24,229.0
2021/03/25,231.0
2021/03/26,257.0
2021/03/27,135.0
2021/03/28,20.0
2021/03/29,319.0
2021/03/30,268.0
2021/03/31,219.0
2021/04/01,248.0
2021/04/02,246.0
2021/04/03,149.0
2021/04/04,16.0
2021/04/05,19.0
2021/04/06,386.0
2021/04/07,277.0
2021/04/08,240.0
2021/04/09,223.0
2021/04/10,111.0
2021/04/11,14.0
2021/04/12,290.0
2021/04/13,183.0
2021/04/14,221.0
2021/04/15,187.0
2021/04/16,225.0
2021/04/17,133.0
2021/04/18,17.0
2021/04/19,289.0
2021/04/20,175.0
2021/04/21,181.0
2021/04/22,160.0
2021/04/23,205.0
2021/04/24,118.0
2021/04/25,13.0
2021/04/26,229.0
2021/04/27,164.0
2021/04/28,168.0
2021/04/29,104.0
2021/04/30,128.0
2021/05/01,16.0
2021/05/02,6.0
2021/05/03,181.0
2021/05/04,132.0
2021/05/05,93.0
2021/05/06,83.0
2021/05/07,97.0
2021/05/08,10.0
2021/05/09,3.0
2021/05/10,133.0
2021/05/11,93.0
2021/05/12,68.0
2021/05/13,5.0
2021/05/14,89.0
2021/05/15,38.0
2021/05/16,2.0
2021/05/17,107.0
2021/05/18,80.0
2021/05/19,51.0
2021/05/20,46.0
2021/05/21,56.0
2021/05/22,37.0
2021/05/23,6.0
2021/05/24,7.0
2021/05/25,81.0
2021/05/26,49.0
2021/05/27,42.0
2021/05/28,50.0
2021/05/29,35.0
2021/05/30,2.0
2021/05/31,47.0
2021/06/01,33.0
