Datas,Essonne
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,30.0
2020/05/14,45.0
2020/05/15,28.0
2020/05/16,0.0
2020/05/17,6.0
2020/05/18,26.0
2020/05/19,33.0
2020/05/20,13.0
2020/05/21,3.0
2020/05/22,20.0
2020/05/23,1.0
2020/05/24,1.0
2020/05/25,16.0
2020/05/26,13.0
2020/05/27,22.0
2020/05/28,15.0
2020/05/29,11.0
2020/05/30,7.0
2020/05/31,3.0
2020/06/01,4.0
2020/06/02,14.0
2020/06/03,11.0
2020/06/04,17.0
2020/06/05,11.0
2020/06/06,21.0
2020/06/07,1.0
2020/06/08,6.0
2020/06/09,33.0
2020/06/10,9.0
2020/06/11,11.0
2020/06/12,8.0
2020/06/13,0.0
2020/06/14,2.0
2020/06/15,12.0
2020/06/16,19.0
2020/06/17,5.0
2020/06/18,6.0
2020/06/19,4.0
2020/06/20,2.0
2020/06/21,3.0
2020/06/22,15.0
2020/06/23,9.0
2020/06/24,15.0
2020/06/25,7.0
2020/06/26,12.0
2020/06/27,7.0
2020/06/28,0.0
2020/06/29,20.0
2020/06/30,9.0
2020/07/01,11.0
2020/07/02,10.0
2020/07/03,58.0
2020/07/04,2.0
2020/07/05,1.0
2020/07/06,11.0
2020/07/07,14.0
2020/07/08,10.0
2020/07/09,14.0
2020/07/10,21.0
2020/07/11,4.0
2020/07/12,2.0
2020/07/13,15.0
2020/07/14,4.0
2020/07/15,24.0
2020/07/16,22.0
2020/07/17,26.0
2020/07/18,8.0
2020/07/19,2.0
2020/07/20,48.0
2020/07/21,40.0
2020/07/22,33.0
2020/07/23,31.0
2020/07/24,33.0
2020/07/25,13.0
2020/07/26,2.0
2020/07/27,51.0
2020/07/28,48.0
2020/07/29,51.0
2020/07/30,56.0
2020/07/31,52.0
2020/08/01,17.0
2020/08/02,13.0
2020/08/03,65.0
2020/08/04,78.0
2020/08/05,59.0
2020/08/06,68.0
2020/08/07,77.0
2020/08/08,22.0
2020/08/09,6.0
2020/08/10,87.0
2020/08/11,102.0
2020/08/12,75.0
2020/08/13,110.0
2020/08/14,80.0
2020/08/15,18.0
2020/08/16,10.0
2020/08/17,106.0
2020/08/18,105.0
2020/08/19,112.0
2020/08/20,117.0
2020/08/21,90.0
2020/08/22,29.0
2020/08/23,19.0
2020/08/24,184.0
2020/08/25,158.0
2020/08/26,145.0
2020/08/27,158.0
2020/08/28,186.0
2020/08/29,59.0
2020/08/30,19.0
2020/08/31,221.0
2020/09/01,192.0
2020/09/02,205.0
2020/09/03,188.0
2020/09/04,197.0
2020/09/05,74.0
2020/09/06,17.0
2020/09/07,258.0
2020/09/08,234.0
2020/09/09,223.0
2020/09/10,270.0
2020/09/11,247.0
2020/09/12,68.0
2020/09/13,23.0
2020/09/14,301.0
2020/09/15,273.0
2020/09/16,254.0
2020/09/17,251.0
2020/09/18,320.0
2020/09/19,94.0
2020/09/20,21.0
2020/09/21,407.0
2020/09/22,350.0
2020/09/23,346.0
2020/09/24,308.0
2020/09/25,277.0
2020/09/26,107.0
2020/09/27,21.0
2020/09/28,370.0
2020/09/29,363.0
2020/09/30,292.0
2020/10/01,383.0
2020/10/02,443.0
2020/10/03,169.0
2020/10/04,17.0
2020/10/05,584.0
2020/10/06,578.0
2020/10/07,604.0
2020/10/08,663.0
2020/10/09,658.0
2020/10/10,284.0
2020/10/11,43.0
2020/10/12,807.0
2020/10/13,757.0
2020/10/14,726.0
2020/10/15,885.0
2020/10/16,791.0
2020/10/17,352.0
2020/10/18,74.0
2020/10/19,997.0
2020/10/20,972.0
2020/10/21,1029.0
2020/10/22,1158.0
2020/10/23,1158.0
2020/10/24,465.0
2020/10/25,120.0
2020/10/26,1427.0
2020/10/27,1182.0
2020/10/28,1121.0
2020/10/29,1092.0
2020/10/30,1038.0
2020/10/31,405.0
2020/11/01,100.0
2020/11/02,1288.0
2020/11/03,1078.0
2020/11/04,818.0
2020/11/05,907.0
2020/11/06,751.0
2020/11/07,263.0
2020/11/08,40.0
2020/11/09,848.0
2020/11/10,660.0
2020/11/11,133.0
2020/11/12,634.0
2020/11/13,470.0
2020/11/14,140.0
2020/11/15,47.0
2020/11/16,505.0
2020/11/17,409.0
2020/11/18,285.0
2020/11/19,302.0
2020/11/20,287.0
2020/11/21,145.0
2020/11/22,17.0
2020/11/23,335.0
2020/11/24,308.0
2020/11/25,279.0
2020/11/26,212.0
2020/11/27,203.0
2020/11/28,96.0
2020/11/29,19.0
2020/11/30,257.0
2020/12/01,211.0
2020/12/02,189.0
2020/12/03,182.0
2020/12/04,246.0
2020/12/05,108.0
2020/12/06,15.0
2020/12/07,275.0
2020/12/08,252.0
2020/12/09,219.0
2020/12/10,181.0
2020/12/11,248.0
2020/12/12,106.0
2020/12/13,30.0
2020/12/14,303.0
2020/12/15,229.0
2020/12/16,258.0
2020/12/17,244.0
2020/12/18,282.0
2020/12/19,188.0
2020/12/20,47.0
2020/12/21,335.0
2020/12/22,258.0
2020/12/23,285.0
2020/12/24,226.0
2020/12/25,24.0
2020/12/26,206.0
2020/12/27,40.0
2020/12/28,376.0
2020/12/29,378.0
2020/12/30,351.0
2020/12/31,260.0
2021/01/01,25.0
2021/01/02,221.0
2021/01/03,33.0
2021/01/04,560.0
2021/01/05,425.0
2021/01/06,337.0
2021/01/07,376.0
2021/01/08,322.0
2021/01/09,206.0
2021/01/10,54.0
2021/01/11,451.0
2021/01/12,343.0
2021/01/13,357.0
2021/01/14,391.0
2021/01/15,373.0
2021/01/16,216.0
2021/01/17,36.0
2021/01/18,555.0
2021/01/19,392.0
2021/01/20,385.0
2021/01/21,411.0
2021/01/22,417.0
2021/01/23,247.0
2021/01/24,30.0
2021/01/25,561.0
2021/01/26,423.0
2021/01/27,380.0
2021/01/28,444.0
2021/01/29,415.0
2021/01/30,243.0
2021/01/31,30.0
2021/02/01,538.0
2021/02/02,410.0
2021/02/03,399.0
2021/02/04,431.0
2021/02/05,377.0
2021/02/06,218.0
2021/02/07,49.0
2021/02/08,514.0
2021/02/09,438.0
2021/02/10,355.0
2021/02/11,389.0
2021/02/12,403.0
2021/02/13,242.0
2021/02/14,65.0
2021/02/15,490.0
2021/02/16,465.0
2021/02/17,449.0
2021/02/18,515.0
2021/02/19,600.0
2021/02/20,309.0
2021/02/21,55.0
2021/02/22,777.0
2021/02/23,561.0
2021/02/24,587.0
2021/02/25,515.0
2021/02/26,563.0
2021/02/27,369.0
2021/02/28,66.0
2021/03/01,770.0
2021/03/02,618.0
2021/03/03,565.0
2021/03/04,593.0
2021/03/05,630.0
2021/03/06,395.0
2021/03/07,39.0
2021/03/08,868.0
2021/03/09,674.0
2021/03/10,712.0
2021/03/11,746.0
2021/03/12,807.0
2021/03/13,489.0
2021/03/14,160.0
2021/03/15,1181.0
2021/03/16,1015.0
2021/03/17,969.0
2021/03/18,1007.0
2021/03/19,1047.0
2021/03/20,684.0
2021/03/21,179.0
2021/03/22,1507.0
2021/03/23,1173.0
2021/03/24,1142.0
2021/03/25,1157.0
2021/03/26,1296.0
2021/03/27,753.0
2021/03/28,117.0
2021/03/29,1630.0
2021/03/30,1358.0
2021/03/31,1213.0
2021/04/01,1195.0
2021/04/02,1157.0
2021/04/03,653.0
2021/04/04,127.0
2021/04/05,214.0
2021/04/06,1588.0
2021/04/07,1166.0
2021/04/08,1095.0
2021/04/09,1155.0
2021/04/10,751.0
2021/04/11,110.0
2021/04/12,1320.0
2021/04/13,1014.0
2021/04/14,983.0
2021/04/15,884.0
2021/04/16,876.0
2021/04/17,577.0
2021/04/18,96.0
2021/04/19,1184.0
2021/04/20,917.0
2021/04/21,866.0
2021/04/22,849.0
2021/04/23,794.0
2021/04/24,504.0
2021/04/25,63.0
2021/04/26,1003.0
2021/04/27,739.0
2021/04/28,676.0
2021/04/29,649.0
2021/04/30,704.0
2021/05/01,125.0
2021/05/02,95.0
2021/05/03,840.0
2021/05/04,650.0
2021/05/05,525.0
2021/05/06,488.0
2021/05/07,544.0
2021/05/08,110.0
2021/05/09,64.0
2021/05/10,713.0
2021/05/11,504.0
2021/05/12,465.0
2021/05/13,75.0
2021/05/14,469.0
2021/05/15,249.0
2021/05/16,61.0
2021/05/17,561.0
2021/05/18,430.0
2021/05/19,399.0
2021/05/20,346.0
2021/05/21,329.0
2021/05/22,179.0
2021/05/23,18.0
2021/05/24,79.0
2021/05/25,432.0
2021/05/26,316.0
2021/05/27,280.0
2021/05/28,233.0
2021/05/29,134.0
