Datas,Eure-et-Loir
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,4.0
2020/05/14,7.0
2020/05/15,8.0
2020/05/16,1.0
2020/05/17,0.0
2020/05/18,6.0
2020/05/19,5.0
2020/05/20,6.0
2020/05/21,0.0
2020/05/22,1.0
2020/05/23,0.0
2020/05/24,1.0
2020/05/25,3.0
2020/05/26,3.0
2020/05/27,5.0
2020/05/28,4.0
2020/05/29,7.0
2020/05/30,0.0
2020/05/31,0.0
2020/06/01,1.0
2020/06/02,6.0
2020/06/03,2.0
2020/06/04,8.0
2020/06/05,3.0
2020/06/06,0.0
2020/06/07,0.0
2020/06/08,4.0
2020/06/09,2.0
2020/06/10,5.0
2020/06/11,5.0
2020/06/12,0.0
2020/06/13,3.0
2020/06/14,1.0
2020/06/15,2.0
2020/06/16,1.0
2020/06/17,0.0
2020/06/18,0.0
2020/06/19,2.0
2020/06/20,1.0
2020/06/21,0.0
2020/06/22,1.0
2020/06/23,1.0
2020/06/24,0.0
2020/06/25,1.0
2020/06/26,3.0
2020/06/27,0.0
2020/06/28,0.0
2020/06/29,1.0
2020/06/30,4.0
2020/07/01,4.0
2020/07/02,11.0
2020/07/03,3.0
2020/07/04,1.0
2020/07/05,0.0
2020/07/06,20.0
2020/07/07,2.0
2020/07/08,2.0
2020/07/09,2.0
2020/07/10,2.0
2020/07/11,0.0
2020/07/12,0.0
2020/07/13,1.0
2020/07/14,0.0
2020/07/15,0.0
2020/07/16,1.0
2020/07/17,0.0
2020/07/18,0.0
2020/07/19,0.0
2020/07/20,1.0
2020/07/21,3.0
2020/07/22,7.0
2020/07/23,2.0
2020/07/24,8.0
2020/07/25,3.0
2020/07/26,1.0
2020/07/27,1.0
2020/07/28,7.0
2020/07/29,0.0
2020/07/30,3.0
2020/07/31,9.0
2020/08/01,4.0
2020/08/02,0.0
2020/08/03,10.0
2020/08/04,7.0
2020/08/05,8.0
2020/08/06,14.0
2020/08/07,4.0
2020/08/08,5.0
2020/08/09,0.0
2020/08/10,14.0
2020/08/11,5.0
2020/08/12,14.0
2020/08/13,31.0
2020/08/14,6.0
2020/08/15,7.0
2020/08/16,7.0
2020/08/17,18.0
2020/08/18,17.0
2020/08/19,11.0
2020/08/20,19.0
2020/08/21,19.0
2020/08/22,5.0
2020/08/23,1.0
2020/08/24,25.0
2020/08/25,19.0
2020/08/26,16.0
2020/08/27,29.0
2020/08/28,16.0
2020/08/29,5.0
2020/08/30,2.0
2020/08/31,26.0
2020/09/01,28.0
2020/09/02,25.0
2020/09/03,37.0
2020/09/04,28.0
2020/09/05,14.0
2020/09/06,3.0
2020/09/07,49.0
2020/09/08,74.0
2020/09/09,27.0
2020/09/10,39.0
2020/09/11,33.0
2020/09/12,10.0
2020/09/13,3.0
2020/09/14,42.0
2020/09/15,36.0
2020/09/16,47.0
2020/09/17,43.0
2020/09/18,32.0
2020/09/19,15.0
2020/09/20,1.0
2020/09/21,50.0
2020/09/22,40.0
2020/09/23,39.0
2020/09/24,51.0
2020/09/25,31.0
2020/09/26,8.0
2020/09/27,3.0
2020/09/28,42.0
2020/09/29,49.0
2020/09/30,27.0
2020/10/01,34.0
2020/10/02,55.0
2020/10/03,15.0
2020/10/04,2.0
2020/10/05,67.0
2020/10/06,68.0
2020/10/07,39.0
2020/10/08,71.0
2020/10/09,78.0
2020/10/10,42.0
2020/10/11,5.0
2020/10/12,90.0
2020/10/13,105.0
2020/10/14,84.0
2020/10/15,98.0
2020/10/16,97.0
2020/10/17,87.0
2020/10/18,24.0
2020/10/19,95.0
2020/10/20,165.0
2020/10/21,209.0
2020/10/22,165.0
2020/10/23,232.0
2020/10/24,169.0
2020/10/25,41.0
2020/10/26,256.0
2020/10/27,301.0
2020/10/28,248.0
2020/10/29,255.0
2020/10/30,202.0
2020/10/31,113.0
2020/11/01,64.0
2020/11/02,224.0
2020/11/03,292.0
2020/11/04,238.0
2020/11/05,230.0
2020/11/06,203.0
2020/11/07,94.0
2020/11/08,24.0
2020/11/09,193.0
2020/11/10,214.0
2020/11/11,65.0
2020/11/12,104.0
2020/11/13,139.0
2020/11/14,84.0
2020/11/15,11.0
2020/11/16,126.0
2020/11/17,175.0
2020/11/18,122.0
2020/11/19,105.0
2020/11/20,97.0
2020/11/21,43.0
2020/11/22,10.0
2020/11/23,93.0
2020/11/24,76.0
2020/11/25,79.0
2020/11/26,63.0
2020/11/27,79.0
2020/11/28,12.0
2020/11/29,2.0
2020/11/30,84.0
2020/12/01,75.0
2020/12/02,77.0
2020/12/03,81.0
2020/12/04,76.0
2020/12/05,25.0
2020/12/06,6.0
2020/12/07,93.0
2020/12/08,77.0
2020/12/09,79.0
2020/12/10,73.0
2020/12/11,72.0
2020/12/12,30.0
2020/12/13,8.0
2020/12/14,91.0
2020/12/15,93.0
2020/12/16,66.0
2020/12/17,64.0
2020/12/18,78.0
2020/12/19,43.0
2020/12/20,13.0
2020/12/21,99.0
2020/12/22,94.0
2020/12/23,115.0
2020/12/24,57.0
2020/12/25,6.0
2020/12/26,42.0
2020/12/27,5.0
2020/12/28,115.0
2020/12/29,95.0
2020/12/30,86.0
2020/12/31,67.0
2021/01/01,7.0
2021/01/02,44.0
2021/01/03,12.0
2021/01/04,138.0
2021/01/05,89.0
2021/01/06,96.0
2021/01/07,105.0
2021/01/08,119.0
2021/01/09,41.0
2021/01/10,3.0
2021/01/11,104.0
2021/01/12,127.0
2021/01/13,70.0
2021/01/14,84.0
2021/01/15,89.0
2021/01/16,43.0
2021/01/17,2.0
2021/01/18,140.0
2021/01/19,96.0
2021/01/20,103.0
2021/01/21,88.0
2021/01/22,113.0
2021/01/23,62.0
2021/01/24,1.0
2021/01/25,151.0
2021/01/26,87.0
2021/01/27,97.0
2021/01/28,124.0
2021/01/29,131.0
2021/01/30,76.0
2021/01/31,16.0
2021/02/01,199.0
2021/02/02,152.0
2021/02/03,142.0
2021/02/04,98.0
2021/02/05,104.0
2021/02/06,70.0
2021/02/07,15.0
2021/02/08,117.0
2021/02/09,109.0
2021/02/10,70.0
2021/02/11,113.0
2021/02/12,124.0
2021/02/13,56.0
2021/02/14,6.0
2021/02/15,133.0
2021/02/16,151.0
2021/02/17,118.0
2021/02/18,134.0
2021/02/19,163.0
2021/02/20,97.0
2021/02/21,7.0
2021/02/22,198.0
2021/02/23,164.0
2021/02/24,191.0
2021/02/25,140.0
2021/02/26,128.0
2021/02/27,68.0
2021/02/28,10.0
2021/03/01,163.0
2021/03/02,133.0
2021/03/03,125.0
2021/03/04,132.0
2021/03/05,124.0
2021/03/06,83.0
2021/03/07,16.0
2021/03/08,195.0
2021/03/09,154.0
2021/03/10,138.0
2021/03/11,161.0
2021/03/12,198.0
2021/03/13,102.0
2021/03/14,17.0
2021/03/15,237.0
2021/03/16,179.0
2021/03/17,205.0
2021/03/18,237.0
2021/03/19,219.0
2021/03/20,122.0
2021/03/21,31.0
2021/03/22,262.0
2021/03/23,240.0
2021/03/24,226.0
2021/03/25,231.0
2021/03/26,275.0
2021/03/27,134.0
2021/03/28,31.0
2021/03/29,298.0
2021/03/30,254.0
2021/03/31,227.0
2021/04/01,229.0
2021/04/02,247.0
2021/04/03,117.0
2021/04/04,18.0
2021/04/05,38.0
2021/04/06,287.0
2021/04/07,245.0
2021/04/08,257.0
2021/04/09,246.0
2021/04/10,116.0
2021/04/11,18.0
2021/04/12,250.0
2021/04/13,252.0
2021/04/14,195.0
2021/04/15,236.0
2021/04/16,187.0
2021/04/17,78.0
2021/04/18,22.0
2021/04/19,243.0
2021/04/20,151.0
2021/04/21,128.0
2021/04/22,144.0
2021/04/23,175.0
2021/04/24,73.0
2021/04/25,6.0
2021/04/26,151.0
2021/04/27,120.0
2021/04/28,89.0
2021/04/29,118.0
2021/04/30,121.0
2021/05/01,8.0
2021/05/02,14.0
2021/05/03,153.0
2021/05/04,98.0
2021/05/05,101.0
2021/05/06,102.0
2021/05/07,108.0
2021/05/08,15.0
2021/05/09,13.0
2021/05/10,139.0
2021/05/11,112.0
2021/05/12,89.0
2021/05/13,10.0
2021/05/14,111.0
2021/05/15,43.0
2021/05/16,8.0
2021/05/17,121.0
2021/05/18,114.0
2021/05/19,173.0
2021/05/20,126.0
2021/05/21,114.0
2021/05/22,48.0
2021/05/23,1.0
2021/05/24,10.0
2021/05/25,110.0
2021/05/26,76.0
2021/05/27,89.0
2021/05/28,61.0
2021/05/29,35.0
2021/05/30,5.0
2021/05/31,76.0
