Datas,Eure
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,8.0
2020/05/14,5.0
2020/05/15,3.0
2020/05/16,0.0
2020/05/17,1.0
2020/05/18,6.0
2020/05/19,5.0
2020/05/20,3.0
2020/05/21,0.0
2020/05/22,4.0
2020/05/23,1.0
2020/05/24,3.0
2020/05/25,6.0
2020/05/26,2.0
2020/05/27,3.0
2020/05/28,2.0
2020/05/29,1.0
2020/05/30,0.0
2020/05/31,0.0
2020/06/01,1.0
2020/06/02,2.0
2020/06/03,2.0
2020/06/04,3.0
2020/06/05,2.0
2020/06/06,0.0
2020/06/07,1.0
2020/06/08,0.0
2020/06/09,1.0
2020/06/10,1.0
2020/06/11,0.0
2020/06/12,1.0
2020/06/13,1.0
2020/06/14,0.0
2020/06/15,0.0
2020/06/16,5.0
2020/06/17,0.0
2020/06/18,1.0
2020/06/19,2.0
2020/06/20,0.0
2020/06/21,1.0
2020/06/22,1.0
2020/06/23,1.0
2020/06/24,2.0
2020/06/25,3.0
2020/06/26,4.0
2020/06/27,0.0
2020/06/28,1.0
2020/06/29,1.0
2020/06/30,2.0
2020/07/01,1.0
2020/07/02,4.0
2020/07/03,3.0
2020/07/04,0.0
2020/07/05,0.0
2020/07/06,4.0
2020/07/07,2.0
2020/07/08,0.0
2020/07/09,2.0
2020/07/10,1.0
2020/07/11,1.0
2020/07/12,1.0
2020/07/13,0.0
2020/07/14,0.0
2020/07/15,0.0
2020/07/16,0.0
2020/07/17,7.0
2020/07/18,0.0
2020/07/19,0.0
2020/07/20,1.0
2020/07/21,1.0
2020/07/22,1.0
2020/07/23,3.0
2020/07/24,2.0
2020/07/25,0.0
2020/07/26,0.0
2020/07/27,3.0
2020/07/28,3.0
2020/07/29,8.0
2020/07/30,5.0
2020/07/31,3.0
2020/08/01,0.0
2020/08/02,0.0
2020/08/03,7.0
2020/08/04,4.0
2020/08/05,11.0
2020/08/06,10.0
2020/08/07,7.0
2020/08/08,2.0
2020/08/09,1.0
2020/08/10,8.0
2020/08/11,8.0
2020/08/12,5.0
2020/08/13,13.0
2020/08/14,17.0
2020/08/15,6.0
2020/08/16,3.0
2020/08/17,14.0
2020/08/18,25.0
2020/08/19,11.0
2020/08/20,17.0
2020/08/21,10.0
2020/08/22,6.0
2020/08/23,2.0
2020/08/24,24.0
2020/08/25,27.0
2020/08/26,29.0
2020/08/27,30.0
2020/08/28,38.0
2020/08/29,16.0
2020/08/30,13.0
2020/08/31,60.0
2020/09/01,39.0
2020/09/02,29.0
2020/09/03,26.0
2020/09/04,60.0
2020/09/05,15.0
2020/09/06,19.0
2020/09/07,58.0
2020/09/08,66.0
2020/09/09,66.0
2020/09/10,60.0
2020/09/11,54.0
2020/09/12,37.0
2020/09/13,15.0
2020/09/14,111.0
2020/09/15,87.0
2020/09/16,78.0
2020/09/17,57.0
2020/09/18,67.0
2020/09/19,39.0
2020/09/20,13.0
2020/09/21,101.0
2020/09/22,136.0
2020/09/23,88.0
2020/09/24,75.0
2020/09/25,82.0
2020/09/26,19.0
2020/09/27,10.0
2020/09/28,81.0
2020/09/29,80.0
2020/09/30,70.0
2020/10/01,81.0
2020/10/02,85.0
2020/10/03,33.0
2020/10/04,17.0
2020/10/05,139.0
2020/10/06,111.0
2020/10/07,135.0
2020/10/08,120.0
2020/10/09,125.0
2020/10/10,54.0
2020/10/11,26.0
2020/10/12,195.0
2020/10/13,154.0
2020/10/14,182.0
2020/10/15,174.0
2020/10/16,283.0
2020/10/17,58.0
2020/10/18,46.0
2020/10/19,242.0
2020/10/20,264.0
2020/10/21,269.0
2020/10/22,284.0
2020/10/23,332.0
2020/10/24,89.0
2020/10/25,54.0
2020/10/26,389.0
2020/10/27,438.0
2020/10/28,373.0
2020/10/29,383.0
2020/10/30,389.0
2020/10/31,117.0
2020/11/01,58.0
2020/11/02,451.0
2020/11/03,394.0
2020/11/04,340.0
2020/11/05,364.0
2020/11/06,292.0
2020/11/07,107.0
2020/11/08,45.0
2020/11/09,341.0
2020/11/10,303.0
2020/11/11,47.0
2020/11/12,285.0
2020/11/13,238.0
2020/11/14,81.0
2020/11/15,28.0
2020/11/16,230.0
2020/11/17,197.0
2020/11/18,155.0
2020/11/19,146.0
2020/11/20,168.0
2020/11/21,36.0
2020/11/22,31.0
2020/11/23,137.0
2020/11/24,146.0
2020/11/25,79.0
2020/11/26,94.0
2020/11/27,81.0
2020/11/28,26.0
2020/11/29,14.0
2020/11/30,88.0
2020/12/01,98.0
2020/12/02,108.0
2020/12/03,105.0
2020/12/04,128.0
2020/12/05,32.0
2020/12/06,5.0
2020/12/07,92.0
2020/12/08,92.0
2020/12/09,71.0
2020/12/10,94.0
2020/12/11,82.0
2020/12/12,34.0
2020/12/13,14.0
2020/12/14,98.0
2020/12/15,102.0
2020/12/16,82.0
2020/12/17,94.0
2020/12/18,107.0
2020/12/19,45.0
2020/12/20,7.0
2020/12/21,150.0
2020/12/22,117.0
2020/12/23,90.0
2020/12/24,76.0
2020/12/25,8.0
2020/12/26,36.0
2020/12/27,4.0
2020/12/28,147.0
2020/12/29,97.0
2020/12/30,93.0
2020/12/31,72.0
2021/01/01,4.0
2021/01/02,43.0
2021/01/03,14.0
2021/01/04,186.0
2021/01/05,133.0
2021/01/06,106.0
2021/01/07,96.0
2021/01/08,90.0
2021/01/09,35.0
2021/01/10,20.0
2021/01/11,135.0
2021/01/12,141.0
2021/01/13,85.0
2021/01/14,105.0
2021/01/15,105.0
2021/01/16,51.0
2021/01/17,11.0
2021/01/18,128.0
2021/01/19,105.0
2021/01/20,112.0
2021/01/21,111.0
2021/01/22,139.0
2021/01/23,61.0
2021/01/24,14.0
2021/01/25,153.0
2021/01/26,153.0
2021/01/27,136.0
2021/01/28,168.0
2021/01/29,192.0
2021/01/30,86.0
2021/01/31,25.0
2021/02/01,205.0
2021/02/02,170.0
2021/02/03,142.0
2021/02/04,171.0
2021/02/05,212.0
2021/02/06,69.0
2021/02/07,20.0
2021/02/08,231.0
2021/02/09,171.0
2021/02/10,124.0
2021/02/11,160.0
2021/02/12,140.0
2021/02/13,50.0
2021/02/14,13.0
2021/02/15,183.0
2021/02/16,176.0
2021/02/17,193.0
2021/02/18,179.0
2021/02/19,187.0
2021/02/20,105.0
2021/02/21,24.0
2021/02/22,275.0
2021/02/23,177.0
2021/02/24,170.0
2021/02/25,239.0
2021/02/26,187.0
2021/02/27,70.0
2021/02/28,31.0
2021/03/01,280.0
2021/03/02,210.0
2021/03/03,204.0
2021/03/04,222.0
2021/03/05,254.0
2021/03/06,127.0
2021/03/07,18.0
2021/03/08,302.0
2021/03/09,236.0
2021/03/10,240.0
2021/03/11,256.0
2021/03/12,301.0
2021/03/13,134.0
2021/03/14,18.0
2021/03/15,404.0
2021/03/16,336.0
2021/03/17,311.0
2021/03/18,390.0
2021/03/19,390.0
2021/03/20,172.0
2021/03/21,23.0
2021/03/22,544.0
2021/03/23,397.0
2021/03/24,399.0
2021/03/25,447.0
2021/03/26,452.0
2021/03/27,192.0
2021/03/28,14.0
2021/03/29,556.0
2021/03/30,447.0
2021/03/31,322.0
2021/04/01,350.0
2021/04/02,382.0
2021/04/03,157.0
2021/04/04,19.0
2021/04/05,45.0
2021/04/06,521.0
2021/04/07,380.0
2021/04/08,356.0
2021/04/09,312.0
2021/04/10,180.0
2021/04/11,21.0
2021/04/12,422.0
2021/04/13,248.0
2021/04/14,269.0
2021/04/15,292.0
2021/04/16,240.0
2021/04/17,137.0
2021/04/18,23.0
2021/04/19,372.0
2021/04/20,243.0
2021/04/21,295.0
2021/04/22,231.0
2021/04/23,238.0
2021/04/24,130.0
2021/04/25,23.0
2021/04/26,353.0
2021/04/27,216.0
2021/04/28,200.0
2021/04/29,202.0
2021/04/30,208.0
2021/05/01,18.0
2021/05/02,16.0
2021/05/03,253.0
2021/05/04,227.0
2021/05/05,164.0
2021/05/06,186.0
2021/05/07,162.0
2021/05/08,14.0
2021/05/09,11.0
2021/05/10,242.0
2021/05/11,137.0
2021/05/12,141.0
2021/05/13,12.0
2021/05/14,183.0
2021/05/15,97.0
2021/05/16,7.0
2021/05/17,248.0
2021/05/18,198.0
2021/05/19,159.0
2021/05/20,150.0
2021/05/21,162.0
2021/05/22,94.0
2021/05/23,19.0
2021/05/24,24.0
2021/05/25,197.0
2021/05/26,103.0
2021/05/27,119.0
2021/05/28,109.0
2021/05/29,54.0
2021/05/30,6.0
2021/05/31,139.0
2021/06/01,115.0
