Datas,Finistère
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,2.0
2020/05/14,1.0
2020/05/15,2.0
2020/05/16,2.0
2020/05/17,0.0
2020/05/18,0.0
2020/05/19,1.0
2020/05/20,2.0
2020/05/21,2.0
2020/05/22,4.0
2020/05/23,0.0
2020/05/24,1.0
2020/05/25,2.0
2020/05/26,1.0
2020/05/27,1.0
2020/05/28,3.0
2020/05/29,0.0
2020/05/30,0.0
2020/05/31,0.0
2020/06/01,0.0
2020/06/02,1.0
2020/06/03,1.0
2020/06/04,0.0
2020/06/05,1.0
2020/06/06,0.0
2020/06/07,0.0
2020/06/08,3.0
2020/06/09,2.0
2020/06/10,0.0
2020/06/11,0.0
2020/06/12,2.0
2020/06/13,0.0
2020/06/14,0.0
2020/06/15,0.0
2020/06/16,0.0
2020/06/17,0.0
2020/06/18,1.0
2020/06/19,0.0
2020/06/20,0.0
2020/06/21,0.0
2020/06/22,1.0
2020/06/23,1.0
2020/06/24,0.0
2020/06/25,0.0
2020/06/26,1.0
2020/06/27,0.0
2020/06/28,0.0
2020/06/29,0.0
2020/06/30,7.0
2020/07/01,0.0
2020/07/02,0.0
2020/07/03,7.0
2020/07/04,1.0
2020/07/05,0.0
2020/07/06,2.0
2020/07/07,1.0
2020/07/08,10.0
2020/07/09,3.0
2020/07/10,31.0
2020/07/11,5.0
2020/07/12,0.0
2020/07/13,34.0
2020/07/14,0.0
2020/07/15,52.0
2020/07/16,40.0
2020/07/17,13.0
2020/07/18,2.0
2020/07/19,0.0
2020/07/20,3.0
2020/07/21,1.0
2020/07/22,6.0
2020/07/23,7.0
2020/07/24,5.0
2020/07/25,1.0
2020/07/26,1.0
2020/07/27,7.0
2020/07/28,9.0
2020/07/29,2.0
2020/07/30,4.0
2020/07/31,4.0
2020/08/01,2.0
2020/08/02,2.0
2020/08/03,17.0
2020/08/04,14.0
2020/08/05,20.0
2020/08/06,11.0
2020/08/07,20.0
2020/08/08,6.0
2020/08/09,3.0
2020/08/10,18.0
2020/08/11,16.0
2020/08/12,12.0
2020/08/13,31.0
2020/08/14,51.0
2020/08/15,0.0
2020/08/16,0.0
2020/08/17,28.0
2020/08/18,35.0
2020/08/19,28.0
2020/08/20,28.0
2020/08/21,18.0
2020/08/22,9.0
2020/08/23,4.0
2020/08/24,38.0
2020/08/25,36.0
2020/08/26,26.0
2020/08/27,33.0
2020/08/28,27.0
2020/08/29,12.0
2020/08/30,4.0
2020/08/31,40.0
2020/09/01,19.0
2020/09/02,40.0
2020/09/03,33.0
2020/09/04,49.0
2020/09/05,26.0
2020/09/06,10.0
2020/09/07,22.0
2020/09/08,33.0
2020/09/09,55.0
2020/09/10,42.0
2020/09/11,31.0
2020/09/12,12.0
2020/09/13,1.0
2020/09/14,46.0
2020/09/15,63.0
2020/09/16,48.0
2020/09/17,54.0
2020/09/18,53.0
2020/09/19,22.0
2020/09/20,12.0
2020/09/21,55.0
2020/09/22,55.0
2020/09/23,62.0
2020/09/24,46.0
2020/09/25,56.0
2020/09/26,16.0
2020/09/27,6.0
2020/09/28,56.0
2020/09/29,35.0
2020/09/30,54.0
2020/10/01,64.0
2020/10/02,54.0
2020/10/03,34.0
2020/10/04,23.0
2020/10/05,75.0
2020/10/06,92.0
2020/10/07,75.0
2020/10/08,78.0
2020/10/09,111.0
2020/10/10,45.0
2020/10/11,17.0
2020/10/12,139.0
2020/10/13,95.0
2020/10/14,111.0
2020/10/15,146.0
2020/10/16,143.0
2020/10/17,72.0
2020/10/18,39.0
2020/10/19,190.0
2020/10/20,196.0
2020/10/21,204.0
2020/10/22,220.0
2020/10/23,299.0
2020/10/24,88.0
2020/10/25,55.0
2020/10/26,332.0
2020/10/27,286.0
2020/10/28,310.0
2020/10/29,274.0
2020/10/30,314.0
2020/10/31,133.0
2020/11/01,51.0
2020/11/02,432.0
2020/11/03,292.0
2020/11/04,249.0
2020/11/05,222.0
2020/11/06,233.0
2020/11/07,79.0
2020/11/08,19.0
2020/11/09,247.0
2020/11/10,159.0
2020/11/11,35.0
2020/11/12,144.0
2020/11/13,101.0
2020/11/14,51.0
2020/11/15,11.0
2020/11/16,100.0
2020/11/17,61.0
2020/11/18,46.0
2020/11/19,44.0
2020/11/20,36.0
2020/11/21,26.0
2020/11/22,9.0
2020/11/23,39.0
2020/11/24,25.0
2020/11/25,23.0
2020/11/26,25.0
2020/11/27,30.0
2020/11/28,8.0
2020/11/29,8.0
2020/11/30,35.0
2020/12/01,32.0
2020/12/02,34.0
2020/12/03,59.0
2020/12/04,18.0
2020/12/05,32.0
2020/12/06,2.0
2020/12/07,54.0
2020/12/08,27.0
2020/12/09,49.0
2020/12/10,35.0
2020/12/11,43.0
2020/12/12,38.0
2020/12/13,21.0
2020/12/14,68.0
2020/12/15,52.0
2020/12/16,84.0
2020/12/17,54.0
2020/12/18,50.0
2020/12/19,22.0
2020/12/20,5.0
2020/12/21,82.0
2020/12/22,60.0
2020/12/23,70.0
2020/12/24,49.0
2020/12/25,5.0
2020/12/26,38.0
2020/12/27,10.0
2020/12/28,89.0
2020/12/29,69.0
2020/12/30,73.0
2020/12/31,83.0
2021/01/01,1.0
2021/01/02,59.0
2021/01/03,6.0
2021/01/04,127.0
2021/01/05,106.0
2021/01/06,103.0
2021/01/07,81.0
2021/01/08,117.0
2021/01/09,62.0
2021/01/10,14.0
2021/01/11,105.0
2021/01/12,83.0
2021/01/13,76.0
2021/01/14,76.0
2021/01/15,98.0
2021/01/16,54.0
2021/01/17,13.0
2021/01/18,140.0
2021/01/19,112.0
2021/01/20,75.0
2021/01/21,98.0
2021/01/22,116.0
2021/01/23,73.0
2021/01/24,16.0
2021/01/25,163.0
2021/01/26,82.0
2021/01/27,82.0
2021/01/28,108.0
2021/01/29,96.0
2021/01/30,42.0
2021/01/31,13.0
2021/02/01,99.0
2021/02/02,94.0
2021/02/03,65.0
2021/02/04,63.0
2021/02/05,65.0
2021/02/06,41.0
2021/02/07,4.0
2021/02/08,66.0
2021/02/09,59.0
2021/02/10,31.0
2021/02/11,45.0
2021/02/12,58.0
2021/02/13,49.0
2021/02/14,6.0
2021/02/15,94.0
2021/02/16,64.0
2021/02/17,91.0
2021/02/18,75.0
2021/02/19,78.0
2021/02/20,57.0
2021/02/21,9.0
2021/02/22,95.0
2021/02/23,71.0
2021/02/24,67.0
2021/02/25,83.0
2021/02/26,71.0
2021/02/27,48.0
2021/02/28,4.0
2021/03/01,107.0
2021/03/02,81.0
2021/03/03,66.0
2021/03/04,72.0
2021/03/05,68.0
2021/03/06,50.0
2021/03/07,13.0
2021/03/08,126.0
2021/03/09,117.0
2021/03/10,73.0
2021/03/11,98.0
2021/03/12,126.0
2021/03/13,38.0
2021/03/14,7.0
2021/03/15,135.0
2021/03/16,100.0
2021/03/17,120.0
2021/03/18,103.0
2021/03/19,136.0
2021/03/20,58.0
2021/03/21,10.0
2021/03/22,129.0
2021/03/23,124.0
2021/03/24,128.0
2021/03/25,136.0
2021/03/26,132.0
2021/03/27,87.0
2021/03/28,15.0
2021/03/29,163.0
2021/03/30,91.0
2021/03/31,149.0
2021/04/01,134.0
2021/04/02,124.0
2021/04/03,69.0
2021/04/04,14.0
2021/04/05,24.0
2021/04/06,148.0
2021/04/07,140.0
2021/04/08,133.0
2021/04/09,127.0
2021/04/10,77.0
2021/04/11,12.0
2021/04/12,178.0
2021/04/13,131.0
2021/04/14,125.0
2021/04/15,111.0
2021/04/16,105.0
2021/04/17,81.0
2021/04/18,16.0
2021/04/19,150.0
2021/04/20,133.0
2021/04/21,108.0
2021/04/22,122.0
2021/04/23,139.0
2021/04/24,84.0
2021/04/25,18.0
2021/04/26,129.0
2021/04/27,123.0
2021/04/28,109.0
2021/04/29,95.0
2021/04/30,119.0
2021/05/01,25.0
2021/05/02,10.0
2021/05/03,136.0
2021/05/04,94.0
2021/05/05,88.0
2021/05/06,82.0
2021/05/07,91.0
2021/05/08,21.0
2021/05/09,6.0
2021/05/10,136.0
2021/05/11,87.0
2021/05/12,130.0
2021/05/13,29.0
2021/05/14,137.0
2021/05/15,44.0
2021/05/16,5.0
2021/05/17,147.0
2021/05/18,101.0
2021/05/19,113.0
2021/05/20,87.0
2021/05/21,78.0
2021/05/22,54.0
2021/05/23,8.0
2021/05/24,20.0
2021/05/25,123.0
2021/05/26,108.0
2021/05/27,97.0
2021/05/28,109.0
2021/05/29,56.0
2021/05/30,11.0
2021/05/31,104.0
2021/06/01,78.0
