Datas,Gard
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,0.0
2020/05/14,18.0
2020/05/15,15.0
2020/05/16,2.0
2020/05/17,1.0
2020/05/18,13.0
2020/05/19,20.0
2020/05/20,9.0
2020/05/21,0.0
2020/05/22,5.0
2020/05/23,5.0
2020/05/24,3.0
2020/05/25,9.0
2020/05/26,7.0
2020/05/27,9.0
2020/05/28,3.0
2020/05/29,9.0
2020/05/30,2.0
2020/05/31,1.0
2020/06/01,1.0
2020/06/02,5.0
2020/06/03,3.0
2020/06/04,27.0
2020/06/05,13.0
2020/06/06,5.0
2020/06/07,1.0
2020/06/08,5.0
2020/06/09,33.0
2020/06/10,27.0
2020/06/11,34.0
2020/06/12,29.0
2020/06/13,1.0
2020/06/14,0.0
2020/06/15,3.0
2020/06/16,4.0
2020/06/17,2.0
2020/06/18,15.0
2020/06/19,10.0
2020/06/20,0.0
2020/06/21,1.0
2020/06/22,7.0
2020/06/23,12.0
2020/06/24,5.0
2020/06/25,2.0
2020/06/26,12.0
2020/06/27,1.0
2020/06/28,0.0
2020/06/29,7.0
2020/06/30,15.0
2020/07/01,6.0
2020/07/02,2.0
2020/07/03,10.0
2020/07/04,0.0
2020/07/05,0.0
2020/07/06,4.0
2020/07/07,1.0
2020/07/08,7.0
2020/07/09,7.0
2020/07/10,4.0
2020/07/11,0.0
2020/07/12,1.0
2020/07/13,1.0
2020/07/14,1.0
2020/07/15,2.0
2020/07/16,6.0
2020/07/17,7.0
2020/07/18,2.0
2020/07/19,1.0
2020/07/20,5.0
2020/07/21,18.0
2020/07/22,16.0
2020/07/23,10.0
2020/07/24,23.0
2020/07/25,7.0
2020/07/26,0.0
2020/07/27,14.0
2020/07/28,9.0
2020/07/29,17.0
2020/07/30,12.0
2020/07/31,19.0
2020/08/01,8.0
2020/08/02,3.0
2020/08/03,16.0
2020/08/04,22.0
2020/08/05,20.0
2020/08/06,23.0
2020/08/07,15.0
2020/08/08,14.0
2020/08/09,11.0
2020/08/10,32.0
2020/08/11,29.0
2020/08/12,39.0
2020/08/13,36.0
2020/08/14,49.0
2020/08/15,12.0
2020/08/16,15.0
2020/08/17,39.0
2020/08/18,64.0
2020/08/19,66.0
2020/08/20,51.0
2020/08/21,53.0
2020/08/22,28.0
2020/08/23,9.0
2020/08/24,63.0
2020/08/25,87.0
2020/08/26,61.0
2020/08/27,53.0
2020/08/28,64.0
2020/08/29,29.0
2020/08/30,16.0
2020/08/31,81.0
2020/09/01,95.0
2020/09/02,106.0
2020/09/03,98.0
2020/09/04,87.0
2020/09/05,43.0
2020/09/06,26.0
2020/09/07,92.0
2020/09/08,121.0
2020/09/09,88.0
2020/09/10,123.0
2020/09/11,105.0
2020/09/12,33.0
2020/09/13,18.0
2020/09/14,112.0
2020/09/15,114.0
2020/09/16,140.0
2020/09/17,135.0
2020/09/18,139.0
2020/09/19,63.0
2020/09/20,21.0
2020/09/21,175.0
2020/09/22,141.0
2020/09/23,145.0
2020/09/24,126.0
2020/09/25,111.0
2020/09/26,75.0
2020/09/27,35.0
2020/09/28,161.0
2020/09/29,133.0
2020/09/30,130.0
2020/10/01,207.0
2020/10/02,194.0
2020/10/03,108.0
2020/10/04,26.0
2020/10/05,212.0
2020/10/06,265.0
2020/10/07,213.0
2020/10/08,237.0
2020/10/09,292.0
2020/10/10,232.0
2020/10/11,32.0
2020/10/12,297.0
2020/10/13,318.0
2020/10/14,317.0
2020/10/15,408.0
2020/10/16,296.0
2020/10/17,141.0
2020/10/18,53.0
2020/10/19,342.0
2020/10/20,376.0
2020/10/21,473.0
2020/10/22,710.0
2020/10/23,856.0
2020/10/24,383.0
2020/10/25,96.0
2020/10/26,759.0
2020/10/27,835.0
2020/10/28,807.0
2020/10/29,911.0
2020/10/30,880.0
2020/10/31,390.0
2020/11/01,108.0
2020/11/02,797.0
2020/11/03,731.0
2020/11/04,711.0
2020/11/05,670.0
2020/11/06,571.0
2020/11/07,225.0
2020/11/08,60.0
2020/11/09,642.0
2020/11/10,531.0
2020/11/11,64.0
2020/11/12,481.0
2020/11/13,371.0
2020/11/14,111.0
2020/11/15,26.0
2020/11/16,415.0
2020/11/17,264.0
2020/11/18,187.0
2020/11/19,151.0
2020/11/20,183.0
2020/11/21,60.0
2020/11/22,19.0
2020/11/23,190.0
2020/11/24,133.0
2020/11/25,139.0
2020/11/26,145.0
2020/11/27,122.0
2020/11/28,74.0
2020/11/29,17.0
2020/11/30,149.0
2020/12/01,124.0
2020/12/02,101.0
2020/12/03,124.0
2020/12/04,144.0
2020/12/05,81.0
2020/12/06,27.0
2020/12/07,172.0
2020/12/08,156.0
2020/12/09,121.0
2020/12/10,200.0
2020/12/11,156.0
2020/12/12,75.0
2020/12/13,62.0
2020/12/14,224.0
2020/12/15,182.0
2020/12/16,203.0
2020/12/17,196.0
2020/12/18,219.0
2020/12/19,110.0
2020/12/20,29.0
2020/12/21,269.0
2020/12/22,212.0
2020/12/23,182.0
2020/12/24,146.0
2020/12/25,24.0
2020/12/26,107.0
2020/12/27,13.0
2020/12/28,222.0
2020/12/29,240.0
2020/12/30,240.0
2020/12/31,182.0
2021/01/01,16.0
2021/01/02,107.0
2021/01/03,18.0
2021/01/04,332.0
2021/01/05,235.0
2021/01/06,274.0
2021/01/07,191.0
2021/01/08,229.0
2021/01/09,102.0
2021/01/10,24.0
2021/01/11,292.0
2021/01/12,263.0
2021/01/13,229.0
2021/01/14,221.0
2021/01/15,237.0
2021/01/16,139.0
2021/01/17,31.0
2021/01/18,318.0
2021/01/19,282.0
2021/01/20,282.0
2021/01/21,281.0
2021/01/22,329.0
2021/01/23,155.0
2021/01/24,43.0
2021/01/25,358.0
2021/01/26,317.0
2021/01/27,285.0
2021/01/28,282.0
2021/01/29,308.0
2021/01/30,149.0
2021/01/31,60.0
2021/02/01,406.0
2021/02/02,279.0
2021/02/03,255.0
2021/02/04,242.0
2021/02/05,271.0
2021/02/06,142.0
2021/02/07,30.0
2021/02/08,279.0
2021/02/09,244.0
2021/02/10,227.0
2021/02/11,229.0
2021/02/12,203.0
2021/02/13,142.0
2021/02/14,17.0
2021/02/15,271.0
2021/02/16,218.0
2021/02/17,205.0
2021/02/18,215.0
2021/02/19,230.0
2021/02/20,119.0
2021/02/21,27.0
2021/02/22,281.0
2021/02/23,198.0
2021/02/24,213.0
2021/02/25,189.0
2021/02/26,210.0
2021/02/27,152.0
2021/02/28,33.0
2021/03/01,315.0
2021/03/02,257.0
2021/03/03,233.0
2021/03/04,243.0
2021/03/05,259.0
2021/03/06,148.0
2021/03/07,36.0
2021/03/08,377.0
2021/03/09,295.0
2021/03/10,288.0
2021/03/11,306.0
2021/03/12,281.0
2021/03/13,169.0
2021/03/14,30.0
2021/03/15,442.0
2021/03/16,289.0
2021/03/17,261.0
2021/03/18,361.0
2021/03/19,315.0
2021/03/20,187.0
2021/03/21,28.0
2021/03/22,526.0
2021/03/23,429.0
2021/03/24,413.0
2021/03/25,460.0
2021/03/26,455.0
2021/03/27,282.0
2021/03/28,54.0
2021/03/29,592.0
2021/03/30,482.0
2021/03/31,421.0
2021/04/01,447.0
2021/04/02,480.0
2021/04/03,244.0
2021/04/04,34.0
2021/04/05,75.0
2021/04/06,627.0
2021/04/07,487.0
2021/04/08,399.0
2021/04/09,413.0
2021/04/10,271.0
2021/04/11,43.0
2021/04/12,577.0
2021/04/13,433.0
2021/04/14,393.0
2021/04/15,364.0
2021/04/16,406.0
2021/04/17,210.0
2021/04/18,46.0
2021/04/19,545.0
2021/04/20,403.0
2021/04/21,347.0
2021/04/22,340.0
2021/04/23,378.0
2021/04/24,209.0
2021/04/25,47.0
2021/04/26,433.0
2021/04/27,317.0
2021/04/28,238.0
2021/04/29,234.0
2021/04/30,281.0
2021/05/01,44.0
2021/05/02,39.0
2021/05/03,301.0
2021/05/04,186.0
2021/05/05,156.0
2021/05/06,149.0
2021/05/07,156.0
2021/05/08,24.0
2021/05/09,30.0
2021/05/10,216.0
2021/05/11,97.0
2021/05/12,131.0
2021/05/13,19.0
2021/05/14,137.0
2021/05/15,64.0
2021/05/16,7.0
2021/05/17,170.0
2021/05/18,131.0
2021/05/19,87.0
2021/05/20,91.0
2021/05/21,94.0
2021/05/22,47.0
2021/05/23,14.0
2021/05/24,25.0
2021/05/25,155.0
2021/05/26,98.0
2021/05/27,86.0
2021/05/28,77.0
2021/05/29,43.0
2021/05/30,9.0
2021/05/31,103.0
2021/06/01,67.0
