Datas,Gironde
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,4.0
2020/05/14,5.0
2020/05/15,5.0
2020/05/16,0.0
2020/05/17,1.0
2020/05/18,6.0
2020/05/19,5.0
2020/05/20,6.0
2020/05/21,0.0
2020/05/22,3.0
2020/05/23,2.0
2020/05/24,0.0
2020/05/25,5.0
2020/05/26,2.0
2020/05/27,7.0
2020/05/28,3.0
2020/05/29,3.0
2020/05/30,3.0
2020/05/31,0.0
2020/06/01,4.0
2020/06/02,0.0
2020/06/03,4.0
2020/06/04,0.0
2020/06/05,1.0
2020/06/06,0.0
2020/06/07,0.0
2020/06/08,2.0
2020/06/09,2.0
2020/06/10,3.0
2020/06/11,8.0
2020/06/12,0.0
2020/06/13,3.0
2020/06/14,0.0
2020/06/15,1.0
2020/06/16,1.0
2020/06/17,3.0
2020/06/18,8.0
2020/06/19,7.0
2020/06/20,4.0
2020/06/21,3.0
2020/06/22,4.0
2020/06/23,4.0
2020/06/24,5.0
2020/06/25,0.0
2020/06/26,2.0
2020/06/27,2.0
2020/06/28,0.0
2020/06/29,5.0
2020/06/30,6.0
2020/07/01,8.0
2020/07/02,5.0
2020/07/03,3.0
2020/07/04,2.0
2020/07/05,0.0
2020/07/06,3.0
2020/07/07,4.0
2020/07/08,20.0
2020/07/09,7.0
2020/07/10,13.0
2020/07/11,2.0
2020/07/12,0.0
2020/07/13,14.0
2020/07/14,2.0
2020/07/15,15.0
2020/07/16,17.0
2020/07/17,26.0
2020/07/18,10.0
2020/07/19,6.0
2020/07/20,14.0
2020/07/21,12.0
2020/07/22,28.0
2020/07/23,25.0
2020/07/24,33.0
2020/07/25,10.0
2020/07/26,4.0
2020/07/27,16.0
2020/07/28,12.0
2020/07/29,13.0
2020/07/30,9.0
2020/07/31,9.0
2020/08/01,10.0
2020/08/02,4.0
2020/08/03,20.0
2020/08/04,14.0
2020/08/05,18.0
2020/08/06,31.0
2020/08/07,27.0
2020/08/08,6.0
2020/08/09,9.0
2020/08/10,54.0
2020/08/11,39.0
2020/08/12,62.0
2020/08/13,79.0
2020/08/14,58.0
2020/08/15,30.0
2020/08/16,31.0
2020/08/17,107.0
2020/08/18,190.0
2020/08/19,181.0
2020/08/20,170.0
2020/08/21,185.0
2020/08/22,147.0
2020/08/23,118.0
2020/08/24,256.0
2020/08/25,328.0
2020/08/26,321.0
2020/08/27,463.0
2020/08/28,373.0
2020/08/29,190.0
2020/08/30,128.0
2020/08/31,489.0
2020/09/01,525.0
2020/09/02,571.0
2020/09/03,477.0
2020/09/04,483.0
2020/09/05,165.0
2020/09/06,133.0
2020/09/07,533.0
2020/09/08,397.0
2020/09/09,406.0
2020/09/10,434.0
2020/09/11,369.0
2020/09/12,139.0
2020/09/13,100.0
2020/09/14,455.0
2020/09/15,478.0
2020/09/16,388.0
2020/09/17,391.0
2020/09/18,372.0
2020/09/19,157.0
2020/09/20,74.0
2020/09/21,367.0
2020/09/22,293.0
2020/09/23,291.0
2020/09/24,249.0
2020/09/25,283.0
2020/09/26,124.0
2020/09/27,60.0
2020/09/28,352.0
2020/09/29,238.0
2020/09/30,259.0
2020/10/01,281.0
2020/10/02,289.0
2020/10/03,131.0
2020/10/04,66.0
2020/10/05,314.0
2020/10/06,292.0
2020/10/07,276.0
2020/10/08,296.0
2020/10/09,298.0
2020/10/10,151.0
2020/10/11,53.0
2020/10/12,398.0
2020/10/13,322.0
2020/10/14,292.0
2020/10/15,321.0
2020/10/16,345.0
2020/10/17,138.0
2020/10/18,75.0
2020/10/19,460.0
2020/10/20,453.0
2020/10/21,546.0
2020/10/22,524.0
2020/10/23,658.0
2020/10/24,193.0
2020/10/25,115.0
2020/10/26,811.0
2020/10/27,743.0
2020/10/28,642.0
2020/10/29,689.0
2020/10/30,749.0
2020/10/31,226.0
2020/11/01,76.0
2020/11/02,937.0
2020/11/03,798.0
2020/11/04,651.0
2020/11/05,626.0
2020/11/06,647.0
2020/11/07,208.0
2020/11/08,76.0
2020/11/09,663.0
2020/11/10,509.0
2020/11/11,78.0
2020/11/12,595.0
2020/11/13,429.0
2020/11/14,131.0
2020/11/15,44.0
2020/11/16,450.0
2020/11/17,270.0
2020/11/18,268.0
2020/11/19,240.0
2020/11/20,199.0
2020/11/21,81.0
2020/11/22,16.0
2020/11/23,221.0
2020/11/24,173.0
2020/11/25,185.0
2020/11/26,173.0
2020/11/27,153.0
2020/11/28,90.0
2020/11/29,15.0
2020/11/30,243.0
2020/12/01,172.0
2020/12/02,181.0
2020/12/03,180.0
2020/12/04,176.0
2020/12/05,87.0
2020/12/06,32.0
2020/12/07,292.0
2020/12/08,221.0
2020/12/09,204.0
2020/12/10,184.0
2020/12/11,181.0
2020/12/12,108.0
2020/12/13,38.0
2020/12/14,271.0
2020/12/15,251.0
2020/12/16,230.0
2020/12/17,241.0
2020/12/18,242.0
2020/12/19,123.0
2020/12/20,26.0
2020/12/21,266.0
2020/12/22,242.0
2020/12/23,250.0
2020/12/24,152.0
2020/12/25,15.0
2020/12/26,159.0
2020/12/27,41.0
2020/12/28,309.0
2020/12/29,299.0
2020/12/30,334.0
2020/12/31,241.0
2021/01/01,18.0
2021/01/02,250.0
2021/01/03,68.0
2021/01/04,503.0
2021/01/05,404.0
2021/01/06,370.0
2021/01/07,412.0
2021/01/08,405.0
2021/01/09,201.0
2021/01/10,64.0
2021/01/11,535.0
2021/01/12,404.0
2021/01/13,433.0
2021/01/14,432.0
2021/01/15,420.0
2021/01/16,255.0
2021/01/17,58.0
2021/01/18,593.0
2021/01/19,444.0
2021/01/20,422.0
2021/01/21,473.0
2021/01/22,464.0
2021/01/23,232.0
2021/01/24,62.0
2021/01/25,597.0
2021/01/26,462.0
2021/01/27,421.0
2021/01/28,430.0
2021/01/29,499.0
2021/01/30,245.0
2021/01/31,76.0
2021/02/01,573.0
2021/02/02,392.0
2021/02/03,345.0
2021/02/04,339.0
2021/02/05,327.0
2021/02/06,166.0
2021/02/07,29.0
2021/02/08,343.0
2021/02/09,277.0
2021/02/10,333.0
2021/02/11,269.0
2021/02/12,248.0
2021/02/13,167.0
2021/02/14,51.0
2021/02/15,352.0
2021/02/16,244.0
2021/02/17,282.0
2021/02/18,323.0
2021/02/19,372.0
2021/02/20,170.0
2021/02/21,38.0
2021/02/22,505.0
2021/02/23,371.0
2021/02/24,342.0
2021/02/25,305.0
2021/02/26,305.0
2021/02/27,162.0
2021/02/28,38.0
2021/03/01,341.0
2021/03/02,269.0
2021/03/03,283.0
2021/03/04,276.0
2021/03/05,272.0
2021/03/06,145.0
2021/03/07,46.0
2021/03/08,402.0
2021/03/09,392.0
2021/03/10,348.0
2021/03/11,405.0
2021/03/12,414.0
2021/03/13,240.0
2021/03/14,54.0
2021/03/15,521.0
2021/03/16,424.0
2021/03/17,496.0
2021/03/18,510.0
2021/03/19,511.0
2021/03/20,272.0
2021/03/21,53.0
2021/03/22,688.0
2021/03/23,607.0
2021/03/24,577.0
2021/03/25,600.0
2021/03/26,681.0
2021/03/27,388.0
2021/03/28,100.0
2021/03/29,879.0
2021/03/30,650.0
2021/03/31,636.0
2021/04/01,664.0
2021/04/02,699.0
2021/04/03,362.0
2021/04/04,55.0
2021/04/05,73.0
2021/04/06,866.0
2021/04/07,577.0
2021/04/08,564.0
2021/04/09,577.0
2021/04/10,391.0
2021/04/11,89.0
2021/04/12,740.0
2021/04/13,566.0
2021/04/14,479.0
2021/04/15,416.0
2021/04/16,495.0
2021/04/17,275.0
2021/04/18,70.0
2021/04/19,596.0
2021/04/20,523.0
2021/04/21,468.0
2021/04/22,390.0
2021/04/23,439.0
2021/04/24,238.0
2021/04/25,39.0
2021/04/26,550.0
2021/04/27,406.0
2021/04/28,353.0
2021/04/29,319.0
2021/04/30,293.0
2021/05/01,49.0
2021/05/02,47.0
2021/05/03,398.0
2021/05/04,353.0
2021/05/05,319.0
2021/05/06,245.0
2021/05/07,272.0
2021/05/08,26.0
2021/05/09,38.0
2021/05/10,348.0
2021/05/11,228.0
2021/05/12,184.0
2021/05/13,33.0
2021/05/14,246.0
2021/05/15,107.0
2021/05/16,44.0
2021/05/17,300.0
2021/05/18,264.0
2021/05/19,218.0
2021/05/20,217.0
2021/05/21,217.0
2021/05/22,146.0
2021/05/23,22.0
2021/05/24,49.0
2021/05/25,329.0
2021/05/26,240.0
2021/05/27,247.0
2021/05/28,245.0
2021/05/29,101.0
2021/05/30,23.0
2021/05/31,233.0
2021/06/01,169.0
