Datas,Guadeloupe
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,0.0
2020/05/14,0.0
2020/05/15,0.0
2020/05/16,0.0
2020/05/17,0.0
2020/05/18,0.0
2020/05/19,0.0
2020/05/20,1.0
2020/05/21,2.0
2020/05/22,3.0
2020/05/23,0.0
2020/05/24,1.0
2020/05/25,1.0
2020/05/26,1.0
2020/05/27,0.0
2020/05/28,1.0
2020/05/29,0.0
2020/05/30,0.0
2020/05/31,0.0
2020/06/01,0.0
2020/06/02,2.0
2020/06/03,0.0
2020/06/04,0.0
2020/06/05,4.0
2020/06/06,1.0
2020/06/07,0.0
2020/06/08,0.0
2020/06/09,0.0
2020/06/10,1.0
2020/06/11,0.0
2020/06/12,3.0
2020/06/13,0.0
2020/06/14,0.0
2020/06/15,1.0
2020/06/16,1.0
2020/06/17,0.0
2020/06/18,1.0
2020/06/19,3.0
2020/06/20,2.0
2020/06/21,0.0
2020/06/22,1.0
2020/06/23,1.0
2020/06/24,0.0
2020/06/25,3.0
2020/06/26,0.0
2020/06/27,0.0
2020/06/28,0.0
2020/06/29,0.0
2020/06/30,2.0
2020/07/01,3.0
2020/07/02,1.0
2020/07/03,1.0
2020/07/04,0.0
2020/07/05,0.0
2020/07/06,1.0
2020/07/07,1.0
2020/07/08,0.0
2020/07/09,1.0
2020/07/10,1.0
2020/07/11,2.0
2020/07/12,2.0
2020/07/13,2.0
2020/07/14,0.0
2020/07/15,2.0
2020/07/16,1.0
2020/07/17,4.0
2020/07/18,1.0
2020/07/19,0.0
2020/07/20,0.0
2020/07/21,1.0
2020/07/22,1.0
2020/07/23,5.0
2020/07/24,6.0
2020/07/25,1.0
2020/07/26,0.0
2020/07/27,26.0
2020/07/28,21.0
2020/07/29,2.0
2020/07/30,2.0
2020/07/31,3.0
2020/08/01,4.0
2020/08/02,1.0
2020/08/03,8.0
2020/08/04,4.0
2020/08/05,3.0
2020/08/06,18.0
2020/08/07,6.0
2020/08/08,7.0
2020/08/09,5.0
2020/08/10,21.0
2020/08/11,38.0
2020/08/12,23.0
2020/08/13,53.0
2020/08/14,26.0
2020/08/15,10.0
2020/08/16,9.0
2020/08/17,77.0
2020/08/18,72.0
2020/08/19,68.0
2020/08/20,73.0
2020/08/21,25.0
2020/08/22,7.0
2020/08/23,12.0
2020/08/24,152.0
2020/08/25,144.0
2020/08/26,135.0
2020/08/27,139.0
2020/08/28,45.0
2020/08/29,19.0
2020/08/30,20.0
2020/08/31,230.0
2020/09/01,168.0
2020/09/02,192.0
2020/09/03,154.0
2020/09/04,97.0
2020/09/05,21.0
2020/09/06,17.0
2020/09/07,202.0
2020/09/08,224.0
2020/09/09,181.0
2020/09/10,203.0
2020/09/11,76.0
2020/09/12,51.0
2020/09/13,28.0
2020/09/14,254.0
2020/09/15,233.0
2020/09/16,236.0
2020/09/17,228.0
2020/09/18,113.0
2020/09/19,28.0
2020/09/20,42.0
2020/09/21,299.0
2020/09/22,244.0
2020/09/23,174.0
2020/09/24,192.0
2020/09/25,109.0
2020/09/26,31.0
2020/09/27,22.0
2020/09/28,220.0
2020/09/29,157.0
2020/09/30,161.0
2020/10/01,150.0
2020/10/02,67.0
2020/10/03,27.0
2020/10/04,27.0
2020/10/05,133.0
2020/10/06,122.0
2020/10/07,85.0
2020/10/08,135.0
2020/10/09,71.0
2020/10/10,33.0
2020/10/11,15.0
2020/10/12,96.0
2020/10/13,91.0
2020/10/14,65.0
2020/10/15,81.0
2020/10/16,37.0
2020/10/17,15.0
2020/10/18,10.0
2020/10/19,71.0
2020/10/20,51.0
2020/10/21,47.0
2020/10/22,49.0
2020/10/23,31.0
2020/10/24,12.0
2020/10/25,12.0
2020/10/26,64.0
2020/10/27,52.0
2020/10/28,49.0
2020/10/29,55.0
2020/10/30,57.0
2020/10/31,11.0
2020/11/01,5.0
2020/11/02,12.0
2020/11/03,63.0
2020/11/04,35.0
2020/11/05,39.0
2020/11/06,29.0
2020/11/07,9.0
2020/11/08,6.0
2020/11/09,32.0
2020/11/10,36.0
2020/11/11,8.0
2020/11/12,28.0
2020/11/13,17.0
2020/11/14,10.0
2020/11/15,1.0
2020/11/16,24.0
2020/11/17,18.0
2020/11/18,15.0
2020/11/19,22.0
2020/11/20,15.0
2020/11/21,7.0
2020/11/22,8.0
2020/11/23,13.0
2020/11/24,15.0
2020/11/25,8.0
2020/11/26,15.0
2020/11/27,15.0
2020/11/28,6.0
2020/11/29,1.0
2020/11/30,12.0
2020/12/01,17.0
2020/12/02,7.0
2020/12/03,3.0
2020/12/04,3.0
2020/12/05,1.0
2020/12/06,6.0
2020/12/07,11.0
2020/12/08,10.0
2020/12/09,6.0
2020/12/10,6.0
2020/12/11,9.0
2020/12/12,2.0
2020/12/13,3.0
2020/12/14,11.0
2020/12/15,12.0
2020/12/16,9.0
2020/12/17,18.0
2020/12/18,12.0
2020/12/19,9.0
2020/12/20,2.0
2020/12/21,11.0
2020/12/22,11.0
2020/12/23,16.0
2020/12/24,20.0
2020/12/25,3.0
2020/12/26,4.0
2020/12/27,5.0
2020/12/28,16.0
2020/12/29,16.0
2020/12/30,20.0
2020/12/31,17.0
2021/01/01,4.0
2021/01/02,23.0
2021/01/03,2.0
2021/01/04,19.0
2021/01/05,20.0
2021/01/06,20.0
2021/01/07,20.0
2021/01/08,19.0
2021/01/09,11.0
2021/01/10,2.0
2021/01/11,20.0
2021/01/12,22.0
2021/01/13,18.0
2021/01/14,12.0
2021/01/15,10.0
2021/01/16,9.0
2021/01/17,1.0
2021/01/18,27.0
2021/01/19,18.0
2021/01/20,17.0
2021/01/21,12.0
2021/01/22,20.0
2021/01/23,10.0
2021/01/24,2.0
2021/01/25,23.0
2021/01/26,12.0
2021/01/27,12.0
2021/01/28,16.0
2021/01/29,17.0
2021/01/30,12.0
2021/01/31,6.0
2021/02/01,24.0
2021/02/02,21.0
2021/02/03,28.0
2021/02/04,26.0
2021/02/05,20.0
2021/02/06,6.0
2021/02/07,3.0
2021/02/08,27.0
2021/02/09,38.0
2021/02/10,24.0
2021/02/11,36.0
2021/02/12,40.0
2021/02/13,6.0
2021/02/14,9.0
2021/02/15,36.0
2021/02/16,9.0
2021/02/17,10.0
2021/02/18,56.0
2021/02/19,65.0
2021/02/20,24.0
2021/02/21,4.0
2021/02/22,92.0
2021/02/23,57.0
2021/02/24,42.0
2021/02/25,61.0
2021/02/26,78.0
2021/02/27,27.0
2021/02/28,14.0
2021/03/01,99.0
2021/03/02,80.0
2021/03/03,54.0
2021/03/04,53.0
2021/03/05,53.0
2021/03/06,16.0
2021/03/07,13.0
2021/03/08,60.0
2021/03/09,55.0
2021/03/10,34.0
2021/03/11,22.0
2021/03/12,65.0
2021/03/13,20.0
2021/03/14,9.0
2021/03/15,76.0
2021/03/16,55.0
2021/03/17,54.0
2021/03/18,58.0
2021/03/19,76.0
2021/03/20,23.0
2021/03/21,12.0
2021/03/22,63.0
2021/03/23,68.0
2021/03/24,67.0
2021/03/25,55.0
2021/03/26,70.0
2021/03/27,24.0
2021/03/28,10.0
2021/03/29,65.0
2021/03/30,88.0
2021/03/31,79.0
2021/04/01,75.0
2021/04/02,23.0
2021/04/03,49.0
2021/04/04,20.0
2021/04/05,33.0
2021/04/06,110.0
2021/04/07,111.0
2021/04/08,146.0
2021/04/09,121.0
2021/04/10,55.0
2021/04/11,34.0
2021/04/12,159.0
2021/04/13,143.0
2021/04/14,147.0
2021/04/15,134.0
2021/04/16,129.0
2021/04/17,75.0
2021/04/18,17.0
2021/04/19,178.0
2021/04/20,160.0
2021/04/21,146.0
2021/04/22,151.0
2021/04/23,113.0
2021/04/24,48.0
2021/04/25,31.0
2021/04/26,160.0
2021/04/27,158.0
2021/04/28,148.0
2021/04/29,128.0
2021/04/30,108.0
2021/05/01,21.0
2021/05/02,17.0
2021/05/03,160.0
2021/05/04,125.0
2021/05/05,88.0
2021/05/06,96.0
2021/05/07,94.0
2021/05/08,17.0
2021/05/09,15.0
2021/05/10,135.0
2021/05/11,96.0
2021/05/12,75.0
2021/05/13,22.0
2021/05/14,69.0
2021/05/15,33.0
2021/05/16,16.0
2021/05/17,100.0
2021/05/18,58.0
2021/05/19,57.0
2021/05/20,55.0
2021/05/21,53.0
2021/05/22,32.0
2021/05/23,9.0
2021/05/24,7.0
2021/05/25,79.0
2021/05/26,44.0
2021/05/27,18.0
2021/05/28,69.0
2021/05/29,23.0
2021/05/30,11.0
2021/05/31,49.0
2021/06/01,43.0
