Datas,Guyane
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,0.0
2020/05/14,0.0
2020/05/15,0.0
2020/05/16,1.0
2020/05/17,0.0
2020/05/18,3.0
2020/05/19,0.0
2020/05/20,0.0
2020/05/21,15.0
2020/05/22,23.0
2020/05/23,28.0
2020/05/24,33.0
2020/05/25,21.0
2020/05/26,27.0
2020/05/27,20.0
2020/05/28,6.0
2020/05/29,17.0
2020/05/30,34.0
2020/05/31,20.0
2020/06/01,18.0
2020/06/02,36.0
2020/06/03,28.0
2020/06/04,37.0
2020/06/05,36.0
2020/06/06,43.0
2020/06/07,39.0
2020/06/08,60.0
2020/06/09,64.0
2020/06/10,53.0
2020/06/11,117.0
2020/06/12,132.0
2020/06/13,73.0
2020/06/14,64.0
2020/06/15,85.0
2020/06/16,160.0
2020/06/17,288.0
2020/06/18,184.0
2020/06/19,227.0
2020/06/20,170.0
2020/06/21,50.0
2020/06/22,176.0
2020/06/23,241.0
2020/06/24,266.0
2020/06/25,173.0
2020/06/26,143.0
2020/06/27,159.0
2020/06/28,127.0
2020/06/29,208.0
2020/06/30,249.0
2020/07/01,205.0
2020/07/02,184.0
2020/07/03,243.0
2020/07/04,157.0
2020/07/05,51.0
2020/07/06,197.0
2020/07/07,171.0
2020/07/08,173.0
2020/07/09,118.0
2020/07/10,219.0
2020/07/11,68.0
2020/07/12,34.0
2020/07/13,135.0
2020/07/14,71.0
2020/07/15,80.0
2020/07/16,155.0
2020/07/17,94.0
2020/07/18,50.0
2020/07/19,82.0
2020/07/20,102.0
2020/07/21,107.0
2020/07/22,117.0
2020/07/23,99.0
2020/07/24,107.0
2020/07/25,66.0
2020/07/26,75.0
2020/07/27,75.0
2020/07/28,78.0
2020/07/29,96.0
2020/07/30,64.0
2020/07/31,80.0
2020/08/01,49.0
2020/08/02,16.0
2020/08/03,57.0
2020/08/04,91.0
2020/08/05,48.0
2020/08/06,55.0
2020/08/07,61.0
2020/08/08,29.0
2020/08/09,16.0
2020/08/10,61.0
2020/08/11,52.0
2020/08/12,44.0
2020/08/13,75.0
2020/08/14,37.0
2020/08/15,26.0
2020/08/16,9.0
2020/08/17,38.0
2020/08/18,56.0
2020/08/19,27.0
2020/08/20,57.0
2020/08/21,45.0
2020/08/22,27.0
2020/08/23,6.0
2020/08/24,33.0
2020/08/25,31.0
2020/08/26,47.0
2020/08/27,55.0
2020/08/28,42.0
2020/08/29,24.0
2020/08/30,8.0
2020/08/31,64.0
2020/09/01,43.0
2020/09/02,27.0
2020/09/03,35.0
2020/09/04,43.0
2020/09/05,13.0
2020/09/06,20.0
2020/09/07,37.0
2020/09/08,32.0
2020/09/09,40.0
2020/09/10,40.0
2020/09/11,27.0
2020/09/12,16.0
2020/09/13,2.0
2020/09/14,34.0
2020/09/15,29.0
2020/09/16,20.0
2020/09/17,22.0
2020/09/18,37.0
2020/09/19,13.0
2020/09/20,4.0
2020/09/21,29.0
2020/09/22,25.0
2020/09/23,26.0
2020/09/24,41.0
2020/09/25,27.0
2020/09/26,23.0
2020/09/27,7.0
2020/09/28,41.0
2020/09/29,23.0
2020/09/30,10.0
2020/10/01,33.0
2020/10/02,33.0
2020/10/03,17.0
2020/10/04,13.0
2020/10/05,17.0
2020/10/06,31.0
2020/10/07,28.0
2020/10/08,19.0
2020/10/09,20.0
2020/10/10,7.0
2020/10/11,2.0
2020/10/12,18.0
2020/10/13,22.0
2020/10/14,16.0
2020/10/15,8.0
2020/10/16,20.0
2020/10/17,12.0
2020/10/18,12.0
2020/10/19,24.0
2020/10/20,19.0
2020/10/21,29.0
2020/10/22,41.0
2020/10/23,23.0
2020/10/24,6.0
2020/10/25,2.0
2020/10/26,18.0
2020/10/27,28.0
2020/10/28,17.0
2020/10/29,18.0
2020/10/30,24.0
2020/10/31,15.0
2020/11/01,5.0
2020/11/02,25.0
2020/11/03,28.0
2020/11/04,19.0
2020/11/05,30.0
2020/11/06,23.0
2020/11/07,8.0
2020/11/08,6.0
2020/11/09,39.0
2020/11/10,21.0
2020/11/11,7.0
2020/11/12,45.0
2020/11/13,22.0
2020/11/14,22.0
2020/11/15,3.0
2020/11/16,40.0
2020/11/17,33.0
2020/11/18,20.0
2020/11/19,23.0
2020/11/20,29.0
2020/11/21,14.0
2020/11/22,2.0
2020/11/23,47.0
2020/11/24,30.0
2020/11/25,25.0
2020/11/26,21.0
2020/11/27,24.0
2020/11/28,22.0
2020/11/29,4.0
2020/11/30,37.0
2020/12/01,36.0
2020/12/02,40.0
2020/12/03,45.0
2020/12/04,55.0
2020/12/05,35.0
2020/12/06,3.0
2020/12/07,57.0
2020/12/08,73.0
2020/12/09,61.0
2020/12/10,88.0
2020/12/11,70.0
2020/12/12,40.0
2020/12/13,18.0
2020/12/14,109.0
2020/12/15,114.0
2020/12/16,99.0
2020/12/17,102.0
2020/12/18,79.0
2020/12/19,48.0
2020/12/20,12.0
2020/12/21,107.0
2020/12/22,88.0
2020/12/23,85.0
2020/12/24,57.0
2020/12/25,5.0
2020/12/26,48.0
2020/12/27,1.0
2020/12/28,114.0
2020/12/29,104.0
2020/12/30,108.0
2020/12/31,85.0
2021/01/01,14.0
2021/01/02,71.0
2021/01/03,16.0
2021/01/04,145.0
2021/01/05,157.0
2021/01/06,159.0
2021/01/07,151.0
2021/01/08,131.0
2021/01/09,70.0
2021/01/10,14.0
2021/01/11,198.0
2021/01/12,143.0
2021/01/13,109.0
2021/01/14,123.0
2021/01/15,151.0
2021/01/16,47.0
2021/01/17,8.0
2021/01/18,148.0
2021/01/19,130.0
2021/01/20,117.0
2021/01/21,91.0
2021/01/22,76.0
2021/01/23,30.0
2021/01/24,10.0
2021/01/25,95.0
2021/01/26,93.0
2021/01/27,79.0
2021/01/28,62.0
2021/01/29,49.0
2021/01/30,26.0
2021/01/31,11.0
2021/02/01,54.0
2021/02/02,26.0
2021/02/03,39.0
2021/02/04,25.0
2021/02/05,33.0
2021/02/06,9.0
2021/02/07,6.0
2021/02/08,25.0
2021/02/09,21.0
2021/02/10,22.0
2021/02/11,12.0
2021/02/12,13.0
2021/02/13,3.0
2021/02/14,2.0
2021/02/15,14.0
2021/02/16,17.0
2021/02/17,9.0
2021/02/18,10.0
2021/02/19,14.0
2021/02/20,7.0
2021/02/21,4.0
2021/02/22,21.0
2021/02/23,15.0
2021/02/24,17.0
2021/02/25,11.0
2021/02/26,8.0
2021/02/27,8.0
2021/02/28,0.0
2021/03/01,20.0
2021/03/02,8.0
2021/03/03,8.0
2021/03/04,4.0
2021/03/05,16.0
2021/03/06,8.0
2021/03/07,1.0
2021/03/08,9.0
2021/03/09,4.0
2021/03/10,10.0
2021/03/11,11.0
2021/03/12,11.0
2021/03/13,5.0
2021/03/14,3.0
2021/03/15,19.0
2021/03/16,7.0
2021/03/17,10.0
2021/03/18,20.0
2021/03/19,22.0
2021/03/20,7.0
2021/03/21,0.0
2021/03/22,26.0
2021/03/23,11.0
2021/03/24,29.0
2021/03/25,30.0
2021/03/26,26.0
2021/03/27,33.0
2021/03/28,4.0
2021/03/29,49.0
2021/03/30,29.0
2021/03/31,32.0
2021/04/01,31.0
2021/04/02,37.0
2021/04/03,38.0
2021/04/04,6.0
2021/04/05,13.0
2021/04/06,83.0
2021/04/07,84.0
2021/04/08,75.0
2021/04/09,65.0
2021/04/10,52.0
2021/04/11,2.0
2021/04/12,101.0
2021/04/13,83.0
2021/04/14,86.0
2021/04/15,92.0
2021/04/16,91.0
2021/04/17,45.0
2021/04/18,8.0
2021/04/19,161.0
2021/04/20,120.0
2021/04/21,107.0
2021/04/22,113.0
2021/04/23,84.0
2021/04/24,41.0
2021/04/25,9.0
2021/04/26,129.0
2021/04/27,116.0
2021/04/28,100.0
2021/04/29,118.0
2021/04/30,102.0
2021/05/01,24.0
2021/05/02,8.0
2021/05/03,210.0
2021/05/04,151.0
2021/05/05,142.0
2021/05/06,124.0
2021/05/07,178.0
2021/05/08,37.0
2021/05/09,12.0
2021/05/10,285.0
2021/05/11,258.0
2021/05/12,206.0
2021/05/13,27.0
2021/05/14,246.0
2021/05/15,104.0
2021/05/16,18.0
2021/05/17,317.0
2021/05/18,231.0
2021/05/19,192.0
2021/05/20,169.0
2021/05/21,165.0
2021/05/22,101.0
2021/05/23,17.0
2021/05/24,87.0
2021/05/25,229.0
2021/05/26,224.0
2021/05/27,148.0
2021/05/28,176.0
2021/05/29,63.0
2021/05/30,27.0
2021/05/31,197.0
2021/06/01,162.0
