Datas,Haut-Rhin
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,14.0
2020/05/14,17.0
2020/05/15,15.0
2020/05/16,16.0
2020/05/17,1.0
2020/05/18,13.0
2020/05/19,17.0
2020/05/20,31.0
2020/05/21,6.0
2020/05/22,10.0
2020/05/23,4.0
2020/05/24,4.0
2020/05/25,13.0
2020/05/26,18.0
2020/05/27,10.0
2020/05/28,15.0
2020/05/29,11.0
2020/05/30,7.0
2020/05/31,2.0
2020/06/01,1.0
2020/06/02,12.0
2020/06/03,13.0
2020/06/04,5.0
2020/06/05,1.0
2020/06/06,0.0
2020/06/07,2.0
2020/06/08,0.0
2020/06/09,7.0
2020/06/10,6.0
2020/06/11,5.0
2020/06/12,2.0
2020/06/13,3.0
2020/06/14,2.0
2020/06/15,7.0
2020/06/16,9.0
2020/06/17,9.0
2020/06/18,4.0
2020/06/19,3.0
2020/06/20,4.0
2020/06/21,1.0
2020/06/22,10.0
2020/06/23,7.0
2020/06/24,12.0
2020/06/25,8.0
2020/06/26,4.0
2020/06/27,3.0
2020/06/28,3.0
2020/06/29,6.0
2020/06/30,7.0
2020/07/01,7.0
2020/07/02,4.0
2020/07/03,8.0
2020/07/04,2.0
2020/07/05,2.0
2020/07/06,6.0
2020/07/07,1.0
2020/07/08,7.0
2020/07/09,5.0
2020/07/10,7.0
2020/07/11,1.0
2020/07/12,0.0
2020/07/13,8.0
2020/07/14,2.0
2020/07/15,23.0
2020/07/16,24.0
2020/07/17,40.0
2020/07/18,3.0
2020/07/19,1.0
2020/07/20,13.0
2020/07/21,18.0
2020/07/22,5.0
2020/07/23,13.0
2020/07/24,7.0
2020/07/25,6.0
2020/07/26,1.0
2020/07/27,18.0
2020/07/28,8.0
2020/07/29,9.0
2020/07/30,6.0
2020/07/31,29.0
2020/08/01,6.0
2020/08/02,1.0
2020/08/03,16.0
2020/08/04,8.0
2020/08/05,7.0
2020/08/06,20.0
2020/08/07,10.0
2020/08/08,11.0
2020/08/09,0.0
2020/08/10,10.0
2020/08/11,13.0
2020/08/12,14.0
2020/08/13,13.0
2020/08/14,32.0
2020/08/15,7.0
2020/08/16,1.0
2020/08/17,24.0
2020/08/18,22.0
2020/08/19,22.0
2020/08/20,24.0
2020/08/21,19.0
2020/08/22,15.0
2020/08/23,8.0
2020/08/24,34.0
2020/08/25,30.0
2020/08/26,26.0
2020/08/27,27.0
2020/08/28,32.0
2020/08/29,7.0
2020/08/30,10.0
2020/08/31,41.0
2020/09/01,32.0
2020/09/02,57.0
2020/09/03,31.0
2020/09/04,39.0
2020/09/05,12.0
2020/09/06,3.0
2020/09/07,57.0
2020/09/08,53.0
2020/09/09,37.0
2020/09/10,69.0
2020/09/11,65.0
2020/09/12,13.0
2020/09/13,5.0
2020/09/14,65.0
2020/09/15,42.0
2020/09/16,49.0
2020/09/17,45.0
2020/09/18,57.0
2020/09/19,19.0
2020/09/20,3.0
2020/09/21,37.0
2020/09/22,30.0
2020/09/23,33.0
2020/09/24,58.0
2020/09/25,46.0
2020/09/26,13.0
2020/09/27,4.0
2020/09/28,45.0
2020/09/29,26.0
2020/09/30,44.0
2020/10/01,44.0
2020/10/02,56.0
2020/10/03,17.0
2020/10/04,4.0
2020/10/05,91.0
2020/10/06,71.0
2020/10/07,101.0
2020/10/08,90.0
2020/10/09,103.0
2020/10/10,53.0
2020/10/11,9.0
2020/10/12,212.0
2020/10/13,126.0
2020/10/14,185.0
2020/10/15,170.0
2020/10/16,148.0
2020/10/17,62.0
2020/10/18,6.0
2020/10/19,291.0
2020/10/20,290.0
2020/10/21,238.0
2020/10/22,361.0
2020/10/23,349.0
2020/10/24,177.0
2020/10/25,20.0
2020/10/26,591.0
2020/10/27,486.0
2020/10/28,489.0
2020/10/29,527.0
2020/10/30,558.0
2020/10/31,306.0
2020/11/01,28.0
2020/11/02,922.0
2020/11/03,599.0
2020/11/04,523.0
2020/11/05,564.0
2020/11/06,548.0
2020/11/07,228.0
2020/11/08,29.0
2020/11/09,606.0
2020/11/10,399.0
2020/11/11,14.0
2020/11/12,505.0
2020/11/13,296.0
2020/11/14,158.0
2020/11/15,15.0
2020/11/16,372.0
2020/11/17,265.0
2020/11/18,250.0
2020/11/19,249.0
2020/11/20,227.0
2020/11/21,117.0
2020/11/22,9.0
2020/11/23,221.0
2020/11/24,206.0
2020/11/25,182.0
2020/11/26,179.0
2020/11/27,197.0
2020/11/28,86.0
2020/11/29,28.0
2020/11/30,217.0
2020/12/01,192.0
2020/12/02,146.0
2020/12/03,191.0
2020/12/04,199.0
2020/12/05,111.0
2020/12/06,22.0
2020/12/07,316.0
2020/12/08,216.0
2020/12/09,196.0
2020/12/10,195.0
2020/12/11,190.0
2020/12/12,153.0
2020/12/13,24.0
2020/12/14,312.0
2020/12/15,258.0
2020/12/16,230.0
2020/12/17,244.0
2020/12/18,255.0
2020/12/19,171.0
2020/12/20,23.0
2020/12/21,365.0
2020/12/22,351.0
2020/12/23,291.0
2020/12/24,199.0
2020/12/25,26.0
2020/12/26,78.0
2020/12/27,35.0
2020/12/28,433.0
2020/12/29,342.0
2020/12/30,338.0
2020/12/31,250.0
2021/01/01,23.0
2021/01/02,258.0
2021/01/03,25.0
2021/01/04,477.0
2021/01/05,324.0
2021/01/06,247.0
2021/01/07,239.0
2021/01/08,289.0
2021/01/09,155.0
2021/01/10,21.0
2021/01/11,312.0
2021/01/12,215.0
2021/01/13,218.0
2021/01/14,187.0
2021/01/15,191.0
2021/01/16,131.0
2021/01/17,34.0
2021/01/18,428.0
2021/01/19,261.0
2021/01/20,270.0
2021/01/21,276.0
2021/01/22,221.0
2021/01/23,149.0
2021/01/24,21.0
2021/01/25,354.0
2021/01/26,251.0
2021/01/27,201.0
2021/01/28,231.0
2021/01/29,229.0
2021/01/30,136.0
2021/01/31,13.0
2021/02/01,339.0
2021/02/02,226.0
2021/02/03,217.0
2021/02/04,161.0
2021/02/05,217.0
2021/02/06,126.0
2021/02/07,11.0
2021/02/08,268.0
2021/02/09,184.0
2021/02/10,145.0
2021/02/11,127.0
2021/02/12,148.0
2021/02/13,88.0
2021/02/14,11.0
2021/02/15,221.0
2021/02/16,141.0
2021/02/17,163.0
2021/02/18,125.0
2021/02/19,96.0
2021/02/20,64.0
2021/02/21,8.0
2021/02/22,160.0
2021/02/23,114.0
2021/02/24,140.0
2021/02/25,94.0
2021/02/26,149.0
2021/02/27,83.0
2021/02/28,20.0
2021/03/01,172.0
2021/03/02,143.0
2021/03/03,128.0
2021/03/04,103.0
2021/03/05,148.0
2021/03/06,96.0
2021/03/07,10.0
2021/03/08,234.0
2021/03/09,173.0
2021/03/10,128.0
2021/03/11,138.0
2021/03/12,141.0
2021/03/13,116.0
2021/03/14,12.0
2021/03/15,274.0
2021/03/16,182.0
2021/03/17,186.0
2021/03/18,192.0
2021/03/19,197.0
2021/03/20,119.0
2021/03/21,15.0
2021/03/22,229.0
2021/03/23,225.0
2021/03/24,235.0
2021/03/25,241.0
2021/03/26,240.0
2021/03/27,189.0
2021/03/28,20.0
2021/03/29,418.0
2021/03/30,275.0
2021/03/31,241.0
2021/04/01,300.0
2021/04/02,41.0
2021/04/03,254.0
2021/04/04,30.0
2021/04/05,49.0
2021/04/06,425.0
2021/04/07,310.0
2021/04/08,345.0
2021/04/09,320.0
2021/04/10,201.0
2021/04/11,24.0
2021/04/12,374.0
2021/04/13,299.0
2021/04/14,235.0
2021/04/15,240.0
2021/04/16,270.0
2021/04/17,180.0
2021/04/18,27.0
2021/04/19,359.0
2021/04/20,272.0
2021/04/21,226.0
2021/04/22,244.0
2021/04/23,230.0
2021/04/24,147.0
2021/04/25,28.0
2021/04/26,321.0
2021/04/27,235.0
2021/04/28,169.0
2021/04/29,180.0
2021/04/30,168.0
2021/05/01,18.0
2021/05/02,21.0
2021/05/03,296.0
2021/05/04,213.0
2021/05/05,160.0
2021/05/06,173.0
2021/05/07,171.0
2021/05/08,39.0
2021/05/09,16.0
2021/05/10,222.0
2021/05/11,141.0
2021/05/12,165.0
2021/05/13,25.0
2021/05/14,192.0
2021/05/15,109.0
2021/05/16,18.0
2021/05/17,188.0
2021/05/18,162.0
2021/05/19,162.0
2021/05/20,135.0
2021/05/21,162.0
2021/05/22,92.0
2021/05/23,13.0
2021/05/24,25.0
2021/05/25,191.0
2021/05/26,155.0
2021/05/27,134.0
2021/05/28,120.0
2021/05/29,83.0
2021/05/30,7.0
2021/05/31,166.0
