Datas,Haute-Garonne
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,19.0
2020/05/14,9.0
2020/05/15,17.0
2020/05/16,3.0
2020/05/17,2.0
2020/05/18,9.0
2020/05/19,6.0
2020/05/20,6.0
2020/05/21,1.0
2020/05/22,7.0
2020/05/23,0.0
2020/05/24,1.0
2020/05/25,3.0
2020/05/26,0.0
2020/05/27,10.0
2020/05/28,3.0
2020/05/29,4.0
2020/05/30,0.0
2020/05/31,0.0
2020/06/01,1.0
2020/06/02,9.0
2020/06/03,4.0
2020/06/04,3.0
2020/06/05,1.0
2020/06/06,1.0
2020/06/07,0.0
2020/06/08,7.0
2020/06/09,8.0
2020/06/10,7.0
2020/06/11,9.0
2020/06/12,14.0
2020/06/13,4.0
2020/06/14,0.0
2020/06/15,4.0
2020/06/16,5.0
2020/06/17,8.0
2020/06/18,2.0
2020/06/19,22.0
2020/06/20,1.0
2020/06/21,2.0
2020/06/22,15.0
2020/06/23,7.0
2020/06/24,9.0
2020/06/25,7.0
2020/06/26,9.0
2020/06/27,1.0
2020/06/28,2.0
2020/06/29,15.0
2020/06/30,6.0
2020/07/01,10.0
2020/07/02,12.0
2020/07/03,8.0
2020/07/04,1.0
2020/07/05,0.0
2020/07/06,4.0
2020/07/07,6.0
2020/07/08,4.0
2020/07/09,15.0
2020/07/10,7.0
2020/07/11,2.0
2020/07/12,2.0
2020/07/13,8.0
2020/07/14,2.0
2020/07/15,10.0
2020/07/16,18.0
2020/07/17,13.0
2020/07/18,5.0
2020/07/19,1.0
2020/07/20,27.0
2020/07/21,20.0
2020/07/22,28.0
2020/07/23,49.0
2020/07/24,27.0
2020/07/25,10.0
2020/07/26,3.0
2020/07/27,22.0
2020/07/28,32.0
2020/07/29,34.0
2020/07/30,58.0
2020/07/31,50.0
2020/08/01,15.0
2020/08/02,8.0
2020/08/03,66.0
2020/08/04,75.0
2020/08/05,60.0
2020/08/06,106.0
2020/08/07,80.0
2020/08/08,25.0
2020/08/09,14.0
2020/08/10,60.0
2020/08/11,96.0
2020/08/12,92.0
2020/08/13,120.0
2020/08/14,124.0
2020/08/15,31.0
2020/08/16,18.0
2020/08/17,127.0
2020/08/18,152.0
2020/08/19,116.0
2020/08/20,136.0
2020/08/21,137.0
2020/08/22,47.0
2020/08/23,53.0
2020/08/24,161.0
2020/08/25,170.0
2020/08/26,155.0
2020/08/27,131.0
2020/08/28,137.0
2020/08/29,78.0
2020/08/30,59.0
2020/08/31,170.0
2020/09/01,239.0
2020/09/02,218.0
2020/09/03,349.0
2020/09/04,236.0
2020/09/05,71.0
2020/09/06,64.0
2020/09/07,377.0
2020/09/08,414.0
2020/09/09,441.0
2020/09/10,469.0
2020/09/11,379.0
2020/09/12,119.0
2020/09/13,71.0
2020/09/14,645.0
2020/09/15,585.0
2020/09/16,594.0
2020/09/17,707.0
2020/09/18,593.0
2020/09/19,225.0
2020/09/20,122.0
2020/09/21,597.0
2020/09/22,632.0
2020/09/23,525.0
2020/09/24,497.0
2020/09/25,458.0
2020/09/26,184.0
2020/09/27,103.0
2020/09/28,442.0
2020/09/29,471.0
2020/09/30,445.0
2020/10/01,463.0
2020/10/02,534.0
2020/10/03,207.0
2020/10/04,101.0
2020/10/05,543.0
2020/10/06,457.0
2020/10/07,549.0
2020/10/08,581.0
2020/10/09,645.0
2020/10/10,267.0
2020/10/11,213.0
2020/10/12,745.0
2020/10/13,698.0
2020/10/14,575.0
2020/10/15,750.0
2020/10/16,814.0
2020/10/17,343.0
2020/10/18,208.0
2020/10/19,960.0
2020/10/20,919.0
2020/10/21,976.0
2020/10/22,937.0
2020/10/23,1130.0
2020/10/24,418.0
2020/10/25,330.0
2020/10/26,1062.0
2020/10/27,938.0
2020/10/28,877.0
2020/10/29,795.0
2020/10/30,896.0
2020/10/31,387.0
2020/11/01,356.0
2020/11/02,955.0
2020/11/03,854.0
2020/11/04,704.0
2020/11/05,696.0
2020/11/06,703.0
2020/11/07,257.0
2020/11/08,137.0
2020/11/09,676.0
2020/11/10,516.0
2020/11/11,94.0
2020/11/12,538.0
2020/11/13,436.0
2020/11/14,143.0
2020/11/15,56.0
2020/11/16,386.0
2020/11/17,276.0
2020/11/18,206.0
2020/11/19,200.0
2020/11/20,244.0
2020/11/21,83.0
2020/11/22,47.0
2020/11/23,207.0
2020/11/24,180.0
2020/11/25,163.0
2020/11/26,139.0
2020/11/27,166.0
2020/11/28,88.0
2020/11/29,25.0
2020/11/30,175.0
2020/12/01,184.0
2020/12/02,131.0
2020/12/03,98.0
2020/12/04,144.0
2020/12/05,69.0
2020/12/06,29.0
2020/12/07,144.0
2020/12/08,139.0
2020/12/09,127.0
2020/12/10,133.0
2020/12/11,151.0
2020/12/12,76.0
2020/12/13,48.0
2020/12/14,164.0
2020/12/15,150.0
2020/12/16,139.0
2020/12/17,184.0
2020/12/18,178.0
2020/12/19,91.0
2020/12/20,18.0
2020/12/21,239.0
2020/12/22,214.0
2020/12/23,189.0
2020/12/24,166.0
2020/12/25,13.0
2020/12/26,109.0
2020/12/27,49.0
2020/12/28,266.0
2020/12/29,262.0
2020/12/30,289.0
2020/12/31,236.0
2021/01/01,29.0
2021/01/02,164.0
2021/01/03,63.0
2021/01/04,458.0
2021/01/05,410.0
2021/01/06,389.0
2021/01/07,333.0
2021/01/08,341.0
2021/01/09,186.0
2021/01/10,77.0
2021/01/11,554.0
2021/01/12,428.0
2021/01/13,372.0
2021/01/14,430.0
2021/01/15,415.0
2021/01/16,310.0
2021/01/17,73.0
2021/01/18,624.0
2021/01/19,501.0
2021/01/20,478.0
2021/01/21,466.0
2021/01/22,531.0
2021/01/23,239.0
2021/01/24,84.0
2021/01/25,763.0
2021/01/26,562.0
2021/01/27,507.0
2021/01/28,610.0
2021/01/29,616.0
2021/01/30,290.0
2021/01/31,212.0
2021/02/01,781.0
2021/02/02,551.0
2021/02/03,497.0
2021/02/04,526.0
2021/02/05,514.0
2021/02/06,226.0
2021/02/07,110.0
2021/02/08,627.0
2021/02/09,421.0
2021/02/10,377.0
2021/02/11,428.0
2021/02/12,435.0
2021/02/13,222.0
2021/02/14,71.0
2021/02/15,525.0
2021/02/16,353.0
2021/02/17,397.0
2021/02/18,379.0
2021/02/19,398.0
2021/02/20,238.0
2021/02/21,71.0
2021/02/22,518.0
2021/02/23,383.0
2021/02/24,369.0
2021/02/25,388.0
2021/02/26,405.0
2021/02/27,194.0
2021/02/28,65.0
2021/03/01,473.0
2021/03/02,351.0
2021/03/03,361.0
2021/03/04,331.0
2021/03/05,317.0
2021/03/06,216.0
2021/03/07,62.0
2021/03/08,418.0
2021/03/09,266.0
2021/03/10,299.0
2021/03/11,290.0
2021/03/12,306.0
2021/03/13,176.0
2021/03/14,73.0
2021/03/15,440.0
2021/03/16,372.0
2021/03/17,407.0
2021/03/18,378.0
2021/03/19,486.0
2021/03/20,222.0
2021/03/21,106.0
2021/03/22,628.0
2021/03/23,541.0
2021/03/24,549.0
2021/03/25,599.0
2021/03/26,567.0
2021/03/27,308.0
2021/03/28,94.0
2021/03/29,725.0
2021/03/30,621.0
2021/03/31,619.0
2021/04/01,637.0
2021/04/02,609.0
2021/04/03,302.0
2021/04/04,118.0
2021/04/05,123.0
2021/04/06,747.0
2021/04/07,501.0
2021/04/08,475.0
2021/04/09,533.0
2021/04/10,306.0
2021/04/11,95.0
2021/04/12,517.0
2021/04/13,497.0
2021/04/14,414.0
2021/04/15,409.0
2021/04/16,418.0
2021/04/17,228.0
2021/04/18,100.0
2021/04/19,586.0
2021/04/20,460.0
2021/04/21,422.0
2021/04/22,403.0
2021/04/23,441.0
2021/04/24,259.0
2021/04/25,76.0
2021/04/26,475.0
2021/04/27,378.0
2021/04/28,345.0
2021/04/29,349.0
2021/04/30,337.0
2021/05/01,61.0
2021/05/02,98.0
2021/05/03,343.0
2021/05/04,269.0
2021/05/05,309.0
2021/05/06,282.0
2021/05/07,255.0
2021/05/08,76.0
2021/05/09,58.0
2021/05/10,367.0
2021/05/11,254.0
2021/05/12,238.0
2021/05/13,51.0
2021/05/14,242.0
2021/05/15,126.0
2021/05/16,86.0
2021/05/17,272.0
2021/05/18,278.0
2021/05/19,249.0
2021/05/20,189.0
2021/05/21,222.0
2021/05/22,141.0
2021/05/23,62.0
2021/05/24,69.0
2021/05/25,300.0
2021/05/26,186.0
2021/05/27,206.0
2021/05/28,230.0
2021/05/29,140.0
2021/05/30,48.0
2021/05/31,273.0
