Datas,Haute-Loire
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,0.0
2020/05/14,1.0
2020/05/15,0.0
2020/05/16,1.0
2020/05/17,0.0
2020/05/18,1.0
2020/05/19,1.0
2020/05/20,2.0
2020/05/21,0.0
2020/05/22,2.0
2020/05/23,0.0
2020/05/24,0.0
2020/05/25,3.0
2020/05/26,1.0
2020/05/27,1.0
2020/05/28,1.0
2020/05/29,1.0
2020/05/30,0.0
2020/05/31,0.0
2020/06/01,0.0
2020/06/02,3.0
2020/06/03,5.0
2020/06/04,0.0
2020/06/05,2.0
2020/06/06,2.0
2020/06/07,0.0
2020/06/08,0.0
2020/06/09,0.0
2020/06/10,2.0
2020/06/11,1.0
2020/06/12,0.0
2020/06/13,0.0
2020/06/14,0.0
2020/06/15,0.0
2020/06/16,1.0
2020/06/17,0.0
2020/06/18,0.0
2020/06/19,0.0
2020/06/20,0.0
2020/06/21,0.0
2020/06/22,0.0
2020/06/23,0.0
2020/06/24,0.0
2020/06/25,1.0
2020/06/26,0.0
2020/06/27,0.0
2020/06/28,0.0
2020/06/29,1.0
2020/06/30,0.0
2020/07/01,0.0
2020/07/02,1.0
2020/07/03,0.0
2020/07/04,1.0
2020/07/05,0.0
2020/07/06,0.0
2020/07/07,0.0
2020/07/08,0.0
2020/07/09,0.0
2020/07/10,0.0
2020/07/11,0.0
2020/07/12,0.0
2020/07/13,0.0
2020/07/14,0.0
2020/07/15,0.0
2020/07/16,0.0
2020/07/17,1.0
2020/07/18,0.0
2020/07/19,0.0
2020/07/20,1.0
2020/07/21,2.0
2020/07/22,0.0
2020/07/23,1.0
2020/07/24,0.0
2020/07/25,1.0
2020/07/26,0.0
2020/07/27,1.0
2020/07/28,0.0
2020/07/29,0.0
2020/07/30,1.0
2020/07/31,0.0
2020/08/01,0.0
2020/08/02,0.0
2020/08/03,0.0
2020/08/04,1.0
2020/08/05,0.0
2020/08/06,1.0
2020/08/07,0.0
2020/08/08,1.0
2020/08/09,0.0
2020/08/10,5.0
2020/08/11,1.0
2020/08/12,2.0
2020/08/13,2.0
2020/08/14,3.0
2020/08/15,0.0
2020/08/16,0.0
2020/08/17,4.0
2020/08/18,3.0
2020/08/19,9.0
2020/08/20,6.0
2020/08/21,2.0
2020/08/22,1.0
2020/08/23,1.0
2020/08/24,3.0
2020/08/25,10.0
2020/08/26,13.0
2020/08/27,9.0
2020/08/28,9.0
2020/08/29,3.0
2020/08/30,0.0
2020/08/31,19.0
2020/09/01,13.0
2020/09/02,12.0
2020/09/03,22.0
2020/09/04,19.0
2020/09/05,3.0
2020/09/06,1.0
2020/09/07,15.0
2020/09/08,21.0
2020/09/09,15.0
2020/09/10,30.0
2020/09/11,31.0
2020/09/12,6.0
2020/09/13,3.0
2020/09/14,26.0
2020/09/15,34.0
2020/09/16,17.0
2020/09/17,20.0
2020/09/18,34.0
2020/09/19,6.0
2020/09/20,4.0
2020/09/21,29.0
2020/09/22,35.0
2020/09/23,16.0
2020/09/24,19.0
2020/09/25,24.0
2020/09/26,14.0
2020/09/27,4.0
2020/09/28,55.0
2020/09/29,42.0
2020/09/30,107.0
2020/10/01,55.0
2020/10/02,52.0
2020/10/03,28.0
2020/10/04,3.0
2020/10/05,125.0
2020/10/06,89.0
2020/10/07,104.0
2020/10/08,97.0
2020/10/09,128.0
2020/10/10,55.0
2020/10/11,4.0
2020/10/12,135.0
2020/10/13,147.0
2020/10/14,148.0
2020/10/15,186.0
2020/10/16,202.0
2020/10/17,109.0
2020/10/18,12.0
2020/10/19,220.0
2020/10/20,315.0
2020/10/21,303.0
2020/10/22,377.0
2020/10/23,463.0
2020/10/24,206.0
2020/10/25,55.0
2020/10/26,486.0
2020/10/27,474.0
2020/10/28,496.0
2020/10/29,492.0
2020/10/30,431.0
2020/10/31,177.0
2020/11/01,36.0
2020/11/02,503.0
2020/11/03,524.0
2020/11/04,487.0
2020/11/05,368.0
2020/11/06,349.0
2020/11/07,131.0
2020/11/08,19.0
2020/11/09,332.0
2020/11/10,340.0
2020/11/11,21.0
2020/11/12,351.0
2020/11/13,170.0
2020/11/14,56.0
2020/11/15,12.0
2020/11/16,180.0
2020/11/17,179.0
2020/11/18,90.0
2020/11/19,124.0
2020/11/20,112.0
2020/11/21,42.0
2020/11/22,6.0
2020/11/23,102.0
2020/11/24,84.0
2020/11/25,59.0
2020/11/26,62.0
2020/11/27,61.0
2020/11/28,26.0
2020/11/29,3.0
2020/11/30,58.0
2020/12/01,41.0
2020/12/02,45.0
2020/12/03,45.0
2020/12/04,43.0
2020/12/05,19.0
2020/12/06,7.0
2020/12/07,63.0
2020/12/08,48.0
2020/12/09,35.0
2020/12/10,63.0
2020/12/11,49.0
2020/12/12,26.0
2020/12/13,3.0
2020/12/14,67.0
2020/12/15,58.0
2020/12/16,54.0
2020/12/17,82.0
2020/12/18,113.0
2020/12/19,102.0
2020/12/20,54.0
2020/12/21,66.0
2020/12/22,39.0
2020/12/23,50.0
2020/12/24,61.0
2020/12/25,1.0
2020/12/26,24.0
2020/12/27,5.0
2020/12/28,58.0
2020/12/29,53.0
2020/12/30,59.0
2020/12/31,91.0
2021/01/01,2.0
2021/01/02,59.0
2021/01/03,7.0
2021/01/04,100.0
2021/01/05,93.0
2021/01/06,81.0
2021/01/07,95.0
2021/01/08,94.0
2021/01/09,52.0
2021/01/10,6.0
2021/01/11,115.0
2021/01/12,105.0
2021/01/13,82.0
2021/01/14,78.0
2021/01/15,94.0
2021/01/16,53.0
2021/01/17,4.0
2021/01/18,130.0
2021/01/19,113.0
2021/01/20,92.0
2021/01/21,111.0
2021/01/22,88.0
2021/01/23,51.0
2021/01/24,9.0
2021/01/25,109.0
2021/01/26,70.0
2021/01/27,59.0
2021/01/28,66.0
2021/01/29,83.0
2021/01/30,47.0
2021/01/31,2.0
2021/02/01,101.0
2021/02/02,61.0
2021/02/03,66.0
2021/02/04,58.0
2021/02/05,80.0
2021/02/06,55.0
2021/02/07,7.0
2021/02/08,75.0
2021/02/09,52.0
2021/02/10,47.0
2021/02/11,34.0
2021/02/12,46.0
2021/02/13,28.0
2021/02/14,1.0
2021/02/15,50.0
2021/02/16,47.0
2021/02/17,38.0
2021/02/18,29.0
2021/02/19,49.0
2021/02/20,23.0
2021/02/21,1.0
2021/02/22,47.0
2021/02/23,37.0
2021/02/24,56.0
2021/02/25,40.0
2021/02/26,32.0
2021/02/27,18.0
2021/02/28,0.0
2021/03/01,36.0
2021/03/02,17.0
2021/03/03,26.0
2021/03/04,33.0
2021/03/05,25.0
2021/03/06,24.0
2021/03/07,3.0
2021/03/08,37.0
2021/03/09,22.0
2021/03/10,41.0
2021/03/11,20.0
2021/03/12,54.0
2021/03/13,24.0
2021/03/14,7.0
2021/03/15,51.0
2021/03/16,59.0
2021/03/17,45.0
2021/03/18,50.0
2021/03/19,60.0
2021/03/20,58.0
2021/03/21,3.0
2021/03/22,113.0
2021/03/23,69.0
2021/03/24,87.0
2021/03/25,97.0
2021/03/26,126.0
2021/03/27,98.0
2021/03/28,11.0
2021/03/29,157.0
2021/03/30,102.0
2021/03/31,122.0
2021/04/01,115.0
2021/04/02,117.0
2021/04/03,107.0
2021/04/04,14.0
2021/04/05,34.0
2021/04/06,196.0
2021/04/07,119.0
2021/04/08,144.0
2021/04/09,125.0
2021/04/10,101.0
2021/04/11,15.0
2021/04/12,136.0
2021/04/13,119.0
2021/04/14,114.0
2021/04/15,102.0
2021/04/16,133.0
2021/04/17,63.0
2021/04/18,9.0
2021/04/19,175.0
2021/04/20,105.0
2021/04/21,140.0
2021/04/22,128.0
2021/04/23,145.0
2021/04/24,99.0
2021/04/25,4.0
2021/04/26,159.0
2021/04/27,110.0
2021/04/28,101.0
2021/04/29,95.0
2021/04/30,117.0
2021/05/01,9.0
2021/05/02,7.0
2021/05/03,173.0
2021/05/04,95.0
2021/05/05,107.0
2021/05/06,92.0
2021/05/07,93.0
2021/05/08,16.0
2021/05/09,7.0
2021/05/10,132.0
2021/05/11,73.0
2021/05/12,54.0
2021/05/13,2.0
2021/05/14,85.0
2021/05/15,48.0
2021/05/16,4.0
2021/05/17,75.0
2021/05/18,58.0
2021/05/19,53.0
2021/05/20,54.0
2021/05/21,60.0
2021/05/22,33.0
2021/05/23,9.0
2021/05/24,7.0
2021/05/25,66.0
2021/05/26,48.0
2021/05/27,54.0
2021/05/28,56.0
2021/05/29,28.0
2021/05/30,8.0
2021/05/31,58.0
2021/06/01,32.0
