Datas,Haute-Savoie
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,8.0
2020/05/14,4.0
2020/05/15,12.0
2020/05/16,2.0
2020/05/17,2.0
2020/05/18,2.0
2020/05/19,10.0
2020/05/20,1.0
2020/05/21,0.0
2020/05/22,2.0
2020/05/23,2.0
2020/05/24,0.0
2020/05/25,2.0
2020/05/26,1.0
2020/05/27,3.0
2020/05/28,0.0
2020/05/29,3.0
2020/05/30,1.0
2020/05/31,0.0
2020/06/01,2.0
2020/06/02,3.0
2020/06/03,4.0
2020/06/04,3.0
2020/06/05,0.0
2020/06/06,0.0
2020/06/07,0.0
2020/06/08,3.0
2020/06/09,0.0
2020/06/10,1.0
2020/06/11,1.0
2020/06/12,1.0
2020/06/13,0.0
2020/06/14,0.0
2020/06/15,2.0
2020/06/16,2.0
2020/06/17,4.0
2020/06/18,2.0
2020/06/19,1.0
2020/06/20,5.0
2020/06/21,0.0
2020/06/22,4.0
2020/06/23,3.0
2020/06/24,2.0
2020/06/25,1.0
2020/06/26,5.0
2020/06/27,0.0
2020/06/28,1.0
2020/06/29,2.0
2020/06/30,2.0
2020/07/01,2.0
2020/07/02,1.0
2020/07/03,1.0
2020/07/04,1.0
2020/07/05,0.0
2020/07/06,4.0
2020/07/07,2.0
2020/07/08,2.0
2020/07/09,3.0
2020/07/10,2.0
2020/07/11,1.0
2020/07/12,1.0
2020/07/13,2.0
2020/07/14,1.0
2020/07/15,5.0
2020/07/16,9.0
2020/07/17,7.0
2020/07/18,7.0
2020/07/19,1.0
2020/07/20,22.0
2020/07/21,16.0
2020/07/22,24.0
2020/07/23,24.0
2020/07/24,21.0
2020/07/25,17.0
2020/07/26,4.0
2020/07/27,38.0
2020/07/28,40.0
2020/07/29,42.0
2020/07/30,45.0
2020/07/31,33.0
2020/08/01,22.0
2020/08/02,2.0
2020/08/03,36.0
2020/08/04,41.0
2020/08/05,31.0
2020/08/06,30.0
2020/08/07,33.0
2020/08/08,15.0
2020/08/09,3.0
2020/08/10,26.0
2020/08/11,38.0
2020/08/12,31.0
2020/08/13,27.0
2020/08/14,40.0
2020/08/15,0.0
2020/08/16,2.0
2020/08/17,57.0
2020/08/18,44.0
2020/08/19,32.0
2020/08/20,49.0
2020/08/21,55.0
2020/08/22,20.0
2020/08/23,2.0
2020/08/24,73.0
2020/08/25,59.0
2020/08/26,37.0
2020/08/27,45.0
2020/08/28,47.0
2020/08/29,24.0
2020/08/30,7.0
2020/08/31,63.0
2020/09/01,36.0
2020/09/02,53.0
2020/09/03,46.0
2020/09/04,61.0
2020/09/05,18.0
2020/09/06,2.0
2020/09/07,86.0
2020/09/08,81.0
2020/09/09,65.0
2020/09/10,73.0
2020/09/11,67.0
2020/09/12,24.0
2020/09/13,3.0
2020/09/14,83.0
2020/09/15,60.0
2020/09/16,76.0
2020/09/17,75.0
2020/09/18,51.0
2020/09/19,26.0
2020/09/20,9.0
2020/09/21,80.0
2020/09/22,68.0
2020/09/23,68.0
2020/09/24,76.0
2020/09/25,51.0
2020/09/26,32.0
2020/09/27,5.0
2020/09/28,92.0
2020/09/29,63.0
2020/09/30,70.0
2020/10/01,74.0
2020/10/02,97.0
2020/10/03,29.0
2020/10/04,8.0
2020/10/05,147.0
2020/10/06,130.0
2020/10/07,153.0
2020/10/08,169.0
2020/10/09,206.0
2020/10/10,78.0
2020/10/11,7.0
2020/10/12,314.0
2020/10/13,306.0
2020/10/14,347.0
2020/10/15,447.0
2020/10/16,488.0
2020/10/17,261.0
2020/10/18,53.0
2020/10/19,924.0
2020/10/20,910.0
2020/10/21,876.0
2020/10/22,1069.0
2020/10/23,1128.0
2020/10/24,593.0
2020/10/25,99.0
2020/10/26,1768.0
2020/10/27,1765.0
2020/10/28,1530.0
2020/10/29,1497.0
2020/10/30,1635.0
2020/10/31,798.0
2020/11/01,147.0
2020/11/02,2114.0
2020/11/03,1948.0
2020/11/04,1566.0
2020/11/05,1416.0
2020/11/06,1396.0
2020/11/07,565.0
2020/11/08,122.0
2020/11/09,1634.0
2020/11/10,1133.0
2020/11/11,144.0
2020/11/12,1211.0
2020/11/13,924.0
2020/11/14,309.0
2020/11/15,65.0
2020/11/16,1156.0
2020/11/17,692.0
2020/11/18,674.0
2020/11/19,609.0
2020/11/20,544.0
2020/11/21,258.0
2020/11/22,50.0
2020/11/23,605.0
2020/11/24,364.0
2020/11/25,376.0
2020/11/26,320.0
2020/11/27,356.0
2020/11/28,207.0
2020/11/29,26.0
2020/11/30,453.0
2020/12/01,368.0
2020/12/02,262.0
2020/12/03,307.0
2020/12/04,296.0
2020/12/05,148.0
2020/12/06,37.0
2020/12/07,397.0
2020/12/08,271.0
2020/12/09,225.0
2020/12/10,251.0
2020/12/11,271.0
2020/12/12,122.0
2020/12/13,19.0
2020/12/14,393.0
2020/12/15,275.0
2020/12/16,257.0
2020/12/17,281.0
2020/12/18,358.0
2020/12/19,226.0
2020/12/20,146.0
2020/12/21,390.0
2020/12/22,318.0
2020/12/23,277.0
2020/12/24,226.0
2020/12/25,18.0
2020/12/26,221.0
2020/12/27,34.0
2020/12/28,427.0
2020/12/29,350.0
2020/12/30,339.0
2020/12/31,242.0
2021/01/01,32.0
2021/01/02,188.0
2021/01/03,34.0
2021/01/04,478.0
2021/01/05,303.0
2021/01/06,272.0
2021/01/07,279.0
2021/01/08,285.0
2021/01/09,174.0
2021/01/10,25.0
2021/01/11,330.0
2021/01/12,258.0
2021/01/13,213.0
2021/01/14,226.0
2021/01/15,260.0
2021/01/16,120.0
2021/01/17,16.0
2021/01/18,335.0
2021/01/19,272.0
2021/01/20,238.0
2021/01/21,229.0
2021/01/22,273.0
2021/01/23,135.0
2021/01/24,30.0
2021/01/25,353.0
2021/01/26,278.0
2021/01/27,249.0
2021/01/28,236.0
2021/01/29,233.0
2021/01/30,144.0
2021/01/31,31.0
2021/02/01,377.0
2021/02/02,284.0
2021/02/03,260.0
2021/02/04,239.0
2021/02/05,276.0
2021/02/06,156.0
2021/02/07,31.0
2021/02/08,297.0
2021/02/09,230.0
2021/02/10,210.0
2021/02/11,211.0
2021/02/12,260.0
2021/02/13,112.0
2021/02/14,17.0
2021/02/15,333.0
2021/02/16,201.0
2021/02/17,190.0
2021/02/18,215.0
2021/02/19,218.0
2021/02/20,151.0
2021/02/21,19.0
2021/02/22,283.0
2021/02/23,249.0
2021/02/24,256.0
2021/02/25,230.0
2021/02/26,245.0
2021/02/27,121.0
2021/02/28,21.0
2021/03/01,265.0
2021/03/02,242.0
2021/03/03,252.0
2021/03/04,218.0
2021/03/05,248.0
2021/03/06,157.0
2021/03/07,38.0
2021/03/08,358.0
2021/03/09,318.0
2021/03/10,322.0
2021/03/11,283.0
2021/03/12,271.0
2021/03/13,174.0
2021/03/14,34.0
2021/03/15,509.0
2021/03/16,401.0
2021/03/17,318.0
2021/03/18,347.0
2021/03/19,333.0
2021/03/20,212.0
2021/03/21,30.0
2021/03/22,512.0
2021/03/23,442.0
2021/03/24,409.0
2021/03/25,432.0
2021/03/26,434.0
2021/03/27,250.0
2021/03/28,36.0
2021/03/29,595.0
2021/03/30,528.0
2021/03/31,423.0
2021/04/01,416.0
2021/04/02,443.0
2021/04/03,225.0
2021/04/04,34.0
2021/04/05,65.0
2021/04/06,701.0
2021/04/07,464.0
2021/04/08,389.0
2021/04/09,461.0
2021/04/10,260.0
2021/04/11,28.0
2021/04/12,565.0
2021/04/13,407.0
2021/04/14,374.0
2021/04/15,327.0
2021/04/16,311.0
2021/04/17,175.0
2021/04/18,34.0
2021/04/19,426.0
2021/04/20,278.0
2021/04/21,253.0
2021/04/22,267.0
2021/04/23,268.0
2021/04/24,154.0
2021/04/25,15.0
2021/04/26,287.0
2021/04/27,212.0
2021/04/28,194.0
2021/04/29,210.0
2021/04/30,183.0
2021/05/01,15.0
2021/05/02,17.0
2021/05/03,259.0
2021/05/04,178.0
2021/05/05,152.0
2021/05/06,141.0
2021/05/07,140.0
2021/05/08,18.0
2021/05/09,8.0
2021/05/10,240.0
2021/05/11,161.0
2021/05/12,125.0
2021/05/13,22.0
2021/05/14,185.0
2021/05/15,116.0
2021/05/16,7.0
2021/05/17,253.0
2021/05/18,153.0
2021/05/19,165.0
2021/05/20,142.0
2021/05/21,138.0
2021/05/22,85.0
2021/05/23,12.0
2021/05/24,24.0
2021/05/25,201.0
2021/05/26,165.0
2021/05/27,141.0
2021/05/28,121.0
2021/05/29,58.0
2021/05/30,15.0
