Datas,Haute-Saône
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,1.0
2020/05/14,5.0
2020/05/15,2.0
2020/05/16,0.0
2020/05/17,0.0
2020/05/18,1.0
2020/05/19,1.0
2020/05/20,1.0
2020/05/21,0.0
2020/05/22,1.0
2020/05/23,0.0
2020/05/24,0.0
2020/05/25,0.0
2020/05/26,0.0
2020/05/27,1.0
2020/05/28,2.0
2020/05/29,1.0
2020/05/30,1.0
2020/05/31,0.0
2020/06/01,0.0
2020/06/02,2.0
2020/06/03,3.0
2020/06/04,0.0
2020/06/05,0.0
2020/06/06,1.0
2020/06/07,0.0
2020/06/08,0.0
2020/06/09,1.0
2020/06/10,1.0
2020/06/11,2.0
2020/06/12,1.0
2020/06/13,0.0
2020/06/14,0.0
2020/06/15,0.0
2020/06/16,0.0
2020/06/17,1.0
2020/06/18,0.0
2020/06/19,1.0
2020/06/20,0.0
2020/06/21,0.0
2020/06/22,0.0
2020/06/23,0.0
2020/06/24,0.0
2020/06/25,0.0
2020/06/26,0.0
2020/06/27,0.0
2020/06/28,0.0
2020/06/29,0.0
2020/06/30,0.0
2020/07/01,0.0
2020/07/02,0.0
2020/07/03,0.0
2020/07/04,0.0
2020/07/05,1.0
2020/07/06,0.0
2020/07/07,1.0
2020/07/08,0.0
2020/07/09,0.0
2020/07/10,0.0
2020/07/11,0.0
2020/07/12,1.0
2020/07/13,0.0
2020/07/14,0.0
2020/07/15,1.0
2020/07/16,0.0
2020/07/17,0.0
2020/07/18,0.0
2020/07/19,0.0
2020/07/20,0.0
2020/07/21,2.0
2020/07/22,0.0
2020/07/23,0.0
2020/07/24,3.0
2020/07/25,0.0
2020/07/26,0.0
2020/07/27,1.0
2020/07/28,0.0
2020/07/29,1.0
2020/07/30,2.0
2020/07/31,3.0
2020/08/01,1.0
2020/08/02,0.0
2020/08/03,5.0
2020/08/04,4.0
2020/08/05,2.0
2020/08/06,4.0
2020/08/07,10.0
2020/08/08,3.0
2020/08/09,0.0
2020/08/10,8.0
2020/08/11,6.0
2020/08/12,1.0
2020/08/13,3.0
2020/08/14,7.0
2020/08/15,1.0
2020/08/16,3.0
2020/08/17,10.0
2020/08/18,5.0
2020/08/19,3.0
2020/08/20,4.0
2020/08/21,2.0
2020/08/22,4.0
2020/08/23,0.0
2020/08/24,6.0
2020/08/25,5.0
2020/08/26,0.0
2020/08/27,9.0
2020/08/28,8.0
2020/08/29,9.0
2020/08/30,0.0
2020/08/31,10.0
2020/09/01,8.0
2020/09/02,10.0
2020/09/03,4.0
2020/09/04,10.0
2020/09/05,12.0
2020/09/06,0.0
2020/09/07,10.0
2020/09/08,12.0
2020/09/09,8.0
2020/09/10,8.0
2020/09/11,2.0
2020/09/12,6.0
2020/09/13,3.0
2020/09/14,6.0
2020/09/15,9.0
2020/09/16,6.0
2020/09/17,6.0
2020/09/18,13.0
2020/09/19,3.0
2020/09/20,0.0
2020/09/21,10.0
2020/09/22,10.0
2020/09/23,5.0
2020/09/24,6.0
2020/09/25,9.0
2020/09/26,9.0
2020/09/27,2.0
2020/09/28,12.0
2020/09/29,9.0
2020/09/30,12.0
2020/10/01,12.0
2020/10/02,13.0
2020/10/03,10.0
2020/10/04,3.0
2020/10/05,17.0
2020/10/06,17.0
2020/10/07,24.0
2020/10/08,25.0
2020/10/09,18.0
2020/10/10,19.0
2020/10/11,2.0
2020/10/12,44.0
2020/10/13,43.0
2020/10/14,37.0
2020/10/15,46.0
2020/10/16,41.0
2020/10/17,25.0
2020/10/18,1.0
2020/10/19,61.0
2020/10/20,94.0
2020/10/21,91.0
2020/10/22,102.0
2020/10/23,147.0
2020/10/24,68.0
2020/10/25,7.0
2020/10/26,195.0
2020/10/27,146.0
2020/10/28,168.0
2020/10/29,138.0
2020/10/30,189.0
2020/10/31,132.0
2020/11/01,15.0
2020/11/02,244.0
2020/11/03,234.0
2020/11/04,169.0
2020/11/05,212.0
2020/11/06,166.0
2020/11/07,81.0
2020/11/08,17.0
2020/11/09,238.0
2020/11/10,176.0
2020/11/11,5.0
2020/11/12,167.0
2020/11/13,130.0
2020/11/14,43.0
2020/11/15,10.0
2020/11/16,131.0
2020/11/17,122.0
2020/11/18,82.0
2020/11/19,101.0
2020/11/20,79.0
2020/11/21,27.0
2020/11/22,5.0
2020/11/23,70.0
2020/11/24,68.0
2020/11/25,66.0
2020/11/26,81.0
2020/11/27,45.0
2020/11/28,37.0
2020/11/29,7.0
2020/11/30,68.0
2020/12/01,76.0
2020/12/02,92.0
2020/12/03,75.0
2020/12/04,64.0
2020/12/05,30.0
2020/12/06,5.0
2020/12/07,82.0
2020/12/08,62.0
2020/12/09,80.0
2020/12/10,108.0
2020/12/11,68.0
2020/12/12,52.0
2020/12/13,6.0
2020/12/14,123.0
2020/12/15,76.0
2020/12/16,165.0
2020/12/17,116.0
2020/12/18,91.0
2020/12/19,48.0
2020/12/20,5.0
2020/12/21,141.0
2020/12/22,132.0
2020/12/23,118.0
2020/12/24,71.0
2020/12/25,8.0
2020/12/26,89.0
2020/12/27,4.0
2020/12/28,168.0
2020/12/29,117.0
2020/12/30,126.0
2020/12/31,125.0
2021/01/01,5.0
2021/01/02,107.0
2021/01/03,10.0
2021/01/04,156.0
2021/01/05,135.0
2021/01/06,129.0
2021/01/07,97.0
2021/01/08,81.0
2021/01/09,99.0
2021/01/10,5.0
2021/01/11,128.0
2021/01/12,81.0
2021/01/13,86.0
2021/01/14,99.0
2021/01/15,109.0
2021/01/16,70.0
2021/01/17,9.0
2021/01/18,128.0
2021/01/19,88.0
2021/01/20,82.0
2021/01/21,91.0
2021/01/22,96.0
2021/01/23,73.0
2021/01/24,4.0
2021/01/25,141.0
2021/01/26,80.0
2021/01/27,76.0
2021/01/28,84.0
2021/01/29,86.0
2021/01/30,52.0
2021/01/31,6.0
2021/02/01,128.0
2021/02/02,81.0
2021/02/03,64.0
2021/02/04,77.0
2021/02/05,86.0
2021/02/06,58.0
2021/02/07,7.0
2021/02/08,100.0
2021/02/09,52.0
2021/02/10,67.0
2021/02/11,62.0
2021/02/12,50.0
2021/02/13,45.0
2021/02/14,8.0
2021/02/15,77.0
2021/02/16,37.0
2021/02/17,45.0
2021/02/18,70.0
2021/02/19,96.0
2021/02/20,46.0
2021/02/21,1.0
2021/02/22,79.0
2021/02/23,43.0
2021/02/24,53.0
2021/02/25,80.0
2021/02/26,77.0
2021/02/27,39.0
2021/02/28,6.0
2021/03/01,72.0
2021/03/02,70.0
2021/03/03,41.0
2021/03/04,48.0
2021/03/05,53.0
2021/03/06,42.0
2021/03/07,3.0
2021/03/08,63.0
2021/03/09,62.0
2021/03/10,56.0
2021/03/11,51.0
2021/03/12,73.0
2021/03/13,32.0
2021/03/14,2.0
2021/03/15,81.0
2021/03/16,76.0
2021/03/17,69.0
2021/03/18,60.0
2021/03/19,73.0
2021/03/20,45.0
2021/03/21,2.0
2021/03/22,77.0
2021/03/23,75.0
2021/03/24,56.0
2021/03/25,73.0
2021/03/26,93.0
2021/03/27,59.0
2021/03/28,6.0
2021/03/29,102.0
2021/03/30,86.0
2021/03/31,84.0
2021/04/01,65.0
2021/04/02,89.0
2021/04/03,60.0
2021/04/04,5.0
2021/04/05,6.0
2021/04/06,144.0
2021/04/07,104.0
2021/04/08,79.0
2021/04/09,82.0
2021/04/10,63.0
2021/04/11,6.0
2021/04/12,107.0
2021/04/13,81.0
2021/04/14,96.0
2021/04/15,86.0
2021/04/16,95.0
2021/04/17,65.0
2021/04/18,5.0
2021/04/19,128.0
2021/04/20,72.0
2021/04/21,57.0
2021/04/22,77.0
2021/04/23,81.0
2021/04/24,60.0
2021/04/25,1.0
2021/04/26,90.0
2021/04/27,73.0
2021/04/28,57.0
2021/04/29,67.0
2021/04/30,67.0
2021/05/01,6.0
2021/05/02,2.0
2021/05/03,106.0
2021/05/04,49.0
2021/05/05,48.0
2021/05/06,48.0
2021/05/07,74.0
2021/05/08,6.0
2021/05/09,3.0
2021/05/10,104.0
2021/05/11,58.0
2021/05/12,58.0
2021/05/13,3.0
2021/05/14,80.0
2021/05/15,65.0
2021/05/16,3.0
2021/05/17,95.0
2021/05/18,74.0
2021/05/19,48.0
2021/05/20,49.0
2021/05/21,35.0
2021/05/22,30.0
2021/05/23,1.0
2021/05/24,5.0
2021/05/25,69.0
2021/05/26,34.0
2021/05/27,39.0
2021/05/28,43.0
2021/05/29,42.0
2021/05/30,3.0
2021/05/31,44.0
2021/06/01,36.0
