Datas,Haute-Vienne
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,1.0
2020/05/14,0.0
2020/05/15,0.0
2020/05/16,1.0
2020/05/17,0.0
2020/05/18,1.0
2020/05/19,2.0
2020/05/20,0.0
2020/05/21,0.0
2020/05/22,0.0
2020/05/23,0.0
2020/05/24,0.0
2020/05/25,1.0
2020/05/26,1.0
2020/05/27,2.0
2020/05/28,0.0
2020/05/29,2.0
2020/05/30,0.0
2020/05/31,0.0
2020/06/01,0.0
2020/06/02,3.0
2020/06/03,0.0
2020/06/04,0.0
2020/06/05,1.0
2020/06/06,0.0
2020/06/07,0.0
2020/06/08,0.0
2020/06/09,0.0
2020/06/10,0.0
2020/06/11,0.0
2020/06/12,2.0
2020/06/13,0.0
2020/06/14,0.0
2020/06/15,0.0
2020/06/16,0.0
2020/06/17,0.0
2020/06/18,0.0
2020/06/19,0.0
2020/06/20,0.0
2020/06/21,0.0
2020/06/22,0.0
2020/06/23,0.0
2020/06/24,1.0
2020/06/25,0.0
2020/06/26,0.0
2020/06/27,0.0
2020/06/28,0.0
2020/06/29,0.0
2020/06/30,0.0
2020/07/01,0.0
2020/07/02,0.0
2020/07/03,0.0
2020/07/04,4.0
2020/07/05,0.0
2020/07/06,0.0
2020/07/07,1.0
2020/07/08,0.0
2020/07/09,0.0
2020/07/10,0.0
2020/07/11,0.0
2020/07/12,0.0
2020/07/13,0.0
2020/07/14,0.0
2020/07/15,0.0
2020/07/16,3.0
2020/07/17,2.0
2020/07/18,1.0
2020/07/19,0.0
2020/07/20,1.0
2020/07/21,0.0
2020/07/22,2.0
2020/07/23,0.0
2020/07/24,3.0
2020/07/25,0.0
2020/07/26,0.0
2020/07/27,2.0
2020/07/28,4.0
2020/07/29,0.0
2020/07/30,1.0
2020/07/31,2.0
2020/08/01,1.0
2020/08/02,0.0
2020/08/03,0.0
2020/08/04,1.0
2020/08/05,1.0
2020/08/06,2.0
2020/08/07,2.0
2020/08/08,0.0
2020/08/09,0.0
2020/08/10,3.0
2020/08/11,3.0
2020/08/12,1.0
2020/08/13,2.0
2020/08/14,5.0
2020/08/15,1.0
2020/08/16,2.0
2020/08/17,4.0
2020/08/18,3.0
2020/08/19,4.0
2020/08/20,3.0
2020/08/21,9.0
2020/08/22,4.0
2020/08/23,0.0
2020/08/24,5.0
2020/08/25,7.0
2020/08/26,17.0
2020/08/27,18.0
2020/08/28,29.0
2020/08/29,14.0
2020/08/30,8.0
2020/08/31,24.0
2020/09/01,15.0
2020/09/02,15.0
2020/09/03,27.0
2020/09/04,35.0
2020/09/05,17.0
2020/09/06,1.0
2020/09/07,25.0
2020/09/08,35.0
2020/09/09,27.0
2020/09/10,48.0
2020/09/11,32.0
2020/09/12,14.0
2020/09/13,5.0
2020/09/14,32.0
2020/09/15,46.0
2020/09/16,62.0
2020/09/17,39.0
2020/09/18,39.0
2020/09/19,22.0
2020/09/20,6.0
2020/09/21,63.0
2020/09/22,61.0
2020/09/23,49.0
2020/09/24,54.0
2020/09/25,52.0
2020/09/26,20.0
2020/09/27,4.0
2020/09/28,47.0
2020/09/29,49.0
2020/09/30,40.0
2020/10/01,59.0
2020/10/02,40.0
2020/10/03,46.0
2020/10/04,4.0
2020/10/05,74.0
2020/10/06,81.0
2020/10/07,76.0
2020/10/08,93.0
2020/10/09,111.0
2020/10/10,64.0
2020/10/11,13.0
2020/10/12,122.0
2020/10/13,128.0
2020/10/14,115.0
2020/10/15,106.0
2020/10/16,140.0
2020/10/17,80.0
2020/10/18,21.0
2020/10/19,171.0
2020/10/20,158.0
2020/10/21,208.0
2020/10/22,198.0
2020/10/23,265.0
2020/10/24,148.0
2020/10/25,12.0
2020/10/26,276.0
2020/10/27,241.0
2020/10/28,247.0
2020/10/29,240.0
2020/10/30,278.0
2020/10/31,127.0
2020/11/01,22.0
2020/11/02,272.0
2020/11/03,203.0
2020/11/04,154.0
2020/11/05,184.0
2020/11/06,138.0
2020/11/07,94.0
2020/11/08,11.0
2020/11/09,220.0
2020/11/10,106.0
2020/11/11,7.0
2020/11/12,141.0
2020/11/13,93.0
2020/11/14,54.0
2020/11/15,14.0
2020/11/16,117.0
2020/11/17,84.0
2020/11/18,36.0
2020/11/19,64.0
2020/11/20,59.0
2020/11/21,22.0
2020/11/22,9.0
2020/11/23,71.0
2020/11/24,78.0
2020/11/25,86.0
2020/11/26,55.0
2020/11/27,40.0
2020/11/28,33.0
2020/11/29,10.0
2020/11/30,76.0
2020/12/01,80.0
2020/12/02,111.0
2020/12/03,52.0
2020/12/04,68.0
2020/12/05,34.0
2020/12/06,1.0
2020/12/07,89.0
2020/12/08,106.0
2020/12/09,62.0
2020/12/10,68.0
2020/12/11,59.0
2020/12/12,47.0
2020/12/13,4.0
2020/12/14,87.0
2020/12/15,94.0
2020/12/16,56.0
2020/12/17,69.0
2020/12/18,52.0
2020/12/19,37.0
2020/12/20,2.0
2020/12/21,58.0
2020/12/22,41.0
2020/12/23,35.0
2020/12/24,37.0
2020/12/25,1.0
2020/12/26,43.0
2020/12/27,8.0
2020/12/28,68.0
2020/12/29,63.0
2020/12/30,74.0
2020/12/31,81.0
2021/01/01,4.0
2021/01/02,56.0
2021/01/03,5.0
2021/01/04,106.0
2021/01/05,108.0
2021/01/06,68.0
2021/01/07,69.0
2021/01/08,65.0
2021/01/09,47.0
2021/01/10,0.0
2021/01/11,75.0
2021/01/12,86.0
2021/01/13,73.0
2021/01/14,81.0
2021/01/15,83.0
2021/01/16,61.0
2021/01/17,8.0
2021/01/18,90.0
2021/01/19,68.0
2021/01/20,84.0
2021/01/21,48.0
2021/01/22,75.0
2021/01/23,57.0
2021/01/24,8.0
2021/01/25,108.0
2021/01/26,119.0
2021/01/27,66.0
2021/01/28,107.0
2021/01/29,102.0
2021/01/30,64.0
2021/01/31,5.0
2021/02/01,129.0
2021/02/02,120.0
2021/02/03,116.0
2021/02/04,87.0
2021/02/05,101.0
2021/02/06,59.0
2021/02/07,8.0
2021/02/08,86.0
2021/02/09,60.0
2021/02/10,68.0
2021/02/11,58.0
2021/02/12,64.0
2021/02/13,46.0
2021/02/14,0.0
2021/02/15,90.0
2021/02/16,63.0
2021/02/17,65.0
2021/02/18,62.0
2021/02/19,77.0
2021/02/20,49.0
2021/02/21,8.0
2021/02/22,73.0
2021/02/23,67.0
2021/02/24,60.0
2021/02/25,59.0
2021/02/26,59.0
2021/02/27,46.0
2021/02/28,2.0
2021/03/01,73.0
2021/03/02,60.0
2021/03/03,50.0
2021/03/04,63.0
2021/03/05,60.0
2021/03/06,46.0
2021/03/07,1.0
2021/03/08,89.0
2021/03/09,66.0
2021/03/10,82.0
2021/03/11,59.0
2021/03/12,72.0
2021/03/13,70.0
2021/03/14,6.0
2021/03/15,140.0
2021/03/16,96.0
2021/03/17,90.0
2021/03/18,78.0
2021/03/19,71.0
2021/03/20,90.0
2021/03/21,6.0
2021/03/22,105.0
2021/03/23,133.0
2021/03/24,131.0
2021/03/25,124.0
2021/03/26,113.0
2021/03/27,138.0
2021/03/28,7.0
2021/03/29,188.0
2021/03/30,140.0
2021/03/31,184.0
2021/04/01,185.0
2021/04/02,194.0
2021/04/03,128.0
2021/04/04,2.0
2021/04/05,10.0
2021/04/06,237.0
2021/04/07,182.0
2021/04/08,221.0
2021/04/09,199.0
2021/04/10,175.0
2021/04/11,10.0
2021/04/12,265.0
2021/04/13,193.0
2021/04/14,186.0
2021/04/15,185.0
2021/04/16,203.0
2021/04/17,157.0
2021/04/18,12.0
2021/04/19,246.0
2021/04/20,185.0
2021/04/21,190.0
2021/04/22,183.0
2021/04/23,176.0
2021/04/24,146.0
2021/04/25,12.0
2021/04/26,244.0
2021/04/27,187.0
2021/04/28,151.0
2021/04/29,136.0
2021/04/30,122.0
2021/05/01,37.0
2021/05/02,6.0
2021/05/03,184.0
2021/05/04,131.0
2021/05/05,80.0
2021/05/06,88.0
2021/05/07,83.0
2021/05/08,32.0
2021/05/09,7.0
2021/05/10,122.0
2021/05/11,87.0
2021/05/12,70.0
2021/05/13,14.0
2021/05/14,75.0
2021/05/15,39.0
2021/05/16,5.0
2021/05/17,86.0
2021/05/18,88.0
2021/05/19,55.0
2021/05/20,62.0
2021/05/21,50.0
2021/05/22,43.0
2021/05/23,8.0
2021/05/24,26.0
2021/05/25,97.0
2021/05/26,57.0
2021/05/27,57.0
2021/05/28,49.0
2021/05/29,28.0
2021/05/30,1.0
2021/05/31,40.0
