Datas,Hautes-Alpes
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,0.0
2020/05/14,7.0
2020/05/15,0.0
2020/05/16,0.0
2020/05/17,0.0
2020/05/18,2.0
2020/05/19,5.0
2020/05/20,2.0
2020/05/21,0.0
2020/05/22,0.0
2020/05/23,0.0
2020/05/24,0.0
2020/05/25,0.0
2020/05/26,1.0
2020/05/27,1.0
2020/05/28,0.0
2020/05/29,0.0
2020/05/30,0.0
2020/05/31,0.0
2020/06/01,0.0
2020/06/02,2.0
2020/06/03,0.0
2020/06/04,0.0
2020/06/05,0.0
2020/06/06,0.0
2020/06/07,0.0
2020/06/08,0.0
2020/06/09,0.0
2020/06/10,0.0
2020/06/11,1.0
2020/06/12,0.0
2020/06/13,0.0
2020/06/14,0.0
2020/06/15,0.0
2020/06/16,0.0
2020/06/17,0.0
2020/06/18,0.0
2020/06/19,0.0
2020/06/20,0.0
2020/06/21,0.0
2020/06/22,0.0
2020/06/23,0.0
2020/06/24,0.0
2020/06/25,0.0
2020/06/26,0.0
2020/06/27,0.0
2020/06/28,0.0
2020/06/29,1.0
2020/06/30,0.0
2020/07/01,0.0
2020/07/02,0.0
2020/07/03,0.0
2020/07/04,0.0
2020/07/05,0.0
2020/07/06,0.0
2020/07/07,0.0
2020/07/08,0.0
2020/07/09,0.0
2020/07/10,0.0
2020/07/11,0.0
2020/07/12,0.0
2020/07/13,1.0
2020/07/14,0.0
2020/07/15,1.0
2020/07/16,0.0
2020/07/17,0.0
2020/07/18,0.0
2020/07/19,0.0
2020/07/20,0.0
2020/07/21,0.0
2020/07/22,0.0
2020/07/23,0.0
2020/07/24,0.0
2020/07/25,1.0
2020/07/26,0.0
2020/07/27,0.0
2020/07/28,0.0
2020/07/29,1.0
2020/07/30,0.0
2020/07/31,0.0
2020/08/01,0.0
2020/08/02,0.0
2020/08/03,1.0
2020/08/04,2.0
2020/08/05,2.0
2020/08/06,3.0
2020/08/07,3.0
2020/08/08,2.0
2020/08/09,3.0
2020/08/10,3.0
2020/08/11,2.0
2020/08/12,2.0
2020/08/13,5.0
2020/08/14,4.0
2020/08/15,2.0
2020/08/16,3.0
2020/08/17,8.0
2020/08/18,9.0
2020/08/19,6.0
2020/08/20,0.0
2020/08/21,0.0
2020/08/22,0.0
2020/08/23,0.0
2020/08/24,7.0
2020/08/25,6.0
2020/08/26,5.0
2020/08/27,11.0
2020/08/28,12.0
2020/08/29,2.0
2020/08/30,0.0
2020/08/31,8.0
2020/09/01,4.0
2020/09/02,8.0
2020/09/03,8.0
2020/09/04,9.0
2020/09/05,4.0
2020/09/06,1.0
2020/09/07,21.0
2020/09/08,6.0
2020/09/09,18.0
2020/09/10,16.0
2020/09/11,5.0
2020/09/12,1.0
2020/09/13,2.0
2020/09/14,18.0
2020/09/15,15.0
2020/09/16,9.0
2020/09/17,14.0
2020/09/18,12.0
2020/09/19,1.0
2020/09/20,1.0
2020/09/21,19.0
2020/09/22,21.0
2020/09/23,13.0
2020/09/24,15.0
2020/09/25,9.0
2020/09/26,1.0
2020/09/27,2.0
2020/09/28,18.0
2020/09/29,6.0
2020/09/30,8.0
2020/10/01,18.0
2020/10/02,58.0
2020/10/03,2.0
2020/10/04,23.0
2020/10/05,30.0
2020/10/06,32.0
2020/10/07,34.0
2020/10/08,34.0
2020/10/09,56.0
2020/10/10,16.0
2020/10/11,31.0
2020/10/12,76.0
2020/10/13,48.0
2020/10/14,70.0
2020/10/15,90.0
2020/10/16,94.0
2020/10/17,34.0
2020/10/18,40.0
2020/10/19,97.0
2020/10/20,100.0
2020/10/21,123.0
2020/10/22,151.0
2020/10/23,108.0
2020/10/24,86.0
2020/10/25,37.0
2020/10/26,164.0
2020/10/27,203.0
2020/10/28,245.0
2020/10/29,204.0
2020/10/30,159.0
2020/10/31,41.0
2020/11/01,46.0
2020/11/02,191.0
2020/11/03,203.0
2020/11/04,179.0
2020/11/05,242.0
2020/11/06,170.0
2020/11/07,24.0
2020/11/08,24.0
2020/11/09,200.0
2020/11/10,158.0
2020/11/11,25.0
2020/11/12,109.0
2020/11/13,97.0
2020/11/14,16.0
2020/11/15,31.0
2020/11/16,141.0
2020/11/17,94.0
2020/11/18,93.0
2020/11/19,64.0
2020/11/20,73.0
2020/11/21,13.0
2020/11/22,9.0
2020/11/23,77.0
2020/11/24,64.0
2020/11/25,60.0
2020/11/26,38.0
2020/11/27,50.0
2020/11/28,14.0
2020/11/29,5.0
2020/11/30,48.0
2020/12/01,36.0
2020/12/02,32.0
2020/12/03,30.0
2020/12/04,21.0
2020/12/05,18.0
2020/12/06,2.0
2020/12/07,45.0
2020/12/08,40.0
2020/12/09,30.0
2020/12/10,33.0
2020/12/11,28.0
2020/12/12,12.0
2020/12/13,9.0
2020/12/14,55.0
2020/12/15,39.0
2020/12/16,38.0
2020/12/17,54.0
2020/12/18,43.0
2020/12/19,24.0
2020/12/20,14.0
2020/12/21,71.0
2020/12/22,59.0
2020/12/23,81.0
2020/12/24,83.0
2020/12/25,12.0
2020/12/26,45.0
2020/12/27,10.0
2020/12/28,103.0
2020/12/29,92.0
2020/12/30,84.0
2020/12/31,75.0
2021/01/01,4.0
2021/01/02,30.0
2021/01/03,17.0
2021/01/04,102.0
2021/01/05,60.0
2021/01/06,75.0
2021/01/07,60.0
2021/01/08,54.0
2021/01/09,29.0
2021/01/10,8.0
2021/01/11,78.0
2021/01/12,60.0
2021/01/13,60.0
2021/01/14,51.0
2021/01/15,80.0
2021/01/16,29.0
2021/01/17,3.0
2021/01/18,91.0
2021/01/19,50.0
2021/01/20,64.0
2021/01/21,62.0
2021/01/22,53.0
2021/01/23,13.0
2021/01/24,10.0
2021/01/25,55.0
2021/01/26,42.0
2021/01/27,64.0
2021/01/28,57.0
2021/01/29,37.0
2021/01/30,21.0
2021/01/31,8.0
2021/02/01,67.0
2021/02/02,65.0
2021/02/03,48.0
2021/02/04,53.0
2021/02/05,46.0
2021/02/06,24.0
2021/02/07,9.0
2021/02/08,73.0
2021/02/09,61.0
2021/02/10,34.0
2021/02/11,47.0
2021/02/12,57.0
2021/02/13,25.0
2021/02/14,9.0
2021/02/15,54.0
2021/02/16,47.0
2021/02/17,31.0
2021/02/18,33.0
2021/02/19,40.0
2021/02/20,41.0
2021/02/21,11.0
2021/02/22,65.0
2021/02/23,57.0
2021/02/24,69.0
2021/02/25,58.0
2021/02/26,44.0
2021/02/27,24.0
2021/02/28,4.0
2021/03/01,59.0
2021/03/02,49.0
2021/03/03,48.0
2021/03/04,39.0
2021/03/05,42.0
2021/03/06,33.0
2021/03/07,4.0
2021/03/08,78.0
2021/03/09,49.0
2021/03/10,46.0
2021/03/11,44.0
2021/03/12,63.0
2021/03/13,29.0
2021/03/14,6.0
2021/03/15,73.0
2021/03/16,50.0
2021/03/17,37.0
2021/03/18,53.0
2021/03/19,53.0
2021/03/20,39.0
2021/03/21,4.0
2021/03/22,90.0
2021/03/23,88.0
2021/03/24,85.0
2021/03/25,85.0
2021/03/26,94.0
2021/03/27,64.0
2021/03/28,12.0
2021/03/29,132.0
2021/03/30,91.0
2021/03/31,59.0
2021/04/01,66.0
2021/04/02,79.0
2021/04/03,27.0
2021/04/04,11.0
2021/04/05,17.0
2021/04/06,70.0
2021/04/07,74.0
2021/04/08,86.0
2021/04/09,57.0
2021/04/10,45.0
2021/04/11,6.0
2021/04/12,79.0
2021/04/13,60.0
2021/04/14,38.0
2021/04/15,53.0
2021/04/16,51.0
2021/04/17,24.0
2021/04/18,7.0
2021/04/19,69.0
2021/04/20,41.0
2021/04/21,35.0
2021/04/22,49.0
2021/04/23,51.0
2021/04/24,20.0
2021/04/25,6.0
2021/04/26,40.0
2021/04/27,65.0
2021/04/28,31.0
2021/04/29,36.0
2021/04/30,38.0
2021/05/01,6.0
2021/05/02,4.0
2021/05/03,56.0
2021/05/04,34.0
2021/05/05,27.0
2021/05/06,22.0
2021/05/07,18.0
2021/05/08,2.0
2021/05/09,9.0
2021/05/10,33.0
2021/05/11,32.0
2021/05/12,16.0
2021/05/13,5.0
2021/05/14,17.0
2021/05/15,11.0
2021/05/16,1.0
2021/05/17,20.0
2021/05/18,20.0
2021/05/19,13.0
2021/05/20,28.0
2021/05/21,21.0
2021/05/22,9.0
2021/05/23,3.0
2021/05/24,4.0
2021/05/25,24.0
2021/05/26,25.0
2021/05/27,13.0
2021/05/28,14.0
2021/05/29,9.0
2021/05/30,0.0
2021/05/31,14.0
