Datas,Hautes-Pyrénées
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,2.0
2020/05/14,1.0
2020/05/15,6.0
2020/05/16,0.0
2020/05/17,0.0
2020/05/18,1.0
2020/05/19,0.0
2020/05/20,0.0
2020/05/21,0.0
2020/05/22,0.0
2020/05/23,0.0
2020/05/24,0.0
2020/05/25,0.0
2020/05/26,3.0
2020/05/27,3.0
2020/05/28,0.0
2020/05/29,1.0
2020/05/30,0.0
2020/05/31,0.0
2020/06/01,0.0
2020/06/02,0.0
2020/06/03,0.0
2020/06/04,0.0
2020/06/05,1.0
2020/06/06,0.0
2020/06/07,0.0
2020/06/08,0.0
2020/06/09,0.0
2020/06/10,1.0
2020/06/11,1.0
2020/06/12,0.0
2020/06/13,0.0
2020/06/14,0.0
2020/06/15,0.0
2020/06/16,1.0
2020/06/17,1.0
2020/06/18,0.0
2020/06/19,0.0
2020/06/20,0.0
2020/06/21,0.0
2020/06/22,0.0
2020/06/23,0.0
2020/06/24,0.0
2020/06/25,0.0
2020/06/26,1.0
2020/06/27,0.0
2020/06/28,0.0
2020/06/29,0.0
2020/06/30,2.0
2020/07/01,0.0
2020/07/02,1.0
2020/07/03,0.0
2020/07/04,0.0
2020/07/05,0.0
2020/07/06,1.0
2020/07/07,0.0
2020/07/08,1.0
2020/07/09,1.0
2020/07/10,1.0
2020/07/11,0.0
2020/07/12,0.0
2020/07/13,2.0
2020/07/14,0.0
2020/07/15,0.0
2020/07/16,1.0
2020/07/17,2.0
2020/07/18,0.0
2020/07/19,0.0
2020/07/20,2.0
2020/07/21,0.0
2020/07/22,1.0
2020/07/23,4.0
2020/07/24,2.0
2020/07/25,1.0
2020/07/26,0.0
2020/07/27,2.0
2020/07/28,2.0
2020/07/29,4.0
2020/07/30,2.0
2020/07/31,2.0
2020/08/01,2.0
2020/08/02,0.0
2020/08/03,2.0
2020/08/04,2.0
2020/08/05,4.0
2020/08/06,3.0
2020/08/07,5.0
2020/08/08,0.0
2020/08/09,0.0
2020/08/10,5.0
2020/08/11,2.0
2020/08/12,8.0
2020/08/13,11.0
2020/08/14,5.0
2020/08/15,0.0
2020/08/16,4.0
2020/08/17,19.0
2020/08/18,27.0
2020/08/19,8.0
2020/08/20,7.0
2020/08/21,7.0
2020/08/22,3.0
2020/08/23,4.0
2020/08/24,13.0
2020/08/25,14.0
2020/08/26,7.0
2020/08/27,8.0
2020/08/28,5.0
2020/08/29,1.0
2020/08/30,0.0
2020/08/31,3.0
2020/09/01,12.0
2020/09/02,17.0
2020/09/03,14.0
2020/09/04,4.0
2020/09/05,7.0
2020/09/06,1.0
2020/09/07,18.0
2020/09/08,13.0
2020/09/09,12.0
2020/09/10,25.0
2020/09/11,13.0
2020/09/12,9.0
2020/09/13,0.0
2020/09/14,17.0
2020/09/15,39.0
2020/09/16,42.0
2020/09/17,36.0
2020/09/18,44.0
2020/09/19,9.0
2020/09/20,1.0
2020/09/21,48.0
2020/09/22,34.0
2020/09/23,35.0
2020/09/24,21.0
2020/09/25,44.0
2020/09/26,4.0
2020/09/27,3.0
2020/09/28,31.0
2020/09/29,46.0
2020/09/30,30.0
2020/10/01,30.0
2020/10/02,35.0
2020/10/03,12.0
2020/10/04,1.0
2020/10/05,48.0
2020/10/06,30.0
2020/10/07,27.0
2020/10/08,40.0
2020/10/09,69.0
2020/10/10,22.0
2020/10/11,1.0
2020/10/12,95.0
2020/10/13,83.0
2020/10/14,75.0
2020/10/15,76.0
2020/10/16,70.0
2020/10/17,36.0
2020/10/18,4.0
2020/10/19,113.0
2020/10/20,123.0
2020/10/21,121.0
2020/10/22,138.0
2020/10/23,196.0
2020/10/24,53.0
2020/10/25,12.0
2020/10/26,243.0
2020/10/27,190.0
2020/10/28,174.0
2020/10/29,205.0
2020/10/30,225.0
2020/10/31,95.0
2020/11/01,20.0
2020/11/02,280.0
2020/11/03,226.0
2020/11/04,165.0
2020/11/05,192.0
2020/11/06,219.0
2020/11/07,45.0
2020/11/08,21.0
2020/11/09,340.0
2020/11/10,189.0
2020/11/11,10.0
2020/11/12,184.0
2020/11/13,171.0
2020/11/14,48.0
2020/11/15,23.0
2020/11/16,142.0
2020/11/17,135.0
2020/11/18,73.0
2020/11/19,86.0
2020/11/20,86.0
2020/11/21,23.0
2020/11/22,28.0
2020/11/23,87.0
2020/11/24,80.0
2020/11/25,77.0
2020/11/26,69.0
2020/11/27,49.0
2020/11/28,22.0
2020/11/29,10.0
2020/11/30,135.0
2020/12/01,89.0
2020/12/02,87.0
2020/12/03,77.0
2020/12/04,69.0
2020/12/05,39.0
2020/12/06,8.0
2020/12/07,100.0
2020/12/08,87.0
2020/12/09,74.0
2020/12/10,67.0
2020/12/11,77.0
2020/12/12,35.0
2020/12/13,10.0
2020/12/14,114.0
2020/12/15,88.0
2020/12/16,76.0
2020/12/17,103.0
2020/12/18,70.0
2020/12/19,32.0
2020/12/20,7.0
2020/12/21,101.0
2020/12/22,71.0
2020/12/23,73.0
2020/12/24,71.0
2020/12/25,1.0
2020/12/26,48.0
2020/12/27,5.0
2020/12/28,95.0
2020/12/29,107.0
2020/12/30,88.0
2020/12/31,66.0
2021/01/01,2.0
2021/01/02,49.0
2021/01/03,3.0
2021/01/04,139.0
2021/01/05,103.0
2021/01/06,55.0
2021/01/07,37.0
2021/01/08,70.0
2021/01/09,26.0
2021/01/10,0.0
2021/01/11,89.0
2021/01/12,81.0
2021/01/13,65.0
2021/01/14,42.0
2021/01/15,68.0
2021/01/16,25.0
2021/01/17,7.0
2021/01/18,110.0
2021/01/19,98.0
2021/01/20,66.0
2021/01/21,41.0
2021/01/22,60.0
2021/01/23,26.0
2021/01/24,2.0
2021/01/25,67.0
2021/01/26,55.0
2021/01/27,40.0
2021/01/28,52.0
2021/01/29,42.0
2021/01/30,28.0
2021/01/31,6.0
2021/02/01,56.0
2021/02/02,48.0
2021/02/03,34.0
2021/02/04,38.0
2021/02/05,27.0
2021/02/06,23.0
2021/02/07,1.0
2021/02/08,39.0
2021/02/09,22.0
2021/02/10,26.0
2021/02/11,28.0
2021/02/12,47.0
2021/02/13,9.0
2021/02/14,2.0
2021/02/15,48.0
2021/02/16,35.0
2021/02/17,44.0
2021/02/18,21.0
2021/02/19,35.0
2021/02/20,13.0
2021/02/21,0.0
2021/02/22,38.0
2021/02/23,26.0
2021/02/24,31.0
2021/02/25,41.0
2021/02/26,31.0
2021/02/27,17.0
2021/02/28,4.0
2021/03/01,36.0
2021/03/02,27.0
2021/03/03,24.0
2021/03/04,31.0
2021/03/05,28.0
2021/03/06,27.0
2021/03/07,1.0
2021/03/08,42.0
2021/03/09,47.0
2021/03/10,19.0
2021/03/11,25.0
2021/03/12,35.0
2021/03/13,27.0
2021/03/14,5.0
2021/03/15,67.0
2021/03/16,57.0
2021/03/17,66.0
2021/03/18,43.0
2021/03/19,54.0
2021/03/20,25.0
2021/03/21,2.0
2021/03/22,74.0
2021/03/23,67.0
2021/03/24,77.0
2021/03/25,58.0
2021/03/26,82.0
2021/03/27,40.0
2021/03/28,7.0
2021/03/29,86.0
2021/03/30,60.0
2021/03/31,59.0
2021/04/01,60.0
2021/04/02,73.0
2021/04/03,37.0
2021/04/04,7.0
2021/04/05,19.0
2021/04/06,78.0
2021/04/07,58.0
2021/04/08,80.0
2021/04/09,66.0
2021/04/10,21.0
2021/04/11,7.0
2021/04/12,71.0
2021/04/13,51.0
2021/04/14,73.0
2021/04/15,66.0
2021/04/16,59.0
2021/04/17,32.0
2021/04/18,8.0
2021/04/19,53.0
2021/04/20,45.0
2021/04/21,35.0
2021/04/22,29.0
2021/04/23,32.0
2021/04/24,21.0
2021/04/25,5.0
2021/04/26,53.0
2021/04/27,49.0
2021/04/28,42.0
2021/04/29,30.0
2021/04/30,33.0
2021/05/01,4.0
2021/05/02,1.0
2021/05/03,49.0
2021/05/04,29.0
2021/05/05,38.0
2021/05/06,24.0
2021/05/07,36.0
2021/05/08,0.0
2021/05/09,1.0
2021/05/10,26.0
2021/05/11,26.0
2021/05/12,28.0
2021/05/13,2.0
2021/05/14,25.0
2021/05/15,19.0
2021/05/16,0.0
2021/05/17,32.0
2021/05/18,25.0
2021/05/19,26.0
2021/05/20,33.0
2021/05/21,27.0
2021/05/22,14.0
2021/05/23,0.0
2021/05/24,5.0
2021/05/25,32.0
2021/05/26,20.0
2021/05/27,26.0
2021/05/28,27.0
2021/05/29,16.0
2021/05/30,1.0
2021/05/31,24.0
