Datas,Hauts-de-Seine
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,21.0
2020/05/14,43.0
2020/05/15,63.0
2020/05/16,4.0
2020/05/17,14.0
2020/05/18,42.0
2020/05/19,42.0
2020/05/20,49.0
2020/05/21,3.0
2020/05/22,27.0
2020/05/23,5.0
2020/05/24,0.0
2020/05/25,21.0
2020/05/26,36.0
2020/05/27,38.0
2020/05/28,22.0
2020/05/29,14.0
2020/05/30,5.0
2020/05/31,2.0
2020/06/01,4.0
2020/06/02,19.0
2020/06/03,12.0
2020/06/04,18.0
2020/06/05,26.0
2020/06/06,10.0
2020/06/07,4.0
2020/06/08,18.0
2020/06/09,3.0
2020/06/10,13.0
2020/06/11,9.0
2020/06/12,8.0
2020/06/13,5.0
2020/06/14,2.0
2020/06/15,8.0
2020/06/16,17.0
2020/06/17,13.0
2020/06/18,15.0
2020/06/19,18.0
2020/06/20,5.0
2020/06/21,4.0
2020/06/22,16.0
2020/06/23,10.0
2020/06/24,19.0
2020/06/25,8.0
2020/06/26,22.0
2020/06/27,10.0
2020/06/28,2.0
2020/06/29,24.0
2020/06/30,24.0
2020/07/01,25.0
2020/07/02,10.0
2020/07/03,21.0
2020/07/04,4.0
2020/07/05,5.0
2020/07/06,26.0
2020/07/07,20.0
2020/07/08,22.0
2020/07/09,38.0
2020/07/10,21.0
2020/07/11,10.0
2020/07/12,1.0
2020/07/13,27.0
2020/07/14,7.0
2020/07/15,40.0
2020/07/16,40.0
2020/07/17,34.0
2020/07/18,9.0
2020/07/19,2.0
2020/07/20,54.0
2020/07/21,48.0
2020/07/22,40.0
2020/07/23,53.0
2020/07/24,43.0
2020/07/25,17.0
2020/07/26,8.0
2020/07/27,69.0
2020/07/28,60.0
2020/07/29,58.0
2020/07/30,71.0
2020/07/31,79.0
2020/08/01,43.0
2020/08/02,18.0
2020/08/03,84.0
2020/08/04,100.0
2020/08/05,97.0
2020/08/06,113.0
2020/08/07,102.0
2020/08/08,28.0
2020/08/09,21.0
2020/08/10,143.0
2020/08/11,118.0
2020/08/12,115.0
2020/08/13,152.0
2020/08/14,134.0
2020/08/15,22.0
2020/08/16,27.0
2020/08/17,183.0
2020/08/18,181.0
2020/08/19,212.0
2020/08/20,209.0
2020/08/21,244.0
2020/08/22,92.0
2020/08/23,54.0
2020/08/24,296.0
2020/08/25,333.0
2020/08/26,322.0
2020/08/27,312.0
2020/08/28,372.0
2020/08/29,92.0
2020/08/30,72.0
2020/08/31,476.0
2020/09/01,391.0
2020/09/02,384.0
2020/09/03,406.0
2020/09/04,399.0
2020/09/05,147.0
2020/09/06,54.0
2020/09/07,572.0
2020/09/08,450.0
2020/09/09,455.0
2020/09/10,517.0
2020/09/11,470.0
2020/09/12,119.0
2020/09/13,46.0
2020/09/14,688.0
2020/09/15,548.0
2020/09/16,554.0
2020/09/17,583.0
2020/09/18,538.0
2020/09/19,202.0
2020/09/20,66.0
2020/09/21,736.0
2020/09/22,602.0
2020/09/23,625.0
2020/09/24,553.0
2020/09/25,504.0
2020/09/26,200.0
2020/09/27,56.0
2020/09/28,716.0
2020/09/29,585.0
2020/09/30,674.0
2020/10/01,666.0
2020/10/02,696.0
2020/10/03,360.0
2020/10/04,89.0
2020/10/05,1066.0
2020/10/06,938.0
2020/10/07,962.0
2020/10/08,945.0
2020/10/09,960.0
2020/10/10,418.0
2020/10/11,119.0
2020/10/12,1403.0
2020/10/13,1163.0
2020/10/14,1085.0
2020/10/15,1126.0
2020/10/16,1201.0
2020/10/17,487.0
2020/10/18,144.0
2020/10/19,1573.0
2020/10/20,1416.0
2020/10/21,1425.0
2020/10/22,1532.0
2020/10/23,1569.0
2020/10/24,726.0
2020/10/25,153.0
2020/10/26,2078.0
2020/10/27,1645.0
2020/10/28,1399.0
2020/10/29,1408.0
2020/10/30,1417.0
2020/10/31,618.0
2020/11/01,157.0
2020/11/02,1704.0
2020/11/03,1115.0
2020/11/04,940.0
2020/11/05,870.0
2020/11/06,802.0
2020/11/07,341.0
2020/11/08,83.0
2020/11/09,906.0
2020/11/10,628.0
2020/11/11,73.0
2020/11/12,678.0
2020/11/13,510.0
2020/11/14,233.0
2020/11/15,44.0
2020/11/16,527.0
2020/11/17,373.0
2020/11/18,331.0
2020/11/19,294.0
2020/11/20,295.0
2020/11/21,181.0
2020/11/22,51.0
2020/11/23,338.0
2020/11/24,242.0
2020/11/25,282.0
2020/11/26,292.0
2020/11/27,261.0
2020/11/28,134.0
2020/11/29,28.0
2020/11/30,281.0
2020/12/01,237.0
2020/12/02,208.0
2020/12/03,202.0
2020/12/04,256.0
2020/12/05,138.0
2020/12/06,31.0
2020/12/07,324.0
2020/12/08,213.0
2020/12/09,246.0
2020/12/10,256.0
2020/12/11,313.0
2020/12/12,168.0
2020/12/13,40.0
2020/12/14,437.0
2020/12/15,335.0
2020/12/16,283.0
2020/12/17,290.0
2020/12/18,372.0
2020/12/19,209.0
2020/12/20,59.0
2020/12/21,435.0
2020/12/22,369.0
2020/12/23,362.0
2020/12/24,304.0
2020/12/25,42.0
2020/12/26,237.0
2020/12/27,45.0
2020/12/28,498.0
2020/12/29,355.0
2020/12/30,358.0
2020/12/31,329.0
2021/01/01,66.0
2021/01/02,314.0
2021/01/03,82.0
2021/01/04,622.0
2021/01/05,489.0
2021/01/06,417.0
2021/01/07,443.0
2021/01/08,439.0
2021/01/09,273.0
2021/01/10,66.0
2021/01/11,645.0
2021/01/12,485.0
2021/01/13,514.0
2021/01/14,476.0
2021/01/15,528.0
2021/01/16,277.0
2021/01/17,73.0
2021/01/18,694.0
2021/01/19,480.0
2021/01/20,488.0
2021/01/21,497.0
2021/01/22,531.0
2021/01/23,308.0
2021/01/24,79.0
2021/01/25,707.0
2021/01/26,575.0
2021/01/27,531.0
2021/01/28,605.0
2021/01/29,627.0
2021/01/30,329.0
2021/01/31,81.0
2021/02/01,788.0
2021/02/02,567.0
2021/02/03,517.0
2021/02/04,548.0
2021/02/05,594.0
2021/02/06,358.0
2021/02/07,92.0
2021/02/08,707.0
2021/02/09,559.0
2021/02/10,486.0
2021/02/11,503.0
2021/02/12,560.0
2021/02/13,318.0
2021/02/14,58.0
2021/02/15,625.0
2021/02/16,504.0
2021/02/17,601.0
2021/02/18,588.0
2021/02/19,665.0
2021/02/20,360.0
2021/02/21,90.0
2021/02/22,885.0
2021/02/23,627.0
2021/02/24,583.0
2021/02/25,606.0
2021/02/26,676.0
2021/02/27,445.0
2021/02/28,96.0
2021/03/01,861.0
2021/03/02,659.0
2021/03/03,661.0
2021/03/04,633.0
2021/03/05,728.0
2021/03/06,448.0
2021/03/07,102.0
2021/03/08,998.0
2021/03/09,781.0
2021/03/10,832.0
2021/03/11,895.0
2021/03/12,913.0
2021/03/13,591.0
2021/03/14,175.0
2021/03/15,1485.0
2021/03/16,1159.0
2021/03/17,1118.0
2021/03/18,1123.0
2021/03/19,1164.0
2021/03/20,725.0
2021/03/21,178.0
2021/03/22,1699.0
2021/03/23,1371.0
2021/03/24,1275.0
2021/03/25,1290.0
2021/03/26,1400.0
2021/03/27,914.0
2021/03/28,149.0
2021/03/29,1840.0
2021/03/30,1361.0
2021/03/31,1209.0
2021/04/01,1284.0
2021/04/02,1218.0
2021/04/03,781.0
2021/04/04,174.0
2021/04/05,309.0
2021/04/06,1738.0
2021/04/07,1294.0
2021/04/08,1252.0
2021/04/09,1250.0
2021/04/10,800.0
2021/04/11,167.0
2021/04/12,1554.0
2021/04/13,1122.0
2021/04/14,1003.0
2021/04/15,930.0
2021/04/16,993.0
2021/04/17,679.0
2021/04/18,115.0
2021/04/19,1293.0
2021/04/20,911.0
2021/04/21,842.0
2021/04/22,865.0
2021/04/23,893.0
2021/04/24,565.0
2021/04/25,124.0
2021/04/26,1114.0
2021/04/27,762.0
2021/04/28,638.0
2021/04/29,652.0
2021/04/30,719.0
2021/05/01,102.0
2021/05/02,136.0
2021/05/03,990.0
2021/05/04,685.0
2021/05/05,573.0
2021/05/06,542.0
2021/05/07,571.0
2021/05/08,125.0
2021/05/09,92.0
2021/05/10,777.0
2021/05/11,558.0
2021/05/12,507.0
2021/05/13,100.0
2021/05/14,557.0
2021/05/15,282.0
2021/05/16,90.0
2021/05/17,514.0
2021/05/18,441.0
2021/05/19,373.0
2021/05/20,362.0
2021/05/21,325.0
2021/05/22,208.0
2021/05/23,63.0
2021/05/24,99.0
2021/05/25,446.0
2021/05/26,322.0
2021/05/27,265.0
