Datas,Hérault
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,11.0
2020/05/14,7.0
2020/05/15,5.0
2020/05/16,1.0
2020/05/17,1.0
2020/05/18,15.0
2020/05/19,13.0
2020/05/20,21.0
2020/05/21,0.0
2020/05/22,8.0
2020/05/23,0.0
2020/05/24,1.0
2020/05/25,3.0
2020/05/26,0.0
2020/05/27,1.0
2020/05/28,2.0
2020/05/29,0.0
2020/05/30,8.0
2020/05/31,0.0
2020/06/01,0.0
2020/06/02,4.0
2020/06/03,1.0
2020/06/04,2.0
2020/06/05,3.0
2020/06/06,1.0
2020/06/07,0.0
2020/06/08,2.0
2020/06/09,2.0
2020/06/10,8.0
2020/06/11,1.0
2020/06/12,2.0
2020/06/13,0.0
2020/06/14,1.0
2020/06/15,5.0
2020/06/16,2.0
2020/06/17,3.0
2020/06/18,1.0
2020/06/19,2.0
2020/06/20,0.0
2020/06/21,0.0
2020/06/22,1.0
2020/06/23,1.0
2020/06/24,5.0
2020/06/25,3.0
2020/06/26,8.0
2020/06/27,2.0
2020/06/28,2.0
2020/06/29,3.0
2020/06/30,2.0
2020/07/01,5.0
2020/07/02,3.0
2020/07/03,3.0
2020/07/04,4.0
2020/07/05,2.0
2020/07/06,2.0
2020/07/07,5.0
2020/07/08,11.0
2020/07/09,4.0
2020/07/10,9.0
2020/07/11,4.0
2020/07/12,0.0
2020/07/13,8.0
2020/07/14,0.0
2020/07/15,8.0
2020/07/16,9.0
2020/07/17,5.0
2020/07/18,8.0
2020/07/19,0.0
2020/07/20,14.0
2020/07/21,13.0
2020/07/22,6.0
2020/07/23,11.0
2020/07/24,9.0
2020/07/25,8.0
2020/07/26,1.0
2020/07/27,18.0
2020/07/28,21.0
2020/07/29,19.0
2020/07/30,17.0
2020/07/31,33.0
2020/08/01,4.0
2020/08/02,2.0
2020/08/03,34.0
2020/08/04,16.0
2020/08/05,26.0
2020/08/06,32.0
2020/08/07,49.0
2020/08/08,24.0
2020/08/09,6.0
2020/08/10,62.0
2020/08/11,68.0
2020/08/12,101.0
2020/08/13,119.0
2020/08/14,109.0
2020/08/15,16.0
2020/08/16,3.0
2020/08/17,205.0
2020/08/18,188.0
2020/08/19,162.0
2020/08/20,222.0
2020/08/21,177.0
2020/08/22,85.0
2020/08/23,24.0
2020/08/24,202.0
2020/08/25,206.0
2020/08/26,179.0
2020/08/27,207.0
2020/08/28,231.0
2020/08/29,73.0
2020/08/30,41.0
2020/08/31,213.0
2020/09/01,178.0
2020/09/02,183.0
2020/09/03,209.0
2020/09/04,227.0
2020/09/05,58.0
2020/09/06,38.0
2020/09/07,241.0
2020/09/08,210.0
2020/09/09,191.0
2020/09/10,212.0
2020/09/11,191.0
2020/09/12,71.0
2020/09/13,31.0
2020/09/14,259.0
2020/09/15,225.0
2020/09/16,179.0
2020/09/17,223.0
2020/09/18,252.0
2020/09/19,85.0
2020/09/20,39.0
2020/09/21,250.0
2020/09/22,202.0
2020/09/23,156.0
2020/09/24,182.0
2020/09/25,205.0
2020/09/26,119.0
2020/09/27,36.0
2020/09/28,209.0
2020/09/29,225.0
2020/09/30,222.0
2020/10/01,254.0
2020/10/02,339.0
2020/10/03,223.0
2020/10/04,42.0
2020/10/05,370.0
2020/10/06,367.0
2020/10/07,460.0
2020/10/08,391.0
2020/10/09,434.0
2020/10/10,293.0
2020/10/11,36.0
2020/10/12,562.0
2020/10/13,482.0
2020/10/14,560.0
2020/10/15,538.0
2020/10/16,504.0
2020/10/17,313.0
2020/10/18,108.0
2020/10/19,685.0
2020/10/20,670.0
2020/10/21,914.0
2020/10/22,819.0
2020/10/23,963.0
2020/10/24,587.0
2020/10/25,149.0
2020/10/26,1097.0
2020/10/27,1039.0
2020/10/28,1034.0
2020/10/29,994.0
2020/10/30,852.0
2020/10/31,447.0
2020/11/01,56.0
2020/11/02,1149.0
2020/11/03,807.0
2020/11/04,819.0
2020/11/05,813.0
2020/11/06,749.0
2020/11/07,375.0
2020/11/08,97.0
2020/11/09,826.0
2020/11/10,597.0
2020/11/11,73.0
2020/11/12,509.0
2020/11/13,492.0
2020/11/14,167.0
2020/11/15,37.0
2020/11/16,398.0
2020/11/17,219.0
2020/11/18,209.0
2020/11/19,193.0
2020/11/20,249.0
2020/11/21,89.0
2020/11/22,19.0
2020/11/23,198.0
2020/11/24,163.0
2020/11/25,130.0
2020/11/26,155.0
2020/11/27,163.0
2020/11/28,79.0
2020/11/29,15.0
2020/11/30,166.0
2020/12/01,124.0
2020/12/02,144.0
2020/12/03,156.0
2020/12/04,117.0
2020/12/05,77.0
2020/12/06,20.0
2020/12/07,148.0
2020/12/08,136.0
2020/12/09,130.0
2020/12/10,134.0
2020/12/11,168.0
2020/12/12,89.0
2020/12/13,17.0
2020/12/14,199.0
2020/12/15,157.0
2020/12/16,227.0
2020/12/17,168.0
2020/12/18,195.0
2020/12/19,123.0
2020/12/20,20.0
2020/12/21,237.0
2020/12/22,199.0
2020/12/23,193.0
2020/12/24,165.0
2020/12/25,12.0
2020/12/26,120.0
2020/12/27,23.0
2020/12/28,269.0
2020/12/29,259.0
2020/12/30,221.0
2020/12/31,186.0
2021/01/01,18.0
2021/01/02,174.0
2021/01/03,46.0
2021/01/04,417.0
2021/01/05,352.0
2021/01/06,300.0
2021/01/07,308.0
2021/01/08,379.0
2021/01/09,177.0
2021/01/10,37.0
2021/01/11,423.0
2021/01/12,304.0
2021/01/13,333.0
2021/01/14,296.0
2021/01/15,331.0
2021/01/16,153.0
2021/01/17,45.0
2021/01/18,395.0
2021/01/19,308.0
2021/01/20,308.0
2021/01/21,351.0
2021/01/22,327.0
2021/01/23,172.0
2021/01/24,24.0
2021/01/25,432.0
2021/01/26,307.0
2021/01/27,273.0
2021/01/28,332.0
2021/01/29,320.0
2021/01/30,167.0
2021/01/31,37.0
2021/02/01,366.0
2021/02/02,298.0
2021/02/03,298.0
2021/02/04,246.0
2021/02/05,307.0
2021/02/06,181.0
2021/02/07,19.0
2021/02/08,402.0
2021/02/09,277.0
2021/02/10,265.0
2021/02/11,267.0
2021/02/12,303.0
2021/02/13,120.0
2021/02/14,16.0
2021/02/15,356.0
2021/02/16,248.0
2021/02/17,243.0
2021/02/18,215.0
2021/02/19,305.0
2021/02/20,154.0
2021/02/21,26.0
2021/02/22,432.0
2021/02/23,288.0
2021/02/24,320.0
2021/02/25,282.0
2021/02/26,342.0
2021/02/27,144.0
2021/02/28,38.0
2021/03/01,413.0
2021/03/02,259.0
2021/03/03,245.0
2021/03/04,303.0
2021/03/05,267.0
2021/03/06,170.0
2021/03/07,32.0
2021/03/08,353.0
2021/03/09,261.0
2021/03/10,309.0
2021/03/11,317.0
2021/03/12,317.0
2021/03/13,184.0
2021/03/14,43.0
2021/03/15,483.0
2021/03/16,390.0
2021/03/17,416.0
2021/03/18,377.0
2021/03/19,472.0
2021/03/20,233.0
2021/03/21,51.0
2021/03/22,678.0
2021/03/23,550.0
2021/03/24,524.0
2021/03/25,548.0
2021/03/26,608.0
2021/03/27,347.0
2021/03/28,45.0
2021/03/29,869.0
2021/03/30,690.0
2021/03/31,606.0
2021/04/01,598.0
2021/04/02,731.0
2021/04/03,330.0
2021/04/04,52.0
2021/04/05,147.0
2021/04/06,889.0
2021/04/07,589.0
2021/04/08,579.0
2021/04/09,551.0
2021/04/10,340.0
2021/04/11,76.0
2021/04/12,813.0
2021/04/13,588.0
2021/04/14,564.0
2021/04/15,508.0
2021/04/16,508.0
2021/04/17,311.0
2021/04/18,64.0
2021/04/19,703.0
2021/04/20,516.0
2021/04/21,500.0
2021/04/22,409.0
2021/04/23,457.0
2021/04/24,232.0
2021/04/25,52.0
2021/04/26,551.0
2021/04/27,443.0
2021/04/28,414.0
2021/04/29,348.0
2021/04/30,313.0
2021/05/01,54.0
2021/05/02,20.0
2021/05/03,430.0
2021/05/04,280.0
2021/05/05,215.0
2021/05/06,180.0
2021/05/07,227.0
2021/05/08,44.0
2021/05/09,19.0
2021/05/10,279.0
2021/05/11,177.0
2021/05/12,180.0
2021/05/13,32.0
2021/05/14,201.0
2021/05/15,92.0
2021/05/16,22.0
2021/05/17,259.0
2021/05/18,162.0
2021/05/19,196.0
2021/05/20,151.0
2021/05/21,178.0
2021/05/22,96.0
2021/05/23,12.0
2021/05/24,46.0
2021/05/25,268.0
2021/05/26,161.0
2021/05/27,169.0
2021/05/28,133.0
2021/05/29,84.0
2021/05/30,20.0
2021/05/31,133.0
