Datas,Ille-et-Vilaine
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,5.0
2020/05/14,8.0
2020/05/15,64.0
2020/05/16,9.0
2020/05/17,1.0
2020/05/18,6.0
2020/05/19,1.0
2020/05/20,5.0
2020/05/21,6.0
2020/05/22,3.0
2020/05/23,3.0
2020/05/24,0.0
2020/05/25,3.0
2020/05/26,2.0
2020/05/27,9.0
2020/05/28,2.0
2020/05/29,0.0
2020/05/30,2.0
2020/05/31,2.0
2020/06/01,1.0
2020/06/02,3.0
2020/06/03,3.0
2020/06/04,0.0
2020/06/05,1.0
2020/06/06,3.0
2020/06/07,0.0
2020/06/08,2.0
2020/06/09,0.0
2020/06/10,2.0
2020/06/11,0.0
2020/06/12,1.0
2020/06/13,0.0
2020/06/14,0.0
2020/06/15,1.0
2020/06/16,0.0
2020/06/17,0.0
2020/06/18,1.0
2020/06/19,1.0
2020/06/20,0.0
2020/06/21,0.0
2020/06/22,0.0
2020/06/23,0.0
2020/06/24,2.0
2020/06/25,3.0
2020/06/26,0.0
2020/06/27,1.0
2020/06/28,0.0
2020/06/29,0.0
2020/06/30,1.0
2020/07/01,2.0
2020/07/02,1.0
2020/07/03,1.0
2020/07/04,1.0
2020/07/05,0.0
2020/07/06,0.0
2020/07/07,3.0
2020/07/08,3.0
2020/07/09,4.0
2020/07/10,10.0
2020/07/11,7.0
2020/07/12,2.0
2020/07/13,13.0
2020/07/14,0.0
2020/07/15,12.0
2020/07/16,5.0
2020/07/17,8.0
2020/07/18,6.0
2020/07/19,1.0
2020/07/20,16.0
2020/07/21,13.0
2020/07/22,31.0
2020/07/23,22.0
2020/07/24,40.0
2020/07/25,27.0
2020/07/26,6.0
2020/07/27,35.0
2020/07/28,50.0
2020/07/29,28.0
2020/07/30,22.0
2020/07/31,43.0
2020/08/01,14.0
2020/08/02,6.0
2020/08/03,39.0
2020/08/04,52.0
2020/08/05,39.0
2020/08/06,21.0
2020/08/07,19.0
2020/08/08,8.0
2020/08/09,3.0
2020/08/10,23.0
2020/08/11,27.0
2020/08/12,27.0
2020/08/13,18.0
2020/08/14,36.0
2020/08/15,5.0
2020/08/16,14.0
2020/08/17,39.0
2020/08/18,59.0
2020/08/19,44.0
2020/08/20,49.0
2020/08/21,59.0
2020/08/22,28.0
2020/08/23,6.0
2020/08/24,48.0
2020/08/25,60.0
2020/08/26,72.0
2020/08/27,63.0
2020/08/28,72.0
2020/08/29,32.0
2020/08/30,20.0
2020/08/31,86.0
2020/09/01,111.0
2020/09/02,109.0
2020/09/03,172.0
2020/09/04,123.0
2020/09/05,67.0
2020/09/06,28.0
2020/09/07,193.0
2020/09/08,182.0
2020/09/09,177.0
2020/09/10,202.0
2020/09/11,158.0
2020/09/12,83.0
2020/09/13,39.0
2020/09/14,160.0
2020/09/15,218.0
2020/09/16,223.0
2020/09/17,274.0
2020/09/18,255.0
2020/09/19,122.0
2020/09/20,42.0
2020/09/21,250.0
2020/09/22,273.0
2020/09/23,209.0
2020/09/24,210.0
2020/09/25,194.0
2020/09/26,101.0
2020/09/27,24.0
2020/09/28,207.0
2020/09/29,210.0
2020/09/30,176.0
2020/10/01,225.0
2020/10/02,226.0
2020/10/03,130.0
2020/10/04,9.0
2020/10/05,260.0
2020/10/06,210.0
2020/10/07,177.0
2020/10/08,232.0
2020/10/09,241.0
2020/10/10,198.0
2020/10/11,31.0
2020/10/12,359.0
2020/10/13,238.0
2020/10/14,273.0
2020/10/15,303.0
2020/10/16,329.0
2020/10/17,219.0
2020/10/18,49.0
2020/10/19,432.0
2020/10/20,503.0
2020/10/21,421.0
2020/10/22,443.0
2020/10/23,578.0
2020/10/24,339.0
2020/10/25,63.0
2020/10/26,698.0
2020/10/27,629.0
2020/10/28,529.0
2020/10/29,589.0
2020/10/30,677.0
2020/10/31,279.0
2020/11/01,61.0
2020/11/02,698.0
2020/11/03,689.0
2020/11/04,523.0
2020/11/05,421.0
2020/11/06,500.0
2020/11/07,287.0
2020/11/08,39.0
2020/11/09,474.0
2020/11/10,388.0
2020/11/11,50.0
2020/11/12,351.0
2020/11/13,313.0
2020/11/14,145.0
2020/11/15,56.0
2020/11/16,232.0
2020/11/17,134.0
2020/11/18,98.0
2020/11/19,129.0
2020/11/20,129.0
2020/11/21,66.0
2020/11/22,14.0
2020/11/23,115.0
2020/11/24,111.0
2020/11/25,96.0
2020/11/26,73.0
2020/11/27,100.0
2020/11/28,67.0
2020/11/29,19.0
2020/11/30,151.0
2020/12/01,127.0
2020/12/02,95.0
2020/12/03,80.0
2020/12/04,128.0
2020/12/05,79.0
2020/12/06,5.0
2020/12/07,95.0
2020/12/08,108.0
2020/12/09,132.0
2020/12/10,89.0
2020/12/11,94.0
2020/12/12,87.0
2020/12/13,24.0
2020/12/14,195.0
2020/12/15,126.0
2020/12/16,157.0
2020/12/17,107.0
2020/12/18,117.0
2020/12/19,59.0
2020/12/20,14.0
2020/12/21,120.0
2020/12/22,124.0
2020/12/23,113.0
2020/12/24,107.0
2020/12/25,3.0
2020/12/26,97.0
2020/12/27,18.0
2020/12/28,184.0
2020/12/29,163.0
2020/12/30,136.0
2020/12/31,142.0
2021/01/01,12.0
2021/01/02,103.0
2021/01/03,29.0
2021/01/04,236.0
2021/01/05,270.0
2021/01/06,217.0
2021/01/07,199.0
2021/01/08,180.0
2021/01/09,169.0
2021/01/10,40.0
2021/01/11,349.0
2021/01/12,283.0
2021/01/13,267.0
2021/01/14,242.0
2021/01/15,276.0
2021/01/16,122.0
2021/01/17,40.0
2021/01/18,315.0
2021/01/19,272.0
2021/01/20,276.0
2021/01/21,275.0
2021/01/22,236.0
2021/01/23,140.0
2021/01/24,27.0
2021/01/25,314.0
2021/01/26,238.0
2021/01/27,255.0
2021/01/28,327.0
2021/01/29,323.0
2021/01/30,182.0
2021/01/31,42.0
2021/02/01,418.0
2021/02/02,331.0
2021/02/03,319.0
2021/02/04,300.0
2021/02/05,336.0
2021/02/06,167.0
2021/02/07,29.0
2021/02/08,341.0
2021/02/09,321.0
2021/02/10,214.0
2021/02/11,225.0
2021/02/12,239.0
2021/02/13,154.0
2021/02/14,21.0
2021/02/15,314.0
2021/02/16,245.0
2021/02/17,255.0
2021/02/18,289.0
2021/02/19,266.0
2021/02/20,142.0
2021/02/21,35.0
2021/02/22,335.0
2021/02/23,236.0
2021/02/24,230.0
2021/02/25,246.0
2021/02/26,240.0
2021/02/27,167.0
2021/02/28,29.0
2021/03/01,310.0
2021/03/02,261.0
2021/03/03,266.0
2021/03/04,267.0
2021/03/05,280.0
2021/03/06,200.0
2021/03/07,58.0
2021/03/08,316.0
2021/03/09,317.0
2021/03/10,331.0
2021/03/11,301.0
2021/03/12,306.0
2021/03/13,215.0
2021/03/14,40.0
2021/03/15,449.0
2021/03/16,401.0
2021/03/17,399.0
2021/03/18,417.0
2021/03/19,416.0
2021/03/20,214.0
2021/03/21,68.0
2021/03/22,537.0
2021/03/23,475.0
2021/03/24,476.0
2021/03/25,437.0
2021/03/26,513.0
2021/03/27,272.0
2021/03/28,47.0
2021/03/29,612.0
2021/03/30,535.0
2021/03/31,524.0
2021/04/01,486.0
2021/04/02,534.0
2021/04/03,334.0
2021/04/04,62.0
2021/04/05,122.0
2021/04/06,693.0
2021/04/07,553.0
2021/04/08,483.0
2021/04/09,478.0
2021/04/10,273.0
2021/04/11,62.0
2021/04/12,644.0
2021/04/13,539.0
2021/04/14,467.0
2021/04/15,424.0
2021/04/16,441.0
2021/04/17,356.0
2021/04/18,64.0
2021/04/19,530.0
2021/04/20,419.0
2021/04/21,426.0
2021/04/22,383.0
2021/04/23,390.0
2021/04/24,264.0
2021/04/25,73.0
2021/04/26,466.0
2021/04/27,346.0
2021/04/28,262.0
2021/04/29,304.0
2021/04/30,312.0
2021/05/01,83.0
2021/05/02,41.0
2021/05/03,371.0
2021/05/04,276.0
2021/05/05,264.0
2021/05/06,297.0
2021/05/07,309.0
2021/05/08,83.0
2021/05/09,48.0
2021/05/10,320.0
2021/05/11,281.0
2021/05/12,261.0
2021/05/13,64.0
2021/05/14,289.0
2021/05/15,146.0
2021/05/16,45.0
2021/05/17,299.0
2021/05/18,252.0
2021/05/19,211.0
2021/05/20,206.0
2021/05/21,194.0
2021/05/22,141.0
2021/05/23,39.0
2021/05/24,57.0
2021/05/25,246.0
2021/05/26,185.0
2021/05/27,189.0
2021/05/28,174.0
2021/05/29,94.0
2021/05/30,16.0
2021/05/31,162.0
