Datas,Indre-et-Loire
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,7.0
2020/05/14,5.0
2020/05/15,8.0
2020/05/16,1.0
2020/05/17,2.0
2020/05/18,11.0
2020/05/19,9.0
2020/05/20,16.0
2020/05/21,1.0
2020/05/22,5.0
2020/05/23,2.0
2020/05/24,2.0
2020/05/25,3.0
2020/05/26,3.0
2020/05/27,2.0
2020/05/28,5.0
2020/05/29,2.0
2020/05/30,1.0
2020/05/31,1.0
2020/06/01,0.0
2020/06/02,1.0
2020/06/03,1.0
2020/06/04,2.0
2020/06/05,4.0
2020/06/06,1.0
2020/06/07,0.0
2020/06/08,2.0
2020/06/09,1.0
2020/06/10,0.0
2020/06/11,0.0
2020/06/12,4.0
2020/06/13,1.0
2020/06/14,0.0
2020/06/15,1.0
2020/06/16,3.0
2020/06/17,2.0
2020/06/18,1.0
2020/06/19,1.0
2020/06/20,0.0
2020/06/21,0.0
2020/06/22,1.0
2020/06/23,0.0
2020/06/24,0.0
2020/06/25,0.0
2020/06/26,2.0
2020/06/27,4.0
2020/06/28,1.0
2020/06/29,2.0
2020/06/30,1.0
2020/07/01,0.0
2020/07/02,3.0
2020/07/03,0.0
2020/07/04,0.0
2020/07/05,0.0
2020/07/06,4.0
2020/07/07,1.0
2020/07/08,1.0
2020/07/09,0.0
2020/07/10,4.0
2020/07/11,0.0
2020/07/12,1.0
2020/07/13,4.0
2020/07/14,0.0
2020/07/15,0.0
2020/07/16,3.0
2020/07/17,6.0
2020/07/18,3.0
2020/07/19,1.0
2020/07/20,8.0
2020/07/21,3.0
2020/07/22,12.0
2020/07/23,13.0
2020/07/24,14.0
2020/07/25,7.0
2020/07/26,2.0
2020/07/27,8.0
2020/07/28,11.0
2020/07/29,8.0
2020/07/30,12.0
2020/07/31,13.0
2020/08/01,2.0
2020/08/02,1.0
2020/08/03,11.0
2020/08/04,6.0
2020/08/05,2.0
2020/08/06,10.0
2020/08/07,11.0
2020/08/08,5.0
2020/08/09,1.0
2020/08/10,8.0
2020/08/11,8.0
2020/08/12,16.0
2020/08/13,17.0
2020/08/14,34.0
2020/08/15,2.0
2020/08/16,5.0
2020/08/17,33.0
2020/08/18,34.0
2020/08/19,14.0
2020/08/20,42.0
2020/08/21,31.0
2020/08/22,14.0
2020/08/23,6.0
2020/08/24,29.0
2020/08/25,32.0
2020/08/26,40.0
2020/08/27,33.0
2020/08/28,46.0
2020/08/29,20.0
2020/08/30,6.0
2020/08/31,36.0
2020/09/01,48.0
2020/09/02,55.0
2020/09/03,48.0
2020/09/04,71.0
2020/09/05,20.0
2020/09/06,7.0
2020/09/07,54.0
2020/09/08,83.0
2020/09/09,73.0
2020/09/10,68.0
2020/09/11,93.0
2020/09/12,40.0
2020/09/13,10.0
2020/09/14,117.0
2020/09/15,95.0
2020/09/16,107.0
2020/09/17,105.0
2020/09/18,91.0
2020/09/19,39.0
2020/09/20,7.0
2020/09/21,127.0
2020/09/22,102.0
2020/09/23,72.0
2020/09/24,52.0
2020/09/25,77.0
2020/09/26,17.0
2020/09/27,1.0
2020/09/28,97.0
2020/09/29,78.0
2020/09/30,76.0
2020/10/01,92.0
2020/10/02,112.0
2020/10/03,40.0
2020/10/04,13.0
2020/10/05,135.0
2020/10/06,132.0
2020/10/07,106.0
2020/10/08,142.0
2020/10/09,141.0
2020/10/10,97.0
2020/10/11,13.0
2020/10/12,204.0
2020/10/13,203.0
2020/10/14,182.0
2020/10/15,173.0
2020/10/16,218.0
2020/10/17,127.0
2020/10/18,30.0
2020/10/19,311.0
2020/10/20,352.0
2020/10/21,326.0
2020/10/22,390.0
2020/10/23,360.0
2020/10/24,203.0
2020/10/25,25.0
2020/10/26,504.0
2020/10/27,442.0
2020/10/28,388.0
2020/10/29,398.0
2020/10/30,410.0
2020/10/31,251.0
2020/11/01,40.0
2020/11/02,451.0
2020/11/03,415.0
2020/11/04,350.0
2020/11/05,308.0
2020/11/06,249.0
2020/11/07,131.0
2020/11/08,32.0
2020/11/09,293.0
2020/11/10,247.0
2020/11/11,34.0
2020/11/12,313.0
2020/11/13,166.0
2020/11/14,62.0
2020/11/15,13.0
2020/11/16,191.0
2020/11/17,118.0
2020/11/18,106.0
2020/11/19,95.0
2020/11/20,86.0
2020/11/21,38.0
2020/11/22,5.0
2020/11/23,92.0
2020/11/24,95.0
2020/11/25,70.0
2020/11/26,54.0
2020/11/27,87.0
2020/11/28,36.0
2020/11/29,8.0
2020/11/30,115.0
2020/12/01,72.0
2020/12/02,56.0
2020/12/03,65.0
2020/12/04,80.0
2020/12/05,57.0
2020/12/06,16.0
2020/12/07,110.0
2020/12/08,77.0
2020/12/09,60.0
2020/12/10,93.0
2020/12/11,63.0
2020/12/12,56.0
2020/12/13,6.0
2020/12/14,121.0
2020/12/15,97.0
2020/12/16,146.0
2020/12/17,88.0
2020/12/18,98.0
2020/12/19,59.0
2020/12/20,20.0
2020/12/21,108.0
2020/12/22,127.0
2020/12/23,137.0
2020/12/24,66.0
2020/12/25,12.0
2020/12/26,44.0
2020/12/27,15.0
2020/12/28,150.0
2020/12/29,108.0
2020/12/30,111.0
2020/12/31,110.0
2021/01/01,8.0
2021/01/02,72.0
2021/01/03,13.0
2021/01/04,176.0
2021/01/05,200.0
2021/01/06,146.0
2021/01/07,160.0
2021/01/08,156.0
2021/01/09,91.0
2021/01/10,17.0
2021/01/11,242.0
2021/01/12,173.0
2021/01/13,135.0
2021/01/14,177.0
2021/01/15,203.0
2021/01/16,96.0
2021/01/17,9.0
2021/01/18,251.0
2021/01/19,186.0
2021/01/20,169.0
2021/01/21,167.0
2021/01/22,180.0
2021/01/23,104.0
2021/01/24,9.0
2021/01/25,292.0
2021/01/26,209.0
2021/01/27,192.0
2021/01/28,187.0
2021/01/29,191.0
2021/01/30,100.0
2021/01/31,12.0
2021/02/01,239.0
2021/02/02,171.0
2021/02/03,169.0
2021/02/04,178.0
2021/02/05,187.0
2021/02/06,101.0
2021/02/07,19.0
2021/02/08,209.0
2021/02/09,153.0
2021/02/10,141.0
2021/02/11,121.0
2021/02/12,148.0
2021/02/13,91.0
2021/02/14,11.0
2021/02/15,194.0
2021/02/16,134.0
2021/02/17,173.0
2021/02/18,147.0
2021/02/19,172.0
2021/02/20,85.0
2021/02/21,7.0
2021/02/22,247.0
2021/02/23,210.0
2021/02/24,164.0
2021/02/25,200.0
2021/02/26,174.0
2021/02/27,98.0
2021/02/28,12.0
2021/03/01,226.0
2021/03/02,179.0
2021/03/03,149.0
2021/03/04,198.0
2021/03/05,195.0
2021/03/06,120.0
2021/03/07,20.0
2021/03/08,320.0
2021/03/09,189.0
2021/03/10,177.0
2021/03/11,193.0
2021/03/12,220.0
2021/03/13,123.0
2021/03/14,13.0
2021/03/15,286.0
2021/03/16,288.0
2021/03/17,286.0
2021/03/18,276.0
2021/03/19,291.0
2021/03/20,155.0
2021/03/21,15.0
2021/03/22,300.0
2021/03/23,298.0
2021/03/24,279.0
2021/03/25,330.0
2021/03/26,355.0
2021/03/27,173.0
2021/03/28,29.0
2021/03/29,457.0
2021/03/30,379.0
2021/03/31,331.0
2021/04/01,325.0
2021/04/02,364.0
2021/04/03,233.0
2021/04/04,24.0
2021/04/05,71.0
2021/04/06,407.0
2021/04/07,346.0
2021/04/08,360.0
2021/04/09,343.0
2021/04/10,244.0
2021/04/11,22.0
2021/04/12,483.0
2021/04/13,302.0
2021/04/14,281.0
2021/04/15,287.0
2021/04/16,320.0
2021/04/17,182.0
2021/04/18,14.0
2021/04/19,388.0
2021/04/20,278.0
2021/04/21,257.0
2021/04/22,249.0
2021/04/23,276.0
2021/04/24,142.0
2021/04/25,5.0
2021/04/26,293.0
2021/04/27,212.0
2021/04/28,204.0
2021/04/29,171.0
2021/04/30,184.0
2021/05/01,40.0
2021/05/02,20.0
2021/05/03,263.0
2021/05/04,172.0
2021/05/05,145.0
2021/05/06,151.0
2021/05/07,158.0
2021/05/08,23.0
2021/05/09,3.0
2021/05/10,175.0
2021/05/11,141.0
2021/05/12,120.0
2021/05/13,19.0
2021/05/14,124.0
2021/05/15,46.0
2021/05/16,9.0
2021/05/17,163.0
2021/05/18,103.0
2021/05/19,109.0
2021/05/20,107.0
2021/05/21,123.0
2021/05/22,51.0
2021/05/23,3.0
2021/05/24,21.0
2021/05/25,131.0
2021/05/26,107.0
2021/05/27,71.0
2021/05/28,66.0
2021/05/29,33.0
2021/05/30,2.0
2021/05/31,71.0
