Datas,Isère
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,5.0
2020/05/14,12.0
2020/05/15,5.0
2020/05/16,2.0
2020/05/17,1.0
2020/05/18,6.0
2020/05/19,10.0
2020/05/20,8.0
2020/05/21,0.0
2020/05/22,5.0
2020/05/23,2.0
2020/05/24,1.0
2020/05/25,6.0
2020/05/26,8.0
2020/05/27,5.0
2020/05/28,14.0
2020/05/29,22.0
2020/05/30,2.0
2020/05/31,0.0
2020/06/01,4.0
2020/06/02,3.0
2020/06/03,3.0
2020/06/04,3.0
2020/06/05,1.0
2020/06/06,3.0
2020/06/07,0.0
2020/06/08,8.0
2020/06/09,3.0
2020/06/10,7.0
2020/06/11,6.0
2020/06/12,2.0
2020/06/13,1.0
2020/06/14,2.0
2020/06/15,2.0
2020/06/16,2.0
2020/06/17,3.0
2020/06/18,1.0
2020/06/19,6.0
2020/06/20,1.0
2020/06/21,0.0
2020/06/22,2.0
2020/06/23,3.0
2020/06/24,2.0
2020/06/25,0.0
2020/06/26,4.0
2020/06/27,0.0
2020/06/28,0.0
2020/06/29,2.0
2020/06/30,4.0
2020/07/01,0.0
2020/07/02,4.0
2020/07/03,2.0
2020/07/04,4.0
2020/07/05,1.0
2020/07/06,3.0
2020/07/07,1.0
2020/07/08,9.0
2020/07/09,5.0
2020/07/10,10.0
2020/07/11,4.0
2020/07/12,1.0
2020/07/13,14.0
2020/07/14,0.0
2020/07/15,11.0
2020/07/16,6.0
2020/07/17,6.0
2020/07/18,4.0
2020/07/19,1.0
2020/07/20,13.0
2020/07/21,10.0
2020/07/22,9.0
2020/07/23,11.0
2020/07/24,8.0
2020/07/25,2.0
2020/07/26,4.0
2020/07/27,21.0
2020/07/28,9.0
2020/07/29,13.0
2020/07/30,7.0
2020/07/31,8.0
2020/08/01,4.0
2020/08/02,1.0
2020/08/03,21.0
2020/08/04,21.0
2020/08/05,12.0
2020/08/06,9.0
2020/08/07,29.0
2020/08/08,6.0
2020/08/09,3.0
2020/08/10,18.0
2020/08/11,16.0
2020/08/12,40.0
2020/08/13,36.0
2020/08/14,45.0
2020/08/15,5.0
2020/08/16,7.0
2020/08/17,72.0
2020/08/18,73.0
2020/08/19,67.0
2020/08/20,68.0
2020/08/21,77.0
2020/08/22,21.0
2020/08/23,6.0
2020/08/24,80.0
2020/08/25,87.0
2020/08/26,110.0
2020/08/27,80.0
2020/08/28,86.0
2020/08/29,40.0
2020/08/30,14.0
2020/08/31,124.0
2020/09/01,163.0
2020/09/02,166.0
2020/09/03,185.0
2020/09/04,196.0
2020/09/05,74.0
2020/09/06,22.0
2020/09/07,224.0
2020/09/08,295.0
2020/09/09,259.0
2020/09/10,210.0
2020/09/11,217.0
2020/09/12,75.0
2020/09/13,13.0
2020/09/14,291.0
2020/09/15,281.0
2020/09/16,316.0
2020/09/17,316.0
2020/09/18,324.0
2020/09/19,110.0
2020/09/20,24.0
2020/09/21,369.0
2020/09/22,387.0
2020/09/23,352.0
2020/09/24,381.0
2020/09/25,401.0
2020/09/26,123.0
2020/09/27,17.0
2020/09/28,390.0
2020/09/29,417.0
2020/09/30,411.0
2020/10/01,446.0
2020/10/02,497.0
2020/10/03,169.0
2020/10/04,16.0
2020/10/05,607.0
2020/10/06,656.0
2020/10/07,703.0
2020/10/08,750.0
2020/10/09,751.0
2020/10/10,250.0
2020/10/11,46.0
2020/10/12,939.0
2020/10/13,1039.0
2020/10/14,1028.0
2020/10/15,1111.0
2020/10/16,1238.0
2020/10/17,390.0
2020/10/18,104.0
2020/10/19,1473.0
2020/10/20,1532.0
2020/10/21,1700.0
2020/10/22,1839.0
2020/10/23,1878.0
2020/10/24,641.0
2020/10/25,112.0
2020/10/26,2109.0
2020/10/27,2201.0
2020/10/28,2066.0
2020/10/29,2073.0
2020/10/30,2106.0
2020/10/31,779.0
2020/11/01,99.0
2020/11/02,2407.0
2020/11/03,2268.0
2020/11/04,2035.0
2020/11/05,1864.0
2020/11/06,1756.0
2020/11/07,533.0
2020/11/08,87.0
2020/11/09,1752.0
2020/11/10,1542.0
2020/11/11,142.0
2020/11/12,1361.0
2020/11/13,1211.0
2020/11/14,354.0
2020/11/15,53.0
2020/11/16,1136.0
2020/11/17,882.0
2020/11/18,604.0
2020/11/19,667.0
2020/11/20,554.0
2020/11/21,210.0
2020/11/22,46.0
2020/11/23,642.0
2020/11/24,489.0
2020/11/25,374.0
2020/11/26,376.0
2020/11/27,418.0
2020/11/28,149.0
2020/11/29,48.0
2020/11/30,468.0
2020/12/01,406.0
2020/12/02,334.0
2020/12/03,356.0
2020/12/04,381.0
2020/12/05,165.0
2020/12/06,27.0
2020/12/07,550.0
2020/12/08,471.0
2020/12/09,444.0
2020/12/10,419.0
2020/12/11,448.0
2020/12/12,181.0
2020/12/13,46.0
2020/12/14,614.0
2020/12/15,519.0
2020/12/16,496.0
2020/12/17,505.0
2020/12/18,564.0
2020/12/19,376.0
2020/12/20,321.0
2020/12/21,567.0
2020/12/22,483.0
2020/12/23,390.0
2020/12/24,317.0
2020/12/25,41.0
2020/12/26,205.0
2020/12/27,52.0
2020/12/28,514.0
2020/12/29,430.0
2020/12/30,485.0
2020/12/31,400.0
2021/01/01,30.0
2021/01/02,256.0
2021/01/03,44.0
2021/01/04,655.0
2021/01/05,545.0
2021/01/06,439.0
2021/01/07,432.0
2021/01/08,430.0
2021/01/09,211.0
2021/01/10,43.0
2021/01/11,558.0
2021/01/12,366.0
2021/01/13,373.0
2021/01/14,361.0
2021/01/15,444.0
2021/01/16,243.0
2021/01/17,41.0
2021/01/18,578.0
2021/01/19,452.0
2021/01/20,478.0
2021/01/21,449.0
2021/01/22,470.0
2021/01/23,241.0
2021/01/24,47.0
2021/01/25,597.0
2021/01/26,441.0
2021/01/27,404.0
2021/01/28,443.0
2021/01/29,490.0
2021/01/30,214.0
2021/01/31,62.0
2021/02/01,604.0
2021/02/02,408.0
2021/02/03,346.0
2021/02/04,392.0
2021/02/05,389.0
2021/02/06,204.0
2021/02/07,49.0
2021/02/08,472.0
2021/02/09,372.0
2021/02/10,372.0
2021/02/11,346.0
2021/02/12,300.0
2021/02/13,121.0
2021/02/14,39.0
2021/02/15,436.0
2021/02/16,324.0
2021/02/17,323.0
2021/02/18,323.0
2021/02/19,368.0
2021/02/20,182.0
2021/02/21,51.0
2021/02/22,498.0
2021/02/23,461.0
2021/02/24,382.0
2021/02/25,372.0
2021/02/26,417.0
2021/02/27,195.0
2021/02/28,26.0
2021/03/01,453.0
2021/03/02,375.0
2021/03/03,325.0
2021/03/04,372.0
2021/03/05,392.0
2021/03/06,172.0
2021/03/07,48.0
2021/03/08,438.0
2021/03/09,401.0
2021/03/10,371.0
2021/03/11,394.0
2021/03/12,448.0
2021/03/13,234.0
2021/03/14,44.0
2021/03/15,657.0
2021/03/16,505.0
2021/03/17,421.0
2021/03/18,490.0
2021/03/19,551.0
2021/03/20,298.0
2021/03/21,74.0
2021/03/22,772.0
2021/03/23,643.0
2021/03/24,645.0
2021/03/25,701.0
2021/03/26,744.0
2021/03/27,433.0
2021/03/28,84.0
2021/03/29,989.0
2021/03/30,881.0
2021/03/31,732.0
2021/04/01,741.0
2021/04/02,738.0
2021/04/03,364.0
2021/04/04,77.0
2021/04/05,147.0
2021/04/06,954.0
2021/04/07,657.0
2021/04/08,596.0
2021/04/09,687.0
2021/04/10,336.0
2021/04/11,80.0
2021/04/12,788.0
2021/04/13,669.0
2021/04/14,539.0
2021/04/15,537.0
2021/04/16,519.0
2021/04/17,296.0
2021/04/18,55.0
2021/04/19,729.0
2021/04/20,503.0
2021/04/21,563.0
2021/04/22,434.0
2021/04/23,454.0
2021/04/24,269.0
2021/04/25,45.0
2021/04/26,548.0
2021/04/27,428.0
2021/04/28,344.0
2021/04/29,335.0
2021/04/30,350.0
2021/05/01,56.0
2021/05/02,36.0
2021/05/03,411.0
2021/05/04,268.0
2021/05/05,231.0
2021/05/06,241.0
2021/05/07,240.0
2021/05/08,46.0
2021/05/09,30.0
2021/05/10,341.0
2021/05/11,220.0
2021/05/12,253.0
2021/05/13,28.0
2021/05/14,267.0
2021/05/15,102.0
2021/05/16,17.0
2021/05/17,281.0
2021/05/18,253.0
2021/05/19,218.0
2021/05/20,220.0
2021/05/21,236.0
2021/05/22,101.0
2021/05/23,23.0
2021/05/24,41.0
2021/05/25,270.0
2021/05/26,192.0
2021/05/27,197.0
2021/05/28,175.0
2021/05/29,69.0
2021/05/30,15.0
