Datas,Jura
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,0.0
2020/05/14,0.0
2020/05/15,6.0
2020/05/16,0.0
2020/05/17,1.0
2020/05/18,0.0
2020/05/19,1.0
2020/05/20,2.0
2020/05/21,2.0
2020/05/22,7.0
2020/05/23,0.0
2020/05/24,1.0
2020/05/25,3.0
2020/05/26,0.0
2020/05/27,0.0
2020/05/28,0.0
2020/05/29,0.0
2020/05/30,0.0
2020/05/31,0.0
2020/06/01,0.0
2020/06/02,0.0
2020/06/03,0.0
2020/06/04,1.0
2020/06/05,0.0
2020/06/06,0.0
2020/06/07,0.0
2020/06/08,1.0
2020/06/09,1.0
2020/06/10,1.0
2020/06/11,1.0
2020/06/12,0.0
2020/06/13,0.0
2020/06/14,0.0
2020/06/15,0.0
2020/06/16,3.0
2020/06/17,2.0
2020/06/18,0.0
2020/06/19,0.0
2020/06/20,0.0
2020/06/21,0.0
2020/06/22,2.0
2020/06/23,2.0
2020/06/24,0.0
2020/06/25,1.0
2020/06/26,1.0
2020/06/27,0.0
2020/06/28,2.0
2020/06/29,2.0
2020/06/30,0.0
2020/07/01,2.0
2020/07/02,1.0
2020/07/03,1.0
2020/07/04,1.0
2020/07/05,1.0
2020/07/06,0.0
2020/07/07,1.0
2020/07/08,2.0
2020/07/09,1.0
2020/07/10,6.0
2020/07/11,0.0
2020/07/12,0.0
2020/07/13,3.0
2020/07/14,0.0
2020/07/15,0.0
2020/07/16,1.0
2020/07/17,7.0
2020/07/18,2.0
2020/07/19,4.0
2020/07/20,3.0
2020/07/21,2.0
2020/07/22,0.0
2020/07/23,4.0
2020/07/24,6.0
2020/07/25,1.0
2020/07/26,1.0
2020/07/27,3.0
2020/07/28,0.0
2020/07/29,2.0
2020/07/30,0.0
2020/07/31,0.0
2020/08/01,1.0
2020/08/02,0.0
2020/08/03,1.0
2020/08/04,1.0
2020/08/05,2.0
2020/08/06,1.0
2020/08/07,6.0
2020/08/08,3.0
2020/08/09,0.0
2020/08/10,2.0
2020/08/11,2.0
2020/08/12,3.0
2020/08/13,2.0
2020/08/14,6.0
2020/08/15,1.0
2020/08/16,2.0
2020/08/17,5.0
2020/08/18,7.0
2020/08/19,3.0
2020/08/20,7.0
2020/08/21,7.0
2020/08/22,4.0
2020/08/23,0.0
2020/08/24,6.0
2020/08/25,5.0
2020/08/26,7.0
2020/08/27,9.0
2020/08/28,12.0
2020/08/29,7.0
2020/08/30,1.0
2020/08/31,6.0
2020/09/01,18.0
2020/09/02,7.0
2020/09/03,5.0
2020/09/04,17.0
2020/09/05,6.0
2020/09/06,3.0
2020/09/07,6.0
2020/09/08,16.0
2020/09/09,10.0
2020/09/10,8.0
2020/09/11,13.0
2020/09/12,16.0
2020/09/13,6.0
2020/09/14,14.0
2020/09/15,10.0
2020/09/16,18.0
2020/09/17,16.0
2020/09/18,14.0
2020/09/19,4.0
2020/09/20,1.0
2020/09/21,22.0
2020/09/22,26.0
2020/09/23,20.0
2020/09/24,26.0
2020/09/25,19.0
2020/09/26,12.0
2020/09/27,2.0
2020/09/28,18.0
2020/09/29,21.0
2020/09/30,15.0
2020/10/01,23.0
2020/10/02,29.0
2020/10/03,28.0
2020/10/04,0.0
2020/10/05,20.0
2020/10/06,32.0
2020/10/07,36.0
2020/10/08,36.0
2020/10/09,76.0
2020/10/10,39.0
2020/10/11,5.0
2020/10/12,69.0
2020/10/13,105.0
2020/10/14,110.0
2020/10/15,117.0
2020/10/16,152.0
2020/10/17,71.0
2020/10/18,14.0
2020/10/19,176.0
2020/10/20,263.0
2020/10/21,257.0
2020/10/22,268.0
2020/10/23,310.0
2020/10/24,165.0
2020/10/25,41.0
2020/10/26,305.0
2020/10/27,350.0
2020/10/28,290.0
2020/10/29,377.0
2020/10/30,296.0
2020/10/31,211.0
2020/11/01,40.0
2020/11/02,380.0
2020/11/03,314.0
2020/11/04,326.0
2020/11/05,273.0
2020/11/06,291.0
2020/11/07,114.0
2020/11/08,34.0
2020/11/09,274.0
2020/11/10,239.0
2020/11/11,39.0
2020/11/12,195.0
2020/11/13,202.0
2020/11/14,82.0
2020/11/15,10.0
2020/11/16,164.0
2020/11/17,114.0
2020/11/18,112.0
2020/11/19,97.0
2020/11/20,88.0
2020/11/21,47.0
2020/11/22,10.0
2020/11/23,96.0
2020/11/24,73.0
2020/11/25,81.0
2020/11/26,85.0
2020/11/27,103.0
2020/11/28,64.0
2020/11/29,8.0
2020/11/30,96.0
2020/12/01,78.0
2020/12/02,93.0
2020/12/03,66.0
2020/12/04,107.0
2020/12/05,51.0
2020/12/06,13.0
2020/12/07,112.0
2020/12/08,126.0
2020/12/09,103.0
2020/12/10,82.0
2020/12/11,104.0
2020/12/12,55.0
2020/12/13,23.0
2020/12/14,144.0
2020/12/15,156.0
2020/12/16,149.0
2020/12/17,113.0
2020/12/18,118.0
2020/12/19,75.0
2020/12/20,19.0
2020/12/21,169.0
2020/12/22,136.0
2020/12/23,132.0
2020/12/24,123.0
2020/12/25,13.0
2020/12/26,77.0
2020/12/27,11.0
2020/12/28,193.0
2020/12/29,162.0
2020/12/30,182.0
2020/12/31,158.0
2021/01/01,17.0
2021/01/02,126.0
2021/01/03,15.0
2021/01/04,220.0
2021/01/05,183.0
2021/01/06,128.0
2021/01/07,137.0
2021/01/08,136.0
2021/01/09,89.0
2021/01/10,11.0
2021/01/11,173.0
2021/01/12,143.0
2021/01/13,112.0
2021/01/14,143.0
2021/01/15,116.0
2021/01/16,88.0
2021/01/17,5.0
2021/01/18,160.0
2021/01/19,125.0
2021/01/20,122.0
2021/01/21,143.0
2021/01/22,134.0
2021/01/23,71.0
2021/01/24,8.0
2021/01/25,180.0
2021/01/26,123.0
2021/01/27,100.0
2021/01/28,135.0
2021/01/29,121.0
2021/01/30,83.0
2021/01/31,7.0
2021/02/01,188.0
2021/02/02,124.0
2021/02/03,91.0
2021/02/04,98.0
2021/02/05,102.0
2021/02/06,64.0
2021/02/07,10.0
2021/02/08,109.0
2021/02/09,112.0
2021/02/10,85.0
2021/02/11,100.0
2021/02/12,86.0
2021/02/13,56.0
2021/02/14,5.0
2021/02/15,99.0
2021/02/16,102.0
2021/02/17,70.0
2021/02/18,97.0
2021/02/19,77.0
2021/02/20,57.0
2021/02/21,15.0
2021/02/22,118.0
2021/02/23,102.0
2021/02/24,56.0
2021/02/25,73.0
2021/02/26,66.0
2021/02/27,35.0
2021/02/28,4.0
2021/03/01,71.0
2021/03/02,56.0
2021/03/03,42.0
2021/03/04,48.0
2021/03/05,49.0
2021/03/06,39.0
2021/03/07,3.0
2021/03/08,74.0
2021/03/09,52.0
2021/03/10,66.0
2021/03/11,82.0
2021/03/12,83.0
2021/03/13,56.0
2021/03/14,4.0
2021/03/15,121.0
2021/03/16,101.0
2021/03/17,110.0
2021/03/18,90.0
2021/03/19,125.0
2021/03/20,54.0
2021/03/21,6.0
2021/03/22,131.0
2021/03/23,144.0
2021/03/24,119.0
2021/03/25,98.0
2021/03/26,176.0
2021/03/27,88.0
2021/03/28,8.0
2021/03/29,173.0
2021/03/30,148.0
2021/03/31,133.0
2021/04/01,149.0
2021/04/02,154.0
2021/04/03,102.0
2021/04/04,8.0
2021/04/05,14.0
2021/04/06,208.0
2021/04/07,142.0
2021/04/08,127.0
2021/04/09,133.0
2021/04/10,80.0
2021/04/11,15.0
2021/04/12,155.0
2021/04/13,151.0
2021/04/14,86.0
2021/04/15,111.0
2021/04/16,99.0
2021/04/17,75.0
2021/04/18,13.0
2021/04/19,139.0
2021/04/20,90.0
2021/04/21,105.0
2021/04/22,118.0
2021/04/23,95.0
2021/04/24,55.0
2021/04/25,5.0
2021/04/26,114.0
2021/04/27,77.0
2021/04/28,75.0
2021/04/29,70.0
2021/04/30,58.0
2021/05/01,4.0
2021/05/02,6.0
2021/05/03,106.0
2021/05/04,66.0
2021/05/05,49.0
2021/05/06,53.0
2021/05/07,52.0
2021/05/08,5.0
2021/05/09,5.0
2021/05/10,68.0
2021/05/11,45.0
2021/05/12,44.0
2021/05/13,1.0
2021/05/14,71.0
2021/05/15,28.0
2021/05/16,2.0
2021/05/17,69.0
2021/05/18,31.0
2021/05/19,40.0
2021/05/20,52.0
2021/05/21,63.0
2021/05/22,23.0
2021/05/23,1.0
2021/05/24,7.0
2021/05/25,52.0
2021/05/26,42.0
2021/05/27,35.0
2021/05/28,24.0
2021/05/29,16.0
2021/05/30,2.0
2021/05/31,35.0
2021/06/01,25.0
