Datas,Landes
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,0.0
2020/05/14,2.0
2020/05/15,0.0
2020/05/16,0.0
2020/05/17,0.0
2020/05/18,3.0
2020/05/19,5.0
2020/05/20,0.0
2020/05/21,0.0
2020/05/22,0.0
2020/05/23,0.0
2020/05/24,0.0
2020/05/25,0.0
2020/05/26,1.0
2020/05/27,0.0
2020/05/28,1.0
2020/05/29,1.0
2020/05/30,0.0
2020/05/31,0.0
2020/06/01,0.0
2020/06/02,2.0
2020/06/03,1.0
2020/06/04,2.0
2020/06/05,0.0
2020/06/06,1.0
2020/06/07,0.0
2020/06/08,0.0
2020/06/09,1.0
2020/06/10,3.0
2020/06/11,0.0
2020/06/12,0.0
2020/06/13,0.0
2020/06/14,1.0
2020/06/15,1.0
2020/06/16,0.0
2020/06/17,1.0
2020/06/18,0.0
2020/06/19,0.0
2020/06/20,0.0
2020/06/21,0.0
2020/06/22,0.0
2020/06/23,2.0
2020/06/24,0.0
2020/06/25,0.0
2020/06/26,5.0
2020/06/27,0.0
2020/06/28,0.0
2020/06/29,0.0
2020/06/30,0.0
2020/07/01,12.0
2020/07/02,4.0
2020/07/03,0.0
2020/07/04,0.0
2020/07/05,1.0
2020/07/06,0.0
2020/07/07,2.0
2020/07/08,3.0
2020/07/09,2.0
2020/07/10,2.0
2020/07/11,0.0
2020/07/12,0.0
2020/07/13,0.0
2020/07/14,0.0
2020/07/15,9.0
2020/07/16,1.0
2020/07/17,5.0
2020/07/18,0.0
2020/07/19,0.0
2020/07/20,0.0
2020/07/21,1.0
2020/07/22,1.0
2020/07/23,1.0
2020/07/24,0.0
2020/07/25,0.0
2020/07/26,0.0
2020/07/27,2.0
2020/07/28,1.0
2020/07/29,0.0
2020/07/30,0.0
2020/07/31,2.0
2020/08/01,0.0
2020/08/02,0.0
2020/08/03,1.0
2020/08/04,0.0
2020/08/05,2.0
2020/08/06,5.0
2020/08/07,4.0
2020/08/08,1.0
2020/08/09,0.0
2020/08/10,2.0
2020/08/11,5.0
2020/08/12,6.0
2020/08/13,3.0
2020/08/14,3.0
2020/08/15,0.0
2020/08/16,1.0
2020/08/17,5.0
2020/08/18,8.0
2020/08/19,17.0
2020/08/20,8.0
2020/08/21,13.0
2020/08/22,2.0
2020/08/23,1.0
2020/08/24,13.0
2020/08/25,13.0
2020/08/26,24.0
2020/08/27,15.0
2020/08/28,23.0
2020/08/29,8.0
2020/08/30,1.0
2020/08/31,20.0
2020/09/01,22.0
2020/09/02,37.0
2020/09/03,28.0
2020/09/04,42.0
2020/09/05,12.0
2020/09/06,4.0
2020/09/07,40.0
2020/09/08,40.0
2020/09/09,69.0
2020/09/10,51.0
2020/09/11,64.0
2020/09/12,8.0
2020/09/13,2.0
2020/09/14,54.0
2020/09/15,61.0
2020/09/16,79.0
2020/09/17,50.0
2020/09/18,91.0
2020/09/19,19.0
2020/09/20,6.0
2020/09/21,74.0
2020/09/22,65.0
2020/09/23,43.0
2020/09/24,52.0
2020/09/25,72.0
2020/09/26,20.0
2020/09/27,2.0
2020/09/28,74.0
2020/09/29,56.0
2020/09/30,66.0
2020/10/01,74.0
2020/10/02,77.0
2020/10/03,8.0
2020/10/04,3.0
2020/10/05,73.0
2020/10/06,66.0
2020/10/07,73.0
2020/10/08,109.0
2020/10/09,86.0
2020/10/10,25.0
2020/10/11,3.0
2020/10/12,174.0
2020/10/13,108.0
2020/10/14,92.0
2020/10/15,124.0
2020/10/16,122.0
2020/10/17,31.0
2020/10/18,7.0
2020/10/19,161.0
2020/10/20,145.0
2020/10/21,153.0
2020/10/22,227.0
2020/10/23,170.0
2020/10/24,82.0
2020/10/25,9.0
2020/10/26,215.0
2020/10/27,235.0
2020/10/28,220.0
2020/10/29,206.0
2020/10/30,216.0
2020/10/31,63.0
2020/11/01,12.0
2020/11/02,297.0
2020/11/03,304.0
2020/11/04,255.0
2020/11/05,253.0
2020/11/06,246.0
2020/11/07,68.0
2020/11/08,11.0
2020/11/09,258.0
2020/11/10,204.0
2020/11/11,12.0
2020/11/12,241.0
2020/11/13,151.0
2020/11/14,24.0
2020/11/15,10.0
2020/11/16,178.0
2020/11/17,114.0
2020/11/18,94.0
2020/11/19,109.0
2020/11/20,64.0
2020/11/21,24.0
2020/11/22,10.0
2020/11/23,112.0
2020/11/24,83.0
2020/11/25,120.0
2020/11/26,78.0
2020/11/27,68.0
2020/11/28,31.0
2020/11/29,11.0
2020/11/30,101.0
2020/12/01,146.0
2020/12/02,169.0
2020/12/03,102.0
2020/12/04,78.0
2020/12/05,20.0
2020/12/06,6.0
2020/12/07,111.0
2020/12/08,72.0
2020/12/09,86.0
2020/12/10,100.0
2020/12/11,97.0
2020/12/12,38.0
2020/12/13,11.0
2020/12/14,109.0
2020/12/15,77.0
2020/12/16,75.0
2020/12/17,74.0
2020/12/18,58.0
2020/12/19,37.0
2020/12/20,8.0
2020/12/21,97.0
2020/12/22,95.0
2020/12/23,98.0
2020/12/24,58.0
2020/12/25,1.0
2020/12/26,42.0
2020/12/27,7.0
2020/12/28,138.0
2020/12/29,142.0
2020/12/30,131.0
2020/12/31,92.0
2021/01/01,6.0
2021/01/02,71.0
2021/01/03,7.0
2021/01/04,168.0
2021/01/05,120.0
2021/01/06,119.0
2021/01/07,109.0
2021/01/08,112.0
2021/01/09,36.0
2021/01/10,9.0
2021/01/11,153.0
2021/01/12,124.0
2021/01/13,126.0
2021/01/14,109.0
2021/01/15,104.0
2021/01/16,65.0
2021/01/17,8.0
2021/01/18,146.0
2021/01/19,170.0
2021/01/20,110.0
2021/01/21,139.0
2021/01/22,179.0
2021/01/23,75.0
2021/01/24,9.0
2021/01/25,232.0
2021/01/26,172.0
2021/01/27,165.0
2021/01/28,167.0
2021/01/29,176.0
2021/01/30,58.0
2021/01/31,11.0
2021/02/01,152.0
2021/02/02,98.0
2021/02/03,97.0
2021/02/04,120.0
2021/02/05,89.0
2021/02/06,39.0
2021/02/07,7.0
2021/02/08,110.0
2021/02/09,74.0
2021/02/10,62.0
2021/02/11,63.0
2021/02/12,53.0
2021/02/13,19.0
2021/02/14,2.0
2021/02/15,69.0
2021/02/16,52.0
2021/02/17,46.0
2021/02/18,68.0
2021/02/19,57.0
2021/02/20,16.0
2021/02/21,3.0
2021/02/22,69.0
2021/02/23,60.0
2021/02/24,53.0
2021/02/25,48.0
2021/02/26,45.0
2021/02/27,8.0
2021/02/28,0.0
2021/03/01,48.0
2021/03/02,32.0
2021/03/03,63.0
2021/03/04,49.0
2021/03/05,45.0
2021/03/06,19.0
2021/03/07,5.0
2021/03/08,46.0
2021/03/09,64.0
2021/03/10,63.0
2021/03/11,55.0
2021/03/12,47.0
2021/03/13,28.0
2021/03/14,3.0
2021/03/15,80.0
2021/03/16,62.0
2021/03/17,56.0
2021/03/18,34.0
2021/03/19,48.0
2021/03/20,23.0
2021/03/21,1.0
2021/03/22,73.0
2021/03/23,58.0
2021/03/24,73.0
2021/03/25,63.0
2021/03/26,71.0
2021/03/27,37.0
2021/03/28,5.0
2021/03/29,86.0
2021/03/30,79.0
2021/03/31,50.0
2021/04/01,60.0
2021/04/02,71.0
2021/04/03,25.0
2021/04/04,4.0
2021/04/05,8.0
2021/04/06,138.0
2021/04/07,59.0
2021/04/08,59.0
2021/04/09,77.0
2021/04/10,57.0
2021/04/11,1.0
2021/04/12,117.0
2021/04/13,82.0
2021/04/14,64.0
2021/04/15,95.0
2021/04/16,81.0
2021/04/17,29.0
2021/04/18,4.0
2021/04/19,95.0
2021/04/20,62.0
2021/04/21,69.0
2021/04/22,66.0
2021/04/23,44.0
2021/04/24,38.0
2021/04/25,3.0
2021/04/26,91.0
2021/04/27,55.0
2021/04/28,39.0
2021/04/29,50.0
2021/04/30,53.0
2021/05/01,3.0
2021/05/02,2.0
2021/05/03,58.0
2021/05/04,53.0
2021/05/05,61.0
2021/05/06,52.0
2021/05/07,53.0
2021/05/08,5.0
2021/05/09,6.0
2021/05/10,70.0
2021/05/11,64.0
2021/05/12,50.0
2021/05/13,4.0
2021/05/14,67.0
2021/05/15,32.0
2021/05/16,0.0
2021/05/17,85.0
2021/05/18,72.0
2021/05/19,56.0
2021/05/20,67.0
2021/05/21,54.0
2021/05/22,30.0
2021/05/23,4.0
2021/05/24,7.0
2021/05/25,104.0
2021/05/26,69.0
2021/05/27,62.0
2021/05/28,79.0
2021/05/29,40.0
2021/05/30,4.0
2021/05/31,79.0
2021/06/01,66.0
