Datas,Loir-et-Cher
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,2.0
2020/05/14,2.0
2020/05/15,4.0
2020/05/16,1.0
2020/05/17,1.0
2020/05/18,5.0
2020/05/19,0.0
2020/05/20,6.0
2020/05/21,1.0
2020/05/22,2.0
2020/05/23,0.0
2020/05/24,2.0
2020/05/25,3.0
2020/05/26,2.0
2020/05/27,0.0
2020/05/28,0.0
2020/05/29,0.0
2020/05/30,0.0
2020/05/31,1.0
2020/06/01,0.0
2020/06/02,1.0
2020/06/03,1.0
2020/06/04,1.0
2020/06/05,0.0
2020/06/06,0.0
2020/06/07,0.0
2020/06/08,1.0
2020/06/09,0.0
2020/06/10,0.0
2020/06/11,1.0
2020/06/12,1.0
2020/06/13,0.0
2020/06/14,0.0
2020/06/15,2.0
2020/06/16,0.0
2020/06/17,2.0
2020/06/18,0.0
2020/06/19,3.0
2020/06/20,0.0
2020/06/21,0.0
2020/06/22,1.0
2020/06/23,0.0
2020/06/24,1.0
2020/06/25,0.0
2020/06/26,0.0
2020/06/27,0.0
2020/06/28,0.0
2020/06/29,0.0
2020/06/30,3.0
2020/07/01,0.0
2020/07/02,0.0
2020/07/03,0.0
2020/07/04,0.0
2020/07/05,0.0
2020/07/06,0.0
2020/07/07,0.0
2020/07/08,0.0
2020/07/09,0.0
2020/07/10,0.0
2020/07/11,0.0
2020/07/12,1.0
2020/07/13,0.0
2020/07/14,0.0
2020/07/15,0.0
2020/07/16,0.0
2020/07/17,0.0
2020/07/18,0.0
2020/07/19,0.0
2020/07/20,2.0
2020/07/21,3.0
2020/07/22,2.0
2020/07/23,5.0
2020/07/24,1.0
2020/07/25,3.0
2020/07/26,0.0
2020/07/27,2.0
2020/07/28,3.0
2020/07/29,6.0
2020/07/30,5.0
2020/07/31,10.0
2020/08/01,0.0
2020/08/02,0.0
2020/08/03,4.0
2020/08/04,2.0
2020/08/05,5.0
2020/08/06,1.0
2020/08/07,3.0
2020/08/08,2.0
2020/08/09,0.0
2020/08/10,11.0
2020/08/11,4.0
2020/08/12,6.0
2020/08/13,8.0
2020/08/14,5.0
2020/08/15,1.0
2020/08/16,1.0
2020/08/17,8.0
2020/08/18,10.0
2020/08/19,6.0
2020/08/20,13.0
2020/08/21,9.0
2020/08/22,5.0
2020/08/23,3.0
2020/08/24,18.0
2020/08/25,14.0
2020/08/26,13.0
2020/08/27,13.0
2020/08/28,9.0
2020/08/29,6.0
2020/08/30,1.0
2020/08/31,12.0
2020/09/01,14.0
2020/09/02,16.0
2020/09/03,13.0
2020/09/04,17.0
2020/09/05,6.0
2020/09/06,1.0
2020/09/07,14.0
2020/09/08,17.0
2020/09/09,13.0
2020/09/10,14.0
2020/09/11,12.0
2020/09/12,4.0
2020/09/13,0.0
2020/09/14,21.0
2020/09/15,24.0
2020/09/16,23.0
2020/09/17,30.0
2020/09/18,35.0
2020/09/19,7.0
2020/09/20,1.0
2020/09/21,48.0
2020/09/22,20.0
2020/09/23,28.0
2020/09/24,20.0
2020/09/25,25.0
2020/09/26,3.0
2020/09/27,0.0
2020/09/28,36.0
2020/09/29,23.0
2020/09/30,37.0
2020/10/01,27.0
2020/10/02,37.0
2020/10/03,16.0
2020/10/04,1.0
2020/10/05,44.0
2020/10/06,47.0
2020/10/07,30.0
2020/10/08,33.0
2020/10/09,41.0
2020/10/10,19.0
2020/10/11,4.0
2020/10/12,60.0
2020/10/13,53.0
2020/10/14,51.0
2020/10/15,80.0
2020/10/16,97.0
2020/10/17,48.0
2020/10/18,10.0
2020/10/19,105.0
2020/10/20,127.0
2020/10/21,134.0
2020/10/22,139.0
2020/10/23,195.0
2020/10/24,59.0
2020/10/25,7.0
2020/10/26,189.0
2020/10/27,192.0
2020/10/28,206.0
2020/10/29,149.0
2020/10/30,182.0
2020/10/31,90.0
2020/11/01,16.0
2020/11/02,191.0
2020/11/03,158.0
2020/11/04,172.0
2020/11/05,170.0
2020/11/06,126.0
2020/11/07,52.0
2020/11/08,10.0
2020/11/09,177.0
2020/11/10,117.0
2020/11/11,23.0
2020/11/12,133.0
2020/11/13,111.0
2020/11/14,41.0
2020/11/15,9.0
2020/11/16,96.0
2020/11/17,80.0
2020/11/18,80.0
2020/11/19,51.0
2020/11/20,38.0
2020/11/21,45.0
2020/11/22,6.0
2020/11/23,102.0
2020/11/24,58.0
2020/11/25,47.0
2020/11/26,64.0
2020/11/27,72.0
2020/11/28,33.0
2020/11/29,5.0
2020/11/30,119.0
2020/12/01,53.0
2020/12/02,72.0
2020/12/03,59.0
2020/12/04,41.0
2020/12/05,31.0
2020/12/06,10.0
2020/12/07,73.0
2020/12/08,93.0
2020/12/09,57.0
2020/12/10,79.0
2020/12/11,70.0
2020/12/12,36.0
2020/12/13,5.0
2020/12/14,103.0
2020/12/15,91.0
2020/12/16,77.0
2020/12/17,75.0
2020/12/18,95.0
2020/12/19,37.0
2020/12/20,9.0
2020/12/21,97.0
2020/12/22,69.0
2020/12/23,78.0
2020/12/24,65.0
2020/12/25,4.0
2020/12/26,34.0
2020/12/27,2.0
2020/12/28,109.0
2020/12/29,86.0
2020/12/30,79.0
2020/12/31,58.0
2021/01/01,2.0
2021/01/02,58.0
2021/01/03,4.0
2021/01/04,97.0
2021/01/05,72.0
2021/01/06,83.0
2021/01/07,55.0
2021/01/08,78.0
2021/01/09,37.0
2021/01/10,2.0
2021/01/11,67.0
2021/01/12,74.0
2021/01/13,74.0
2021/01/14,84.0
2021/01/15,69.0
2021/01/16,39.0
2021/01/17,20.0
2021/01/18,107.0
2021/01/19,83.0
2021/01/20,89.0
2021/01/21,48.0
2021/01/22,87.0
2021/01/23,49.0
2021/01/24,10.0
2021/01/25,85.0
2021/01/26,96.0
2021/01/27,125.0
2021/01/28,59.0
2021/01/29,86.0
2021/01/30,37.0
2021/01/31,3.0
2021/02/01,94.0
2021/02/02,84.0
2021/02/03,80.0
2021/02/04,58.0
2021/02/05,80.0
2021/02/06,38.0
2021/02/07,10.0
2021/02/08,88.0
2021/02/09,85.0
2021/02/10,59.0
2021/02/11,59.0
2021/02/12,68.0
2021/02/13,27.0
2021/02/14,9.0
2021/02/15,119.0
2021/02/16,114.0
2021/02/17,72.0
2021/02/18,78.0
2021/02/19,55.0
2021/02/20,33.0
2021/02/21,14.0
2021/02/22,105.0
2021/02/23,103.0
2021/02/24,72.0
2021/02/25,57.0
2021/02/26,45.0
2021/02/27,45.0
2021/02/28,8.0
2021/03/01,97.0
2021/03/02,87.0
2021/03/03,80.0
2021/03/04,92.0
2021/03/05,90.0
2021/03/06,60.0
2021/03/07,6.0
2021/03/08,134.0
2021/03/09,75.0
2021/03/10,114.0
2021/03/11,121.0
2021/03/12,105.0
2021/03/13,58.0
2021/03/14,5.0
2021/03/15,163.0
2021/03/16,143.0
2021/03/17,153.0
2021/03/18,129.0
2021/03/19,130.0
2021/03/20,69.0
2021/03/21,6.0
2021/03/22,160.0
2021/03/23,139.0
2021/03/24,161.0
2021/03/25,163.0
2021/03/26,186.0
2021/03/27,77.0
2021/03/28,15.0
2021/03/29,225.0
2021/03/30,188.0
2021/03/31,149.0
2021/04/01,165.0
2021/04/02,169.0
2021/04/03,81.0
2021/04/04,13.0
2021/04/05,15.0
2021/04/06,227.0
2021/04/07,177.0
2021/04/08,166.0
2021/04/09,141.0
2021/04/10,87.0
2021/04/11,15.0
2021/04/12,176.0
2021/04/13,151.0
2021/04/14,157.0
2021/04/15,129.0
2021/04/16,142.0
2021/04/17,100.0
2021/04/18,3.0
2021/04/19,194.0
2021/04/20,145.0
2021/04/21,156.0
2021/04/22,163.0
2021/04/23,126.0
2021/04/24,76.0
2021/04/25,8.0
2021/04/26,187.0
2021/04/27,100.0
2021/04/28,129.0
2021/04/29,94.0
2021/04/30,105.0
2021/05/01,21.0
2021/05/02,7.0
2021/05/03,150.0
2021/05/04,106.0
2021/05/05,83.0
2021/05/06,81.0
2021/05/07,95.0
2021/05/08,13.0
2021/05/09,6.0
2021/05/10,136.0
2021/05/11,64.0
2021/05/12,73.0
2021/05/13,5.0
2021/05/14,65.0
2021/05/15,35.0
2021/05/16,3.0
2021/05/17,66.0
2021/05/18,62.0
2021/05/19,47.0
2021/05/20,39.0
2021/05/21,35.0
2021/05/22,23.0
2021/05/23,0.0
2021/05/24,8.0
2021/05/25,55.0
2021/05/26,46.0
2021/05/27,32.0
2021/05/28,23.0
2021/05/29,16.0
2021/05/30,3.0
2021/05/31,39.0
