Datas,Loire-Atlantique
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,6.0
2020/05/14,6.0
2020/05/15,11.0
2020/05/16,1.0
2020/05/17,1.0
2020/05/18,12.0
2020/05/19,13.0
2020/05/20,9.0
2020/05/21,5.0
2020/05/22,9.0
2020/05/23,1.0
2020/05/24,2.0
2020/05/25,9.0
2020/05/26,13.0
2020/05/27,30.0
2020/05/28,18.0
2020/05/29,27.0
2020/05/30,6.0
2020/05/31,15.0
2020/06/01,3.0
2020/06/02,12.0
2020/06/03,11.0
2020/06/04,8.0
2020/06/05,20.0
2020/06/06,3.0
2020/06/07,2.0
2020/06/08,14.0
2020/06/09,13.0
2020/06/10,9.0
2020/06/11,3.0
2020/06/12,11.0
2020/06/13,2.0
2020/06/14,1.0
2020/06/15,8.0
2020/06/16,7.0
2020/06/17,5.0
2020/06/18,11.0
2020/06/19,3.0
2020/06/20,3.0
2020/06/21,1.0
2020/06/22,2.0
2020/06/23,6.0
2020/06/24,9.0
2020/06/25,5.0
2020/06/26,5.0
2020/06/27,1.0
2020/06/28,0.0
2020/06/29,3.0
2020/06/30,5.0
2020/07/01,2.0
2020/07/02,2.0
2020/07/03,5.0
2020/07/04,2.0
2020/07/05,1.0
2020/07/06,2.0
2020/07/07,4.0
2020/07/08,5.0
2020/07/09,11.0
2020/07/10,15.0
2020/07/11,7.0
2020/07/12,6.0
2020/07/13,28.0
2020/07/14,5.0
2020/07/15,17.0
2020/07/16,13.0
2020/07/17,32.0
2020/07/18,7.0
2020/07/19,8.0
2020/07/20,34.0
2020/07/21,9.0
2020/07/22,9.0
2020/07/23,36.0
2020/07/24,18.0
2020/07/25,9.0
2020/07/26,1.0
2020/07/27,14.0
2020/07/28,24.0
2020/07/29,18.0
2020/07/30,22.0
2020/07/31,40.0
2020/08/01,16.0
2020/08/02,5.0
2020/08/03,28.0
2020/08/04,30.0
2020/08/05,26.0
2020/08/06,46.0
2020/08/07,34.0
2020/08/08,11.0
2020/08/09,10.0
2020/08/10,47.0
2020/08/11,31.0
2020/08/12,39.0
2020/08/13,40.0
2020/08/14,51.0
2020/08/15,11.0
2020/08/16,9.0
2020/08/17,45.0
2020/08/18,62.0
2020/08/19,65.0
2020/08/20,47.0
2020/08/21,54.0
2020/08/22,29.0
2020/08/23,20.0
2020/08/24,58.0
2020/08/25,71.0
2020/08/26,69.0
2020/08/27,80.0
2020/08/28,115.0
2020/08/29,40.0
2020/08/30,11.0
2020/08/31,89.0
2020/09/01,128.0
2020/09/02,129.0
2020/09/03,172.0
2020/09/04,185.0
2020/09/05,83.0
2020/09/06,16.0
2020/09/07,143.0
2020/09/08,98.0
2020/09/09,119.0
2020/09/10,142.0
2020/09/11,134.0
2020/09/12,86.0
2020/09/13,16.0
2020/09/14,142.0
2020/09/15,147.0
2020/09/16,176.0
2020/09/17,138.0
2020/09/18,171.0
2020/09/19,54.0
2020/09/20,17.0
2020/09/21,198.0
2020/09/22,181.0
2020/09/23,169.0
2020/09/24,172.0
2020/09/25,170.0
2020/09/26,44.0
2020/09/27,29.0
2020/09/28,182.0
2020/09/29,168.0
2020/09/30,177.0
2020/10/01,212.0
2020/10/02,276.0
2020/10/03,133.0
2020/10/04,26.0
2020/10/05,331.0
2020/10/06,257.0
2020/10/07,279.0
2020/10/08,318.0
2020/10/09,308.0
2020/10/10,167.0
2020/10/11,39.0
2020/10/12,408.0
2020/10/13,365.0
2020/10/14,385.0
2020/10/15,480.0
2020/10/16,521.0
2020/10/17,257.0
2020/10/18,78.0
2020/10/19,668.0
2020/10/20,622.0
2020/10/21,738.0
2020/10/22,737.0
2020/10/23,834.0
2020/10/24,367.0
2020/10/25,128.0
2020/10/26,958.0
2020/10/27,985.0
2020/10/28,933.0
2020/10/29,871.0
2020/10/30,935.0
2020/10/31,437.0
2020/11/01,168.0
2020/11/02,981.0
2020/11/03,982.0
2020/11/04,777.0
2020/11/05,823.0
2020/11/06,790.0
2020/11/07,311.0
2020/11/08,138.0
2020/11/09,752.0
2020/11/10,588.0
2020/11/11,146.0
2020/11/12,527.0
2020/11/13,353.0
2020/11/14,188.0
2020/11/15,104.0
2020/11/16,395.0
2020/11/17,242.0
2020/11/18,186.0
2020/11/19,224.0
2020/11/20,239.0
2020/11/21,84.0
2020/11/22,39.0
2020/11/23,180.0
2020/11/24,110.0
2020/11/25,136.0
2020/11/26,144.0
2020/11/27,158.0
2020/11/28,64.0
2020/11/29,12.0
2020/11/30,177.0
2020/12/01,151.0
2020/12/02,104.0
2020/12/03,127.0
2020/12/04,130.0
2020/12/05,106.0
2020/12/06,23.0
2020/12/07,130.0
2020/12/08,114.0
2020/12/09,152.0
2020/12/10,131.0
2020/12/11,143.0
2020/12/12,72.0
2020/12/13,28.0
2020/12/14,137.0
2020/12/15,148.0
2020/12/16,182.0
2020/12/17,184.0
2020/12/18,178.0
2020/12/19,111.0
2020/12/20,32.0
2020/12/21,144.0
2020/12/22,179.0
2020/12/23,211.0
2020/12/24,198.0
2020/12/25,25.0
2020/12/26,135.0
2020/12/27,27.0
2020/12/28,252.0
2020/12/29,225.0
2020/12/30,246.0
2020/12/31,250.0
2021/01/01,35.0
2021/01/02,195.0
2021/01/03,70.0
2021/01/04,332.0
2021/01/05,256.0
2021/01/06,272.0
2021/01/07,286.0
2021/01/08,307.0
2021/01/09,179.0
2021/01/10,67.0
2021/01/11,303.0
2021/01/12,292.0
2021/01/13,316.0
2021/01/14,280.0
2021/01/15,336.0
2021/01/16,177.0
2021/01/17,93.0
2021/01/18,454.0
2021/01/19,365.0
2021/01/20,314.0
2021/01/21,299.0
2021/01/22,371.0
2021/01/23,217.0
2021/01/24,73.0
2021/01/25,441.0
2021/01/26,283.0
2021/01/27,338.0
2021/01/28,437.0
2021/01/29,393.0
2021/01/30,214.0
2021/01/31,89.0
2021/02/01,405.0
2021/02/02,251.0
2021/02/03,283.0
2021/02/04,262.0
2021/02/05,275.0
2021/02/06,162.0
2021/02/07,61.0
2021/02/08,258.0
2021/02/09,209.0
2021/02/10,234.0
2021/02/11,200.0
2021/02/12,211.0
2021/02/13,136.0
2021/02/14,48.0
2021/02/15,300.0
2021/02/16,245.0
2021/02/17,307.0
2021/02/18,323.0
2021/02/19,294.0
2021/02/20,204.0
2021/02/21,93.0
2021/02/22,350.0
2021/02/23,317.0
2021/02/24,286.0
2021/02/25,302.0
2021/02/26,292.0
2021/02/27,163.0
2021/02/28,68.0
2021/03/01,354.0
2021/03/02,280.0
2021/03/03,274.0
2021/03/04,285.0
2021/03/05,293.0
2021/03/06,191.0
2021/03/07,82.0
2021/03/08,315.0
2021/03/09,292.0
2021/03/10,361.0
2021/03/11,294.0
2021/03/12,339.0
2021/03/13,264.0
2021/03/14,71.0
2021/03/15,471.0
2021/03/16,370.0
2021/03/17,374.0
2021/03/18,395.0
2021/03/19,393.0
2021/03/20,258.0
2021/03/21,110.0
2021/03/22,558.0
2021/03/23,455.0
2021/03/24,499.0
2021/03/25,545.0
2021/03/26,518.0
2021/03/27,358.0
2021/03/28,165.0
2021/03/29,676.0
2021/03/30,604.0
2021/03/31,570.0
2021/04/01,598.0
2021/04/02,562.0
2021/04/03,382.0
2021/04/04,177.0
2021/04/05,206.0
2021/04/06,644.0
2021/04/07,540.0
2021/04/08,572.0
2021/04/09,559.0
2021/04/10,433.0
2021/04/11,141.0
2021/04/12,700.0
2021/04/13,512.0
2021/04/14,508.0
2021/04/15,526.0
2021/04/16,469.0
2021/04/17,347.0
2021/04/18,143.0
2021/04/19,631.0
2021/04/20,482.0
2021/04/21,496.0
2021/04/22,450.0
2021/04/23,447.0
2021/04/24,278.0
2021/04/25,100.0
2021/04/26,440.0
2021/04/27,370.0
2021/04/28,344.0
2021/04/29,357.0
2021/04/30,373.0
2021/05/01,108.0
2021/05/02,108.0
2021/05/03,423.0
2021/05/04,306.0
2021/05/05,282.0
2021/05/06,258.0
2021/05/07,354.0
2021/05/08,103.0
2021/05/09,105.0
2021/05/10,403.0
2021/05/11,308.0
2021/05/12,357.0
2021/05/13,98.0
2021/05/14,297.0
2021/05/15,176.0
2021/05/16,80.0
2021/05/17,329.0
2021/05/18,299.0
2021/05/19,295.0
2021/05/20,292.0
2021/05/21,240.0
2021/05/22,179.0
2021/05/23,81.0
2021/05/24,76.0
2021/05/25,295.0
2021/05/26,297.0
2021/05/27,250.0
2021/05/28,181.0
2021/05/29,141.0
2021/05/30,71.0
2021/05/31,214.0
