Datas,Loire
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,4.0
2020/05/14,15.0
2020/05/15,7.0
2020/05/16,1.0
2020/05/17,0.0
2020/05/18,3.0
2020/05/19,2.0
2020/05/20,3.0
2020/05/21,4.0
2020/05/22,5.0
2020/05/23,0.0
2020/05/24,0.0
2020/05/25,4.0
2020/05/26,4.0
2020/05/27,4.0
2020/05/28,1.0
2020/05/29,1.0
2020/05/30,4.0
2020/05/31,0.0
2020/06/01,1.0
2020/06/02,9.0
2020/06/03,2.0
2020/06/04,1.0
2020/06/05,1.0
2020/06/06,2.0
2020/06/07,0.0
2020/06/08,5.0
2020/06/09,2.0
2020/06/10,3.0
2020/06/11,13.0
2020/06/12,3.0
2020/06/13,0.0
2020/06/14,1.0
2020/06/15,1.0
2020/06/16,1.0
2020/06/17,5.0
2020/06/18,7.0
2020/06/19,5.0
2020/06/20,0.0
2020/06/21,1.0
2020/06/22,3.0
2020/06/23,2.0
2020/06/24,4.0
2020/06/25,2.0
2020/06/26,4.0
2020/06/27,3.0
2020/06/28,3.0
2020/06/29,2.0
2020/06/30,2.0
2020/07/01,3.0
2020/07/02,1.0
2020/07/03,3.0
2020/07/04,1.0
2020/07/05,0.0
2020/07/06,4.0
2020/07/07,4.0
2020/07/08,5.0
2020/07/09,5.0
2020/07/10,5.0
2020/07/11,1.0
2020/07/12,0.0
2020/07/13,3.0
2020/07/14,0.0
2020/07/15,6.0
2020/07/16,10.0
2020/07/17,4.0
2020/07/18,3.0
2020/07/19,0.0
2020/07/20,6.0
2020/07/21,5.0
2020/07/22,11.0
2020/07/23,11.0
2020/07/24,19.0
2020/07/25,15.0
2020/07/26,6.0
2020/07/27,16.0
2020/07/28,10.0
2020/07/29,21.0
2020/07/30,25.0
2020/07/31,11.0
2020/08/01,10.0
2020/08/02,2.0
2020/08/03,12.0
2020/08/04,13.0
2020/08/05,14.0
2020/08/06,14.0
2020/08/07,6.0
2020/08/08,15.0
2020/08/09,1.0
2020/08/10,27.0
2020/08/11,20.0
2020/08/12,9.0
2020/08/13,22.0
2020/08/14,26.0
2020/08/15,4.0
2020/08/16,6.0
2020/08/17,35.0
2020/08/18,27.0
2020/08/19,22.0
2020/08/20,30.0
2020/08/21,39.0
2020/08/22,14.0
2020/08/23,6.0
2020/08/24,49.0
2020/08/25,52.0
2020/08/26,48.0
2020/08/27,72.0
2020/08/28,75.0
2020/08/29,32.0
2020/08/30,3.0
2020/08/31,62.0
2020/09/01,61.0
2020/09/02,64.0
2020/09/03,101.0
2020/09/04,82.0
2020/09/05,43.0
2020/09/06,13.0
2020/09/07,104.0
2020/09/08,155.0
2020/09/09,120.0
2020/09/10,198.0
2020/09/11,149.0
2020/09/12,78.0
2020/09/13,22.0
2020/09/14,184.0
2020/09/15,188.0
2020/09/16,177.0
2020/09/17,220.0
2020/09/18,208.0
2020/09/19,91.0
2020/09/20,25.0
2020/09/21,257.0
2020/09/22,200.0
2020/09/23,178.0
2020/09/24,250.0
2020/09/25,236.0
2020/09/26,95.0
2020/09/27,28.0
2020/09/28,259.0
2020/09/29,241.0
2020/09/30,313.0
2020/10/01,314.0
2020/10/02,406.0
2020/10/03,193.0
2020/10/04,48.0
2020/10/05,480.0
2020/10/06,493.0
2020/10/07,490.0
2020/10/08,573.0
2020/10/09,702.0
2020/10/10,313.0
2020/10/11,100.0
2020/10/12,856.0
2020/10/13,889.0
2020/10/14,878.0
2020/10/15,919.0
2020/10/16,1043.0
2020/10/17,507.0
2020/10/18,154.0
2020/10/19,1320.0
2020/10/20,1339.0
2020/10/21,1422.0
2020/10/22,1532.0
2020/10/23,1650.0
2020/10/24,713.0
2020/10/25,278.0
2020/10/26,1879.0
2020/10/27,1675.0
2020/10/28,1513.0
2020/10/29,1560.0
2020/10/30,1546.0
2020/10/31,718.0
2020/11/01,217.0
2020/11/02,1774.0
2020/11/03,1669.0
2020/11/04,1418.0
2020/11/05,1221.0
2020/11/06,1142.0
2020/11/07,471.0
2020/11/08,127.0
2020/11/09,1286.0
2020/11/10,965.0
2020/11/11,183.0
2020/11/12,1030.0
2020/11/13,711.0
2020/11/14,275.0
2020/11/15,64.0
2020/11/16,645.0
2020/11/17,457.0
2020/11/18,358.0
2020/11/19,326.0
2020/11/20,326.0
2020/11/21,163.0
2020/11/22,32.0
2020/11/23,427.0
2020/11/24,254.0
2020/11/25,220.0
2020/11/26,219.0
2020/11/27,210.0
2020/11/28,99.0
2020/11/29,38.0
2020/11/30,295.0
2020/12/01,209.0
2020/12/02,158.0
2020/12/03,182.0
2020/12/04,224.0
2020/12/05,84.0
2020/12/06,32.0
2020/12/07,265.0
2020/12/08,188.0
2020/12/09,205.0
2020/12/10,198.0
2020/12/11,224.0
2020/12/12,95.0
2020/12/13,22.0
2020/12/14,312.0
2020/12/15,198.0
2020/12/16,224.0
2020/12/17,278.0
2020/12/18,327.0
2020/12/19,309.0
2020/12/20,151.0
2020/12/21,290.0
2020/12/22,247.0
2020/12/23,242.0
2020/12/24,189.0
2020/12/25,13.0
2020/12/26,148.0
2020/12/27,32.0
2020/12/28,285.0
2020/12/29,281.0
2020/12/30,274.0
2020/12/31,202.0
2021/01/01,8.0
2021/01/02,207.0
2021/01/03,32.0
2021/01/04,362.0
2021/01/05,296.0
2021/01/06,288.0
2021/01/07,228.0
2021/01/08,260.0
2021/01/09,147.0
2021/01/10,20.0
2021/01/11,339.0
2021/01/12,296.0
2021/01/13,312.0
2021/01/14,271.0
2021/01/15,274.0
2021/01/16,192.0
2021/01/17,46.0
2021/01/18,409.0
2021/01/19,304.0
2021/01/20,324.0
2021/01/21,314.0
2021/01/22,295.0
2021/01/23,231.0
2021/01/24,21.0
2021/01/25,397.0
2021/01/26,277.0
2021/01/27,273.0
2021/01/28,277.0
2021/01/29,306.0
2021/01/30,175.0
2021/01/31,16.0
2021/02/01,390.0
2021/02/02,247.0
2021/02/03,265.0
2021/02/04,251.0
2021/02/05,265.0
2021/02/06,167.0
2021/02/07,22.0
2021/02/08,332.0
2021/02/09,217.0
2021/02/10,214.0
2021/02/11,224.0
2021/02/12,220.0
2021/02/13,124.0
2021/02/14,24.0
2021/02/15,259.0
2021/02/16,209.0
2021/02/17,221.0
2021/02/18,189.0
2021/02/19,239.0
2021/02/20,121.0
2021/02/21,16.0
2021/02/22,308.0
2021/02/23,214.0
2021/02/24,212.0
2021/02/25,183.0
2021/02/26,207.0
2021/02/27,132.0
2021/02/28,27.0
2021/03/01,231.0
2021/03/02,201.0
2021/03/03,190.0
2021/03/04,190.0
2021/03/05,187.0
2021/03/06,128.0
2021/03/07,18.0
2021/03/08,280.0
2021/03/09,210.0
2021/03/10,203.0
2021/03/11,203.0
2021/03/12,295.0
2021/03/13,155.0
2021/03/14,36.0
2021/03/15,384.0
2021/03/16,301.0
2021/03/17,316.0
2021/03/18,331.0
2021/03/19,348.0
2021/03/20,254.0
2021/03/21,48.0
2021/03/22,534.0
2021/03/23,433.0
2021/03/24,435.0
2021/03/25,465.0
2021/03/26,510.0
2021/03/27,323.0
2021/03/28,63.0
2021/03/29,684.0
2021/03/30,502.0
2021/03/31,476.0
2021/04/01,548.0
2021/04/02,537.0
2021/04/03,313.0
2021/04/04,92.0
2021/04/05,113.0
2021/04/06,772.0
2021/04/07,529.0
2021/04/08,560.0
2021/04/09,529.0
2021/04/10,393.0
2021/04/11,62.0
2021/04/12,647.0
2021/04/13,483.0
2021/04/14,380.0
2021/04/15,472.0
2021/04/16,456.0
2021/04/17,326.0
2021/04/18,70.0
2021/04/19,611.0
2021/04/20,477.0
2021/04/21,424.0
2021/04/22,376.0
2021/04/23,499.0
2021/04/24,271.0
2021/04/25,45.0
2021/04/26,466.0
2021/04/27,350.0
2021/04/28,321.0
2021/04/29,339.0
2021/04/30,343.0
2021/05/01,63.0
2021/05/02,29.0
2021/05/03,418.0
2021/05/04,339.0
2021/05/05,306.0
2021/05/06,283.0
2021/05/07,257.0
2021/05/08,38.0
2021/05/09,41.0
2021/05/10,367.0
2021/05/11,256.0
2021/05/12,249.0
2021/05/13,32.0
2021/05/14,305.0
2021/05/15,131.0
2021/05/16,29.0
2021/05/17,348.0
2021/05/18,232.0
2021/05/19,217.0
2021/05/20,208.0
2021/05/21,204.0
2021/05/22,125.0
2021/05/23,22.0
2021/05/24,56.0
2021/05/25,330.0
2021/05/26,248.0
2021/05/27,212.0
2021/05/28,203.0
2021/05/29,129.0
2021/05/30,19.0
