Datas,Loiret
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,14.0
2020/05/14,18.0
2020/05/15,24.0
2020/05/16,31.0
2020/05/17,14.0
2020/05/18,26.0
2020/05/19,27.0
2020/05/20,20.0
2020/05/21,9.0
2020/05/22,10.0
2020/05/23,4.0
2020/05/24,5.0
2020/05/25,20.0
2020/05/26,15.0
2020/05/27,8.0
2020/05/28,35.0
2020/05/29,17.0
2020/05/30,2.0
2020/05/31,4.0
2020/06/01,1.0
2020/06/02,3.0
2020/06/03,9.0
2020/06/04,8.0
2020/06/05,3.0
2020/06/06,1.0
2020/06/07,0.0
2020/06/08,6.0
2020/06/09,12.0
2020/06/10,3.0
2020/06/11,7.0
2020/06/12,3.0
2020/06/13,2.0
2020/06/14,1.0
2020/06/15,7.0
2020/06/16,3.0
2020/06/17,7.0
2020/06/18,7.0
2020/06/19,13.0
2020/06/20,8.0
2020/06/21,1.0
2020/06/22,2.0
2020/06/23,7.0
2020/06/24,3.0
2020/06/25,4.0
2020/06/26,6.0
2020/06/27,2.0
2020/06/28,3.0
2020/06/29,12.0
2020/06/30,4.0
2020/07/01,8.0
2020/07/02,2.0
2020/07/03,4.0
2020/07/04,0.0
2020/07/05,2.0
2020/07/06,4.0
2020/07/07,5.0
2020/07/08,4.0
2020/07/09,4.0
2020/07/10,2.0
2020/07/11,0.0
2020/07/12,0.0
2020/07/13,1.0
2020/07/14,0.0
2020/07/15,3.0
2020/07/16,4.0
2020/07/17,6.0
2020/07/18,1.0
2020/07/19,1.0
2020/07/20,6.0
2020/07/21,6.0
2020/07/22,7.0
2020/07/23,10.0
2020/07/24,14.0
2020/07/25,3.0
2020/07/26,1.0
2020/07/27,20.0
2020/07/28,14.0
2020/07/29,11.0
2020/07/30,17.0
2020/07/31,11.0
2020/08/01,7.0
2020/08/02,4.0
2020/08/03,15.0
2020/08/04,21.0
2020/08/05,10.0
2020/08/06,33.0
2020/08/07,33.0
2020/08/08,24.0
2020/08/09,0.0
2020/08/10,35.0
2020/08/11,36.0
2020/08/12,41.0
2020/08/13,56.0
2020/08/14,63.0
2020/08/15,15.0
2020/08/16,12.0
2020/08/17,103.0
2020/08/18,72.0
2020/08/19,36.0
2020/08/20,47.0
2020/08/21,58.0
2020/08/22,30.0
2020/08/23,6.0
2020/08/24,69.0
2020/08/25,54.0
2020/08/26,47.0
2020/08/27,88.0
2020/08/28,78.0
2020/08/29,45.0
2020/08/30,13.0
2020/08/31,90.0
2020/09/01,61.0
2020/09/02,110.0
2020/09/03,66.0
2020/09/04,109.0
2020/09/05,55.0
2020/09/06,7.0
2020/09/07,131.0
2020/09/08,86.0
2020/09/09,72.0
2020/09/10,97.0
2020/09/11,80.0
2020/09/12,49.0
2020/09/13,6.0
2020/09/14,80.0
2020/09/15,102.0
2020/09/16,90.0
2020/09/17,96.0
2020/09/18,93.0
2020/09/19,54.0
2020/09/20,8.0
2020/09/21,88.0
2020/09/22,123.0
2020/09/23,87.0
2020/09/24,108.0
2020/09/25,90.0
2020/09/26,52.0
2020/09/27,15.0
2020/09/28,91.0
2020/09/29,108.0
2020/09/30,92.0
2020/10/01,123.0
2020/10/02,93.0
2020/10/03,85.0
2020/10/04,22.0
2020/10/05,135.0
2020/10/06,145.0
2020/10/07,118.0
2020/10/08,183.0
2020/10/09,202.0
2020/10/10,114.0
2020/10/11,101.0
2020/10/12,142.0
2020/10/13,237.0
2020/10/14,243.0
2020/10/15,204.0
2020/10/16,271.0
2020/10/17,135.0
2020/10/18,143.0
2020/10/19,322.0
2020/10/20,338.0
2020/10/21,449.0
2020/10/22,471.0
2020/10/23,550.0
2020/10/24,298.0
2020/10/25,231.0
2020/10/26,562.0
2020/10/27,611.0
2020/10/28,561.0
2020/10/29,514.0
2020/10/30,624.0
2020/10/31,318.0
2020/11/01,107.0
2020/11/02,661.0
2020/11/03,595.0
2020/11/04,589.0
2020/11/05,487.0
2020/11/06,460.0
2020/11/07,197.0
2020/11/08,117.0
2020/11/09,377.0
2020/11/10,408.0
2020/11/11,137.0
2020/11/12,342.0
2020/11/13,363.0
2020/11/14,186.0
2020/11/15,92.0
2020/11/16,289.0
2020/11/17,209.0
2020/11/18,242.0
2020/11/19,197.0
2020/11/20,193.0
2020/11/21,103.0
2020/11/22,46.0
2020/11/23,174.0
2020/11/24,185.0
2020/11/25,154.0
2020/11/26,157.0
2020/11/27,148.0
2020/11/28,88.0
2020/11/29,41.0
2020/11/30,137.0
2020/12/01,222.0
2020/12/02,118.0
2020/12/03,164.0
2020/12/04,131.0
2020/12/05,93.0
2020/12/06,28.0
2020/12/07,165.0
2020/12/08,169.0
2020/12/09,140.0
2020/12/10,156.0
2020/12/11,169.0
2020/12/12,90.0
2020/12/13,39.0
2020/12/14,179.0
2020/12/15,182.0
2020/12/16,134.0
2020/12/17,224.0
2020/12/18,181.0
2020/12/19,106.0
2020/12/20,40.0
2020/12/21,199.0
2020/12/22,157.0
2020/12/23,128.0
2020/12/24,129.0
2020/12/25,12.0
2020/12/26,93.0
2020/12/27,42.0
2020/12/28,199.0
2020/12/29,154.0
2020/12/30,170.0
2020/12/31,188.0
2021/01/01,21.0
2021/01/02,101.0
2021/01/03,23.0
2021/01/04,265.0
2021/01/05,168.0
2021/01/06,176.0
2021/01/07,197.0
2021/01/08,184.0
2021/01/09,130.0
2021/01/10,22.0
2021/01/11,233.0
2021/01/12,212.0
2021/01/13,176.0
2021/01/14,183.0
2021/01/15,247.0
2021/01/16,130.0
2021/01/17,37.0
2021/01/18,336.0
2021/01/19,295.0
2021/01/20,250.0
2021/01/21,253.0
2021/01/22,242.0
2021/01/23,133.0
2021/01/24,31.0
2021/01/25,354.0
2021/01/26,243.0
2021/01/27,254.0
2021/01/28,232.0
2021/01/29,208.0
2021/01/30,120.0
2021/01/31,56.0
2021/02/01,300.0
2021/02/02,220.0
2021/02/03,164.0
2021/02/04,187.0
2021/02/05,198.0
2021/02/06,116.0
2021/02/07,24.0
2021/02/08,187.0
2021/02/09,206.0
2021/02/10,129.0
2021/02/11,121.0
2021/02/12,123.0
2021/02/13,84.0
2021/02/14,17.0
2021/02/15,181.0
2021/02/16,113.0
2021/02/17,132.0
2021/02/18,132.0
2021/02/19,169.0
2021/02/20,87.0
2021/02/21,19.0
2021/02/22,182.0
2021/02/23,133.0
2021/02/24,134.0
2021/02/25,176.0
2021/02/26,149.0
2021/02/27,101.0
2021/02/28,32.0
2021/03/01,160.0
2021/03/02,113.0
2021/03/03,121.0
2021/03/04,146.0
2021/03/05,157.0
2021/03/06,72.0
2021/03/07,17.0
2021/03/08,163.0
2021/03/09,156.0
2021/03/10,142.0
2021/03/11,160.0
2021/03/12,211.0
2021/03/13,164.0
2021/03/14,19.0
2021/03/15,236.0
2021/03/16,188.0
2021/03/17,208.0
2021/03/18,209.0
2021/03/19,242.0
2021/03/20,154.0
2021/03/21,32.0
2021/03/22,329.0
2021/03/23,247.0
2021/03/24,289.0
2021/03/25,297.0
2021/03/26,324.0
2021/03/27,211.0
2021/03/28,44.0
2021/03/29,391.0
2021/03/30,313.0
2021/03/31,304.0
2021/04/01,393.0
2021/04/02,307.0
2021/04/03,234.0
2021/04/04,54.0
2021/04/05,72.0
2021/04/06,429.0
2021/04/07,327.0
2021/04/08,306.0
2021/04/09,355.0
2021/04/10,249.0
2021/04/11,51.0
2021/04/12,384.0
2021/04/13,314.0
2021/04/14,299.0
2021/04/15,330.0
2021/04/16,297.0
2021/04/17,174.0
2021/04/18,45.0
2021/04/19,404.0
2021/04/20,290.0
2021/04/21,298.0
2021/04/22,308.0
2021/04/23,247.0
2021/04/24,178.0
2021/04/25,43.0
2021/04/26,334.0
2021/04/27,239.0
2021/04/28,206.0
2021/04/29,242.0
2021/04/30,275.0
2021/05/01,59.0
2021/05/02,30.0
2021/05/03,318.0
2021/05/04,250.0
2021/05/05,198.0
2021/05/06,208.0
2021/05/07,239.0
2021/05/08,49.0
2021/05/09,36.0
2021/05/10,307.0
2021/05/11,216.0
2021/05/12,224.0
2021/05/13,48.0
2021/05/14,203.0
2021/05/15,123.0
2021/05/16,25.0
2021/05/17,242.0
2021/05/18,197.0
2021/05/19,177.0
2021/05/20,152.0
2021/05/21,180.0
2021/05/22,94.0
2021/05/23,29.0
2021/05/24,33.0
2021/05/25,243.0
2021/05/26,172.0
2021/05/27,162.0
2021/05/28,167.0
2021/05/29,120.0
2021/05/30,19.0
2021/05/31,171.0
2021/06/01,106.0
