Datas,Lot-et-Garonne
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,0.0
2020/05/14,1.0
2020/05/15,1.0
2020/05/16,1.0
2020/05/17,0.0
2020/05/18,2.0
2020/05/19,1.0
2020/05/20,0.0
2020/05/21,0.0
2020/05/22,2.0
2020/05/23,0.0
2020/05/24,0.0
2020/05/25,1.0
2020/05/26,1.0
2020/05/27,0.0
2020/05/28,0.0
2020/05/29,1.0
2020/05/30,1.0
2020/05/31,0.0
2020/06/01,0.0
2020/06/02,1.0
2020/06/03,0.0
2020/06/04,0.0
2020/06/05,0.0
2020/06/06,0.0
2020/06/07,0.0
2020/06/08,0.0
2020/06/09,1.0
2020/06/10,2.0
2020/06/11,0.0
2020/06/12,1.0
2020/06/13,1.0
2020/06/14,0.0
2020/06/15,0.0
2020/06/16,0.0
2020/06/17,0.0
2020/06/18,0.0
2020/06/19,0.0
2020/06/20,0.0
2020/06/21,0.0
2020/06/22,0.0
2020/06/23,0.0
2020/06/24,0.0
2020/06/25,0.0
2020/06/26,1.0
2020/06/27,1.0
2020/06/28,1.0
2020/06/29,0.0
2020/06/30,1.0
2020/07/01,0.0
2020/07/02,0.0
2020/07/03,0.0
2020/07/04,0.0
2020/07/05,0.0
2020/07/06,0.0
2020/07/07,0.0
2020/07/08,4.0
2020/07/09,1.0
2020/07/10,4.0
2020/07/11,0.0
2020/07/12,0.0
2020/07/13,0.0
2020/07/14,0.0
2020/07/15,0.0
2020/07/16,1.0
2020/07/17,1.0
2020/07/18,0.0
2020/07/19,0.0
2020/07/20,0.0
2020/07/21,0.0
2020/07/22,1.0
2020/07/23,1.0
2020/07/24,3.0
2020/07/25,1.0
2020/07/26,0.0
2020/07/27,2.0
2020/07/28,0.0
2020/07/29,0.0
2020/07/30,2.0
2020/07/31,0.0
2020/08/01,2.0
2020/08/02,1.0
2020/08/03,5.0
2020/08/04,4.0
2020/08/05,3.0
2020/08/06,1.0
2020/08/07,6.0
2020/08/08,7.0
2020/08/09,1.0
2020/08/10,4.0
2020/08/11,3.0
2020/08/12,5.0
2020/08/13,5.0
2020/08/14,9.0
2020/08/15,2.0
2020/08/16,1.0
2020/08/17,10.0
2020/08/18,17.0
2020/08/19,21.0
2020/08/20,13.0
2020/08/21,26.0
2020/08/22,21.0
2020/08/23,2.0
2020/08/24,37.0
2020/08/25,26.0
2020/08/26,30.0
2020/08/27,25.0
2020/08/28,20.0
2020/08/29,13.0
2020/08/30,7.0
2020/08/31,32.0
2020/09/01,37.0
2020/09/02,41.0
2020/09/03,36.0
2020/09/04,46.0
2020/09/05,18.0
2020/09/06,2.0
2020/09/07,36.0
2020/09/08,45.0
2020/09/09,35.0
2020/09/10,34.0
2020/09/11,46.0
2020/09/12,13.0
2020/09/13,3.0
2020/09/14,29.0
2020/09/15,28.0
2020/09/16,34.0
2020/09/17,37.0
2020/09/18,36.0
2020/09/19,18.0
2020/09/20,0.0
2020/09/21,44.0
2020/09/22,53.0
2020/09/23,27.0
2020/09/24,38.0
2020/09/25,39.0
2020/09/26,12.0
2020/09/27,1.0
2020/09/28,42.0
2020/09/29,57.0
2020/09/30,35.0
2020/10/01,46.0
2020/10/02,42.0
2020/10/03,20.0
2020/10/04,7.0
2020/10/05,61.0
2020/10/06,43.0
2020/10/07,49.0
2020/10/08,54.0
2020/10/09,70.0
2020/10/10,34.0
2020/10/11,2.0
2020/10/12,87.0
2020/10/13,70.0
2020/10/14,56.0
2020/10/15,56.0
2020/10/16,93.0
2020/10/17,26.0
2020/10/18,4.0
2020/10/19,107.0
2020/10/20,101.0
2020/10/21,104.0
2020/10/22,137.0
2020/10/23,136.0
2020/10/24,40.0
2020/10/25,7.0
2020/10/26,167.0
2020/10/27,202.0
2020/10/28,132.0
2020/10/29,148.0
2020/10/30,150.0
2020/10/31,77.0
2020/11/01,10.0
2020/11/02,236.0
2020/11/03,192.0
2020/11/04,177.0
2020/11/05,134.0
2020/11/06,176.0
2020/11/07,84.0
2020/11/08,8.0
2020/11/09,220.0
2020/11/10,152.0
2020/11/11,20.0
2020/11/12,140.0
2020/11/13,208.0
2020/11/14,39.0
2020/11/15,13.0
2020/11/16,127.0
2020/11/17,128.0
2020/11/18,84.0
2020/11/19,98.0
2020/11/20,67.0
2020/11/21,34.0
2020/11/22,9.0
2020/11/23,90.0
2020/11/24,115.0
2020/11/25,59.0
2020/11/26,62.0
2020/11/27,71.0
2020/11/28,27.0
2020/11/29,4.0
2020/11/30,166.0
2020/12/01,76.0
2020/12/02,63.0
2020/12/03,86.0
2020/12/04,95.0
2020/12/05,34.0
2020/12/06,9.0
2020/12/07,106.0
2020/12/08,76.0
2020/12/09,77.0
2020/12/10,63.0
2020/12/11,57.0
2020/12/12,56.0
2020/12/13,6.0
2020/12/14,89.0
2020/12/15,77.0
2020/12/16,75.0
2020/12/17,92.0
2020/12/18,100.0
2020/12/19,56.0
2020/12/20,5.0
2020/12/21,99.0
2020/12/22,90.0
2020/12/23,60.0
2020/12/24,60.0
2020/12/25,9.0
2020/12/26,41.0
2020/12/27,2.0
2020/12/28,94.0
2020/12/29,72.0
2020/12/30,58.0
2020/12/31,46.0
2021/01/01,5.0
2021/01/02,33.0
2021/01/03,9.0
2021/01/04,96.0
2021/01/05,70.0
2021/01/06,93.0
2021/01/07,92.0
2021/01/08,63.0
2021/01/09,42.0
2021/01/10,3.0
2021/01/11,120.0
2021/01/12,113.0
2021/01/13,98.0
2021/01/14,94.0
2021/01/15,99.0
2021/01/16,47.0
2021/01/17,4.0
2021/01/18,122.0
2021/01/19,99.0
2021/01/20,78.0
2021/01/21,84.0
2021/01/22,90.0
2021/01/23,45.0
2021/01/24,5.0
2021/01/25,94.0
2021/01/26,77.0
2021/01/27,55.0
2021/01/28,85.0
2021/01/29,59.0
2021/01/30,40.0
2021/01/31,9.0
2021/02/01,99.0
2021/02/02,109.0
2021/02/03,68.0
2021/02/04,76.0
2021/02/05,80.0
2021/02/06,42.0
2021/02/07,5.0
2021/02/08,76.0
2021/02/09,66.0
2021/02/10,42.0
2021/02/11,41.0
2021/02/12,48.0
2021/02/13,27.0
2021/02/14,8.0
2021/02/15,65.0
2021/02/16,37.0
2021/02/17,38.0
2021/02/18,45.0
2021/02/19,41.0
2021/02/20,23.0
2021/02/21,4.0
2021/02/22,62.0
2021/02/23,45.0
2021/02/24,37.0
2021/02/25,50.0
2021/02/26,46.0
2021/02/27,31.0
2021/02/28,5.0
2021/03/01,71.0
2021/03/02,42.0
2021/03/03,53.0
2021/03/04,52.0
2021/03/05,52.0
2021/03/06,37.0
2021/03/07,6.0
2021/03/08,86.0
2021/03/09,64.0
2021/03/10,73.0
2021/03/11,69.0
2021/03/12,64.0
2021/03/13,30.0
2021/03/14,5.0
2021/03/15,69.0
2021/03/16,70.0
2021/03/17,86.0
2021/03/18,68.0
2021/03/19,60.0
2021/03/20,36.0
2021/03/21,11.0
2021/03/22,111.0
2021/03/23,115.0
2021/03/24,101.0
2021/03/25,78.0
2021/03/26,110.0
2021/03/27,67.0
2021/03/28,4.0
2021/03/29,116.0
2021/03/30,101.0
2021/03/31,100.0
2021/04/01,86.0
2021/04/02,103.0
2021/04/03,53.0
2021/04/04,5.0
2021/04/05,12.0
2021/04/06,144.0
2021/04/07,103.0
2021/04/08,86.0
2021/04/09,97.0
2021/04/10,64.0
2021/04/11,6.0
2021/04/12,132.0
2021/04/13,131.0
2021/04/14,74.0
2021/04/15,94.0
2021/04/16,85.0
2021/04/17,50.0
2021/04/18,8.0
2021/04/19,108.0
2021/04/20,82.0
2021/04/21,91.0
2021/04/22,75.0
2021/04/23,98.0
2021/04/24,44.0
2021/04/25,5.0
2021/04/26,120.0
2021/04/27,69.0
2021/04/28,62.0
2021/04/29,79.0
2021/04/30,79.0
2021/05/01,12.0
2021/05/02,4.0
2021/05/03,91.0
2021/05/04,79.0
2021/05/05,38.0
2021/05/06,60.0
2021/05/07,48.0
2021/05/08,13.0
2021/05/09,6.0
2021/05/10,67.0
2021/05/11,46.0
2021/05/12,62.0
2021/05/13,4.0
2021/05/14,48.0
2021/05/15,15.0
2021/05/16,5.0
2021/05/17,52.0
2021/05/18,38.0
2021/05/19,43.0
2021/05/20,30.0
2021/05/21,36.0
2021/05/22,25.0
2021/05/23,2.0
2021/05/24,7.0
2021/05/25,63.0
2021/05/26,33.0
2021/05/27,53.0
2021/05/28,39.0
2021/05/29,28.0
2021/05/30,6.0
2021/05/31,25.0
