Datas,Lozère
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,0.0
2020/05/14,0.0
2020/05/15,0.0
2020/05/16,0.0
2020/05/17,0.0
2020/05/18,0.0
2020/05/19,1.0
2020/05/20,0.0
2020/05/21,0.0
2020/05/22,0.0
2020/05/23,3.0
2020/05/24,0.0
2020/05/25,0.0
2020/05/26,0.0
2020/05/27,0.0
2020/05/28,0.0
2020/05/29,0.0
2020/05/30,0.0
2020/05/31,0.0
2020/06/01,0.0
2020/06/02,0.0
2020/06/03,0.0
2020/06/04,0.0
2020/06/05,0.0
2020/06/06,0.0
2020/06/07,0.0
2020/06/08,0.0
2020/06/09,0.0
2020/06/10,0.0
2020/06/11,0.0
2020/06/12,0.0
2020/06/13,0.0
2020/06/14,0.0
2020/06/15,0.0
2020/06/16,0.0
2020/06/17,0.0
2020/06/18,0.0
2020/06/19,0.0
2020/06/20,0.0
2020/06/21,0.0
2020/06/22,0.0
2020/06/23,0.0
2020/06/24,0.0
2020/06/25,0.0
2020/06/26,0.0
2020/06/27,0.0
2020/06/28,0.0
2020/06/29,0.0
2020/06/30,0.0
2020/07/01,0.0
2020/07/02,0.0
2020/07/03,0.0
2020/07/04,0.0
2020/07/05,0.0
2020/07/06,0.0
2020/07/07,0.0
2020/07/08,0.0
2020/07/09,0.0
2020/07/10,0.0
2020/07/11,0.0
2020/07/12,0.0
2020/07/13,0.0
2020/07/14,0.0
2020/07/15,0.0
2020/07/16,0.0
2020/07/17,0.0
2020/07/18,0.0
2020/07/19,0.0
2020/07/20,0.0
2020/07/21,0.0
2020/07/22,0.0
2020/07/23,0.0
2020/07/24,0.0
2020/07/25,0.0
2020/07/26,0.0
2020/07/27,0.0
2020/07/28,0.0
2020/07/29,0.0
2020/07/30,0.0
2020/07/31,0.0
2020/08/01,0.0
2020/08/02,0.0
2020/08/03,1.0
2020/08/04,0.0
2020/08/05,0.0
2020/08/06,0.0
2020/08/07,0.0
2020/08/08,0.0
2020/08/09,0.0
2020/08/10,0.0
2020/08/11,1.0
2020/08/12,2.0
2020/08/13,0.0
2020/08/14,3.0
2020/08/15,0.0
2020/08/16,1.0
2020/08/17,0.0
2020/08/18,0.0
2020/08/19,2.0
2020/08/20,3.0
2020/08/21,2.0
2020/08/22,0.0
2020/08/23,0.0
2020/08/24,3.0
2020/08/25,2.0
2020/08/26,3.0
2020/08/27,1.0
2020/08/28,4.0
2020/08/29,0.0
2020/08/30,0.0
2020/08/31,7.0
2020/09/01,2.0
2020/09/02,3.0
2020/09/03,8.0
2020/09/04,10.0
2020/09/05,1.0
2020/09/06,0.0
2020/09/07,3.0
2020/09/08,5.0
2020/09/09,3.0
2020/09/10,4.0
2020/09/11,3.0
2020/09/12,2.0
2020/09/13,1.0
2020/09/14,20.0
2020/09/15,4.0
2020/09/16,4.0
2020/09/17,8.0
2020/09/18,11.0
2020/09/19,0.0
2020/09/20,1.0
2020/09/21,18.0
2020/09/22,12.0
2020/09/23,8.0
2020/09/24,7.0
2020/09/25,8.0
2020/09/26,0.0
2020/09/27,0.0
2020/09/28,10.0
2020/09/29,9.0
2020/09/30,15.0
2020/10/01,3.0
2020/10/02,3.0
2020/10/03,2.0
2020/10/04,1.0
2020/10/05,52.0
2020/10/06,17.0
2020/10/07,10.0
2020/10/08,25.0
2020/10/09,19.0
2020/10/10,10.0
2020/10/11,2.0
2020/10/12,21.0
2020/10/13,45.0
2020/10/14,11.0
2020/10/15,28.0
2020/10/16,11.0
2020/10/17,6.0
2020/10/18,2.0
2020/10/19,21.0
2020/10/20,113.0
2020/10/21,57.0
2020/10/22,69.0
2020/10/23,122.0
2020/10/24,27.0
2020/10/25,5.0
2020/10/26,66.0
2020/10/27,90.0
2020/10/28,64.0
2020/10/29,86.0
2020/10/30,67.0
2020/10/31,24.0
2020/11/01,1.0
2020/11/02,160.0
2020/11/03,72.0
2020/11/04,87.0
2020/11/05,73.0
2020/11/06,56.0
2020/11/07,26.0
2020/11/08,2.0
2020/11/09,102.0
2020/11/10,36.0
2020/11/11,7.0
2020/11/12,49.0
2020/11/13,63.0
2020/11/14,17.0
2020/11/15,3.0
2020/11/16,69.0
2020/11/17,51.0
2020/11/18,16.0
2020/11/19,16.0
2020/11/20,32.0
2020/11/21,9.0
2020/11/22,2.0
2020/11/23,66.0
2020/11/24,52.0
2020/11/25,18.0
2020/11/26,27.0
2020/11/27,19.0
2020/11/28,17.0
2020/11/29,2.0
2020/11/30,25.0
2020/12/01,43.0
2020/12/02,29.0
2020/12/03,18.0
2020/12/04,28.0
2020/12/05,8.0
2020/12/06,3.0
2020/12/07,41.0
2020/12/08,27.0
2020/12/09,35.0
2020/12/10,8.0
2020/12/11,18.0
2020/12/12,4.0
2020/12/13,1.0
2020/12/14,21.0
2020/12/15,12.0
2020/12/16,12.0
2020/12/17,6.0
2020/12/18,31.0
2020/12/19,15.0
2020/12/20,1.0
2020/12/21,31.0
2020/12/22,33.0
2020/12/23,16.0
2020/12/24,6.0
2020/12/25,4.0
2020/12/26,2.0
2020/12/27,3.0
2020/12/28,14.0
2020/12/29,21.0
2020/12/30,21.0
2020/12/31,26.0
2021/01/01,1.0
2021/01/02,13.0
2021/01/03,6.0
2021/01/04,28.0
2021/01/05,23.0
2021/01/06,42.0
2021/01/07,28.0
2021/01/08,21.0
2021/01/09,17.0
2021/01/10,5.0
2021/01/11,31.0
2021/01/12,30.0
2021/01/13,22.0
2021/01/14,27.0
2021/01/15,48.0
2021/01/16,10.0
2021/01/17,5.0
2021/01/18,46.0
2021/01/19,43.0
2021/01/20,35.0
2021/01/21,54.0
2021/01/22,46.0
2021/01/23,13.0
2021/01/24,2.0
2021/01/25,49.0
2021/01/26,36.0
2021/01/27,33.0
2021/01/28,22.0
2021/01/29,27.0
2021/01/30,8.0
2021/01/31,1.0
2021/02/01,41.0
2021/02/02,26.0
2021/02/03,28.0
2021/02/04,28.0
2021/02/05,32.0
2021/02/06,11.0
2021/02/07,3.0
2021/02/08,33.0
2021/02/09,26.0
2021/02/10,22.0
2021/02/11,14.0
2021/02/12,27.0
2021/02/13,8.0
2021/02/14,0.0
2021/02/15,16.0
2021/02/16,21.0
2021/02/17,12.0
2021/02/18,13.0
2021/02/19,12.0
2021/02/20,5.0
2021/02/21,1.0
2021/02/22,16.0
2021/02/23,17.0
2021/02/24,7.0
2021/02/25,17.0
2021/02/26,16.0
2021/02/27,6.0
2021/02/28,2.0
2021/03/01,50.0
2021/03/02,20.0
2021/03/03,14.0
2021/03/04,12.0
2021/03/05,20.0
2021/03/06,2.0
2021/03/07,2.0
2021/03/08,26.0
2021/03/09,22.0
2021/03/10,9.0
2021/03/11,16.0
2021/03/12,24.0
2021/03/13,12.0
2021/03/14,5.0
2021/03/15,26.0
2021/03/16,25.0
2021/03/17,34.0
2021/03/18,30.0
2021/03/19,54.0
2021/03/20,19.0
2021/03/21,8.0
2021/03/22,58.0
2021/03/23,33.0
2021/03/24,37.0
2021/03/25,38.0
2021/03/26,78.0
2021/03/27,8.0
2021/03/28,2.0
2021/03/29,54.0
2021/03/30,40.0
2021/03/31,46.0
2021/04/01,55.0
2021/04/02,38.0
2021/04/03,25.0
2021/04/04,5.0
2021/04/05,28.0
2021/04/06,74.0
2021/04/07,54.0
2021/04/08,58.0
2021/04/09,46.0
2021/04/10,20.0
2021/04/11,4.0
2021/04/12,40.0
2021/04/13,60.0
2021/04/14,34.0
2021/04/15,29.0
2021/04/16,32.0
2021/04/17,20.0
2021/04/18,4.0
2021/04/19,44.0
2021/04/20,33.0
2021/04/21,35.0
2021/04/22,17.0
2021/04/23,24.0
2021/04/24,16.0
2021/04/25,1.0
2021/04/26,32.0
2021/04/27,23.0
2021/04/28,14.0
2021/04/29,16.0
2021/04/30,30.0
2021/05/01,3.0
2021/05/02,1.0
2021/05/03,34.0
2021/05/04,25.0
2021/05/05,19.0
2021/05/06,30.0
2021/05/07,25.0
2021/05/08,6.0
2021/05/09,2.0
2021/05/10,45.0
2021/05/11,21.0
2021/05/12,21.0
2021/05/13,5.0
2021/05/14,25.0
2021/05/15,7.0
2021/05/16,0.0
2021/05/17,33.0
2021/05/18,9.0
2021/05/19,10.0
2021/05/20,8.0
2021/05/21,14.0
2021/05/22,4.0
2021/05/23,1.0
2021/05/24,2.0
2021/05/25,9.0
2021/05/26,8.0
2021/05/27,5.0
2021/05/28,10.0
2021/05/29,1.0
2021/05/30,1.0
2021/05/31,9.0
2021/06/01,2.0
