Datas,Maine-et-Loire
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,6.0
2020/05/14,11.0
2020/05/15,5.0
2020/05/16,6.0
2020/05/17,0.0
2020/05/18,18.0
2020/05/19,19.0
2020/05/20,31.0
2020/05/21,7.0
2020/05/22,10.0
2020/05/23,3.0
2020/05/24,2.0
2020/05/25,6.0
2020/05/26,13.0
2020/05/27,5.0
2020/05/28,7.0
2020/05/29,4.0
2020/05/30,3.0
2020/05/31,2.0
2020/06/01,1.0
2020/06/02,15.0
2020/06/03,2.0
2020/06/04,6.0
2020/06/05,5.0
2020/06/06,4.0
2020/06/07,2.0
2020/06/08,4.0
2020/06/09,8.0
2020/06/10,11.0
2020/06/11,6.0
2020/06/12,11.0
2020/06/13,7.0
2020/06/14,1.0
2020/06/15,6.0
2020/06/16,7.0
2020/06/17,4.0
2020/06/18,5.0
2020/06/19,6.0
2020/06/20,1.0
2020/06/21,0.0
2020/06/22,4.0
2020/06/23,3.0
2020/06/24,2.0
2020/06/25,2.0
2020/06/26,7.0
2020/06/27,2.0
2020/06/28,0.0
2020/06/29,3.0
2020/06/30,8.0
2020/07/01,3.0
2020/07/02,1.0
2020/07/03,2.0
2020/07/04,1.0
2020/07/05,1.0
2020/07/06,6.0
2020/07/07,5.0
2020/07/08,7.0
2020/07/09,1.0
2020/07/10,2.0
2020/07/11,6.0
2020/07/12,0.0
2020/07/13,27.0
2020/07/14,0.0
2020/07/15,8.0
2020/07/16,2.0
2020/07/17,11.0
2020/07/18,7.0
2020/07/19,1.0
2020/07/20,7.0
2020/07/21,2.0
2020/07/22,16.0
2020/07/23,10.0
2020/07/24,6.0
2020/07/25,2.0
2020/07/26,0.0
2020/07/27,21.0
2020/07/28,11.0
2020/07/29,11.0
2020/07/30,17.0
2020/07/31,10.0
2020/08/01,3.0
2020/08/02,2.0
2020/08/03,13.0
2020/08/04,18.0
2020/08/05,12.0
2020/08/06,14.0
2020/08/07,18.0
2020/08/08,4.0
2020/08/09,1.0
2020/08/10,20.0
2020/08/11,21.0
2020/08/12,23.0
2020/08/13,26.0
2020/08/14,34.0
2020/08/15,7.0
2020/08/16,2.0
2020/08/17,40.0
2020/08/18,47.0
2020/08/19,62.0
2020/08/20,31.0
2020/08/21,38.0
2020/08/22,2.0
2020/08/23,3.0
2020/08/24,38.0
2020/08/25,35.0
2020/08/26,37.0
2020/08/27,37.0
2020/08/28,49.0
2020/08/29,5.0
2020/08/30,3.0
2020/08/31,63.0
2020/09/01,74.0
2020/09/02,85.0
2020/09/03,86.0
2020/09/04,100.0
2020/09/05,33.0
2020/09/06,2.0
2020/09/07,122.0
2020/09/08,122.0
2020/09/09,141.0
2020/09/10,91.0
2020/09/11,105.0
2020/09/12,27.0
2020/09/13,7.0
2020/09/14,110.0
2020/09/15,122.0
2020/09/16,126.0
2020/09/17,123.0
2020/09/18,120.0
2020/09/19,22.0
2020/09/20,4.0
2020/09/21,139.0
2020/09/22,114.0
2020/09/23,114.0
2020/09/24,96.0
2020/09/25,92.0
2020/09/26,24.0
2020/09/27,1.0
2020/09/28,109.0
2020/09/29,65.0
2020/09/30,79.0
2020/10/01,107.0
2020/10/02,108.0
2020/10/03,50.0
2020/10/04,2.0
2020/10/05,188.0
2020/10/06,142.0
2020/10/07,172.0
2020/10/08,186.0
2020/10/09,170.0
2020/10/10,93.0
2020/10/11,7.0
2020/10/12,291.0
2020/10/13,233.0
2020/10/14,258.0
2020/10/15,299.0
2020/10/16,287.0
2020/10/17,139.0
2020/10/18,7.0
2020/10/19,481.0
2020/10/20,444.0
2020/10/21,512.0
2020/10/22,519.0
2020/10/23,598.0
2020/10/24,248.0
2020/10/25,29.0
2020/10/26,850.0
2020/10/27,624.0
2020/10/28,554.0
2020/10/29,598.0
2020/10/30,682.0
2020/10/31,254.0
2020/11/01,16.0
2020/11/02,800.0
2020/11/03,648.0
2020/11/04,578.0
2020/11/05,453.0
2020/11/06,476.0
2020/11/07,184.0
2020/11/08,18.0
2020/11/09,637.0
2020/11/10,407.0
2020/11/11,18.0
2020/11/12,466.0
2020/11/13,268.0
2020/11/14,112.0
2020/11/15,9.0
2020/11/16,311.0
2020/11/17,172.0
2020/11/18,164.0
2020/11/19,124.0
2020/11/20,118.0
2020/11/21,54.0
2020/11/22,6.0
2020/11/23,151.0
2020/11/24,132.0
2020/11/25,95.0
2020/11/26,109.0
2020/11/27,103.0
2020/11/28,47.0
2020/11/29,3.0
2020/11/30,150.0
2020/12/01,138.0
2020/12/02,129.0
2020/12/03,131.0
2020/12/04,116.0
2020/12/05,40.0
2020/12/06,9.0
2020/12/07,182.0
2020/12/08,129.0
2020/12/09,151.0
2020/12/10,172.0
2020/12/11,132.0
2020/12/12,49.0
2020/12/13,18.0
2020/12/14,187.0
2020/12/15,114.0
2020/12/16,136.0
2020/12/17,161.0
2020/12/18,128.0
2020/12/19,75.0
2020/12/20,9.0
2020/12/21,223.0
2020/12/22,159.0
2020/12/23,164.0
2020/12/24,127.0
2020/12/25,4.0
2020/12/26,108.0
2020/12/27,7.0
2020/12/28,215.0
2020/12/29,221.0
2020/12/30,198.0
2020/12/31,118.0
2021/01/01,7.0
2021/01/02,131.0
2021/01/03,13.0
2021/01/04,277.0
2021/01/05,180.0
2021/01/06,126.0
2021/01/07,139.0
2021/01/08,159.0
2021/01/09,63.0
2021/01/10,9.0
2021/01/11,190.0
2021/01/12,212.0
2021/01/13,176.0
2021/01/14,182.0
2021/01/15,185.0
2021/01/16,92.0
2021/01/17,11.0
2021/01/18,274.0
2021/01/19,231.0
2021/01/20,216.0
2021/01/21,218.0
2021/01/22,214.0
2021/01/23,120.0
2021/01/24,19.0
2021/01/25,317.0
2021/01/26,231.0
2021/01/27,292.0
2021/01/28,243.0
2021/01/29,227.0
2021/01/30,112.0
2021/01/31,14.0
2021/02/01,319.0
2021/02/02,230.0
2021/02/03,192.0
2021/02/04,196.0
2021/02/05,216.0
2021/02/06,141.0
2021/02/07,12.0
2021/02/08,256.0
2021/02/09,183.0
2021/02/10,177.0
2021/02/11,191.0
2021/02/12,219.0
2021/02/13,127.0
2021/02/14,12.0
2021/02/15,256.0
2021/02/16,219.0
2021/02/17,234.0
2021/02/18,224.0
2021/02/19,245.0
2021/02/20,155.0
2021/02/21,14.0
2021/02/22,277.0
2021/02/23,226.0
2021/02/24,218.0
2021/02/25,242.0
2021/02/26,229.0
2021/02/27,134.0
2021/02/28,36.0
2021/03/01,322.0
2021/03/02,219.0
2021/03/03,218.0
2021/03/04,263.0
2021/03/05,260.0
2021/03/06,167.0
2021/03/07,26.0
2021/03/08,334.0
2021/03/09,253.0
2021/03/10,252.0
2021/03/11,244.0
2021/03/12,267.0
2021/03/13,153.0
2021/03/14,23.0
2021/03/15,344.0
2021/03/16,297.0
2021/03/17,251.0
2021/03/18,299.0
2021/03/19,321.0
2021/03/20,194.0
2021/03/21,24.0
2021/03/22,403.0
2021/03/23,319.0
2021/03/24,357.0
2021/03/25,337.0
2021/03/26,411.0
2021/03/27,266.0
2021/03/28,40.0
2021/03/29,558.0
2021/03/30,421.0
2021/03/31,365.0
2021/04/01,394.0
2021/04/02,382.0
2021/04/03,261.0
2021/04/04,28.0
2021/04/05,97.0
2021/04/06,493.0
2021/04/07,357.0
2021/04/08,359.0
2021/04/09,413.0
2021/04/10,260.0
2021/04/11,32.0
2021/04/12,478.0
2021/04/13,336.0
2021/04/14,296.0
2021/04/15,304.0
2021/04/16,315.0
2021/04/17,182.0
2021/04/18,33.0
2021/04/19,393.0
2021/04/20,292.0
2021/04/21,316.0
2021/04/22,331.0
2021/04/23,277.0
2021/04/24,155.0
2021/04/25,24.0
2021/04/26,326.0
2021/04/27,215.0
2021/04/28,235.0
2021/04/29,198.0
2021/04/30,202.0
2021/05/01,48.0
2021/05/02,44.0
2021/05/03,254.0
2021/05/04,169.0
2021/05/05,157.0
2021/05/06,151.0
2021/05/07,175.0
2021/05/08,54.0
2021/05/09,33.0
2021/05/10,224.0
2021/05/11,139.0
2021/05/12,138.0
2021/05/13,27.0
2021/05/14,149.0
2021/05/15,115.0
2021/05/16,22.0
2021/05/17,232.0
2021/05/18,180.0
2021/05/19,156.0
2021/05/20,148.0
2021/05/21,138.0
2021/05/22,76.0
2021/05/23,18.0
2021/05/24,66.0
2021/05/25,192.0
2021/05/26,149.0
2021/05/27,156.0
2021/05/28,102.0
2021/05/29,73.0
2021/05/30,21.0
2021/05/31,153.0
