Datas,Marne
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,14.0
2020/05/14,11.0
2020/05/15,10.0
2020/05/16,2.0
2020/05/17,0.0
2020/05/18,10.0
2020/05/19,11.0
2020/05/20,7.0
2020/05/21,0.0
2020/05/22,10.0
2020/05/23,2.0
2020/05/24,0.0
2020/05/25,5.0
2020/05/26,14.0
2020/05/27,5.0
2020/05/28,2.0
2020/05/29,12.0
2020/05/30,1.0
2020/05/31,0.0
2020/06/01,0.0
2020/06/02,47.0
2020/06/03,37.0
2020/06/04,17.0
2020/06/05,2.0
2020/06/06,1.0
2020/06/07,1.0
2020/06/08,5.0
2020/06/09,6.0
2020/06/10,3.0
2020/06/11,11.0
2020/06/12,9.0
2020/06/13,0.0
2020/06/14,0.0
2020/06/15,7.0
2020/06/16,2.0
2020/06/17,2.0
2020/06/18,1.0
2020/06/19,1.0
2020/06/20,0.0
2020/06/21,1.0
2020/06/22,2.0
2020/06/23,1.0
2020/06/24,0.0
2020/06/25,0.0
2020/06/26,0.0
2020/06/27,1.0
2020/06/28,1.0
2020/06/29,0.0
2020/06/30,1.0
2020/07/01,0.0
2020/07/02,1.0
2020/07/03,1.0
2020/07/04,3.0
2020/07/05,0.0
2020/07/06,2.0
2020/07/07,3.0
2020/07/08,1.0
2020/07/09,2.0
2020/07/10,3.0
2020/07/11,0.0
2020/07/12,0.0
2020/07/13,2.0
2020/07/14,2.0
2020/07/15,2.0
2020/07/16,3.0
2020/07/17,2.0
2020/07/18,1.0
2020/07/19,0.0
2020/07/20,6.0
2020/07/21,7.0
2020/07/22,10.0
2020/07/23,3.0
2020/07/24,4.0
2020/07/25,8.0
2020/07/26,2.0
2020/07/27,5.0
2020/07/28,6.0
2020/07/29,3.0
2020/07/30,6.0
2020/07/31,12.0
2020/08/01,5.0
2020/08/02,1.0
2020/08/03,9.0
2020/08/04,10.0
2020/08/05,10.0
2020/08/06,10.0
2020/08/07,4.0
2020/08/08,1.0
2020/08/09,1.0
2020/08/10,14.0
2020/08/11,11.0
2020/08/12,13.0
2020/08/13,17.0
2020/08/14,17.0
2020/08/15,2.0
2020/08/16,2.0
2020/08/17,19.0
2020/08/18,18.0
2020/08/19,14.0
2020/08/20,20.0
2020/08/21,21.0
2020/08/22,11.0
2020/08/23,2.0
2020/08/24,22.0
2020/08/25,31.0
2020/08/26,26.0
2020/08/27,24.0
2020/08/28,37.0
2020/08/29,11.0
2020/08/30,4.0
2020/08/31,45.0
2020/09/01,41.0
2020/09/02,46.0
2020/09/03,40.0
2020/09/04,45.0
2020/09/05,11.0
2020/09/06,5.0
2020/09/07,50.0
2020/09/08,60.0
2020/09/09,51.0
2020/09/10,89.0
2020/09/11,116.0
2020/09/12,35.0
2020/09/13,11.0
2020/09/14,69.0
2020/09/15,144.0
2020/09/16,103.0
2020/09/17,70.0
2020/09/18,67.0
2020/09/19,53.0
2020/09/20,5.0
2020/09/21,84.0
2020/09/22,72.0
2020/09/23,51.0
2020/09/24,72.0
2020/09/25,66.0
2020/09/26,41.0
2020/09/27,7.0
2020/09/28,75.0
2020/09/29,58.0
2020/09/30,75.0
2020/10/01,80.0
2020/10/02,104.0
2020/10/03,50.0
2020/10/04,7.0
2020/10/05,150.0
2020/10/06,129.0
2020/10/07,107.0
2020/10/08,131.0
2020/10/09,130.0
2020/10/10,63.0
2020/10/11,10.0
2020/10/12,193.0
2020/10/13,132.0
2020/10/14,172.0
2020/10/15,187.0
2020/10/16,203.0
2020/10/17,102.0
2020/10/18,20.0
2020/10/19,308.0
2020/10/20,256.0
2020/10/21,266.0
2020/10/22,297.0
2020/10/23,366.0
2020/10/24,140.0
2020/10/25,26.0
2020/10/26,474.0
2020/10/27,354.0
2020/10/28,404.0
2020/10/29,391.0
2020/10/30,404.0
2020/10/31,175.0
2020/11/01,34.0
2020/11/02,425.0
2020/11/03,358.0
2020/11/04,247.0
2020/11/05,250.0
2020/11/06,272.0
2020/11/07,82.0
2020/11/08,12.0
2020/11/09,275.0
2020/11/10,238.0
2020/11/11,19.0
2020/11/12,197.0
2020/11/13,208.0
2020/11/14,66.0
2020/11/15,10.0
2020/11/16,223.0
2020/11/17,118.0
2020/11/18,106.0
2020/11/19,108.0
2020/11/20,109.0
2020/11/21,41.0
2020/11/22,8.0
2020/11/23,124.0
2020/11/24,69.0
2020/11/25,52.0
2020/11/26,57.0
2020/11/27,80.0
2020/11/28,27.0
2020/11/29,17.0
2020/11/30,78.0
2020/12/01,62.0
2020/12/02,58.0
2020/12/03,75.0
2020/12/04,67.0
2020/12/05,33.0
2020/12/06,5.0
2020/12/07,98.0
2020/12/08,114.0
2020/12/09,96.0
2020/12/10,106.0
2020/12/11,120.0
2020/12/12,69.0
2020/12/13,21.0
2020/12/14,218.0
2020/12/15,196.0
2020/12/16,179.0
2020/12/17,117.0
2020/12/18,210.0
2020/12/19,105.0
2020/12/20,23.0
2020/12/21,263.0
2020/12/22,283.0
2020/12/23,259.0
2020/12/24,151.0
2020/12/25,15.0
2020/12/26,124.0
2020/12/27,18.0
2020/12/28,263.0
2020/12/29,254.0
2020/12/30,244.0
2020/12/31,237.0
2021/01/01,9.0
2021/01/02,119.0
2021/01/03,19.0
2021/01/04,314.0
2021/01/05,239.0
2021/01/06,222.0
2021/01/07,198.0
2021/01/08,197.0
2021/01/09,102.0
2021/01/10,7.0
2021/01/11,232.0
2021/01/12,232.0
2021/01/13,176.0
2021/01/14,174.0
2021/01/15,223.0
2021/01/16,93.0
2021/01/17,15.0
2021/01/18,301.0
2021/01/19,159.0
2021/01/20,187.0
2021/01/21,177.0
2021/01/22,235.0
2021/01/23,127.0
2021/01/24,7.0
2021/01/25,281.0
2021/01/26,208.0
2021/01/27,200.0
2021/01/28,186.0
2021/01/29,170.0
2021/01/30,65.0
2021/01/31,17.0
2021/02/01,247.0
2021/02/02,180.0
2021/02/03,147.0
2021/02/04,149.0
2021/02/05,170.0
2021/02/06,75.0
2021/02/07,7.0
2021/02/08,165.0
2021/02/09,123.0
2021/02/10,150.0
2021/02/11,111.0
2021/02/12,122.0
2021/02/13,76.0
2021/02/14,5.0
2021/02/15,169.0
2021/02/16,135.0
2021/02/17,114.0
2021/02/18,143.0
2021/02/19,158.0
2021/02/20,87.0
2021/02/21,11.0
2021/02/22,201.0
2021/02/23,153.0
2021/02/24,155.0
2021/02/25,129.0
2021/02/26,147.0
2021/02/27,91.0
2021/02/28,14.0
2021/03/01,176.0
2021/03/02,142.0
2021/03/03,129.0
2021/03/04,138.0
2021/03/05,147.0
2021/03/06,100.0
2021/03/07,30.0
2021/03/08,228.0
2021/03/09,190.0
2021/03/10,167.0
2021/03/11,224.0
2021/03/12,205.0
2021/03/13,152.0
2021/03/14,4.0
2021/03/15,283.0
2021/03/16,235.0
2021/03/17,195.0
2021/03/18,220.0
2021/03/19,240.0
2021/03/20,150.0
2021/03/21,22.0
2021/03/22,327.0
2021/03/23,234.0
2021/03/24,273.0
2021/03/25,278.0
2021/03/26,321.0
2021/03/27,184.0
2021/03/28,18.0
2021/03/29,406.0
2021/03/30,332.0
2021/03/31,323.0
2021/04/01,330.0
2021/04/02,323.0
2021/04/03,190.0
2021/04/04,23.0
2021/04/05,49.0
2021/04/06,384.0
2021/04/07,284.0
2021/04/08,290.0
2021/04/09,342.0
2021/04/10,196.0
2021/04/11,20.0
2021/04/12,407.0
2021/04/13,338.0
2021/04/14,293.0
2021/04/15,257.0
2021/04/16,266.0
2021/04/17,165.0
2021/04/18,19.0
2021/04/19,353.0
2021/04/20,298.0
2021/04/21,213.0
2021/04/22,228.0
2021/04/23,236.0
2021/04/24,146.0
2021/04/25,24.0
2021/04/26,256.0
2021/04/27,193.0
2021/04/28,193.0
2021/04/29,202.0
2021/04/30,202.0
2021/05/01,21.0
2021/05/02,20.0
2021/05/03,239.0
2021/05/04,178.0
2021/05/05,127.0
2021/05/06,109.0
2021/05/07,134.0
2021/05/08,37.0
2021/05/09,14.0
2021/05/10,211.0
2021/05/11,128.0
2021/05/12,123.0
2021/05/13,20.0
2021/05/14,155.0
2021/05/15,46.0
2021/05/16,8.0
2021/05/17,165.0
2021/05/18,147.0
2021/05/19,84.0
2021/05/20,97.0
2021/05/21,81.0
2021/05/22,55.0
2021/05/23,10.0
2021/05/24,11.0
2021/05/25,115.0
2021/05/26,78.0
2021/05/27,62.0
2021/05/28,87.0
2021/05/29,36.0
2021/05/30,5.0
2021/05/31,90.0
2021/06/01,50.0
