Datas,Martinique
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,4.0
2020/05/14,4.0
2020/05/15,0.0
2020/05/16,1.0
2020/05/17,0.0
2020/05/18,2.0
2020/05/19,0.0
2020/05/20,4.0
2020/05/21,0.0
2020/05/22,0.0
2020/05/23,0.0
2020/05/24,0.0
2020/05/25,1.0
2020/05/26,1.0
2020/05/27,0.0
2020/05/28,2.0
2020/05/29,1.0
2020/05/30,0.0
2020/05/31,0.0
2020/06/01,0.0
2020/06/02,1.0
2020/06/03,1.0
2020/06/04,3.0
2020/06/05,4.0
2020/06/06,0.0
2020/06/07,0.0
2020/06/08,3.0
2020/06/09,4.0
2020/06/10,1.0
2020/06/11,2.0
2020/06/12,1.0
2020/06/13,5.0
2020/06/14,1.0
2020/06/15,2.0
2020/06/16,1.0
2020/06/17,1.0
2020/06/18,2.0
2020/06/19,2.0
2020/06/20,0.0
2020/06/21,0.0
2020/06/22,2.0
2020/06/23,2.0
2020/06/24,1.0
2020/06/25,3.0
2020/06/26,2.0
2020/06/27,0.0
2020/06/28,0.0
2020/06/29,1.0
2020/06/30,2.0
2020/07/01,1.0
2020/07/02,1.0
2020/07/03,1.0
2020/07/04,1.0
2020/07/05,0.0
2020/07/06,3.0
2020/07/07,0.0
2020/07/08,0.0
2020/07/09,1.0
2020/07/10,1.0
2020/07/11,0.0
2020/07/12,0.0
2020/07/13,3.0
2020/07/14,0.0
2020/07/15,3.0
2020/07/16,2.0
2020/07/17,0.0
2020/07/18,0.0
2020/07/19,0.0
2020/07/20,2.0
2020/07/21,1.0
2020/07/22,2.0
2020/07/23,0.0
2020/07/24,2.0
2020/07/25,0.0
2020/07/26,1.0
2020/07/27,1.0
2020/07/28,2.0
2020/07/29,2.0
2020/07/30,4.0
2020/07/31,9.0
2020/08/01,0.0
2020/08/02,0.0
2020/08/03,11.0
2020/08/04,28.0
2020/08/05,10.0
2020/08/06,9.0
2020/08/07,6.0
2020/08/08,4.0
2020/08/09,1.0
2020/08/10,20.0
2020/08/11,30.0
2020/08/12,20.0
2020/08/13,24.0
2020/08/14,29.0
2020/08/15,0.0
2020/08/16,2.0
2020/08/17,52.0
2020/08/18,31.0
2020/08/19,19.0
2020/08/20,29.0
2020/08/21,35.0
2020/08/22,9.0
2020/08/23,0.0
2020/08/24,25.0
2020/08/25,24.0
2020/08/26,30.0
2020/08/27,16.0
2020/08/28,29.0
2020/08/29,8.0
2020/08/30,0.0
2020/08/31,50.0
2020/09/01,30.0
2020/09/02,42.0
2020/09/03,41.0
2020/09/04,46.0
2020/09/05,9.0
2020/09/06,0.0
2020/09/07,29.0
2020/09/08,26.0
2020/09/09,34.0
2020/09/10,42.0
2020/09/11,41.0
2020/09/12,10.0
2020/09/13,0.0
2020/09/14,39.0
2020/09/15,36.0
2020/09/16,26.0
2020/09/17,35.0
2020/09/18,39.0
2020/09/19,8.0
2020/09/20,1.0
2020/09/21,41.0
2020/09/22,47.0
2020/09/23,47.0
2020/09/24,53.0
2020/09/25,69.0
2020/09/26,17.0
2020/09/27,0.0
2020/09/28,60.0
2020/09/29,73.0
2020/09/30,80.0
2020/10/01,47.0
2020/10/02,49.0
2020/10/03,18.0
2020/10/04,3.0
2020/10/05,81.0
2020/10/06,82.0
2020/10/07,77.0
2020/10/08,94.0
2020/10/09,101.0
2020/10/10,41.0
2020/10/11,6.0
2020/10/12,102.0
2020/10/13,107.0
2020/10/14,98.0
2020/10/15,97.0
2020/10/16,132.0
2020/10/17,23.0
2020/10/18,6.0
2020/10/19,147.0
2020/10/20,138.0
2020/10/21,143.0
2020/10/22,163.0
2020/10/23,152.0
2020/10/24,35.0
2020/10/25,10.0
2020/10/26,142.0
2020/10/27,145.0
2020/10/28,142.0
2020/10/29,133.0
2020/10/30,144.0
2020/10/31,38.0
2020/11/01,8.0
2020/11/02,14.0
2020/11/03,129.0
2020/11/04,126.0
2020/11/05,111.0
2020/11/06,126.0
2020/11/07,30.0
2020/11/08,3.0
2020/11/09,119.0
2020/11/10,95.0
2020/11/11,6.0
2020/11/12,76.0
2020/11/13,68.0
2020/11/14,12.0
2020/11/15,4.0
2020/11/16,46.0
2020/11/17,56.0
2020/11/18,29.0
2020/11/19,43.0
2020/11/20,29.0
2020/11/21,22.0
2020/11/22,2.0
2020/11/23,25.0
2020/11/24,26.0
2020/11/25,17.0
2020/11/26,20.0
2020/11/27,14.0
2020/11/28,2.0
2020/11/29,0.0
2020/11/30,20.0
2020/12/01,7.0
2020/12/02,9.0
2020/12/03,7.0
2020/12/04,12.0
2020/12/05,1.0
2020/12/06,2.0
2020/12/07,16.0
2020/12/08,16.0
2020/12/09,6.0
2020/12/10,8.0
2020/12/11,17.0
2020/12/12,3.0
2020/12/13,0.0
2020/12/14,18.0
2020/12/15,12.0
2020/12/16,23.0
2020/12/17,14.0
2020/12/18,21.0
2020/12/19,6.0
2020/12/20,2.0
2020/12/21,13.0
2020/12/22,10.0
2020/12/23,11.0
2020/12/24,4.0
2020/12/25,0.0
2020/12/26,5.0
2020/12/27,0.0
2020/12/28,16.0
2020/12/29,10.0
2020/12/30,21.0
2020/12/31,25.0
2021/01/01,1.0
2021/01/02,10.0
2021/01/03,3.0
2021/01/04,19.0
2021/01/05,12.0
2021/01/06,6.0
2021/01/07,18.0
2021/01/08,7.0
2021/01/09,6.0
2021/01/10,0.0
2021/01/11,14.0
2021/01/12,12.0
2021/01/13,8.0
2021/01/14,6.0
2021/01/15,15.0
2021/01/16,5.0
2021/01/17,1.0
2021/01/18,18.0
2021/01/19,11.0
2021/01/20,17.0
2021/01/21,6.0
2021/01/22,15.0
2021/01/23,4.0
2021/01/24,1.0
2021/01/25,12.0
2021/01/26,14.0
2021/01/27,13.0
2021/01/28,14.0
2021/01/29,16.0
2021/01/30,4.0
2021/01/31,1.0
2021/02/01,12.0
2021/02/02,11.0
2021/02/03,10.0
2021/02/04,14.0
2021/02/05,9.0
2021/02/06,2.0
2021/02/07,2.0
2021/02/08,13.0
2021/02/09,15.0
2021/02/10,11.0
2021/02/11,11.0
2021/02/12,14.0
2021/02/13,3.0
2021/02/14,1.0
2021/02/15,18.0
2021/02/16,3.0
2021/02/17,3.0
2021/02/18,10.0
2021/02/19,17.0
2021/02/20,7.0
2021/02/21,2.0
2021/02/22,26.0
2021/02/23,16.0
2021/02/24,16.0
2021/02/25,23.0
2021/02/26,26.0
2021/02/27,7.0
2021/02/28,2.0
2021/03/01,22.0
2021/03/02,14.0
2021/03/03,24.0
2021/03/04,12.0
2021/03/05,14.0
2021/03/06,9.0
2021/03/07,9.0
2021/03/08,25.0
2021/03/09,28.0
2021/03/10,26.0
2021/03/11,36.0
2021/03/12,57.0
2021/03/13,35.0
2021/03/14,6.0
2021/03/15,67.0
2021/03/16,64.0
2021/03/17,67.0
2021/03/18,61.0
2021/03/19,82.0
2021/03/20,28.0
2021/03/21,2.0
2021/03/22,98.0
2021/03/23,102.0
2021/03/24,94.0
2021/03/25,115.0
2021/03/26,101.0
2021/03/27,52.0
2021/03/28,9.0
2021/03/29,148.0
2021/03/30,132.0
2021/03/31,155.0
2021/04/01,140.0
2021/04/02,32.0
2021/04/03,69.0
2021/04/04,10.0
2021/04/05,24.0
2021/04/06,185.0
2021/04/07,170.0
2021/04/08,199.0
2021/04/09,182.0
2021/04/10,57.0
2021/04/11,9.0
2021/04/12,134.0
2021/04/13,122.0
2021/04/14,140.0
2021/04/15,116.0
2021/04/16,121.0
2021/04/17,37.0
2021/04/18,11.0
2021/04/19,152.0
2021/04/20,120.0
2021/04/21,86.0
2021/04/22,100.0
2021/04/23,100.0
2021/04/24,26.0
2021/04/25,7.0
2021/04/26,96.0
2021/04/27,70.0
2021/04/28,57.0
2021/04/29,39.0
2021/04/30,49.0
2021/05/01,10.0
2021/05/02,8.0
2021/05/03,47.0
2021/05/04,27.0
2021/05/05,25.0
2021/05/06,28.0
2021/05/07,31.0
2021/05/08,3.0
2021/05/09,1.0
2021/05/10,39.0
2021/05/11,16.0
2021/05/12,28.0
2021/05/13,2.0
2021/05/14,24.0
2021/05/15,6.0
2021/05/16,2.0
2021/05/17,24.0
2021/05/18,15.0
2021/05/19,17.0
2021/05/20,20.0
2021/05/21,15.0
2021/05/22,3.0
2021/05/23,1.0
2021/05/24,0.0
2021/05/25,28.0
2021/05/26,17.0
2021/05/27,14.0
2021/05/28,16.0
2021/05/29,5.0
2021/05/30,0.0
2021/05/31,16.0
2021/06/01,13.0
