Datas,Mayenne
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,2.0
2020/05/14,2.0
2020/05/15,3.0
2020/05/16,1.0
2020/05/17,0.0
2020/05/18,1.0
2020/05/19,0.0
2020/05/20,2.0
2020/05/21,1.0
2020/05/22,2.0
2020/05/23,1.0
2020/05/24,0.0
2020/05/25,0.0
2020/05/26,2.0
2020/05/27,0.0
2020/05/28,0.0
2020/05/29,2.0
2020/05/30,2.0
2020/05/31,1.0
2020/06/01,1.0
2020/06/02,2.0
2020/06/03,2.0
2020/06/04,1.0
2020/06/05,3.0
2020/06/06,4.0
2020/06/07,1.0
2020/06/08,0.0
2020/06/09,1.0
2020/06/10,1.0
2020/06/11,1.0
2020/06/12,1.0
2020/06/13,0.0
2020/06/14,0.0
2020/06/15,1.0
2020/06/16,0.0
2020/06/17,2.0
2020/06/18,0.0
2020/06/19,1.0
2020/06/20,1.0
2020/06/21,0.0
2020/06/22,1.0
2020/06/23,2.0
2020/06/24,0.0
2020/06/25,2.0
2020/06/26,4.0
2020/06/27,8.0
2020/06/28,3.0
2020/06/29,35.0
2020/06/30,32.0
2020/07/01,17.0
2020/07/02,22.0
2020/07/03,13.0
2020/07/04,14.0
2020/07/05,2.0
2020/07/06,11.0
2020/07/07,9.0
2020/07/08,28.0
2020/07/09,22.0
2020/07/10,54.0
2020/07/11,37.0
2020/07/12,10.0
2020/07/13,24.0
2020/07/14,9.0
2020/07/15,36.0
2020/07/16,44.0
2020/07/17,53.0
2020/07/18,43.0
2020/07/19,15.0
2020/07/20,69.0
2020/07/21,104.0
2020/07/22,81.0
2020/07/23,79.0
2020/07/24,79.0
2020/07/25,34.0
2020/07/26,8.0
2020/07/27,29.0
2020/07/28,34.0
2020/07/29,31.0
2020/07/30,24.0
2020/07/31,10.0
2020/08/01,14.0
2020/08/02,3.0
2020/08/03,17.0
2020/08/04,12.0
2020/08/05,13.0
2020/08/06,17.0
2020/08/07,12.0
2020/08/08,8.0
2020/08/09,5.0
2020/08/10,9.0
2020/08/11,10.0
2020/08/12,11.0
2020/08/13,10.0
2020/08/14,17.0
2020/08/15,6.0
2020/08/16,6.0
2020/08/17,15.0
2020/08/18,6.0
2020/08/19,19.0
2020/08/20,13.0
2020/08/21,5.0
2020/08/22,6.0
2020/08/23,1.0
2020/08/24,14.0
2020/08/25,8.0
2020/08/26,10.0
2020/08/27,9.0
2020/08/28,8.0
2020/08/29,7.0
2020/08/30,5.0
2020/08/31,12.0
2020/09/01,21.0
2020/09/02,18.0
2020/09/03,18.0
2020/09/04,28.0
2020/09/05,10.0
2020/09/06,1.0
2020/09/07,24.0
2020/09/08,22.0
2020/09/09,25.0
2020/09/10,20.0
2020/09/11,33.0
2020/09/12,9.0
2020/09/13,2.0
2020/09/14,28.0
2020/09/15,27.0
2020/09/16,26.0
2020/09/17,33.0
2020/09/18,24.0
2020/09/19,12.0
2020/09/20,2.0
2020/09/21,27.0
2020/09/22,35.0
2020/09/23,19.0
2020/09/24,28.0
2020/09/25,37.0
2020/09/26,30.0
2020/09/27,1.0
2020/09/28,31.0
2020/09/29,31.0
2020/09/30,25.0
2020/10/01,36.0
2020/10/02,69.0
2020/10/03,32.0
2020/10/04,0.0
2020/10/05,41.0
2020/10/06,37.0
2020/10/07,25.0
2020/10/08,41.0
2020/10/09,75.0
2020/10/10,32.0
2020/10/11,22.0
2020/10/12,57.0
2020/10/13,58.0
2020/10/14,58.0
2020/10/15,67.0
2020/10/16,89.0
2020/10/17,65.0
2020/10/18,19.0
2020/10/19,101.0
2020/10/20,96.0
2020/10/21,83.0
2020/10/22,112.0
2020/10/23,120.0
2020/10/24,59.0
2020/10/25,5.0
2020/10/26,153.0
2020/10/27,224.0
2020/10/28,282.0
2020/10/29,204.0
2020/10/30,231.0
2020/10/31,118.0
2020/11/01,24.0
2020/11/02,180.0
2020/11/03,168.0
2020/11/04,182.0
2020/11/05,160.0
2020/11/06,176.0
2020/11/07,88.0
2020/11/08,11.0
2020/11/09,177.0
2020/11/10,189.0
2020/11/11,31.0
2020/11/12,151.0
2020/11/13,127.0
2020/11/14,85.0
2020/11/15,36.0
2020/11/16,112.0
2020/11/17,101.0
2020/11/18,71.0
2020/11/19,74.0
2020/11/20,71.0
2020/11/21,34.0
2020/11/22,16.0
2020/11/23,78.0
2020/11/24,63.0
2020/11/25,42.0
2020/11/26,28.0
2020/11/27,49.0
2020/11/28,41.0
2020/11/29,3.0
2020/11/30,60.0
2020/12/01,72.0
2020/12/02,46.0
2020/12/03,49.0
2020/12/04,51.0
2020/12/05,27.0
2020/12/06,4.0
2020/12/07,67.0
2020/12/08,53.0
2020/12/09,85.0
2020/12/10,44.0
2020/12/11,76.0
2020/12/12,36.0
2020/12/13,11.0
2020/12/14,63.0
2020/12/15,62.0
2020/12/16,72.0
2020/12/17,63.0
2020/12/18,70.0
2020/12/19,30.0
2020/12/20,19.0
2020/12/21,67.0
2020/12/22,58.0
2020/12/23,53.0
2020/12/24,53.0
2020/12/25,3.0
2020/12/26,32.0
2020/12/27,3.0
2020/12/28,40.0
2020/12/29,44.0
2020/12/30,76.0
2020/12/31,46.0
2021/01/01,10.0
2021/01/02,33.0
2021/01/03,38.0
2021/01/04,90.0
2021/01/05,68.0
2021/01/06,69.0
2021/01/07,76.0
2021/01/08,74.0
2021/01/09,47.0
2021/01/10,16.0
2021/01/11,87.0
2021/01/12,62.0
2021/01/13,121.0
2021/01/14,106.0
2021/01/15,73.0
2021/01/16,47.0
2021/01/17,16.0
2021/01/18,67.0
2021/01/19,83.0
2021/01/20,65.0
2021/01/21,57.0
2021/01/22,68.0
2021/01/23,48.0
2021/01/24,9.0
2021/01/25,102.0
2021/01/26,101.0
2021/01/27,76.0
2021/01/28,74.0
2021/01/29,90.0
2021/01/30,68.0
2021/01/31,12.0
2021/02/01,77.0
2021/02/02,71.0
2021/02/03,59.0
2021/02/04,65.0
2021/02/05,77.0
2021/02/06,46.0
2021/02/07,22.0
2021/02/08,50.0
2021/02/09,56.0
2021/02/10,35.0
2021/02/11,29.0
2021/02/12,51.0
2021/02/13,31.0
2021/02/14,9.0
2021/02/15,53.0
2021/02/16,44.0
2021/02/17,45.0
2021/02/18,69.0
2021/02/19,53.0
2021/02/20,32.0
2021/02/21,3.0
2021/02/22,60.0
2021/02/23,45.0
2021/02/24,44.0
2021/02/25,35.0
2021/02/26,52.0
2021/02/27,34.0
2021/02/28,10.0
2021/03/01,64.0
2021/03/02,35.0
2021/03/03,63.0
2021/03/04,67.0
2021/03/05,57.0
2021/03/06,46.0
2021/03/07,3.0
2021/03/08,67.0
2021/03/09,60.0
2021/03/10,59.0
2021/03/11,75.0
2021/03/12,60.0
2021/03/13,55.0
2021/03/14,2.0
2021/03/15,110.0
2021/03/16,68.0
2021/03/17,64.0
2021/03/18,88.0
2021/03/19,89.0
2021/03/20,65.0
2021/03/21,6.0
2021/03/22,128.0
2021/03/23,87.0
2021/03/24,106.0
2021/03/25,127.0
2021/03/26,88.0
2021/03/27,58.0
2021/03/28,6.0
2021/03/29,102.0
2021/03/30,132.0
2021/03/31,97.0
2021/04/01,113.0
2021/04/02,121.0
2021/04/03,61.0
2021/04/04,7.0
2021/04/05,10.0
2021/04/06,143.0
2021/04/07,87.0
2021/04/08,109.0
2021/04/09,106.0
2021/04/10,89.0
2021/04/11,4.0
2021/04/12,151.0
2021/04/13,138.0
2021/04/14,122.0
2021/04/15,116.0
2021/04/16,117.0
2021/04/17,85.0
2021/04/18,7.0
2021/04/19,160.0
2021/04/20,110.0
2021/04/21,120.0
2021/04/22,124.0
2021/04/23,91.0
2021/04/24,90.0
2021/04/25,0.0
2021/04/26,131.0
2021/04/27,91.0
2021/04/28,83.0
2021/04/29,76.0
2021/04/30,110.0
2021/05/01,4.0
2021/05/02,4.0
2021/05/03,109.0
2021/05/04,85.0
2021/05/05,61.0
2021/05/06,79.0
2021/05/07,83.0
2021/05/08,3.0
2021/05/09,2.0
2021/05/10,70.0
2021/05/11,69.0
2021/05/12,73.0
2021/05/13,15.0
2021/05/14,80.0
2021/05/15,40.0
2021/05/16,9.0
2021/05/17,75.0
2021/05/18,64.0
2021/05/19,73.0
2021/05/20,60.0
2021/05/21,55.0
2021/05/22,46.0
2021/05/23,3.0
2021/05/24,9.0
2021/05/25,77.0
2021/05/26,74.0
2021/05/27,55.0
2021/05/28,74.0
2021/05/29,36.0
2021/05/30,1.0
2021/05/31,78.0
2021/06/01,50.0
