Datas,Meurthe-et-Moselle
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,23.0
2020/05/14,9.0
2020/05/15,20.0
2020/05/16,1.0
2020/05/17,3.0
2020/05/18,32.0
2020/05/19,19.0
2020/05/20,37.0
2020/05/21,7.0
2020/05/22,16.0
2020/05/23,3.0
2020/05/24,1.0
2020/05/25,12.0
2020/05/26,14.0
2020/05/27,10.0
2020/05/28,8.0
2020/05/29,7.0
2020/05/30,4.0
2020/05/31,3.0
2020/06/01,5.0
2020/06/02,28.0
2020/06/03,41.0
2020/06/04,29.0
2020/06/05,36.0
2020/06/06,16.0
2020/06/07,12.0
2020/06/08,36.0
2020/06/09,42.0
2020/06/10,29.0
2020/06/11,21.0
2020/06/12,21.0
2020/06/13,4.0
2020/06/14,1.0
2020/06/15,15.0
2020/06/16,27.0
2020/06/17,22.0
2020/06/18,12.0
2020/06/19,27.0
2020/06/20,5.0
2020/06/21,1.0
2020/06/22,3.0
2020/06/23,9.0
2020/06/24,7.0
2020/06/25,10.0
2020/06/26,6.0
2020/06/27,4.0
2020/06/28,1.0
2020/06/29,3.0
2020/06/30,2.0
2020/07/01,7.0
2020/07/02,6.0
2020/07/03,5.0
2020/07/04,5.0
2020/07/05,0.0
2020/07/06,6.0
2020/07/07,2.0
2020/07/08,3.0
2020/07/09,6.0
2020/07/10,8.0
2020/07/11,5.0
2020/07/12,1.0
2020/07/13,13.0
2020/07/14,2.0
2020/07/15,10.0
2020/07/16,13.0
2020/07/17,13.0
2020/07/18,6.0
2020/07/19,1.0
2020/07/20,13.0
2020/07/21,11.0
2020/07/22,12.0
2020/07/23,14.0
2020/07/24,22.0
2020/07/25,10.0
2020/07/26,0.0
2020/07/27,22.0
2020/07/28,27.0
2020/07/29,17.0
2020/07/30,21.0
2020/07/31,23.0
2020/08/01,9.0
2020/08/02,3.0
2020/08/03,25.0
2020/08/04,25.0
2020/08/05,23.0
2020/08/06,43.0
2020/08/07,20.0
2020/08/08,16.0
2020/08/09,0.0
2020/08/10,13.0
2020/08/11,11.0
2020/08/12,20.0
2020/08/13,37.0
2020/08/14,14.0
2020/08/15,4.0
2020/08/16,2.0
2020/08/17,23.0
2020/08/18,24.0
2020/08/19,20.0
2020/08/20,21.0
2020/08/21,17.0
2020/08/22,16.0
2020/08/23,2.0
2020/08/24,38.0
2020/08/25,38.0
2020/08/26,31.0
2020/08/27,50.0
2020/08/28,49.0
2020/08/29,28.0
2020/08/30,2.0
2020/08/31,48.0
2020/09/01,43.0
2020/09/02,58.0
2020/09/03,39.0
2020/09/04,47.0
2020/09/05,30.0
2020/09/06,4.0
2020/09/07,78.0
2020/09/08,61.0
2020/09/09,83.0
2020/09/10,69.0
2020/09/11,64.0
2020/09/12,51.0
2020/09/13,7.0
2020/09/14,105.0
2020/09/15,50.0
2020/09/16,64.0
2020/09/17,61.0
2020/09/18,65.0
2020/09/19,37.0
2020/09/20,2.0
2020/09/21,76.0
2020/09/22,37.0
2020/09/23,55.0
2020/09/24,58.0
2020/09/25,45.0
2020/09/26,34.0
2020/09/27,4.0
2020/09/28,77.0
2020/09/29,67.0
2020/09/30,87.0
2020/10/01,86.0
2020/10/02,69.0
2020/10/03,53.0
2020/10/04,11.0
2020/10/05,155.0
2020/10/06,123.0
2020/10/07,148.0
2020/10/08,162.0
2020/10/09,178.0
2020/10/10,67.0
2020/10/11,11.0
2020/10/12,261.0
2020/10/13,213.0
2020/10/14,235.0
2020/10/15,199.0
2020/10/16,218.0
2020/10/17,127.0
2020/10/18,19.0
2020/10/19,366.0
2020/10/20,346.0
2020/10/21,355.0
2020/10/22,446.0
2020/10/23,448.0
2020/10/24,223.0
2020/10/25,42.0
2020/10/26,688.0
2020/10/27,560.0
2020/10/28,517.0
2020/10/29,495.0
2020/10/30,528.0
2020/10/31,351.0
2020/11/01,47.0
2020/11/02,732.0
2020/11/03,509.0
2020/11/04,466.0
2020/11/05,360.0
2020/11/06,351.0
2020/11/07,187.0
2020/11/08,30.0
2020/11/09,474.0
2020/11/10,328.0
2020/11/11,28.0
2020/11/12,366.0
2020/11/13,297.0
2020/11/14,142.0
2020/11/15,14.0
2020/11/16,327.0
2020/11/17,221.0
2020/11/18,200.0
2020/11/19,214.0
2020/11/20,188.0
2020/11/21,91.0
2020/11/22,12.0
2020/11/23,233.0
2020/11/24,192.0
2020/11/25,144.0
2020/11/26,150.0
2020/11/27,159.0
2020/11/28,73.0
2020/11/29,16.0
2020/11/30,221.0
2020/12/01,207.0
2020/12/02,178.0
2020/12/03,244.0
2020/12/04,201.0
2020/12/05,117.0
2020/12/06,26.0
2020/12/07,319.0
2020/12/08,280.0
2020/12/09,280.0
2020/12/10,329.0
2020/12/11,316.0
2020/12/12,198.0
2020/12/13,46.0
2020/12/14,415.0
2020/12/15,331.0
2020/12/16,303.0
2020/12/17,385.0
2020/12/18,426.0
2020/12/19,229.0
2020/12/20,51.0
2020/12/21,519.0
2020/12/22,419.0
2020/12/23,393.0
2020/12/24,218.0
2020/12/25,19.0
2020/12/26,232.0
2020/12/27,44.0
2020/12/28,461.0
2020/12/29,368.0
2020/12/30,373.0
2020/12/31,251.0
2021/01/01,31.0
2021/01/02,303.0
2021/01/03,30.0
2021/01/04,414.0
2021/01/05,352.0
2021/01/06,347.0
2021/01/07,272.0
2021/01/08,299.0
2021/01/09,171.0
2021/01/10,13.0
2021/01/11,379.0
2021/01/12,255.0
2021/01/13,239.0
2021/01/14,249.0
2021/01/15,266.0
2021/01/16,178.0
2021/01/17,23.0
2021/01/18,397.0
2021/01/19,283.0
2021/01/20,253.0
2021/01/21,282.0
2021/01/22,285.0
2021/01/23,199.0
2021/01/24,37.0
2021/01/25,433.0
2021/01/26,307.0
2021/01/27,280.0
2021/01/28,289.0
2021/01/29,224.0
2021/01/30,151.0
2021/01/31,28.0
2021/02/01,348.0
2021/02/02,259.0
2021/02/03,199.0
2021/02/04,182.0
2021/02/05,223.0
2021/02/06,158.0
2021/02/07,29.0
2021/02/08,287.0
2021/02/09,217.0
2021/02/10,184.0
2021/02/11,161.0
2021/02/12,185.0
2021/02/13,99.0
2021/02/14,15.0
2021/02/15,319.0
2021/02/16,199.0
2021/02/17,190.0
2021/02/18,233.0
2021/02/19,254.0
2021/02/20,112.0
2021/02/21,25.0
2021/02/22,317.0
2021/02/23,222.0
2021/02/24,251.0
2021/02/25,234.0
2021/02/26,244.0
2021/02/27,127.0
2021/02/28,17.0
2021/03/01,312.0
2021/03/02,229.0
2021/03/03,205.0
2021/03/04,218.0
2021/03/05,252.0
2021/03/06,136.0
2021/03/07,21.0
2021/03/08,282.0
2021/03/09,202.0
2021/03/10,257.0
2021/03/11,281.0
2021/03/12,282.0
2021/03/13,175.0
2021/03/14,33.0
2021/03/15,442.0
2021/03/16,310.0
2021/03/17,311.0
2021/03/18,304.0
2021/03/19,333.0
2021/03/20,178.0
2021/03/21,36.0
2021/03/22,459.0
2021/03/23,327.0
2021/03/24,297.0
2021/03/25,350.0
2021/03/26,373.0
2021/03/27,218.0
2021/03/28,39.0
2021/03/29,503.0
2021/03/30,418.0
2021/03/31,339.0
2021/04/01,332.0
2021/04/02,366.0
2021/04/03,243.0
2021/04/04,35.0
2021/04/05,88.0
2021/04/06,644.0
2021/04/07,375.0
2021/04/08,340.0
2021/04/09,410.0
2021/04/10,265.0
2021/04/11,41.0
2021/04/12,536.0
2021/04/13,413.0
2021/04/14,333.0
2021/04/15,333.0
2021/04/16,321.0
2021/04/17,221.0
2021/04/18,31.0
2021/04/19,441.0
2021/04/20,313.0
2021/04/21,250.0
2021/04/22,270.0
2021/04/23,279.0
2021/04/24,156.0
2021/04/25,17.0
2021/04/26,369.0
2021/04/27,247.0
2021/04/28,199.0
2021/04/29,235.0
2021/04/30,230.0
2021/05/01,35.0
2021/05/02,21.0
2021/05/03,333.0
2021/05/04,196.0
2021/05/05,173.0
2021/05/06,145.0
2021/05/07,179.0
2021/05/08,30.0
2021/05/09,16.0
2021/05/10,266.0
2021/05/11,127.0
2021/05/12,163.0
2021/05/13,13.0
2021/05/14,165.0
2021/05/15,64.0
2021/05/16,5.0
2021/05/17,138.0
2021/05/18,119.0
2021/05/19,82.0
2021/05/20,104.0
2021/05/21,88.0
2021/05/22,66.0
2021/05/23,6.0
2021/05/24,20.0
2021/05/25,128.0
2021/05/26,111.0
2021/05/27,69.0
2021/05/28,59.0
2021/05/29,44.0
2021/05/30,12.0
2021/05/31,100.0
