Datas,Meuse
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,15.0
2020/05/14,8.0
2020/05/15,21.0
2020/05/16,4.0
2020/05/17,0.0
2020/05/18,14.0
2020/05/19,7.0
2020/05/20,19.0
2020/05/21,0.0
2020/05/22,1.0
2020/05/23,0.0
2020/05/24,0.0
2020/05/25,1.0
2020/05/26,4.0
2020/05/27,4.0
2020/05/28,0.0
2020/05/29,7.0
2020/05/30,1.0
2020/05/31,0.0
2020/06/01,0.0
2020/06/02,3.0
2020/06/03,13.0
2020/06/04,4.0
2020/06/05,7.0
2020/06/06,1.0
2020/06/07,1.0
2020/06/08,6.0
2020/06/09,5.0
2020/06/10,5.0
2020/06/11,3.0
2020/06/12,8.0
2020/06/13,0.0
2020/06/14,0.0
2020/06/15,2.0
2020/06/16,4.0
2020/06/17,1.0
2020/06/18,2.0
2020/06/19,5.0
2020/06/20,1.0
2020/06/21,0.0
2020/06/22,3.0
2020/06/23,0.0
2020/06/24,0.0
2020/06/25,1.0
2020/06/26,0.0
2020/06/27,0.0
2020/06/28,0.0
2020/06/29,1.0
2020/06/30,1.0
2020/07/01,0.0
2020/07/02,1.0
2020/07/03,0.0
2020/07/04,1.0
2020/07/05,0.0
2020/07/06,2.0
2020/07/07,1.0
2020/07/08,0.0
2020/07/09,0.0
2020/07/10,0.0
2020/07/11,0.0
2020/07/12,0.0
2020/07/13,0.0
2020/07/14,1.0
2020/07/15,0.0
2020/07/16,2.0
2020/07/17,1.0
2020/07/18,0.0
2020/07/19,0.0
2020/07/20,1.0
2020/07/21,0.0
2020/07/22,0.0
2020/07/23,0.0
2020/07/24,2.0
2020/07/25,0.0
2020/07/26,0.0
2020/07/27,2.0
2020/07/28,1.0
2020/07/29,1.0
2020/07/30,1.0
2020/07/31,0.0
2020/08/01,0.0
2020/08/02,0.0
2020/08/03,1.0
2020/08/04,2.0
2020/08/05,1.0
2020/08/06,1.0
2020/08/07,1.0
2020/08/08,0.0
2020/08/09,0.0
2020/08/10,2.0
2020/08/11,5.0
2020/08/12,6.0
2020/08/13,2.0
2020/08/14,3.0
2020/08/15,0.0
2020/08/16,0.0
2020/08/17,3.0
2020/08/18,2.0
2020/08/19,0.0
2020/08/20,0.0
2020/08/21,2.0
2020/08/22,0.0
2020/08/23,0.0
2020/08/24,5.0
2020/08/25,3.0
2020/08/26,10.0
2020/08/27,7.0
2020/08/28,4.0
2020/08/29,3.0
2020/08/30,0.0
2020/08/31,2.0
2020/09/01,2.0
2020/09/02,3.0
2020/09/03,3.0
2020/09/04,4.0
2020/09/05,4.0
2020/09/06,1.0
2020/09/07,6.0
2020/09/08,6.0
2020/09/09,13.0
2020/09/10,12.0
2020/09/11,5.0
2020/09/12,6.0
2020/09/13,0.0
2020/09/14,6.0
2020/09/15,18.0
2020/09/16,7.0
2020/09/17,9.0
2020/09/18,9.0
2020/09/19,6.0
2020/09/20,0.0
2020/09/21,9.0
2020/09/22,4.0
2020/09/23,9.0
2020/09/24,11.0
2020/09/25,7.0
2020/09/26,5.0
2020/09/27,0.0
2020/09/28,12.0
2020/09/29,6.0
2020/09/30,27.0
2020/10/01,26.0
2020/10/02,9.0
2020/10/03,14.0
2020/10/04,1.0
2020/10/05,14.0
2020/10/06,17.0
2020/10/07,15.0
2020/10/08,15.0
2020/10/09,25.0
2020/10/10,8.0
2020/10/11,1.0
2020/10/12,27.0
2020/10/13,22.0
2020/10/14,19.0
2020/10/15,40.0
2020/10/16,42.0
2020/10/17,18.0
2020/10/18,2.0
2020/10/19,53.0
2020/10/20,33.0
2020/10/21,59.0
2020/10/22,61.0
2020/10/23,84.0
2020/10/24,48.0
2020/10/25,8.0
2020/10/26,110.0
2020/10/27,119.0
2020/10/28,96.0
2020/10/29,76.0
2020/10/30,111.0
2020/10/31,78.0
2020/11/01,9.0
2020/11/02,157.0
2020/11/03,138.0
2020/11/04,99.0
2020/11/05,117.0
2020/11/06,124.0
2020/11/07,50.0
2020/11/08,10.0
2020/11/09,114.0
2020/11/10,81.0
2020/11/11,6.0
2020/11/12,73.0
2020/11/13,68.0
2020/11/14,33.0
2020/11/15,2.0
2020/11/16,80.0
2020/11/17,61.0
2020/11/18,47.0
2020/11/19,55.0
2020/11/20,49.0
2020/11/21,33.0
2020/11/22,5.0
2020/11/23,68.0
2020/11/24,43.0
2020/11/25,51.0
2020/11/26,43.0
2020/11/27,56.0
2020/11/28,19.0
2020/11/29,4.0
2020/11/30,60.0
2020/12/01,53.0
2020/12/02,46.0
2020/12/03,52.0
2020/12/04,70.0
2020/12/05,42.0
2020/12/06,5.0
2020/12/07,85.0
2020/12/08,85.0
2020/12/09,45.0
2020/12/10,61.0
2020/12/11,115.0
2020/12/12,66.0
2020/12/13,9.0
2020/12/14,108.0
2020/12/15,123.0
2020/12/16,85.0
2020/12/17,108.0
2020/12/18,84.0
2020/12/19,45.0
2020/12/20,6.0
2020/12/21,127.0
2020/12/22,111.0
2020/12/23,102.0
2020/12/24,52.0
2020/12/25,5.0
2020/12/26,64.0
2020/12/27,8.0
2020/12/28,99.0
2020/12/29,100.0
2020/12/30,92.0
2020/12/31,52.0
2021/01/01,11.0
2021/01/02,81.0
2021/01/03,6.0
2021/01/04,130.0
2021/01/05,122.0
2021/01/06,79.0
2021/01/07,54.0
2021/01/08,71.0
2021/01/09,48.0
2021/01/10,8.0
2021/01/11,104.0
2021/01/12,97.0
2021/01/13,57.0
2021/01/14,65.0
2021/01/15,57.0
2021/01/16,35.0
2021/01/17,4.0
2021/01/18,108.0
2021/01/19,92.0
2021/01/20,90.0
2021/01/21,67.0
2021/01/22,61.0
2021/01/23,29.0
2021/01/24,4.0
2021/01/25,97.0
2021/01/26,41.0
2021/01/27,38.0
2021/01/28,51.0
2021/01/29,54.0
2021/01/30,30.0
2021/01/31,5.0
2021/02/01,55.0
2021/02/02,34.0
2021/02/03,34.0
2021/02/04,42.0
2021/02/05,40.0
2021/02/06,53.0
2021/02/07,0.0
2021/02/08,60.0
2021/02/09,31.0
2021/02/10,38.0
2021/02/11,29.0
2021/02/12,45.0
2021/02/13,19.0
2021/02/14,1.0
2021/02/15,65.0
2021/02/16,28.0
2021/02/17,21.0
2021/02/18,43.0
2021/02/19,22.0
2021/02/20,22.0
2021/02/21,2.0
2021/02/22,70.0
2021/02/23,28.0
2021/02/24,20.0
2021/02/25,23.0
2021/02/26,42.0
2021/02/27,24.0
2021/02/28,4.0
2021/03/01,56.0
2021/03/02,41.0
2021/03/03,33.0
2021/03/04,40.0
2021/03/05,51.0
2021/03/06,35.0
2021/03/07,10.0
2021/03/08,89.0
2021/03/09,46.0
2021/03/10,68.0
2021/03/11,49.0
2021/03/12,57.0
2021/03/13,43.0
2021/03/14,8.0
2021/03/15,112.0
2021/03/16,80.0
2021/03/17,86.0
2021/03/18,78.0
2021/03/19,86.0
2021/03/20,42.0
2021/03/21,5.0
2021/03/22,133.0
2021/03/23,92.0
2021/03/24,86.0
2021/03/25,89.0
2021/03/26,120.0
2021/03/27,58.0
2021/03/28,2.0
2021/03/29,174.0
2021/03/30,109.0
2021/03/31,99.0
2021/04/01,72.0
2021/04/02,96.0
2021/04/03,70.0
2021/04/04,20.0
2021/04/05,15.0
2021/04/06,179.0
2021/04/07,95.0
2021/04/08,106.0
2021/04/09,112.0
2021/04/10,48.0
2021/04/11,7.0
2021/04/12,126.0
2021/04/13,90.0
2021/04/14,81.0
2021/04/15,66.0
2021/04/16,79.0
2021/04/17,53.0
2021/04/18,8.0
2021/04/19,108.0
2021/04/20,95.0
2021/04/21,72.0
2021/04/22,83.0
2021/04/23,69.0
2021/04/24,55.0
2021/04/25,6.0
2021/04/26,91.0
2021/04/27,56.0
2021/04/28,41.0
2021/04/29,40.0
2021/04/30,53.0
2021/05/01,12.0
2021/05/02,4.0
2021/05/03,83.0
2021/05/04,35.0
2021/05/05,38.0
2021/05/06,25.0
2021/05/07,32.0
2021/05/08,4.0
2021/05/09,2.0
2021/05/10,54.0
2021/05/11,24.0
2021/05/12,26.0
2021/05/13,1.0
2021/05/14,43.0
2021/05/15,13.0
2021/05/16,1.0
2021/05/17,47.0
2021/05/18,30.0
2021/05/19,23.0
2021/05/20,26.0
2021/05/21,28.0
2021/05/22,10.0
2021/05/23,1.0
2021/05/24,1.0
2021/05/25,35.0
2021/05/26,38.0
2021/05/27,26.0
2021/05/28,13.0
2021/05/29,18.0
2021/05/30,1.0
2021/05/31,21.0
2021/06/01,5.0
