Datas,Morbihan
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,0.0
2020/05/14,3.0
2020/05/15,2.0
2020/05/16,1.0
2020/05/17,0.0
2020/05/18,3.0
2020/05/19,6.0
2020/05/20,3.0
2020/05/21,1.0
2020/05/22,6.0
2020/05/23,1.0
2020/05/24,7.0
2020/05/25,3.0
2020/05/26,3.0
2020/05/27,3.0
2020/05/28,8.0
2020/05/29,2.0
2020/05/30,1.0
2020/05/31,0.0
2020/06/01,0.0
2020/06/02,1.0
2020/06/03,0.0
2020/06/04,1.0
2020/06/05,1.0
2020/06/06,1.0
2020/06/07,1.0
2020/06/08,0.0
2020/06/09,1.0
2020/06/10,0.0
2020/06/11,0.0
2020/06/12,0.0
2020/06/13,0.0
2020/06/14,0.0
2020/06/15,0.0
2020/06/16,4.0
2020/06/17,4.0
2020/06/18,0.0
2020/06/19,1.0
2020/06/20,0.0
2020/06/21,0.0
2020/06/22,4.0
2020/06/23,3.0
2020/06/24,0.0
2020/06/25,3.0
2020/06/26,3.0
2020/06/27,1.0
2020/06/28,0.0
2020/06/29,2.0
2020/06/30,1.0
2020/07/01,3.0
2020/07/02,0.0
2020/07/03,1.0
2020/07/04,0.0
2020/07/05,0.0
2020/07/06,2.0
2020/07/07,0.0
2020/07/08,1.0
2020/07/09,2.0
2020/07/10,1.0
2020/07/11,0.0
2020/07/12,1.0
2020/07/13,1.0
2020/07/14,0.0
2020/07/15,4.0
2020/07/16,0.0
2020/07/17,5.0
2020/07/18,1.0
2020/07/19,0.0
2020/07/20,4.0
2020/07/21,1.0
2020/07/22,0.0
2020/07/23,0.0
2020/07/24,9.0
2020/07/25,16.0
2020/07/26,3.0
2020/07/27,10.0
2020/07/28,8.0
2020/07/29,5.0
2020/07/30,4.0
2020/07/31,7.0
2020/08/01,3.0
2020/08/02,6.0
2020/08/03,10.0
2020/08/04,9.0
2020/08/05,12.0
2020/08/06,8.0
2020/08/07,25.0
2020/08/08,13.0
2020/08/09,1.0
2020/08/10,10.0
2020/08/11,8.0
2020/08/12,6.0
2020/08/13,7.0
2020/08/14,17.0
2020/08/15,3.0
2020/08/16,3.0
2020/08/17,18.0
2020/08/18,11.0
2020/08/19,10.0
2020/08/20,15.0
2020/08/21,7.0
2020/08/22,18.0
2020/08/23,10.0
2020/08/24,21.0
2020/08/25,14.0
2020/08/26,17.0
2020/08/27,25.0
2020/08/28,25.0
2020/08/29,26.0
2020/08/30,7.0
2020/08/31,45.0
2020/09/01,45.0
2020/09/02,39.0
2020/09/03,67.0
2020/09/04,78.0
2020/09/05,28.0
2020/09/06,8.0
2020/09/07,52.0
2020/09/08,38.0
2020/09/09,56.0
2020/09/10,51.0
2020/09/11,54.0
2020/09/12,34.0
2020/09/13,15.0
2020/09/14,67.0
2020/09/15,72.0
2020/09/16,56.0
2020/09/17,68.0
2020/09/18,71.0
2020/09/19,26.0
2020/09/20,17.0
2020/09/21,56.0
2020/09/22,62.0
2020/09/23,52.0
2020/09/24,32.0
2020/09/25,43.0
2020/09/26,20.0
2020/09/27,11.0
2020/09/28,59.0
2020/09/29,60.0
2020/09/30,43.0
2020/10/01,41.0
2020/10/02,42.0
2020/10/03,28.0
2020/10/04,12.0
2020/10/05,71.0
2020/10/06,69.0
2020/10/07,52.0
2020/10/08,59.0
2020/10/09,79.0
2020/10/10,68.0
2020/10/11,17.0
2020/10/12,116.0
2020/10/13,79.0
2020/10/14,88.0
2020/10/15,111.0
2020/10/16,137.0
2020/10/17,77.0
2020/10/18,25.0
2020/10/19,207.0
2020/10/20,174.0
2020/10/21,178.0
2020/10/22,190.0
2020/10/23,198.0
2020/10/24,136.0
2020/10/25,53.0
2020/10/26,286.0
2020/10/27,220.0
2020/10/28,231.0
2020/10/29,229.0
2020/10/30,289.0
2020/10/31,172.0
2020/11/01,37.0
2020/11/02,358.0
2020/11/03,257.0
2020/11/04,233.0
2020/11/05,217.0
2020/11/06,230.0
2020/11/07,161.0
2020/11/08,42.0
2020/11/09,222.0
2020/11/10,206.0
2020/11/11,43.0
2020/11/12,190.0
2020/11/13,155.0
2020/11/14,89.0
2020/11/15,26.0
2020/11/16,211.0
2020/11/17,108.0
2020/11/18,78.0
2020/11/19,57.0
2020/11/20,89.0
2020/11/21,33.0
2020/11/22,12.0
2020/11/23,111.0
2020/11/24,66.0
2020/11/25,54.0
2020/11/26,37.0
2020/11/27,36.0
2020/11/28,32.0
2020/11/29,7.0
2020/11/30,50.0
2020/12/01,61.0
2020/12/02,34.0
2020/12/03,42.0
2020/12/04,42.0
2020/12/05,29.0
2020/12/06,5.0
2020/12/07,58.0
2020/12/08,46.0
2020/12/09,46.0
2020/12/10,54.0
2020/12/11,91.0
2020/12/12,31.0
2020/12/13,11.0
2020/12/14,75.0
2020/12/15,41.0
2020/12/16,53.0
2020/12/17,63.0
2020/12/18,60.0
2020/12/19,36.0
2020/12/20,19.0
2020/12/21,99.0
2020/12/22,71.0
2020/12/23,77.0
2020/12/24,48.0
2020/12/25,3.0
2020/12/26,52.0
2020/12/27,7.0
2020/12/28,95.0
2020/12/29,75.0
2020/12/30,93.0
2020/12/31,97.0
2021/01/01,17.0
2021/01/02,79.0
2021/01/03,10.0
2021/01/04,113.0
2021/01/05,88.0
2021/01/06,81.0
2021/01/07,69.0
2021/01/08,92.0
2021/01/09,54.0
2021/01/10,17.0
2021/01/11,146.0
2021/01/12,88.0
2021/01/13,125.0
2021/01/14,109.0
2021/01/15,137.0
2021/01/16,71.0
2021/01/17,13.0
2021/01/18,140.0
2021/01/19,140.0
2021/01/20,113.0
2021/01/21,106.0
2021/01/22,112.0
2021/01/23,82.0
2021/01/24,17.0
2021/01/25,160.0
2021/01/26,100.0
2021/01/27,134.0
2021/01/28,172.0
2021/01/29,131.0
2021/01/30,95.0
2021/01/31,19.0
2021/02/01,176.0
2021/02/02,150.0
2021/02/03,134.0
2021/02/04,122.0
2021/02/05,115.0
2021/02/06,93.0
2021/02/07,14.0
2021/02/08,127.0
2021/02/09,76.0
2021/02/10,98.0
2021/02/11,109.0
2021/02/12,88.0
2021/02/13,84.0
2021/02/14,11.0
2021/02/15,172.0
2021/02/16,112.0
2021/02/17,134.0
2021/02/18,123.0
2021/02/19,169.0
2021/02/20,77.0
2021/02/21,12.0
2021/02/22,211.0
2021/02/23,136.0
2021/02/24,148.0
2021/02/25,177.0
2021/02/26,114.0
2021/02/27,72.0
2021/02/28,13.0
2021/03/01,142.0
2021/03/02,113.0
2021/03/03,130.0
2021/03/04,131.0
2021/03/05,116.0
2021/03/06,79.0
2021/03/07,12.0
2021/03/08,227.0
2021/03/09,151.0
2021/03/10,148.0
2021/03/11,136.0
2021/03/12,156.0
2021/03/13,107.0
2021/03/14,12.0
2021/03/15,198.0
2021/03/16,158.0
2021/03/17,211.0
2021/03/18,162.0
2021/03/19,172.0
2021/03/20,141.0
2021/03/21,15.0
2021/03/22,245.0
2021/03/23,198.0
2021/03/24,241.0
2021/03/25,209.0
2021/03/26,180.0
2021/03/27,194.0
2021/03/28,27.0
2021/03/29,302.0
2021/03/30,250.0
2021/03/31,278.0
2021/04/01,230.0
2021/04/02,260.0
2021/04/03,146.0
2021/04/04,22.0
2021/04/05,69.0
2021/04/06,316.0
2021/04/07,242.0
2021/04/08,248.0
2021/04/09,219.0
2021/04/10,175.0
2021/04/11,21.0
2021/04/12,269.0
2021/04/13,232.0
2021/04/14,234.0
2021/04/15,188.0
2021/04/16,238.0
2021/04/17,190.0
2021/04/18,25.0
2021/04/19,304.0
2021/04/20,230.0
2021/04/21,224.0
2021/04/22,220.0
2021/04/23,211.0
2021/04/24,176.0
2021/04/25,25.0
2021/04/26,217.0
2021/04/27,150.0
2021/04/28,150.0
2021/04/29,141.0
2021/04/30,177.0
2021/05/01,47.0
2021/05/02,17.0
2021/05/03,205.0
2021/05/04,157.0
2021/05/05,164.0
2021/05/06,167.0
2021/05/07,176.0
2021/05/08,41.0
2021/05/09,9.0
2021/05/10,195.0
2021/05/11,135.0
2021/05/12,137.0
2021/05/13,46.0
2021/05/14,168.0
2021/05/15,88.0
2021/05/16,20.0
2021/05/17,156.0
2021/05/18,86.0
2021/05/19,129.0
2021/05/20,125.0
2021/05/21,111.0
2021/05/22,89.0
2021/05/23,10.0
2021/05/24,28.0
2021/05/25,142.0
2021/05/26,99.0
2021/05/27,76.0
2021/05/28,75.0
2021/05/29,53.0
2021/05/30,16.0
2021/05/31,73.0
2021/06/01,55.0
