Datas,Moselle
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,35.0
2020/05/14,34.0
2020/05/15,45.0
2020/05/16,5.0
2020/05/17,2.0
2020/05/18,57.0
2020/05/19,42.0
2020/05/20,65.0
2020/05/21,5.0
2020/05/22,21.0
2020/05/23,4.0
2020/05/24,1.0
2020/05/25,19.0
2020/05/26,13.0
2020/05/27,15.0
2020/05/28,15.0
2020/05/29,18.0
2020/05/30,6.0
2020/05/31,1.0
2020/06/01,2.0
2020/06/02,24.0
2020/06/03,15.0
2020/06/04,5.0
2020/06/05,11.0
2020/06/06,2.0
2020/06/07,2.0
2020/06/08,7.0
2020/06/09,7.0
2020/06/10,9.0
2020/06/11,6.0
2020/06/12,8.0
2020/06/13,2.0
2020/06/14,0.0
2020/06/15,3.0
2020/06/16,10.0
2020/06/17,3.0
2020/06/18,6.0
2020/06/19,3.0
2020/06/20,5.0
2020/06/21,2.0
2020/06/22,8.0
2020/06/23,6.0
2020/06/24,8.0
2020/06/25,1.0
2020/06/26,8.0
2020/06/27,3.0
2020/06/28,0.0
2020/06/29,3.0
2020/06/30,2.0
2020/07/01,8.0
2020/07/02,5.0
2020/07/03,6.0
2020/07/04,4.0
2020/07/05,0.0
2020/07/06,2.0
2020/07/07,4.0
2020/07/08,5.0
2020/07/09,4.0
2020/07/10,1.0
2020/07/11,0.0
2020/07/12,3.0
2020/07/13,10.0
2020/07/14,0.0
2020/07/15,8.0
2020/07/16,9.0
2020/07/17,17.0
2020/07/18,8.0
2020/07/19,0.0
2020/07/20,4.0
2020/07/21,13.0
2020/07/22,12.0
2020/07/23,7.0
2020/07/24,17.0
2020/07/25,5.0
2020/07/26,0.0
2020/07/27,10.0
2020/07/28,8.0
2020/07/29,16.0
2020/07/30,17.0
2020/07/31,25.0
2020/08/01,9.0
2020/08/02,3.0
2020/08/03,15.0
2020/08/04,18.0
2020/08/05,18.0
2020/08/06,44.0
2020/08/07,31.0
2020/08/08,6.0
2020/08/09,0.0
2020/08/10,14.0
2020/08/11,23.0
2020/08/12,48.0
2020/08/13,19.0
2020/08/14,31.0
2020/08/15,3.0
2020/08/16,2.0
2020/08/17,46.0
2020/08/18,40.0
2020/08/19,42.0
2020/08/20,27.0
2020/08/21,25.0
2020/08/22,23.0
2020/08/23,0.0
2020/08/24,69.0
2020/08/25,65.0
2020/08/26,57.0
2020/08/27,51.0
2020/08/28,58.0
2020/08/29,38.0
2020/08/30,3.0
2020/08/31,56.0
2020/09/01,43.0
2020/09/02,46.0
2020/09/03,46.0
2020/09/04,51.0
2020/09/05,22.0
2020/09/06,2.0
2020/09/07,40.0
2020/09/08,48.0
2020/09/09,59.0
2020/09/10,65.0
2020/09/11,59.0
2020/09/12,29.0
2020/09/13,7.0
2020/09/14,88.0
2020/09/15,76.0
2020/09/16,66.0
2020/09/17,57.0
2020/09/18,71.0
2020/09/19,13.0
2020/09/20,3.0
2020/09/21,69.0
2020/09/22,50.0
2020/09/23,58.0
2020/09/24,64.0
2020/09/25,53.0
2020/09/26,13.0
2020/09/27,2.0
2020/09/28,61.0
2020/09/29,52.0
2020/09/30,59.0
2020/10/01,86.0
2020/10/02,78.0
2020/10/03,44.0
2020/10/04,1.0
2020/10/05,106.0
2020/10/06,128.0
2020/10/07,120.0
2020/10/08,156.0
2020/10/09,169.0
2020/10/10,96.0
2020/10/11,13.0
2020/10/12,256.0
2020/10/13,184.0
2020/10/14,247.0
2020/10/15,252.0
2020/10/16,328.0
2020/10/17,162.0
2020/10/18,26.0
2020/10/19,500.0
2020/10/20,449.0
2020/10/21,531.0
2020/10/22,648.0
2020/10/23,789.0
2020/10/24,352.0
2020/10/25,44.0
2020/10/26,947.0
2020/10/27,656.0
2020/10/28,761.0
2020/10/29,730.0
2020/10/30,918.0
2020/10/31,375.0
2020/11/01,45.0
2020/11/02,1093.0
2020/11/03,925.0
2020/11/04,761.0
2020/11/05,694.0
2020/11/06,702.0
2020/11/07,280.0
2020/11/08,43.0
2020/11/09,848.0
2020/11/10,656.0
2020/11/11,38.0
2020/11/12,618.0
2020/11/13,552.0
2020/11/14,211.0
2020/11/15,19.0
2020/11/16,576.0
2020/11/17,457.0
2020/11/18,358.0
2020/11/19,339.0
2020/11/20,336.0
2020/11/21,144.0
2020/11/22,17.0
2020/11/23,403.0
2020/11/24,283.0
2020/11/25,266.0
2020/11/26,302.0
2020/11/27,263.0
2020/11/28,111.0
2020/11/29,21.0
2020/11/30,376.0
2020/12/01,220.0
2020/12/02,272.0
2020/12/03,288.0
2020/12/04,322.0
2020/12/05,171.0
2020/12/06,32.0
2020/12/07,410.0
2020/12/08,303.0
2020/12/09,330.0
2020/12/10,366.0
2020/12/11,358.0
2020/12/12,226.0
2020/12/13,49.0
2020/12/14,535.0
2020/12/15,394.0
2020/12/16,407.0
2020/12/17,398.0
2020/12/18,395.0
2020/12/19,286.0
2020/12/20,39.0
2020/12/21,572.0
2020/12/22,484.0
2020/12/23,430.0
2020/12/24,300.0
2020/12/25,41.0
2020/12/26,73.0
2020/12/27,44.0
2020/12/28,627.0
2020/12/29,474.0
2020/12/30,466.0
2020/12/31,326.0
2021/01/01,23.0
2021/01/02,400.0
2021/01/03,42.0
2021/01/04,601.0
2021/01/05,469.0
2021/01/06,370.0
2021/01/07,343.0
2021/01/08,333.0
2021/01/09,253.0
2021/01/10,38.0
2021/01/11,497.0
2021/01/12,319.0
2021/01/13,276.0
2021/01/14,324.0
2021/01/15,297.0
2021/01/16,206.0
2021/01/17,30.0
2021/01/18,491.0
2021/01/19,335.0
2021/01/20,363.0
2021/01/21,372.0
2021/01/22,377.0
2021/01/23,246.0
2021/01/24,45.0
2021/01/25,628.0
2021/01/26,470.0
2021/01/27,421.0
2021/01/28,422.0
2021/01/29,489.0
2021/01/30,246.0
2021/01/31,44.0
2021/02/01,618.0
2021/02/02,470.0
2021/02/03,444.0
2021/02/04,418.0
2021/02/05,464.0
2021/02/06,325.0
2021/02/07,54.0
2021/02/08,658.0
2021/02/09,457.0
2021/02/10,450.0
2021/02/11,382.0
2021/02/12,369.0
2021/02/13,281.0
2021/02/14,72.0
2021/02/15,687.0
2021/02/16,471.0
2021/02/17,471.0
2021/02/18,509.0
2021/02/19,477.0
2021/02/20,249.0
2021/02/21,54.0
2021/02/22,667.0
2021/02/23,451.0
2021/02/24,402.0
2021/02/25,402.0
2021/02/26,459.0
2021/02/27,279.0
2021/02/28,43.0
2021/03/01,571.0
2021/03/02,417.0
2021/03/03,362.0
2021/03/04,341.0
2021/03/05,392.0
2021/03/06,278.0
2021/03/07,42.0
2021/03/08,545.0
2021/03/09,418.0
2021/03/10,421.0
2021/03/11,414.0
2021/03/12,451.0
2021/03/13,258.0
2021/03/14,86.0
2021/03/15,646.0
2021/03/16,448.0
2021/03/17,427.0
2021/03/18,462.0
2021/03/19,466.0
2021/03/20,327.0
2021/03/21,67.0
2021/03/22,635.0
2021/03/23,463.0
2021/03/24,418.0
2021/03/25,481.0
2021/03/26,515.0
2021/03/27,354.0
2021/03/28,76.0
2021/03/29,763.0
2021/03/30,543.0
2021/03/31,457.0
2021/04/01,462.0
2021/04/02,127.0
2021/04/03,450.0
2021/04/04,54.0
2021/04/05,116.0
2021/04/06,770.0
2021/04/07,502.0
2021/04/08,436.0
2021/04/09,499.0
2021/04/10,319.0
2021/04/11,64.0
2021/04/12,634.0
2021/04/13,375.0
2021/04/14,334.0
2021/04/15,372.0
2021/04/16,351.0
2021/04/17,204.0
2021/04/18,46.0
2021/04/19,498.0
2021/04/20,305.0
2021/04/21,301.0
2021/04/22,260.0
2021/04/23,293.0
2021/04/24,200.0
2021/04/25,27.0
2021/04/26,415.0
2021/04/27,236.0
2021/04/28,231.0
2021/04/29,204.0
2021/04/30,272.0
2021/05/01,50.0
2021/05/02,31.0
2021/05/03,314.0
2021/05/04,197.0
2021/05/05,163.0
2021/05/06,144.0
2021/05/07,181.0
2021/05/08,37.0
2021/05/09,27.0
2021/05/10,257.0
2021/05/11,165.0
2021/05/12,155.0
2021/05/13,22.0
2021/05/14,198.0
2021/05/15,87.0
2021/05/16,9.0
2021/05/17,187.0
2021/05/18,146.0
2021/05/19,103.0
2021/05/20,121.0
2021/05/21,110.0
2021/05/22,100.0
2021/05/23,10.0
2021/05/24,32.0
2021/05/25,195.0
2021/05/26,114.0
2021/05/27,119.0
2021/05/28,116.0
2021/05/29,68.0
2021/05/30,13.0
2021/05/31,137.0
2021/06/01,71.0
