Datas,Nord
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,38.0
2020/05/14,42.0
2020/05/15,30.0
2020/05/16,15.0
2020/05/17,2.0
2020/05/18,52.0
2020/05/19,76.0
2020/05/20,65.0
2020/05/21,16.0
2020/05/22,97.0
2020/05/23,31.0
2020/05/24,6.0
2020/05/25,71.0
2020/05/26,72.0
2020/05/27,72.0
2020/05/28,30.0
2020/05/29,64.0
2020/05/30,27.0
2020/05/31,5.0
2020/06/01,13.0
2020/06/02,46.0
2020/06/03,44.0
2020/06/04,33.0
2020/06/05,57.0
2020/06/06,17.0
2020/06/07,3.0
2020/06/08,74.0
2020/06/09,46.0
2020/06/10,47.0
2020/06/11,44.0
2020/06/12,22.0
2020/06/13,10.0
2020/06/14,8.0
2020/06/15,38.0
2020/06/16,30.0
2020/06/17,29.0
2020/06/18,24.0
2020/06/19,31.0
2020/06/20,19.0
2020/06/21,4.0
2020/06/22,27.0
2020/06/23,42.0
2020/06/24,29.0
2020/06/25,29.0
2020/06/26,35.0
2020/06/27,10.0
2020/06/28,6.0
2020/06/29,36.0
2020/06/30,35.0
2020/07/01,39.0
2020/07/02,44.0
2020/07/03,34.0
2020/07/04,13.0
2020/07/05,1.0
2020/07/06,57.0
2020/07/07,34.0
2020/07/08,29.0
2020/07/09,45.0
2020/07/10,38.0
2020/07/11,33.0
2020/07/12,4.0
2020/07/13,42.0
2020/07/14,5.0
2020/07/15,46.0
2020/07/16,68.0
2020/07/17,61.0
2020/07/18,32.0
2020/07/19,5.0
2020/07/20,61.0
2020/07/21,99.0
2020/07/22,90.0
2020/07/23,63.0
2020/07/24,86.0
2020/07/25,56.0
2020/07/26,6.0
2020/07/27,105.0
2020/07/28,89.0
2020/07/29,103.0
2020/07/30,129.0
2020/07/31,108.0
2020/08/01,62.0
2020/08/02,6.0
2020/08/03,142.0
2020/08/04,101.0
2020/08/05,109.0
2020/08/06,118.0
2020/08/07,118.0
2020/08/08,50.0
2020/08/09,10.0
2020/08/10,120.0
2020/08/11,141.0
2020/08/12,141.0
2020/08/13,148.0
2020/08/14,142.0
2020/08/15,18.0
2020/08/16,8.0
2020/08/17,142.0
2020/08/18,158.0
2020/08/19,106.0
2020/08/20,144.0
2020/08/21,150.0
2020/08/22,54.0
2020/08/23,17.0
2020/08/24,177.0
2020/08/25,176.0
2020/08/26,168.0
2020/08/27,208.0
2020/08/28,175.0
2020/08/29,59.0
2020/08/30,28.0
2020/08/31,289.0
2020/09/01,306.0
2020/09/02,474.0
2020/09/03,437.0
2020/09/04,638.0
2020/09/05,300.0
2020/09/06,43.0
2020/09/07,855.0
2020/09/08,709.0
2020/09/09,729.0
2020/09/10,740.0
2020/09/11,724.0
2020/09/12,266.0
2020/09/13,80.0
2020/09/14,1208.0
2020/09/15,1097.0
2020/09/16,913.0
2020/09/17,1018.0
2020/09/18,1096.0
2020/09/19,302.0
2020/09/20,204.0
2020/09/21,949.0
2020/09/22,1224.0
2020/09/23,969.0
2020/09/24,827.0
2020/09/25,882.0
2020/09/26,350.0
2020/09/27,87.0
2020/09/28,967.0
2020/09/29,818.0
2020/09/30,899.0
2020/10/01,1020.0
2020/10/02,1132.0
2020/10/03,501.0
2020/10/04,243.0
2020/10/05,1251.0
2020/10/06,1275.0
2020/10/07,1468.0
2020/10/08,1674.0
2020/10/09,1770.0
2020/10/10,1085.0
2020/10/11,514.0
2020/10/12,2191.0
2020/10/13,1953.0
2020/10/14,2266.0
2020/10/15,2415.0
2020/10/16,2273.0
2020/10/17,1306.0
2020/10/18,887.0
2020/10/19,2923.0
2020/10/20,2733.0
2020/10/21,3326.0
2020/10/22,3425.0
2020/10/23,3702.0
2020/10/24,2131.0
2020/10/25,1294.0
2020/10/26,4363.0
2020/10/27,3541.0
2020/10/28,3377.0
2020/10/29,3376.0
2020/10/30,3381.0
2020/10/31,1833.0
2020/11/01,1076.0
2020/11/02,3786.0
2020/11/03,3065.0
2020/11/04,2588.0
2020/11/05,2323.0
2020/11/06,2306.0
2020/11/07,1093.0
2020/11/08,411.0
2020/11/09,2072.0
2020/11/10,1646.0
2020/11/11,493.0
2020/11/12,1773.0
2020/11/13,1476.0
2020/11/14,679.0
2020/11/15,209.0
2020/11/16,1437.0
2020/11/17,929.0
2020/11/18,823.0
2020/11/19,780.0
2020/11/20,844.0
2020/11/21,450.0
2020/11/22,159.0
2020/11/23,772.0
2020/11/24,607.0
2020/11/25,553.0
2020/11/26,568.0
2020/11/27,584.0
2020/11/28,329.0
2020/11/29,115.0
2020/11/30,626.0
2020/12/01,560.0
2020/12/02,496.0
2020/12/03,584.0
2020/12/04,515.0
2020/12/05,268.0
2020/12/06,95.0
2020/12/07,645.0
2020/12/08,523.0
2020/12/09,465.0
2020/12/10,506.0
2020/12/11,532.0
2020/12/12,295.0
2020/12/13,90.0
2020/12/14,654.0
2020/12/15,515.0
2020/12/16,505.0
2020/12/17,484.0
2020/12/18,554.0
2020/12/19,347.0
2020/12/20,120.0
2020/12/21,790.0
2020/12/22,713.0
2020/12/23,554.0
2020/12/24,444.0
2020/12/25,59.0
2020/12/26,381.0
2020/12/27,106.0
2020/12/28,677.0
2020/12/29,631.0
2020/12/30,687.0
2020/12/31,473.0
2021/01/01,59.0
2021/01/02,520.0
2021/01/03,183.0
2021/01/04,882.0
2021/01/05,789.0
2021/01/06,712.0
2021/01/07,671.0
2021/01/08,669.0
2021/01/09,441.0
2021/01/10,138.0
2021/01/11,879.0
2021/01/12,712.0
2021/01/13,686.0
2021/01/14,756.0
2021/01/15,685.0
2021/01/16,459.0
2021/01/17,134.0
2021/01/18,965.0
2021/01/19,757.0
2021/01/20,706.0
2021/01/21,726.0
2021/01/22,793.0
2021/01/23,511.0
2021/01/24,151.0
2021/01/25,961.0
2021/01/26,820.0
2021/01/27,791.0
2021/01/28,796.0
2021/01/29,894.0
2021/01/30,536.0
2021/01/31,157.0
2021/02/01,1076.0
2021/02/02,833.0
2021/02/03,762.0
2021/02/04,790.0
2021/02/05,879.0
2021/02/06,640.0
2021/02/07,176.0
2021/02/08,1002.0
2021/02/09,872.0
2021/02/10,846.0
2021/02/11,933.0
2021/02/12,929.0
2021/02/13,655.0
2021/02/14,246.0
2021/02/15,1268.0
2021/02/16,1066.0
2021/02/17,1083.0
2021/02/18,1186.0
2021/02/19,1266.0
2021/02/20,796.0
2021/02/21,326.0
2021/02/22,1681.0
2021/02/23,1265.0
2021/02/24,1182.0
2021/02/25,1206.0
2021/02/26,1288.0
2021/02/27,759.0
2021/02/28,316.0
2021/03/01,1433.0
2021/03/02,1234.0
2021/03/03,1185.0
2021/03/04,1090.0
2021/03/05,1198.0
2021/03/06,865.0
2021/03/07,345.0
2021/03/08,1637.0
2021/03/09,1331.0
2021/03/10,1326.0
2021/03/11,1357.0
2021/03/12,1444.0
2021/03/13,1007.0
2021/03/14,368.0
2021/03/15,2140.0
2021/03/16,1480.0
2021/03/17,1549.0
2021/03/18,1618.0
2021/03/19,1718.0
2021/03/20,1181.0
2021/03/21,362.0
2021/03/22,2405.0
2021/03/23,1788.0
2021/03/24,1829.0
2021/03/25,1924.0
2021/03/26,1861.0
2021/03/27,1215.0
2021/03/28,391.0
2021/03/29,2351.0
2021/03/30,1916.0
2021/03/31,1739.0
2021/04/01,1731.0
2021/04/02,1653.0
2021/04/03,1126.0
2021/04/04,381.0
2021/04/05,455.0
2021/04/06,2293.0
2021/04/07,1684.0
2021/04/08,1612.0
2021/04/09,1698.0
2021/04/10,1123.0
2021/04/11,347.0
2021/04/12,1956.0
2021/04/13,1407.0
2021/04/14,1477.0
2021/04/15,1484.0
2021/04/16,1550.0
2021/04/17,1068.0
2021/04/18,318.0
2021/04/19,1808.0
2021/04/20,1311.0
2021/04/21,1287.0
2021/04/22,1255.0
2021/04/23,1259.0
2021/04/24,874.0
2021/04/25,221.0
2021/04/26,1559.0
2021/04/27,1109.0
2021/04/28,1070.0
2021/04/29,1040.0
2021/04/30,1179.0
2021/05/01,232.0
2021/05/02,280.0
2021/05/03,1318.0
2021/05/04,891.0
2021/05/05,883.0
2021/05/06,899.0
2021/05/07,958.0
2021/05/08,257.0
2021/05/09,235.0
2021/05/10,1231.0
2021/05/11,916.0
2021/05/12,844.0
2021/05/13,212.0
2021/05/14,905.0
2021/05/15,486.0
2021/05/16,178.0
2021/05/17,986.0
2021/05/18,802.0
2021/05/19,759.0
2021/05/20,636.0
2021/05/21,652.0
2021/05/22,441.0
