Datas,Oise
2020/03/18,0.0
2020/03/19,0.0
2020/03/20,0.0
2020/03/21,0.0
2020/03/22,0.0
2020/03/23,0.0
2020/03/24,0.0
2020/03/25,0.0
2020/03/26,0.0
2020/03/27,0.0
2020/03/28,0.0
2020/03/29,0.0
2020/03/30,0.0
2020/03/31,0.0
2020/04/01,0.0
2020/04/02,0.0
2020/04/03,0.0
2020/04/04,0.0
2020/04/05,0.0
2020/04/06,0.0
2020/04/07,0.0
2020/04/08,0.0
2020/04/09,0.0
2020/04/10,0.0
2020/04/11,0.0
2020/04/12,0.0
2020/04/13,0.0
2020/04/14,0.0
2020/04/15,0.0
2020/04/16,0.0
2020/04/17,0.0
2020/04/18,0.0
2020/04/19,0.0
2020/04/20,0.0
2020/04/21,0.0
2020/04/22,0.0
2020/04/23,0.0
2020/04/24,0.0
2020/04/25,0.0
2020/04/26,0.0
2020/04/27,0.0
2020/04/28,0.0
2020/04/29,0.0
2020/04/30,0.0
2020/05/01,0.0
2020/05/02,0.0
2020/05/03,0.0
2020/05/04,0.0
2020/05/05,0.0
2020/05/06,0.0
2020/05/07,0.0
2020/05/08,0.0
2020/05/09,0.0
2020/05/10,0.0
2020/05/11,0.0
2020/05/12,0.0
2020/05/13,4.0
2020/05/14,17.0
2020/05/15,25.0
2020/05/16,5.0
2020/05/17,4.0
2020/05/18,12.0
2020/05/19,15.0
2020/05/20,12.0
2020/05/21,3.0
2020/05/22,11.0
2020/05/23,2.0
2020/05/24,0.0
2020/05/25,11.0
2020/05/26,11.0
2020/05/27,2.0
2020/05/28,7.0
2020/05/29,7.0
2020/05/30,0.0
2020/05/31,0.0
2020/06/01,1.0
2020/06/02,4.0
2020/06/03,7.0
2020/06/04,2.0
2020/06/05,2.0
2020/06/06,5.0
2020/06/07,3.0
2020/06/08,2.0
2020/06/09,2.0
2020/06/10,2.0
2020/06/11,0.0
2020/06/12,2.0
2020/06/13,1.0
2020/06/14,0.0
2020/06/15,3.0
2020/06/16,3.0
2020/06/17,0.0
2020/06/18,4.0
2020/06/19,5.0
2020/06/20,1.0
2020/06/21,1.0
2020/06/22,5.0
2020/06/23,5.0
2020/06/24,4.0
2020/06/25,7.0
2020/06/26,3.0
2020/06/27,5.0
2020/06/28,0.0
2020/06/29,1.0
2020/06/30,2.0
2020/07/01,3.0
2020/07/02,2.0
2020/07/03,7.0
2020/07/04,0.0
2020/07/05,0.0
2020/07/06,5.0
2020/07/07,5.0
2020/07/08,6.0
2020/07/09,8.0
2020/07/10,7.0
2020/07/11,3.0
2020/07/12,3.0
2020/07/13,6.0
2020/07/14,4.0
2020/07/15,6.0
2020/07/16,7.0
2020/07/17,3.0
2020/07/18,4.0
2020/07/19,0.0
2020/07/20,5.0
2020/07/21,4.0
2020/07/22,5.0
2020/07/23,7.0
2020/07/24,13.0
2020/07/25,6.0
2020/07/26,0.0
2020/07/27,10.0
2020/07/28,6.0
2020/07/29,7.0
2020/07/30,16.0
2020/07/31,7.0
2020/08/01,15.0
2020/08/02,4.0
2020/08/03,18.0
2020/08/04,17.0
2020/08/05,11.0
2020/08/06,19.0
2020/08/07,20.0
2020/08/08,6.0
2020/08/09,3.0
2020/08/10,19.0
2020/08/11,20.0
2020/08/12,9.0
2020/08/13,22.0
2020/08/14,21.0
2020/08/15,6.0
2020/08/16,2.0
2020/08/17,19.0
2020/08/18,27.0
2020/08/19,21.0
2020/08/20,31.0
2020/08/21,43.0
2020/08/22,14.0
2020/08/23,5.0
2020/08/24,37.0
2020/08/25,33.0
2020/08/26,32.0
2020/08/27,47.0
2020/08/28,52.0
2020/08/29,19.0
2020/08/30,9.0
2020/08/31,50.0
2020/09/01,70.0
2020/09/02,67.0
2020/09/03,73.0
2020/09/04,72.0
2020/09/05,35.0
2020/09/06,7.0
2020/09/07,95.0
2020/09/08,84.0
2020/09/09,83.0
2020/09/10,96.0
2020/09/11,91.0
2020/09/12,65.0
2020/09/13,12.0
2020/09/14,103.0
2020/09/15,86.0
2020/09/16,111.0
2020/09/17,131.0
2020/09/18,104.0
2020/09/19,52.0
2020/09/20,7.0
2020/09/21,155.0
2020/09/22,139.0
2020/09/23,273.0
2020/09/24,100.0
2020/09/25,98.0
2020/09/26,57.0
2020/09/27,9.0
2020/09/28,141.0
2020/09/29,130.0
2020/09/30,141.0
2020/10/01,159.0
2020/10/02,223.0
2020/10/03,112.0
2020/10/04,15.0
2020/10/05,241.0
2020/10/06,242.0
2020/10/07,250.0
2020/10/08,212.0
2020/10/09,239.0
2020/10/10,135.0
2020/10/11,15.0
2020/10/12,395.0
2020/10/13,340.0
2020/10/14,301.0
2020/10/15,374.0
2020/10/16,430.0
2020/10/17,213.0
2020/10/18,42.0
2020/10/19,487.0
2020/10/20,520.0
2020/10/21,535.0
2020/10/22,391.0
2020/10/23,513.0
2020/10/24,229.0
2020/10/25,58.0
2020/10/26,692.0
2020/10/27,639.0
2020/10/28,614.0
2020/10/29,655.0
2020/10/30,713.0
2020/10/31,400.0
2020/11/01,39.0
2020/11/02,907.0
2020/11/03,682.0
2020/11/04,654.0
2020/11/05,589.0
2020/11/06,552.0
2020/11/07,244.0
2020/11/08,30.0
2020/11/09,597.0
2020/11/10,430.0
2020/11/11,57.0
2020/11/12,410.0
2020/11/13,328.0
2020/11/14,148.0
2020/11/15,19.0
2020/11/16,395.0
2020/11/17,228.0
2020/11/18,221.0
2020/11/19,198.0
2020/11/20,201.0
2020/11/21,97.0
2020/11/22,17.0
2020/11/23,228.0
2020/11/24,168.0
2020/11/25,151.0
2020/11/26,144.0
2020/11/27,157.0
2020/11/28,72.0
2020/11/29,9.0
2020/11/30,153.0
2020/12/01,115.0
2020/12/02,113.0
2020/12/03,108.0
2020/12/04,130.0
2020/12/05,78.0
2020/12/06,63.0
2020/12/07,167.0
2020/12/08,136.0
2020/12/09,155.0
2020/12/10,158.0
2020/12/11,160.0
2020/12/12,106.0
2020/12/13,15.0
2020/12/14,189.0
2020/12/15,153.0
2020/12/16,148.0
2020/12/17,160.0
2020/12/18,176.0
2020/12/19,98.0
2020/12/20,18.0
2020/12/21,205.0
2020/12/22,225.0
2020/12/23,159.0
2020/12/24,120.0
2020/12/25,14.0
2020/12/26,93.0
2020/12/27,20.0
2020/12/28,237.0
2020/12/29,214.0
2020/12/30,155.0
2020/12/31,142.0
2021/01/01,18.0
2021/01/02,184.0
2021/01/03,16.0
2021/01/04,283.0
2021/01/05,275.0
2021/01/06,257.0
2021/01/07,243.0
2021/01/08,224.0
2021/01/09,177.0
2021/01/10,33.0
2021/01/11,338.0
2021/01/12,304.0
2021/01/13,313.0
2021/01/14,296.0
2021/01/15,351.0
2021/01/16,167.0
2021/01/17,34.0
2021/01/18,434.0
2021/01/19,338.0
2021/01/20,306.0
2021/01/21,294.0
2021/01/22,323.0
2021/01/23,160.0
2021/01/24,20.0
2021/01/25,460.0
2021/01/26,328.0
2021/01/27,302.0
2021/01/28,315.0
2021/01/29,350.0
2021/01/30,187.0
2021/01/31,21.0
2021/02/01,416.0
2021/02/02,383.0
2021/02/03,246.0
2021/02/04,260.0
2021/02/05,307.0
2021/02/06,183.0
2021/02/07,15.0
2021/02/08,360.0
2021/02/09,260.0
2021/02/10,279.0
2021/02/11,240.0
2021/02/12,266.0
2021/02/13,197.0
2021/02/14,22.0
2021/02/15,436.0
2021/02/16,304.0
2021/02/17,306.0
2021/02/18,319.0
2021/02/19,347.0
2021/02/20,215.0
2021/02/21,27.0
2021/02/22,518.0
2021/02/23,369.0
2021/02/24,337.0
2021/02/25,333.0
2021/02/26,383.0
2021/02/27,219.0
2021/02/28,30.0
2021/03/01,488.0
2021/03/02,346.0
2021/03/03,279.0
2021/03/04,399.0
2021/03/05,378.0
2021/03/06,273.0
2021/03/07,26.0
2021/03/08,519.0
2021/03/09,465.0
2021/03/10,426.0
2021/03/11,466.0
2021/03/12,442.0
2021/03/13,304.0
2021/03/14,41.0
2021/03/15,688.0
2021/03/16,486.0
2021/03/17,508.0
2021/03/18,574.0
2021/03/19,622.0
2021/03/20,381.0
2021/03/21,70.0
2021/03/22,848.0
2021/03/23,664.0
2021/03/24,651.0
2021/03/25,702.0
2021/03/26,724.0
2021/03/27,523.0
2021/03/28,68.0
2021/03/29,908.0
2021/03/30,800.0
2021/03/31,739.0
2021/04/01,739.0
2021/04/02,670.0
2021/04/03,537.0
2021/04/04,76.0
2021/04/05,103.0
2021/04/06,936.0
2021/04/07,663.0
2021/04/08,605.0
2021/04/09,666.0
2021/04/10,424.0
2021/04/11,60.0
2021/04/12,850.0
2021/04/13,551.0
2021/04/14,484.0
2021/04/15,522.0
2021/04/16,603.0
2021/04/17,370.0
2021/04/18,52.0
2021/04/19,750.0
2021/04/20,566.0
2021/04/21,537.0
2021/04/22,492.0
2021/04/23,517.0
2021/04/24,312.0
2021/04/25,54.0
2021/04/26,588.0
2021/04/27,424.0
2021/04/28,363.0
2021/04/29,336.0
2021/04/30,384.0
2021/05/01,41.0
2021/05/02,58.0
2021/05/03,548.0
2021/05/04,349.0
2021/05/05,344.0
2021/05/06,264.0
2021/05/07,339.0
2021/05/08,94.0
2021/05/09,53.0
2021/05/10,405.0
2021/05/11,336.0
2021/05/12,295.0
2021/05/13,53.0
2021/05/14,353.0
2021/05/15,166.0
2021/05/16,34.0
2021/05/17,381.0
2021/05/18,309.0
2021/05/19,231.0
2021/05/20,237.0
2021/05/21,219.0
2021/05/22,152.0
2021/05/23,30.0
2021/05/24,43.0
2021/05/25,292.0
2021/05/26,173.0
2021/05/27,171.0
2021/05/28,166.0
2021/05/29,108.0
2021/05/30,17.0
2021/05/31,161.0
2021/06/01,100.0
